Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,chatgpt
19,1,"Er hat einen Fehler gemacht, aber er sieht kein Problem _____.",darin,"Er hat einen Fehler gemacht, aber er sieht kein Problem darin.",He made a mistake but sees no problem in it.,Il a fait une erreur mais n’y voit pas de problème.,"to indicate that an object is located <i>in</i>, <i>inside</i> another → in + Dat.","pour indiquer qu'un objet est situé <i>dans</i>, <i>à l'intérieur de</i> un autre → in + Dat.",in is used in ein Problem in etwas sehen (“to see a problem in something”).
20,1,Sie hat eine Aufgabe bekommen und findet viel Freude _____.,darin,Sie hat eine Aufgabe bekommen und findet viel Freude darin.,She got a task and finds a lot of joy in it.,Elle a reçu une tâche et y trouve beaucoup de plaisir.,"to indicate that an object is located <i>in</i>, <i>inside</i> another → in + Dat.","pour indiquer qu'un objet est situé <i>dans</i>, <i>à l'intérieur de</i> un autre → in + Dat.",in expresses something contained in an activity or situation.
21,1,"Sie hat den Lehrer um eine Erklärung gebeten, aber er hat sich _____ nicht gekümmert.",darum,"Sie hat den Lehrer um eine Erklärung gebeten, aber er hat sich darum nicht gekümmert.","She asked the teacher for an explanation, but he did not deal with it.","Elle a demandé une explication au professeur, mais il ne s’en est pas occupé.","to take care of, to care for = sich kümmern um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.","prendre soin de, s'occuper de = sich kümmern um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.",um appears in sich um etwas kümmern (“to take care of something”).
22,1,"Ich habe ihn um einen Gefallen gebeten, und er hat sich sofort _____ bemüht.",darum,"Ich habe ihn um einen Gefallen gebeten, und er hat sich sofort darum bemüht.","I asked him for a favor, and he immediately tried to handle it.",Je lui ai demandé un service et il s’est immédiatement efforcé de s’en occuper.,"to strive for, be eager for = sich bemühen um + Accusative<br>to introduce a central object of concern or covetousness → um + Acc.",aspirer à = sich bemühen um + Accusatif<br>pour introduire un objet central d'intérêt ou de convoitise → um + Acc.,um used with sich um etwas bemühen (“to make an effort about something”).
23,1,Er hat starkes Lampenfieber und leidet schon lange _____.,darunter,Er hat starkes Lampenfieber und leidet schon lange darunter.,He has strong stage fright and has suffered from it for a long time.,Il a un fort trac et en souffre depuis longtemps.,to suffer from (circumstances) = leiden unter + Dative<br>to introduce a position of weakness → unter + Dat.,souffrir de (circonstances) = leiden unter + Datif<br>pour introduire une position de faiblesse → unter + Dat.,unter comes from unter etwas leiden (“to suffer from something”).
24,1,"Früher verdiente er 3000 Euro, jetzt verdient er deutlich _____.",darunter,"Früher verdiente er 3000 Euro, jetzt verdient er deutlich darunter.",He used to earn €3000; now he earns well below that.,"Avant il gagnait 3000 €, maintenant il gagne nettement en dessous de cela.","to characterize and compare a quantity as being <i>less than</i>, <i>fewer than</i>, <i>below</i> another → unter + Dat.",pour caractériser et comparer une quantité comme étant numériquement <i>moins que</i> une autre → unter + Dat.,unter indicates a lower value than a reference point.
25,1,"In dem Buch steht viel über den Klimawandel, und ich habe viel _____ gelernt.",darüber,"In dem Buch steht viel über den Klimawandel, und ich habe viel darüber gelernt.","The book says a lot about climate change, and I learned a lot about it.",Le livre parle beaucoup du changement climatique et j’ai beaucoup appris à ce sujet.,to indicate a topic – <i>about</i> → über + Acc.,pour indiquer un sujet – <i>à propos de</i> → über + Acc.,über expresses the topic of information or learning.
26,1,"Letztes Jahr hat er 60 000 Euro verdient, dieses Jahr liegt er deutlich _____.",darüber,"Letztes Jahr hat er 60 000 Euro verdient, dieses Jahr liegt er deutlich darüber.","Last year he earned €60,000; this year he is clearly above that.","L’an dernier il a gagné 60 000 €, cette année il est clairement au-dessus de cela.","to characterize and compare a quantity as being <i>more than</i>, <i>over</i> another → über + Acc.",pour caractériser et comparer une quantité comme étant numériquement <i>plus que</i> une autre → über + Acc.,über marks a value higher than a reference point.
27,1,"Der Film war so traurig, dass viele Zuschauer danach noch lange _____ gesprochen haben.",darüber,"Der Film war so traurig, dass viele Zuschauer danach noch lange darüber gesprochen haben.",The film was so sad that many viewers talked about it for a long time afterwards.,Le film était si triste que beaucoup de spectateurs en ont parlé longtemps après.,to talk about = sprechen über + Accusative<br>to introduce a general subject → über + Acc.,parler de = sprechen über + Accusatif<br>pour introduire un sujet général → über + Acc.,über is used with über etwas sprechen (“to talk about something”).
28,1,Ich habe lange von diesem Projekt geträumt und träume noch immer _____.,davon,Ich habe lange von diesem Projekt geträumt und träume noch immer davon.,I dreamed about this project for a long time and still dream about it.,J’ai longtemps rêvé de ce projet et j’en rêve encore.,to dream of = träumen von + Dative<br>to introduce an expectation or a demand → von + Dat.,rêver de = träumen von + Datif<br>pour introduire une attente ou une demande → von + Dat.,von is required by von etwas träumen (“to dream about something”).
29,1,Er hat eine schwierige Prüfung und hat große Angst _____.,davor,Er hat eine schwierige Prüfung und hat große Angst davor.,He has a difficult exam and is very afraid of it.,Il a un examen difficile et il en a très peur.,the fear of = die Angst vor + Dative<br>to introduce an object of danger → vor + Dat.,la peur de = die Angst vor + Datif<br>pour introduire un danger → vor + Dat.,vor appears in Angst vor etwas haben (“to be afraid of something”).
30,1,"Sie hat mich vor dem Hund gewarnt, und jetzt habe ich großen Respekt _____.",davor,"Sie hat mich vor dem Hund gewarnt, und jetzt habe ich großen Respekt davor.","She warned me about the dog, and now I have great respect for it.",Elle m’a averti du chien et maintenant j’en ai beaucoup de respect.,the respect for = der Respekt vor + Dative<br>to introduce an object of danger → vor + Dat.,le respect de = der Respekt vor + Datif<br>pour introduire un danger → vor + Dat.,vor occurs in Respekt vor etwas haben (“to have respect for something”).
31,1,"Hinter dem Vorschlag steckt eine interessante Idee, und viel Arbeit steckt _____.",dahinter,"Hinter dem Vorschlag steckt eine interessante Idee, und viel Arbeit steckt dahinter.","Behind the proposal there is an interesting idea, and a lot of work lies behind it.",Derrière la proposition se cache une idée intéressante et beaucoup de travail est derrière cela.,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,hinter expresses something underlying or hidden behind something (hinter etwas stecken).
32,1,"Hinter dieser Entscheidung steckt ein klarer Plan, und eine gute Strategie steckt _____.",dahinter,"Hinter dieser Entscheidung steckt ein klarer Plan, und eine gute Strategie steckt dahinter.","Behind this decision there is a clear plan, and a good strategy lies behind it.",Derrière cette décision se cache un plan clair et une bonne stratégie est derrière cela.,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,hinter expresses something hidden behind an action or decision.
33,1,"Das Projekt wirkt einfach, aber viel technische Arbeit steckt _____.",dahinter,"Das Projekt wirkt einfach, aber viel technische Arbeit steckt dahinter.","The project seems simple, but a lot of technical work lies behind it.","Le projet semble simple, mais beaucoup de travail technique se cache derrière cela.",general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,hinter marks the underlying effort or mechanism.
34,1,"Wir haben zwei Meetings, und ich muss schnell etwas essen _____.",dazwischen,"Wir haben zwei Meetings, und ich muss schnell etwas essen dazwischen.","We have two meetings, and I have to eat something quickly in between.",Nous avons deux réunions et je dois manger quelque chose rapidement entre les deux.,general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,zwischen marks an action happening between two others.
35,1,Er hat zwei Bücher gelesen und ein paar Artikel _____.,dazwischen,Er hat zwei Bücher gelesen und ein paar Artikel dazwischen.,He read two books and a few articles in between.,Il a lu deux livres et quelques articles entre les deux.,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,zwischen indicates elements inserted between others.
36,2,"Der Erfolg wirkt plötzlich, aber jahrelange Vorbereitung steht _____.",dahinter,"Der Erfolg wirkt plötzlich, aber jahrelange Vorbereitung steht dahinter.","The success seems sudden, but years of preparation stand behind it.","Le succès semble soudain, mais des années de préparation sont derrière cela.",general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,hinter indicates the cause or effort behind a result.
37,2,"Zwei Termine liegen sehr nah beieinander, aber ich habe noch eine kurze Pause _____.",dazwischen,"Zwei Termine liegen sehr nah beieinander, aber ich habe noch eine kurze Pause dazwischen.","Two appointments are very close together, but I still have a short break in between.","Deux rendez-vous sont très proches, mais j’ai quand même une courte pause entre les deux.",general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,zwischen expresses something located between two events.
38,2,"Die beiden Häuser stehen dicht nebeneinander, aber ein kleiner Garten liegt _____.",dazwischen,"Die beiden Häuser stehen dicht nebeneinander, aber ein kleiner Garten liegt dazwischen.","The two houses stand close to each other, but a small garden lies between them.","Les deux maisons sont très proches, mais un petit jardin se trouve entre elles.",general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,zwischen expresses physical position between two things.
39,2,Sie hat ein Problem mit dem Computer und sucht eine Lösung _____.,dagegen,Sie hat ein Problem mit dem Computer und sucht eine Lösung dagegen.,She has a problem with the computer and looks for a solution against it.,Elle a un problème avec l’ordinateur et cherche une solution contre cela.,general translation of <i>against</i> → gegen + Acc.,traduction générale de <i>contre</i> → gegen + Acc.,gegen marks counteraction against a problem.
40,2,Sie hat den Film gesehen und _____ mit ihren Freunden darüber gesprochen.,danach,Sie hat den Film gesehen und danach mit ihren Freunden darüber gesprochen.,She watched the movie and after that talked about it with her friends.,Elle a vu le film et après cela en a parlé avec ses amis.,to indicate that an event is <i>after</i> another → nach + Dat.,pour indiquer qu'un événement survient après un autre → nach + Dat.,nach indicates an event following another one.
41,2,"Sie hat mich _____ aufmerksam gemacht, dass ein Fehler im Text steht.",darauf,"Sie hat mich darauf aufmerksam gemacht, dass ein Fehler im Text steht.","She drew my attention to it, that there is a mistake in the text.","Elle a attiré mon attention là-dessus, qu’il y a une erreur dans le texte.",to be attentive to = aufmerksam auf sein + Accusative<br>to introduce an object of focus or a target → auf + Acc.,être attentif à = aufmerksam auf sein + Accusatif<br>pour introduire un objet de focalisation ou une cible → auf + Acc.,auf is used in auf etwas aufmerksam machen (“to draw attention to something”).
42,2,"Sie hat mir geholfen, und ich danke ihr _____.",dafür,"Sie hat mir geholfen, und ich danke ihr dafür.","She helped me, and I thank her for it.",Elle m’a aidé et je la remercie pour cela.,general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,für marks the reason for gratitude (danken für etwas).
43,2,"Er hat viel Geld gespendet, und wir sind ihm _____ sehr dankbar.",dafür,"Er hat viel Geld gespendet, und wir sind ihm dafür sehr dankbar.","He donated a lot of money, and we are very grateful for it.",Il a donné beaucoup d’argent et nous lui en sommes très reconnaissants pour cela.,general translation of <i>for</i> → für + Acc.,traduction générale de <i>pour</i> → für + Acc.,für indicates the cause of gratitude.
44,2,"Er hat eine interessante Idee vorgeschlagen, und wir beschäftigen uns jetzt _____.",damit,"Er hat eine interessante Idee vorgeschlagen, und wir beschäftigen uns jetzt damit.","He proposed an interesting idea, and we are now dealing with it.",Il a proposé une idée intéressante et nous nous en occupons maintenant.,"to deal with, to concern onself with, to be occupied with = beschäftigen mit + Dative<br>to introduce a subject to handle → mit + Dat.","s'occuper de, se préoccuper de, être occupé par = beschäftigen mit + Datif<br>pour introduire un sujet à gérer → mit + Dat.",
45,2,Er hat viel geübt und hat sich _____ stark verbessert.,dadurch,Er hat viel geübt und hat sich dadurch stark verbessert.,He practiced a lot and through it improved a lot.,Il a beaucoup pratiqué et grâce à cela s’est beaucoup amélioré.,to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch expresses the means or cause producing a result.
46,2,Sie hat ein neues Programm benutzt und _____ Zeit gespart.,dadurch,Sie hat ein neues Programm benutzt und dadurch Zeit gespart.,She used a new program and through it saved time.,Elle a utilisé un nouveau programme et grâce à cela a gagné du temps.,to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch indicates the method that leads to the result.
47,2,Wir haben die Regeln geändert und _____ das Problem gelöst.,dadurch,Wir haben die Regeln geändert und dadurch das Problem gelöst.,We changed the rules and by doing so solved the problem.,Nous avons changé les règles et par cela résolu le problème.,to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch shows the action that produced the effect.
48,2,Wir haben viele Daten gesammelt und eine klare Schlussfolgerung _____ gezogen.,daraus,Wir haben viele Daten gesammelt und eine klare Schlussfolgerung daraus gezogen.,We collected a lot of data and drew a clear conclusion from it.,Nous avons recueilli beaucoup de données et en avons tiré une conclusion claire.,"to indicate a local origin as opposite of ""<i>in</i>"" – <i>out of</i> → aus + Dat.","pour indiquer une origine locale comme opposé à ""<i>in</i>"" → aus + Dat.",aus indicates something derived from a source.
49,2,Sie hat ein interessantes Buch gelesen und eine gute Idee _____ entwickelt.,daraus,Sie hat ein interessantes Buch gelesen und eine gute Idee daraus entwickelt.,She read an interesting book and developed a good idea from it.,Elle a lu un livre intéressant et en a développé une bonne idée.,to develop from = entwickeln aus + Dative<br><br>to introduce an origin or a constituent → aus + Dat.,développer depuis = entwickeln aus + Datif<br><br>pour introduire une origine ou un composant → aus + Dat.,aus shows something developing out of something else.
50,2,Er hat viele Erfahrungen gemacht und viel Weisheit _____ gewonnen.,daraus,Er hat viele Erfahrungen gemacht und viel Weisheit daraus gewonnen.,He had many experiences and gained much wisdom out of it.,Il a eu beaucoup d’expériences et en a tiré beaucoup de sagesse.,"to indicate a local origin as opposite of ""<i>in</i>"" – <i>out of</i> → aus + Dat.","pour indiquer une origine locale comme opposé à ""<i>in</i>"" → aus + Dat.",aus marks the source something comes from.
51,2,"Der Vorteil des Systems liegt _____, dass es sehr einfach ist.",darin,"Der Vorteil des Systems liegt darin, dass es sehr einfach ist.",The advantage of the system lies in the fact that it is very simple.,L’avantage du système réside dans le fait qu’il est très simple.,"to lie in, to consist in = liegen in + Dative","se trouver dans, consister en = liegen in + Datif",in appears in in etwas liegen / bestehen (“to lie in something”).
52,2,Wir haben lange über das Problem gesprochen und danach noch einmal _____ nachgedacht.,darüber,Wir haben lange über das Problem gesprochen und danach noch einmal darüber nachgedacht.,We talked about the problem for a long time and then thought about it again.,Nous avons longtemps parlé du problème et ensuite nous y avons encore réfléchi.,to think about = nachdenken über + Accusative<br>to introduce a general subject → über + Acc.,réfléchir à = nachdenken über + Accusatif<br>pour introduire un sujet général → über + Acc.,über comes from verbs like über etwas nachdenken / sprechen (“to think/talk about something”).
53,2,"Wir haben viele Ideen gesammelt, und einige _____ sind wirklich gut.",davon,"Wir haben viele Ideen gesammelt, und einige davon sind wirklich gut.","We collected many ideas, and some of them are really good.",Nous avons rassemblé beaucoup d’idées et certaines d’entre elles sont vraiment bonnes.,to indicate the property or non-local origin → von + Dat.,pour indiquer la propriété ou l'origine non locale → von + Dat.,von indicates elements taken from a group.
54,2,"Er wollte den Fehler machen, aber sein Freund hat ihn _____ bewahrt.",davor,"Er wollte den Fehler machen, aber sein Freund hat ihn davor bewahrt.","He was about to make the mistake, but his friend saved him from it.","Il allait faire l’erreur, mais son ami l’en a préservé.",to protect somebody from something = bewahren vor + Accusative<br><br>to introduce an object of danger → vor + Dat.,protéger quelqu'un de quelque chose = bewahren vor + Accusatif<br><br>pour introduire un danger → vor + Dat.,vor is used in jemanden vor etwas bewahren (“to protect someone from something”).
55,2,"Wir haben ein Problem, und wir suchen jetzt eine Lösung _____.",dazu,"Wir haben ein Problem, und wir suchen jetzt eine Lösung dazu.",We have a problem and are now looking for a solution to it.,Nous avons un problème et nous cherchons maintenant une solution à cela.,to indicate a general aim or purpose with a nominalized verb → zu + Dat.,pour indiquer un but ou un objectif général avec un verbe nominalisé → zu + Dat.,zu marks a relation or fitting response to something.
56,2,"Er hat mir alles genau erklärt, und _____ habe ich es verstanden.",dadurch,"Er hat mir alles genau erklärt, und dadurch habe ich es verstanden.","He explained everything carefully to me, and because of that I understood it.",Il m’a tout expliqué en détail et grâce à cela j’ai compris.,to describe a mechanism explaining an outcome → durch + Acc.,pour décrire un mécanisme expliquant un résultat → durch + Acc.,durch marks the cause enabling the outcome.
57,2,"Ich habe eine gute Idee, und ich möchte noch etwas _____ sagen.",dazu,"Ich habe eine gute Idee, und ich möchte noch etwas dazu sagen.","I have a good idea, and I would like to add something to it.",J’ai une bonne idée et je voudrais encore ajouter quelque chose à cela.,"to say something about, to comment about = sagen zu + Dative","dire quelque chose à propos de, commenter à propos de = sagen zu + Datif",zu expresses addition to something already mentioned (etwas zu etwas sagen).
58,2,"Er hat viele Argumente genannt, aber ich habe nichts _____ zu sagen.",dazu,"Er hat viele Argumente genannt, aber ich habe nichts dazu zu sagen.","He mentioned many arguments, but I have nothing to say about them.","Il a mentionné beaucoup d’arguments, mais je n’ai rien à dire à ce sujet.","to say something about, to comment about = sagen zu + Dative","dire quelque chose à propos de, commenter à propos de = sagen zu + Datif",zu is used with etwas zu etwas sagen (comment on something).
59,2,"Auf der Liste stehen viele Bücher, und ein Roman von Kafka ist auch _____.",darunter,"Auf der Liste stehen viele Bücher, und ein Roman von Kafka ist auch darunter.","Many books are on the list, and a novel by Kafka is among them.","Il y a beaucoup de livres sur la liste, et un roman de Kafka est aussi parmi eux.",translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,unter expresses membership within a group (unter etwas sein).
60,2,"Im Kurs sind dreißig Studenten, und viele Austauschstudenten sind _____.",darunter,"Im Kurs sind dreißig Studenten, und viele Austauschstudenten sind darunter.","There are thirty students in the course, and many exchange students are among them.",Il y a trente étudiants dans le cours et beaucoup d’étudiants d’échange sont parmi eux.,translation of <i>among</i> to describe an element as part of a group → unter + Dat.,traduction de <i>parmi</i> pour décrire un élément comme faisant partie d'un groupe → unter + Dat.,unter indicates being part of a larger set.
61,2,Sie hat ein Stück Kuchen genommen und mir auch etwas _____ gegeben.,davon,Sie hat ein Stück Kuchen genommen und mir auch etwas davon gegeben.,She took a piece of cake and gave me some of it.,Elle a pris un morceau de gâteau et m’en a aussi donné un peu.,to indicate the property or non-local origin → von + Dat.,pour indiquer la propriété ou l'origine non locale → von + Dat.,von expresses a part taken from a whole.
62,2,Er hat Musik gehört und _____ gearbeitet.,dabei,Er hat Musik gehört und dabei gearbeitet.,He listened to music and worked while doing so.,Il a écouté de la musique et a travaillé en même temps.,"to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei expresses something happening during an activity.
63,100,Sie hat mir geholfen und _____ viel gelernt.,dabei,Sie hat mir geholfen und dabei viel gelernt.,She helped me and in the process learned a lot.,Elle m’a aidé et a appris beaucoup en même temps.,"to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei indicates something happening in the course of an action.
64,100,Er ist gestolpert und hat _____ sein Glas fallen lassen.,dabei,Er ist gestolpert und hat dabei sein Glas fallen lassen.,He stumbled and in doing so dropped his glass.,Il a trébuché et ce faisant a laissé tomber son verre.,"to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei marks something occurring during that event.
65,2,Wir haben über das Problem gesprochen und _____ eine Lösung gefunden.,dabei,Wir haben über das Problem gesprochen und dabei eine Lösung gefunden.,We talked about the problem and while doing that found a solution.,Nous avons parlé du problème et ce faisant trouvé une solution.,"to describe the context, setting, or condition → bei + Dat.","pour décrire le contexte, le cadre ou la condition → bei + Dat.",bei signals something happening during the discussion.
66,2,Ich habe eine wichtige Frage und möchte noch etwas _____ sagen.,dazu,Ich habe eine wichtige Frage und möchte noch etwas dazu sagen.,I have an important question and would like to add something about it.,J’ai une question importante et je voudrais ajouter quelque chose à ce sujet.,"to say something about, to comment about = sagen zu + Dative","dire quelque chose à propos de, commenter à propos de = sagen zu + Datif",zu used for adding a remark to a topic.
67,3,"Ich erinnere mich _____, dass wir dieses Problem schon einmal diskutiert haben.",daran,"Ich erinnere mich daran, dass wir dieses Problem schon einmal diskutiert haben.",I remember that we already discussed this problem once.,Je me souviens que nous avons déjà discuté de ce problème.,"to recall, to remember = sich erinnern an + Accusative<br>to introduce the subject of a thought, with mental focus → an + Acc.","se rappeler, se souvenir = sich erinnern an + Accusatif<br>pour introduire le sujet d'une pensée, avec un effort mentale → an + Acc.",an from sich erinnern an etwas.
68,3,"Viele Experten arbeiten seit Jahren _____, dass das System stabiler wird.",daran,"Viele Experten arbeiten seit Jahren daran, dass das System stabiler wird.",Many experts have been working for years to ensure that the system becomes more stable.,Beaucoup d’experts travaillent depuis des années à ce que le système devienne plus stable.,to work on = arbeiten an + Dative<br>to introduce an ongoing activity → an + Dat.,travailler sur = arbeiten an + Datif<br>pour introduire une activité en cours → an + Dat.,an from an etwas arbeiten (working toward something).
