Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,case_english,case_french
35,1,_____ dem Schlafengehen lese ich ein Buch.,Vor,Vor dem Schlafengehen lese ich ein Buch.,I read a book before going to bed.,Je lis un livre avant d'aller me coucher.,to indicate that an event is before another → vor + Dat.,pour indiquer qu'un événement est antérieur à un autre → vor + Dat.,,
36,1,Von Montag _____ Freitag arbeite ich.,bis,Von Montag bis Freitag arbeite ich.,I work from Monday to Friday.,Je travaille du lundi au vendredi.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
37,1,Von acht _____ zehn Uhr habe ich Deutschkurs.,bis,Von acht bis zehn Uhr habe ich Deutschkurs.,I have a German course from eight to ten o'clock.,J'ai un cours d'allemand de huit heures à dix heures.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
38,1,Von Januar _____ März ist es kalt.,bis,Von Januar bis März ist es kalt.,It's cold from January to March.,Il fait froid de janvier à mars.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
39,1,Von morgens _____ abends bin ich unterwegs.,bis,Von morgens bis abends bin ich unterwegs.,I'm on the road from morning to night.,Je suis sur la route du matin au soir.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
40,1,Von Mai _____ September ist das Freibad geöffnet.,bis,Von Mai bis September ist das Freibad geöffnet.,The outdoor pool is open from May to September.,La piscine extérieure est ouverte de mai à septembre.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
41,1,Der Kurs geht _____ 9 bis 12 Uhr.,von,Der Kurs geht von 9 bis 12 Uhr.,The course runs from 9 to 12 o’clock.,Le cours se déroule de 9h à 12h.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
42,1,Ich arbeite _____ Montag bis Freitag.,von,Ich arbeite von Montag bis Freitag.,I work from Monday to Friday.,Je travaille du lundi au vendredi.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
43,1,_____ April bis Juni ist das Wetter meistens schön.,Von,Von April bis Juni ist das Wetter meistens schön.,"From April to June, the weather is usually nice.","D'avril à juin, le temps est généralement agréable.",translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
44,1,Der Film läuft _____ 18 bis 20 Uhr.,von,Der Film läuft von 18 bis 20 Uhr.,The movie runs from 6 to 8 PM.,Le film est projeté de 18h à 20h.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
45,1,Ich habe _____ 2015 bis 2020 in Berlin gelebt.,von,Ich habe von 2015 bis 2020 in Berlin gelebt.,I lived in Berlin from 2015 to 2020.,J'ai vécu à Berlin de 2015 à 2020.,translation of the combination <i>from ... to ...</i> → von + Dat. ... bis + Acc.,traduction de la combinaison temporelle <i>de ... à ...</i> → von + Dat. ... bis + Acc.,,
46,1,_____ 8 und 9 Uhr frühstücke ich.,Zwischen,Zwischen 8 und 9 Uhr frühstücke ich.,"Between 8 and 9 o’clock, I have breakfast.","Entre 8 et 9 heures, je prends mon petit déjeuner.",general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,,
47,1,Der Zug kommt _____ 14 und 15 Uhr an.,zwischen,Der Zug kommt zwischen 14 und 15 Uhr an.,The train arrives between 2 and 3 PM.,Le train arrive entre 14h et 15h.,general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,,
48,1,_____ Montag und Freitag arbeite ich viel.,Zwischen,Zwischen Montag und Freitag arbeite ich viel.,"Between Monday and Friday, I work a lot.","Entre le lundi et le vendredi, je travaille beaucoup.",general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,,
49,1,Die Pause ist _____ den zwei Unterrichtsstunden.,zwischen,Die Pause ist zwischen den zwei Unterrichtsstunden.,The break is between the two lessons.,La pause est entre les deux leçons.,general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,,
50,1,_____ Weihnachten und Neujahr habe ich Urlaub.,Zwischen,Zwischen Weihnachten und Neujahr habe ich Urlaub.,"Between Christmas and New Year, I have vacation.","Entre Noël et le Nouvel An, j'ai des vacances.",general translation of <i>between</i> in a temporal context→ zwischen + Dat.,traduction générale de <i>entre</i> dans un contexte temporel → zwischen + Dat.,,
51,2,Das Bild hängt _____ der Wand.,an,Das Bild hängt an der Wand.,The picture is hanging on the wall.,Le tableau est accroché au mur.,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,,
52,2,Das Bild hängt _____ der Tür.,an,Das Bild hängt an der Tür.,The picture hangs on the door.,Le tableau est accroché à la porte.,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,,
53,2,Ein Zettel klebt _____ dem Schrank.,an,Ein Zettel klebt an dem Schrank.,A note is stuck to the closet.,Une note est collée sur le placard.,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,,
54,2,Die Uhr hängt _____ der Wand.,an,Die Uhr hängt an der Wand.,The clock is hanging on the wall.,L'horloge est accrochée au mur.,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,,
55,2,Der Spiegel ist _____ der Tür.,an,Der Spiegel ist an der Tür.,The mirror is on the door.,Le miroir est sur la porte.,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,,
56,2,Das Buch liegt _____ dem Tisch.,auf,Das Buch liegt auf dem Tisch.,The book is on the table.,Le livre est sur la table.,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,,
57,2,Die Katze sitzt _____ dem Sofa.,auf,Die Katze sitzt auf dem Sofa.,The cat is sitting on the sofa.,Le chat est assis sur le canapé.,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,,
58,2,Das Handy ist _____ dem Bett.,auf,Das Handy ist auf dem Bett.,The phone is on the bed.,Le téléphone est sur le lit.,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,,
59,2,Die Blumen stehen _____ dem Fensterbrett.,auf,Die Blumen stehen auf dem Fensterbrett.,The flowers are on the windowsill.,Les fleurs sont sur le rebord de la fenêtre.,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,,
60,2,Mein Laptop liegt _____ dem Schreibtisch.,auf,Mein Laptop liegt auf dem Schreibtisch.,My laptop is on the desk.,Mon ordinateur portable est sur le bureau.,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,,
61,2,Ich bin _____ meinem Freund.,bei,Ich bin bei meinem Freund.,I am at my friend’s place.,Je suis chez mon ami.,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,,
62,2,Ich wohne _____ meiner Familie.,bei,Ich wohne bei meiner Familie.,I live with my family.,Je vis avec ma famille.,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,,
63,2,_____ uns ist es warm.,Bei,Bei uns ist es warm.,"At our place, it is warm.","Chez nous, il fait chaud.",to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,,
64,2,Wir sind _____ unseren Großeltern.,bei,Wir sind bei unseren Großeltern.,We are at our grandparents' place.,Nous sommes chez nos grands-parents.,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,,
65,2,Er bleibt heute _____ mir zu Hause.,bei,Er bleibt heute bei mir zu Hause.,He is staying at my place today.,Il reste chez moi aujourd'hui.,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,,
66,2,Der Garten ist _____ dem Haus.,hinter,Der Garten ist hinter dem Haus.,The garden is behind the house.,Le jardin est derrière la maison.,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,,
67,2,Die Katze versteckt sich _____ der Tür.,hinter,Die Katze versteckt sich hinter der Tür.,The cat is hiding behind the door.,Le chat se cache derrière la porte.,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,,
68,2,Mein Auto steht _____ der Garage.,hinter,Mein Auto steht hinter der Garage.,My car is behind the garage.,Ma voiture est derrière le garage.,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,,
69,2,Das Kino ist _____ dem Supermarkt.,hinter,Das Kino ist hinter dem Supermarkt.,The cinema is behind the supermarket.,Le cinéma est derrière le supermarché.,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,,
70,2,Der Ball liegt _____ dem Sofa.,hinter,Der Ball liegt hinter dem Sofa.,The ball is behind the sofa.,La balle est derrière le canapé.,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,,
71,2,Das Auto steht _____ dem Haus.,vor,Das Auto steht vor dem Haus.,The car is in front of the house.,La voiture est devant la maison.,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,,
72,2,Der Bus hält _____ der Schule.,vor,Der Bus hält vor der Schule.,The bus stops in front of the school.,Le bus s'arrête devant l'école.,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,,
73,2,Ich warte _____ dem Kino.,vor,Ich warte vor dem Kino.,I am waiting in front of the cinema.,J'attends devant le cinéma.,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,,
74,2,Die Katze sitzt _____ der Tür.,vor,Die Katze sitzt vor der Tür.,The cat is sitting in front of the door.,Le chat est assis devant la porte.,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,,
75,2,Der Park ist _____ dem Hotel.,vor,Der Park ist vor dem Hotel.,The park is in front of the hotel.,Le parc est en face de l'hôtel.,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,,
76,2,Das Buch ist _____ der Tasche.,in,Das Buch ist in der Tasche.,The book is in the bag.,Le livre est dans le sac.,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",,
77,2,Ich bin _____ der Schule.,in,Ich bin in der Schule.,I am at school.,Je suis à l'école.,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",,
78,2,Die Schuhe stehen _____ der Ecke.,in,Die Schuhe stehen in der Ecke.,The shoes are in the corner.,Les chaussures sont dans le coin.,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",,
79,2,Er sitzt _____ seinem Zimmer.,in,Er sitzt in seinem Zimmer.,He is sitting in his room.,Il est assis dans sa chambre.,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",,
80,2,Die Milch ist _____ Kühlschrank.,im,Die Milch ist im Kühlschrank.,The milk is in the fridge.,Le lait est dans le réfrigérateur.,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",,
81,2,Der Stuhl steht _____ dem Tisch.,neben,Der Stuhl steht neben dem Tisch.,The chair is next to the table.,La chaise est à côté de la table.,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,,
82,2,Die Bank ist _____ dem Supermarkt.,neben,Die Bank ist neben dem Supermarkt.,The bank is next to the supermarket.,La banque est à côté du supermarché.,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,,
83,2,Mein Haus ist _____ der Schule.,neben,Mein Haus ist neben der Schule.,My house is next to the school.,Ma maison est à côté de l'école.,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,,
84,2,Die Lampe steht _____ dem Bett.,neben,Die Lampe steht neben dem Bett.,The lamp is next to the bed.,La lampe est à côté du lit.,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,,
85,2,Der Parkplatz ist _____ dem Kino.,neben,Der Parkplatz ist neben dem Kino.,The parking lot is next to the cinema.,Le parking est à côté du cinéma.,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,,
86,2,Die Lampe hängt _____ dem Tisch.,über,Die Lampe hängt über dem Tisch.,The lamp is hanging over the table.,La lampe est suspendue au-dessus de la table.,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,,
87,2,Das Bild ist _____ dem Sofa.,über,Das Bild ist über dem Sofa.,The picture is above the sofa.,L'image est au dessus du canapé.,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,,
88,2,Die Brücke ist _____ dem Fluss.,über,Die Brücke ist über dem Fluss.,The bridge is over the river.,Le pont est au-dessus de la rivière.,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,,
89,2,Die Uhr hängt _____ der Tür.,über,Die Uhr hängt über der Tür.,The clock is hanging above the door.,L'horloge est accrochée au-dessus de la porte.,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,,
90,2,Das Flugzeug kreist _____ der Stadt.,über,Das Flugzeug kreist über der Stadt.,The plane circles over the city.,L'avion tourne au-dessus de la ville.,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,,
91,2,Die Tasche liegt _____ dem Tisch.,unter,Die Tasche liegt unter dem Tisch.,The bag is under the table.,Le sac est sous la table.,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,,
92,2,Der Hund schläft _____ dem Bett.,unter,Der Hund schläft unter dem Bett.,The dog is sleeping under the bed.,Le chien dort sous le lit.,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,,
93,2,Die Schuhe stehen _____ dem Stuhl.,unter,Die Schuhe stehen unter dem Stuhl.,The shoes are under the chair.,Les chaussures sont sous la chaise.,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,,
94,2,Das Buch ist _____ der Jacke.,unter,Das Buch ist unter der Jacke.,The book is under the jacket.,Le livre est sous la jaquette.,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,,
95,2,Die Katze versteckt sich _____ der Couch.,unter,Die Katze versteckt sich unter der Couch.,The cat is hiding under the couch.,Le chat se cache sous le canapé.,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,,
96,2,Der Tisch steht _____ dem Sofa und dem Stuhl.,zwischen,Der Tisch steht zwischen dem Sofa und dem Stuhl.,The table is between the sofa and the chair.,La table est entre le canapé et la chaise.,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,,
97,2,Die Lampe hängt _____ den Regalen.,zwischen,Die Lampe hängt zwischen den Regalen.,The lamp is hanging between the shelves.,La lampe est suspendue entre les étagères.,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,,
98,2,Mein Auto ist _____ zwei anderen Autos geparkt.,zwischen,Mein Auto ist zwischen zwei anderen Autos geparkt.,My car is parked between two other cars.,Ma voiture est garée entre deux autres voitures.,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,,
99,2,Das Café liegt _____ dem Supermarkt und der Bank.,zwischen,Das Café liegt zwischen dem Supermarkt und der Bank.,The café is between the supermarket and the bank.,Le café se trouve entre le supermarché et la banque.,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,,
100,2,Das Buch ist _____ den Heften auf dem Tisch.,zwischen,Das Buch ist zwischen den Heften auf dem Tisch.,The book is between the notebooks on the table.,Le livre est entre les cahiers sur la table.,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,,
101,3,Sie hängt das Bild _____ die Wand.,an,Sie hängt das Bild an die Wand.,She hangs the picture on the wall.,Elle accroche le tableau au mur.,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,,
