Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
24,2,Seine Konzentration _____ das Spiel ließ keine Ablenkung zu.,auf,Seine Konzentration auf das Spiel ließ keine Ablenkung zu.,His concentration on the game allowed no distraction.,Sa concentration sur le jeu ne laissait aucune distraction.,,,die Konzentration auf,the concentration on = die Konzentration auf + Accusative,la concentration sur = die Konzentration auf + Accusatif,to introduce an object of focus or a target → auf,pour introduire un objet de focalisation ou une cible → auf,the concentration on = die Konzentration auf + Accusative<br><br>to introduce an object of focus or a target → auf,la concentration sur = die Konzentration auf + Accusatif<br><br>pour introduire un objet de focalisation ou une cible → auf
25,2,Die Übersetzung _____ dem Englischen war sehr präzise.,aus,Die Übersetzung aus dem Englischen war sehr präzise.,The translation from English was very precise.,La traduction de l'anglais était très précise.,,,die Übersetzung aus,the translation from = die Übersetzung aus + Dative,"la traduction de, depuis = die Übersetzung aus + Datif",to introduce an origin or a constituent → aus,pour introduire une origine ou un composant → aus,the translation from = die Übersetzung aus + Dative<br><br>to introduce an origin or a constituent → aus,"la traduction de, depuis = die Übersetzung aus + Datif<br><br>pour introduire une origine ou un composant → aus"
26,2,Seine Übersetzung _____ dem Spanischen wurde gelobt.,aus,Seine Übersetzung aus dem Spanischen wurde gelobt.,His translation from Spanish was praised.,Sa traduction de l’espagnol a été saluée.,,,die Übersetzung aus,the translation from = die Übersetzung aus + Dative,"la traduction de, depuis = die Übersetzung aus + Datif",to introduce an origin or a constituent → aus,pour introduire une origine ou un composant → aus,the translation from = die Übersetzung aus + Dative<br><br>to introduce an origin or a constituent → aus,"la traduction de, depuis = die Übersetzung aus + Datif<br><br>pour introduire une origine ou un composant → aus"
27,2,Ihre Übersetzung _____ dem Französischen klingt besonders natürlich.,aus,Ihre Übersetzung aus dem Französischen klingt besonders natürlich.,Her translation from French sounds especially natural.,Sa traduction du français sonne particulièrement naturelle.,,,die Übersetzung aus,the translation from = die Übersetzung aus + Dative,"la traduction de, depuis = die Übersetzung aus + Datif",to introduce an origin or a constituent → aus,pour introduire une origine ou un composant → aus,the translation from = die Übersetzung aus + Dative<br><br>to introduce an origin or a constituent → aus,"la traduction de, depuis = die Übersetzung aus + Datif<br><br>pour introduire une origine ou un composant → aus"
28,2,Die Entscheidung _____ den Umzug fiel schwer.,für,Die Entscheidung für den Umzug fiel schwer.,The decision to move was difficult.,La décision de déménager a été difficile.,,,die Entscheidung für,"the decision to, the decision in favor of = die Entscheidung für + Accusative",la décision de = die Entscheidung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,"the decision to, the decision in favor of = die Entscheidung für + Accusative<br><br>to introduce an endorsement or an approval → für",la décision de = die Entscheidung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
29,2,Ihre Entscheidung _____ das Studium wurde gut überlegt.,für,Ihre Entscheidung für das Studium wurde gut überlegt.,Her decision to study was well-considered.,Sa décision d’étudier était bien réfléchie.,,,die Entscheidung für,"the decision to, the decision in favor of = die Entscheidung für + Accusative",la décision de = die Entscheidung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,"the decision to, the decision in favor of = die Entscheidung für + Accusative<br><br>to introduce an endorsement or an approval → für",la décision de = die Entscheidung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
30,2,Seine Entscheidung _____ den neuen Job war schnell getroffen.,für,Seine Entscheidung für den neuen Job war schnell getroffen.,His decision in favor of the new job was made quickly.,Sa décision en faveur du nouveau travail a été prise rapidement.,,,die Entscheidung für,"the decision to, the decision in favor of = die Entscheidung für + Accusative",la décision de = die Entscheidung für + Accusatif,to introduce an endorsement or an approval → für,pour introduire une approbation ou un accord → für,"the decision to, the decision in favor of = die Entscheidung für + Accusative<br><br>to introduce an endorsement or an approval → für",la décision de = die Entscheidung für + Accusatif<br><br>pour introduire une approbation ou un accord → für
31,2,Die Entscheidung _____ den Vorschlag fiel einstimmig aus.,gegen,Die Entscheidung gegen den Vorschlag fiel einstimmig aus.,The decision against the proposal was unanimous.,La décision contre la proposition a été unanime.,,,die Entscheidung gegen,the decision against = die Entscheidung gegen + Accusative,la décision contre = die Entscheidung gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the decision against = die Entscheidung gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,la décision contre = die Entscheidung gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
32,2,Seine Entscheidung _____ das Angebot überraschte alle.,gegen,Seine Entscheidung gegen das Angebot überraschte alle.,His decision against the offer surprised everyone.,Sa décision contre l’offre a surpris tout le monde.,,,die Entscheidung gegen,the decision against = die Entscheidung gegen + Accusative,la décision contre = die Entscheidung gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the decision against = die Entscheidung gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,la décision contre = die Entscheidung gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
33,2,Ihre Entscheidung _____ das Projekt sorgte für Diskussionen.,gegen,Ihre Entscheidung gegen das Projekt sorgte für Diskussionen.,Her decision against the project sparked discussions.,Sa décision contre le projet a suscité des discussions.,,,die Entscheidung gegen,the decision against = die Entscheidung gegen + Accusative,la décision contre = die Entscheidung gegen + Accusatif,to introduce a rejection or an opposition → gegen,pour introduire un rejet ou une opposition → gegen,the decision against = die Entscheidung gegen + Accusative<br><br>to introduce a rejection or an opposition → gegen,la décision contre = die Entscheidung gegen + Accusatif<br><br>pour introduire un rejet ou une opposition → gegen
34,2,Die Übersetzung _____ mehrere Sprachen ist geplant.,in,Die Übersetzung in mehrere Sprachen ist geplant.,The translation into several languages is planned.,La traduction en plusieurs langues est prévue.,,,die Übersetzung in,the translation into = die Übersetzung in + Accusative,la traduction en = die Übersetzung in + Accusatif,to introduce a transformation → in,pour introduire une transformation → in,the translation into = die Übersetzung in + Accusative<br><br>to introduce a transformation → in,la traduction en = die Übersetzung in + Accusatif<br><br>pour introduire une transformation → in
35,2,Seine Übersetzung _____ Deutsche war sehr präzise.,ins,Seine Übersetzung ins Deutsche war sehr präzise.,His translation into German was very precise.,Sa traduction en allemand était très précise.,,,die Übersetzung in,the translation into = die Übersetzung in + Accusative,la traduction en = die Übersetzung in + Accusatif,to introduce a transformation → in,pour introduire une transformation → in,the translation into = die Übersetzung in + Accusative<br><br>to introduce a transformation → in,la traduction en = die Übersetzung in + Accusatif<br><br>pour introduire une transformation → in
36,2,Ihre Übersetzung _____ Italienische wurde im Unterricht verwendet.,ins,Ihre Übersetzung ins Italienische wurde im Unterricht verwendet.,Her translation into Italian was used in class.,Sa traduction en italien a été utilisée en classe.,,,die Übersetzung in,the translation into = die Übersetzung in + Accusative,la traduction en = die Übersetzung in + Accusatif,to introduce a transformation → in,pour introduire une transformation → in,the translation into = die Übersetzung in + Accusative<br><br>to introduce a transformation → in,la traduction en = die Übersetzung in + Accusatif<br><br>pour introduire une transformation → in
37,2,Die Diskussion _____ den Kollegen führte zu neuen Ideen.,mit,Die Diskussion mit den Kollegen führte zu neuen Ideen.,The discussion with the colleagues led to new ideas.,La discussion avec les collègues a conduit à de nouvelles idées.,,,die Diskussion mit,the discussion with = die Diskussion mit + Dative,la discussion avec = die Diskussion mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the discussion with = die Diskussion mit + Dative<br><br>to introduce a partner → mit,la discussion avec = die Diskussion mit + Datif<br><br>pour introduire un partenaire → mit
38,2,Seine Diskussion _____ dem Chef war produktiv.,mit,Seine Diskussion mit dem Chef war produktiv.,His discussion with the boss was productive.,Sa discussion avec le patron a été productive.,,,die Diskussion mit,the discussion with = die Diskussion mit + Dative,la discussion avec = die Diskussion mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the discussion with = die Diskussion mit + Dative<br><br>to introduce a partner → mit,la discussion avec = die Diskussion mit + Datif<br><br>pour introduire un partenaire → mit
39,2,Ihre Diskussion _____ den Studierenden war sehr inspirierend.,mit,Ihre Diskussion mit den Studierenden war sehr inspirierend.,Her discussion with the students was very inspiring.,Sa discussion avec les étudiants était très inspirante.,,,die Diskussion mit,the discussion with = die Diskussion mit + Dative,la discussion avec = die Diskussion mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the discussion with = die Diskussion mit + Dative<br><br>to introduce a partner → mit,la discussion avec = die Diskussion mit + Datif<br><br>pour introduire un partenaire → mit
40,2,Das Spiel _____ der neuen Strategie war erfolgreich.,mit,Das Spiel mit der neuen Strategie war erfolgreich.,The game with the new strategy was successful.,Le jeu avec la nouvelle stratégie a été un succès.,,,das Spiel mit,the game with = das Spiel mit + Dative,le jeu avec = das Spiel mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the game with = das Spiel mit + Dative<br><br>to introduce a partner → mit,le jeu avec = das Spiel mit + Datif<br><br>pour introduire un partenaire → mit
41,2,Ihr Spiel _____ dem Ball faszinierte die Zuschauer.,mit,Ihr Spiel mit dem Ball faszinierte die Zuschauer.,Her game with the ball fascinated the spectators.,Son jeu avec le ballon a fasciné les spectateurs.,,,das Spiel mit,the game with = das Spiel mit + Dative,le jeu avec = das Spiel mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the game with = das Spiel mit + Dative<br><br>to introduce a partner → mit,le jeu avec = das Spiel mit + Datif<br><br>pour introduire un partenaire → mit
42,2,Sein Spiel _____ den Farben machte das Bild lebendig.,mit,Sein Spiel mit den Farben machte das Bild lebendig.,His play with the colors made the painting come alive.,Son jeu avec les couleurs a donné vie à la peinture.,,,das Spiel mit,the game with = das Spiel mit + Dative,le jeu avec = das Spiel mit + Datif,to introduce a partner → mit,pour introduire un partenaire → mit,the game with = das Spiel mit + Dative<br><br>to introduce a partner → mit,le jeu avec = das Spiel mit + Datif<br><br>pour introduire un partenaire → mit
43,2,Die Frage _____ der Zukunft des Projekts bleibt offen.,nach,Die Frage nach der Zukunft des Projekts bleibt offen.,The question about the project's future remains open.,La question de l’avenir du projet reste ouverte.,,,die Frage nach,the question about = die Frage nach + Dative,"la question à propos de, la question sur = die Frage nach + Datif",to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the question about = die Frage nach + Dative<br><br>to introduce the object of a search or a desire → nach,"la question à propos de, la question sur = die Frage nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach"
44,2,Seine Frage _____ den Details wurde klar beantwortet.,nach,Seine Frage nach den Details wurde klar beantwortet.,His question about the details was answered clearly.,Sa question sur les détails a reçu une réponse claire.,,,die Frage nach,the question about = die Frage nach + Dative,"la question à propos de, la question sur = die Frage nach + Datif",to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the question about = die Frage nach + Dative<br><br>to introduce the object of a search or a desire → nach,"la question à propos de, la question sur = die Frage nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach"
45,2,Ihre Frage _____ dem Termin wurde sofort beantwortet.,nach,Ihre Frage nach dem Termin wurde sofort beantwortet.,Her question about the date was answered immediately.,Sa question sur la date a été répondue immédiatement.,,,die Frage nach,the question about = die Frage nach + Dative,"la question à propos de, la question sur = die Frage nach + Datif",to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the question about = die Frage nach + Dative<br><br>to introduce the object of a search or a desire → nach,"la question à propos de, la question sur = die Frage nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach"
46,2,Die Suche _____ einem passenden Kandidaten dauert an.,nach,Die Suche nach einem passenden Kandidaten dauert an.,The search for a suitable candidate continues.,La recherche d’un candidat approprié se poursuit.,,,die Suche nach,the search for = die Suche nach + Dative,la recherche de = die Suche nach + Datif,to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the search for = die Suche nach + Dative<br><br>to introduce the object of a search or a desire → nach,la recherche de = die Suche nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach
47,2,Ihre Suche _____ einer neuen Wohnung war erfolgreich.,nach,Ihre Suche nach einer neuen Wohnung war erfolgreich.,Her search for a new apartment was successful.,Sa recherche d’un nouvel appartement a été fructueuse.,,,die Suche nach,the search for = die Suche nach + Dative,la recherche de = die Suche nach + Datif,to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the search for = die Suche nach + Dative<br><br>to introduce the object of a search or a desire → nach,la recherche de = die Suche nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach
48,2,Seine Suche _____ der Wahrheit wurde schließlich belohnt.,nach,Seine Suche nach der Wahrheit wurde schließlich belohnt.,His search for the truth was eventually rewarded.,Sa recherche de la vérité a finalement été récompensée.,,,die Suche nach,the search for = die Suche nach + Dative,la recherche de = die Suche nach + Datif,to introduce the object of a search or a desire → nach,pour introduire l'objet d'une recherche ou d'un désir → nach,the search for = die Suche nach + Dative<br><br>to introduce the object of a search or a desire → nach,la recherche de = die Suche nach + Datif<br><br>pour introduire l'objet d'une recherche ou d'un désir → nach
49,2,Der Ärger _____ die neue Regelung wächst täglich.,über,Der Ärger über die neue Regelung wächst täglich.,The anger about the new regulation grows daily.,La colère à l’égard de la nouvelle réglementation grandit de jour en jour.,,,der Ärger über,the anger about = der Ärger über + Accusative,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif",to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the anger about = der Ärger über + Accusative<br><br>to introduce an emotional theme → über,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif<br><br>pour introduire un thème émotionnel → über"
50,2,Ihr Ärger _____ die Verzögerungen war deutlich zu spüren.,über,Ihr Ärger über die Verzögerungen war deutlich zu spüren.,Her anger about the delays was clearly noticeable.,Sa colère face aux retards était clairement perceptible.,,,der Ärger über,the anger about = der Ärger über + Accusative,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif",to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the anger about = der Ärger über + Accusative<br><br>to introduce an emotional theme → über,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif<br><br>pour introduire un thème émotionnel → über"
51,2,Sein Ärger _____ den Fehler verging nach kurzer Zeit.,über,Sein Ärger über den Fehler verging nach kurzer Zeit.,His anger about the mistake faded after a short time.,Sa colère à propos de l’erreur s’est dissipée après peu de,,,der Ärger über,the anger about = der Ärger über + Accusative,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif",to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the anger about = der Ärger über + Accusative<br><br>to introduce an emotional theme → über,"la colère à propos de, la colère à l'égard de = der Ärger über + Accusatif<br><br>pour introduire un thème émotionnel → über"
52,2,Ihr Glück _____ die gute Nachricht war ansteckend.,über,Ihr Glück über die gute Nachricht war ansteckend.,Her happiness about the good news was contagious.,Sa joie face à la bonne nouvelle était contagieuse.,,,das Glück über,the happiness about = das Glück über + Accusative,le bonheur à propos de = das Glück über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the happiness about = das Glück über + Accusative<br><br>to introduce an emotional theme → über,le bonheur à propos de = das Glück über + Accusatif<br><br>pour introduire un thème émotionnel → über
53,2,Das Glück _____ den gelungenen Abschluss konnte er nicht verbergen.,über,Das Glück über den gelungenen Abschluss konnte er nicht verbergen.,He could not hide his happiness about the successful conclusion.,Il ne pouvait cacher sa joie quant à la conclusion heureuse de l'affaire.,,,das Glück über,the happiness about = das Glück über + Accusative,le bonheur à propos de = das Glück über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the happiness about = das Glück über + Accusative<br><br>to introduce an emotional theme → über,le bonheur à propos de = das Glück über + Accusatif<br><br>pour introduire un thème émotionnel → über
54,2,Sein Glück _____ den Sieg war in seinem Gesicht deutlich zu sehen.,über,Sein Glück über den Sieg war in seinem Gesicht deutlich zu sehen.,His happiness about the victory was clearly visible on his face.,Son bonheur à propos de la victoire se voyait clairement sur son visage.,,,das Glück über,the happiness about = das Glück über + Accusative,le bonheur à propos de = das Glück über + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,the happiness about = das Glück über + Accusative<br><br>to introduce an emotional theme → über,le bonheur à propos de = das Glück über + Accusatif<br><br>pour introduire un thème émotionnel → über
