Nr,exercise,question,answer,german,english,french,case_english,case_french,combination,explanation_verb_english,explanation_verb_french,explanation_preposition_english,explanation_preposition_french,explanation_english,explanation_french
24,2,Das Geld ist nicht genug _____ den Urlaub.,für,Das Geld ist nicht genug für den Urlaub.,The money is not enough for the vacation.,L’argent n’est pas suffisant pour les vacances.,,,genug für sein,to be enough for = genug für sein + Accusative,"être assez pour, être suffisant pour = genug für sein + Accusatif","to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be enough for = genug für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être assez pour, être suffisant pour = genug für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
25,2,Drei Stunden sind genug _____ die Vorbereitung.,für,Drei Stunden sind genug für die Vorbereitung.,Three hours are enough for the preparation.,Trois heures sont suffisantes pour la préparation.,,,genug für sein,to be enough for = genug für sein + Accusative,"être assez pour, être suffisant pour = genug für sein + Accusatif","to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be enough for = genug für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être assez pour, être suffisant pour = genug für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
26,2,Dieses Essen ist genug _____ vier Personen.,für,Dieses Essen ist genug für vier Personen.,This food is enough for four people.,Ce repas est suffisant pour quatre personnes.,,,genug für sein,to be enough for = genug für sein + Accusative,"être assez pour, être suffisant pour = genug für sein + Accusatif","to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be enough for = genug für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être assez pour, être suffisant pour = genug für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
27,2,Sie ist sehr gut _____ Mathematik.,in,Sie ist sehr gut in Mathematik.,She is very good in math.,Elle est très bonne en mathématiques.,,,gut in sein,to be good in = gut in sein + Dative,être bon en = gut in sein + Datif,to introduce an area of expertise → in,pour introduire un domaine d'expertise → dans,to be good in = gut in sein + Dative<br><br>to introduce an area of expertise → in,être bon en = gut in sein + Datif<br><br>pour introduire un domaine d'expertise → dans
28,2,Mein Bruder ist gut _____ Sprachen und lernt schnell.,in,Mein Bruder ist gut in Sprachen und lernt schnell.,My brother is good in languages and learns quickly.,Mon frère est bon en langues et apprend vite.,,,gut in sein,to be good in = gut in sein + Dative,être bon en = gut in sein + Datif,to introduce an area of expertise → in,pour introduire un domaine d'expertise → dans,to be good in = gut in sein + Dative<br><br>to introduce an area of expertise → in,être bon en = gut in sein + Datif<br><br>pour introduire un domaine d'expertise → dans
29,2,Bist du gut _____ Kochen oder eher im Backen?,in,Bist du gut in Kochen oder eher im Backen?,Are you good in cooking or rather in baking?,Es-tu bon en cuisine ou plutôt en pâtisserie ?,,,gut in sein,to be good in = gut in sein + Dative,être bon en = gut in sein + Datif,to introduce an area of expertise → in,pour introduire un domaine d'expertise → dans,to be good in = gut in sein + Dative<br><br>to introduce an area of expertise → in,être bon en = gut in sein + Datif<br><br>pour introduire un domaine d'expertise → dans
30,2,Ich bin sehr interessiert _____ moderner Kunst.,an,Ich bin sehr interessiert an moderner Kunst.,I am very interested in modern art.,Je suis très intéressé par l’art moderne.,,,interessiert an sein,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif,,,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif
31,2,Sie ist interessiert _____ Politik und liest jeden Tag die Nachrichten.,an,Sie ist interessiert an Politik und liest jeden Tag die Nachrichten.,She is interested in politics and reads the news every day.,Elle est intéressée par la politique et lit les nouvelles tous les jours.,,,interessiert an sein,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif,,,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif
32,2,Wir sind interessiert _____ einem Austauschprogramm in Deutschland.,an,Wir sind interessiert an einem Austauschprogramm in Deutschland.,We are interested in an exchange program in Germany.,Nous sommes intéressés par un programme d’échange en Allemagne.,,,interessiert an sein,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif,,,to be interested in = interessiert an sein + Dative,être intéressé par = interessiert an sein + Datif
33,2,"Diese Aufgabe ist leicht _____ mich, weil ich das Thema gut kenne.",für,"Diese Aufgabe ist leicht für mich, weil ich das Thema gut kenne.",This task is easy for me because I know the topic well.,"Cet exercice est facile pour moi, car je connais bien le sujet.",,,leicht für sein,to be easy for = leicht für sein + Accusative,être facile pour = leicht für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be easy for = leicht für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être facile pour = leicht für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
34,2,Deutsch zu sprechen ist nicht leicht _____ viele Anfänger.,für,Deutsch zu sprechen ist nicht leicht für viele Anfänger.,Speaking German is not easy for many beginners.,Parler allemand n’est pas facile pour beaucoup de débutants.,,,leicht für sein,to be easy for = leicht für sein + Accusative,être facile pour = leicht für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be easy for = leicht für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être facile pour = leicht für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
35,2,"Sport zu treiben ist leicht _____ ihn, weil er sehr fit ist.",für,"Sport zu treiben ist leicht für ihn, weil er sehr fit ist.",Doing sports is easy for him because he is very fit.,"Faire du sport est facile pour lui, car il est très en forme.",,,leicht für sein,to be easy for = leicht für sein + Accusative,être facile pour = leicht für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be easy for = leicht für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être facile pour = leicht für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
36,2,Dieses Buch ist sehr nützlich _____ das Studium.,für,Dieses Buch ist sehr nützlich für das Studium.,This book is very useful for studying.,Ce livre est très utile pour les études.,,,nützlich für sein,to be useful for = nützlich für sein + Accusative,être utile pour = nützlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be useful for = nützlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être utile pour = nützlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
37,2,Eine Fremdsprache zu lernen ist nützlich _____ die Karriere.,für,Eine Fremdsprache zu lernen ist nützlich für die Karriere.,Learning a foreign language is useful for one’s career.,Apprendre une langue étrangère est utile pour la carrière.,,,nützlich für sein,to be useful for = nützlich für sein + Accusative,être utile pour = nützlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be useful for = nützlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être utile pour = nützlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
38,2,"Diese App ist nützlich _____ Reisende, die oft unterwegs sind.",für,"Diese App ist nützlich für Reisende, die oft unterwegs sind.",This app is useful for travelers who are often on the go.,Cette application est utile pour les voyageurs qui sont souvent en déplacement.,,,nützlich für sein,to be useful for = nützlich für sein + Accusative,être utile pour = nützlich für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be useful for = nützlich für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être utile pour = nützlich für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
39,2,Ich bin offen _____ neue Ideen und Vorschläge.,für,Ich bin offen für neue Ideen und Vorschläge.,I am open to new ideas and suggestions.,Je suis ouvert aux nouvelles idées et propositions.,,,offen für sein,to be open to = offen für sein + Accusative,être ouvert à = offen für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be open to = offen für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être ouvert à = offen für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
40,2,Das Unternehmen ist offen _____ internationale Kooperationen.,für,Das Unternehmen ist offen für internationale Kooperationen.,The company is open to international cooperation.,L’entreprise est ouverte à la coopération internationale.,,,offen für sein,to be open to = offen für sein + Accusative,être ouvert à = offen für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be open to = offen für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être ouvert à = offen für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
41,2,Sie ist offen _____ Veränderungen und passt sich schnell an.,für,Sie ist offen für Veränderungen und passt sich schnell an.,She is open to change and adapts quickly.,Elle est ouverte aux changements et s’adapte rapidement.,,,offen für sein,to be open to = offen für sein + Accusative,être ouvert à = offen für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be open to = offen für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être ouvert à = offen für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
42,2,Diese Entscheidung war sehr schwierig _____ ihn.,für,Diese Entscheidung war sehr schwierig für ihn.,This decision was very difficult for him.,Cette décision a été très difficile pour lui.,,,schwierig für sein,to be difficult for = schwierig für sein + Accusative,être difficile pour = schwierig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be difficult for = schwierig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être difficile pour = schwierig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
43,2,"Es ist manchmal schwierig _____ Kinder, still zu sitzen.",für,"Es ist manchmal schwierig für Kinder, still zu sitzen.",It is sometimes difficult for children to sit still.,Il est parfois difficile pour les enfants de rester tranquilles.,,,schwierig für sein,to be difficult for = schwierig für sein + Accusative,être difficile pour = schwierig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be difficult for = schwierig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être difficile pour = schwierig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
44,2,"Die neue Aufgabe ist schwierig _____ uns, aber wir schaffen das.",für,"Die neue Aufgabe ist schwierig für uns, aber wir schaffen das.","The new task is difficult for us, but we’ll manage it.","La nouvelle tâche est difficile pour nous, mais nous allons y arriver.",,,schwierig für sein,to be difficult for = schwierig für sein + Accusative,être difficile pour = schwierig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be difficult for = schwierig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être difficile pour = schwierig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
45,2,"Er war unfreundlich _____ dem Kellner, obwohl dieser sehr höflich war.",zu,"Er war unfreundlich zu dem Kellner, obwohl dieser sehr höflich war.","He was unfriendly to the waiter, even though the waiter was very polite.","Il a été hostile envers le serveur, bien que celui-ci ait été très poli.",,,unfreundlich zu sein,"to be unfriendly to, towards = unfreundlich zu sein + Dative",être hostile envers = unfreundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be unfriendly to, towards = unfreundlich zu sein + Dative<br><br>to introduce a relationship → zu",être hostile envers = unfreundlich zu sein + Datif<br><br>pour introduire une relation → zu
46,2,Sei nicht so unfreundlich _____ deinen Mitschülern!,zu,Sei nicht so unfreundlich zu deinen Mitschülern!,Don’t be so unfriendly to your classmates!,Ne sois pas si hostile envers tes camarades de classe !,,,unfreundlich zu sein,"to be unfriendly to, towards = unfreundlich zu sein + Dative",être hostile envers = unfreundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be unfriendly to, towards = unfreundlich zu sein + Dative<br><br>to introduce a relationship → zu",être hostile envers = unfreundlich zu sein + Datif<br><br>pour introduire une relation → zu
47,2,"Die Verkäuferin war unfreundlich _____ den Kunden, weil sie gestresst war.",zu,"Die Verkäuferin war unfreundlich zu den Kunden, weil sie gestresst war.",The saleswoman was unfriendly to the customers because she was stressed.,La vendeuse était hostile envers les clients parce qu’elle était stressée.,,,unfreundlich zu sein,"to be unfriendly to, towards = unfreundlich zu sein + Dative",être hostile envers = unfreundlich zu sein + Datif,to introduce a relationship → zu,pour introduire une relation → zu,"to be unfriendly to, towards = unfreundlich zu sein + Dative<br><br>to introduce a relationship → zu",être hostile envers = unfreundlich zu sein + Datif<br><br>pour introduire une relation → zu
48,2,Sie ist unglücklich _____ das schlechte Wetter im Urlaub.,über,Sie ist unglücklich über das schlechte Wetter im Urlaub.,She is unhappy about the bad weather on vacation.,Elle est mécontente du mauvais temps pendant les vacances.,,,unglücklich über sein,to be unhappy about = unglücklich über sein + Accusative,être mécontent de = unglücklich über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be unhappy about = unglücklich über sein + Accusative<br><br>to introduce an emotional theme → über,être mécontent de = unglücklich über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
49,2,Er war unglücklich _____ seine Note in der Prüfung.,über,Er war unglücklich über seine Note in der Prüfung.,He was unhappy about his grade in the exam.,Il était mécontent de sa note à l’examen.,,,unglücklich über sein,to be unhappy about = unglücklich über sein + Accusative,être mécontent de = unglücklich über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be unhappy about = unglücklich über sein + Accusative<br><br>to introduce an emotional theme → über,être mécontent de = unglücklich über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
50,2,Wir sind unglücklich _____ die Entscheidung der Firma.,über,Wir sind unglücklich über die Entscheidung der Firma.,We are unhappy about the company’s decision.,Nous sommes mécontents de la décision de l’entreprise.,,,unglücklich über sein,to be unhappy about = unglücklich über sein + Accusative,être mécontent de = unglücklich über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be unhappy about = unglücklich über sein + Accusative<br><br>to introduce an emotional theme → über,être mécontent de = unglücklich über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
51,2,Eine gute Ausbildung ist wichtig _____ die Zukunft.,für,Eine gute Ausbildung ist wichtig für die Zukunft.,A good education is important for the future.,Une bonne formation est importante pour l’avenir.,,,wichtig für sein,to be important for = wichtig für sein + Accusative,être important pour = wichtig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be important for = wichtig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être important pour = wichtig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
52,2,Sport ist wichtig _____ die Gesundheit.,für,Sport ist wichtig für die Gesundheit.,Sport is important for health.,Le sport est important pour la santé.,,,wichtig für sein,to be important for = wichtig für sein + Accusative,être important pour = wichtig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be important for = wichtig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être important pour = wichtig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
53,2,Ehrlichkeit ist wichtig _____ eine gute Freundschaft.,für,Ehrlichkeit ist wichtig für eine gute Freundschaft.,Honesty is important for a good friendship.,L’honnêteté est importante pour une bonne amitié.,,,wichtig für sein,to be important for = wichtig für sein + Accusative,être important pour = wichtig für sein + Accusatif,"to introduce a purpose, a goal or a beneficiary → für","pour introduire un objectif, un but ou un bénéficiaire → für","to be important for = wichtig für sein + Accusative<br><br>to introduce a purpose, a goal or a beneficiary → für","être important pour = wichtig für sein + Accusatif<br><br>pour introduire un objectif, un but ou un bénéficiaire → für"
54,2,Wir sind glücklich _____ die Geburt unseres Kindes.,über,Wir sind glücklich über die Geburt unseres Kindes.,We are happy about the birth of our child.,Nous sommes heureux de la naissance de notre enfant.,,,glücklich über sein,to be happy about = glücklich über sein + Accusative,être heureux de = glücklich über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be happy about = glücklich über sein + Accusative<br><br>to introduce an emotional theme → über,être heureux de = glücklich über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
55,2,Er ist glücklich _____ die Unterstützung seiner Freunde.,über,Er ist glücklich über die Unterstützung seiner Freunde.,He is happy about the support of his friends.,Il est heureux du soutien de ses amis.,,,glücklich über sein,to be happy about = glücklich über sein + Accusative,être heureux de = glücklich über sein + Accusatif,to introduce an emotional theme → über,pour introduire un thème émotionnel → über,to be happy about = glücklich über sein + Accusative<br><br>to introduce an emotional theme → über,être heureux de = glücklich über sein + Accusatif<br><br>pour introduire un thème émotionnel → über
