Nr,exercise,original_exercise,question,answer,german,english,french,person,preposition,article,combination,case_english_,case_french_,gender_english,gender_french,explanation_english,explanation_french,case_english,case_french
18,2,2,Die Blumen stehen _____ Fensterbrett.,auf dem,Die Blumen stehen auf dem Fensterbrett.,The flowers are on the windowsill.,Les fleurs sont sur le rebord de la fenêtre.,der/die/das,auf,dem,,Dative,Datif,Neuter,Neutre,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,", Dative",", Datif"
19,3,2,Der Ball liegt _____ Sofa.,hinter dem,Der Ball liegt hinter dem Sofa.,The ball is behind the sofa.,Le ballon est derrière le canapé.,der/die/das,hinter,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,", Dative",", Datif"
20,4,2,Die Katze sitzt _____ Tür.,vor der,Die Katze sitzt vor der Tür.,The cat is sitting in front of the door.,Le chat est assis devant la porte.,der/die/das,vor,der,,Dative,Datif,Feminine,Féminin,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,", Dative",", Datif"
21,1,2,Der Park ist _____ Hotel.,vor dem,Der Park ist vor dem Hotel.,The park is in front of the hotel.,Le parc se trouve en face de l'hôtel.,der/die/das,vor,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,", Dative",", Datif"
22,2,2,Das Buch ist _____ Tasche.,in der,Das Buch ist in der Tasche.,The book is in the bag.,Le livre est dans le sac.,der/die/das,in,der,,Dative,Datif,Feminine,Féminin,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",", Dative",", Datif"
23,3,2,Ich bin _____ Schule.,in der,Ich bin in der Schule.,I am at school.,Je suis à l'école.,der/die/das,in,der,,Dative,Datif,Feminine,Féminin,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",", Dative",", Datif"
24,4,2,Die Schuhe stehen _____ Ecke.,in der,Die Schuhe stehen in der Ecke.,The shoes are in the corner.,Les chaussures sont dans le coin.,der/die/das,in,der,,Dative,Datif,Feminine,Féminin,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",", Dative",", Datif"
25,1,2,Er sitzt _____ Zimmer.,in seinem,Er sitzt in seinem Zimmer.,He is sitting in his room.,Il est assis dans sa chambre.,sein,in,seinem,,Dative,Datif,Neuter,Neutre,"to indicate that an object is located in, inside another → in + Dat.","pour indiquer qu'un objet est situé dans, à l'intérieur d'un autre → in + Dat.",", Dative",", Datif"
26,2,2,Das Flugzeug kreist _____ Stadt.,über der,Das Flugzeug kreist über der Stadt.,The plane circles over the city.,L'avion survole la ville.,der/die/das,über,der,,Dative,Datif,Feminine,Féminin,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,", Dative",", Datif"
27,3,2,Die Tasche liegt _____ Tisch.,unter dem,Die Tasche liegt unter dem Tisch.,The bag is under the table.,Le sac est sous la table.,der/die/das,unter,dem,,Dative,Datif,Masculine,Masculin,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,", Dative",", Datif"
28,4,2,Der Hund schläft _____ Bett.,unter dem,Der Hund schläft unter dem Bett.,The dog is sleeping under the bed.,Le chien dort sous le lit.,der/die/das,unter,dem,,Dative,Datif,Neuter,Neutre,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,", Dative",", Datif"
29,1,2,Die Schuhe stehen _____ Stuhl.,unter dem,Die Schuhe stehen unter dem Stuhl.,The shoes are under the chair.,Les chaussures sont sous la chaise.,der/die/das,unter,dem,,Dative,Datif,Masculine,Masculin,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,", Dative",", Datif"
30,2,2,Der Tisch steht _____ Sofa und dem Stuhl.,zwischen dem,Der Tisch steht zwischen dem Sofa und dem Stuhl.,The table is between the sofa and the chair.,La table se trouve entre le canapé et le fauteuil.,der/die/das,zwischen,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,", Dative",", Datif"
31,3,2,Das Café liegt _____ Supermarkt und der Bank.,zwischen dem,Das Café liegt zwischen dem Supermarkt und der Bank.,The café is between the supermarket and the bank.,Le café se trouve entre le supermarché et la banque.,der/die/das,zwischen,dem,,Dative,Datif,Masculine,Masculin,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,", Dative",", Datif"
32,4,2,Ein Zettel klebt _____ Schrank.,am,Ein Zettel klebt am Schrank.,A note is stuck to the closet.,Un mot est collé sur le placard.,der/die/das,an,dem,,Dative,Datif,Masculine,Masculin,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,", Dative",", Datif"
33,1,2,Der Spiegel ist _____ Tür.,an der,Der Spiegel ist an der Tür.,The mirror is on the door.,Le miroir est sur la porte.,der/die/das,an,der,,Dative,Datif,Feminine,Féminin,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,", Dative",", Datif"
34,2,2,Das Buch liegt _____ Tisch.,auf dem,Das Buch liegt auf dem Tisch.,The book is on the table.,Le livre est sur la table.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,", Dative",", Datif"
35,3,2,Das Handy ist _____ Bett.,auf dem,Das Handy ist auf dem Bett.,The phone is on the bed.,Le téléphone est sur le lit.,der/die/das,auf,dem,,Dative,Datif,Neuter,Neutre,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,", Dative",", Datif"
36,4,2,Ich bin _____ Freund.,bei meinem,Ich bin bei meinem Freund.,I am at my friend’s place.,Je suis chez mon ami.,mein,bei,meinem,,Dative,Datif,Masculine,Masculin,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,", Dative",", Datif"
37,1,2,Ich wohne _____ Familie.,bei meiner,Ich wohne bei meiner Familie.,I live with my family.,Je vis avec ma famille.,mein,bei,meiner,,Dative,Datif,Feminine,Féminin,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,", Dative",", Datif"
38,2,2,Wir sind _____ Großeltern.,bei unseren,Wir sind bei unseren Großeltern.,We are at our grandparents' place.,Nous sommes chez nos grands-parents.,unser,bei,unseren,,Dative,Datif,Plural,Pluriel,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,", Dative",", Datif"
39,3,2,Der Garten ist _____ Haus.,hinter dem,Der Garten ist hinter dem Haus.,The garden is behind the house.,Le jardin se trouve derrière la maison.,der/die/das,hinter,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,", Dative",", Datif"
40,4,2,Mein Auto steht _____ Garage.,hinter der,Mein Auto steht hinter der Garage.,My car is behind the garage.,Ma voiture est derrière le garage.,der/die/das,hinter,der,,Dative,Datif,Feminine,Féminin,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,", Dative",", Datif"
41,1,2,Der Stuhl steht _____ Tisch.,neben dem,Der Stuhl steht neben dem Tisch.,The chair is next to the table.,La chaise est à côté de la table.,der/die/das,neben,dem,,Dative,Datif,Masculine,Masculin,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,", Dative",", Datif"
42,2,2,Mein Haus ist _____ Schule.,neben der,Mein Haus ist neben der Schule.,My house is next to the school.,Ma maison est à côté de l'école.,der/die/das,neben,der,,Dative,Datif,Feminine,Féminin,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,", Dative",", Datif"
43,3,2,Die Lampe steht _____ Bett.,neben dem,Die Lampe steht neben dem Bett.,The lamp is next to the bed.,La lampe est à côté du lit.,der/die/das,neben,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,", Dative",", Datif"
44,4,2,Die Brücke ist _____ Fluss.,über dem,Die Brücke ist über dem Fluss.,The bridge is over the river.,Le pont enjambe la rivière.,der/die/das,über,dem,,Dative,Datif,Masculine,Masculin,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,", Dative",", Datif"
45,1,2,Die Katze versteckt sich _____ Couch.,unter der,Die Katze versteckt sich unter der Couch.,The cat is hiding under the couch.,Le chat se cache sous le canapé.,der/die/das,unter,der,,Dative,Datif,Feminine,Féminin,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,", Dative",", Datif"
46,2,2,Die Lampe hängt _____ Regalen.,zwischen den,Die Lampe hängt zwischen den Regalen.,The lamp is hanging between the shelves.,La lampe est suspendue entre les étagères.,der/die/das,zwischen,den,,Dative,Datif,Plural,Pluriel,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,", Dative",", Datif"
47,3,2,Das Buch ist _____ Heften auf dem Tisch.,zwischen den,Das Buch ist zwischen den Heften auf dem Tisch.,The book is between the notebooks on the table.,Le livre se trouve entre les cahiers sur la table.,der/die/das,zwischen,den,,Dative,Datif,Plural,Pluriel,general translation of <i>between</i> to describe a position → zwischen + Dat.,traduction générale de <i>entre</i> pour décrire une position → zwischen + Dat.,", Dative",", Datif"
48,4,2,Das Bild hängt _____ Wand.,an der,Das Bild hängt an der Wand.,The picture is hanging on the wall.,Le tableau est accroché au mur.,der/die/das,an,der,,Dative,Datif,Feminine,Féminin,to indicate that an object is located <i>on</i> a vertical area → an + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone verticale → an + Dat.,", Dative",", Datif"
49,1,2,Mein Laptop liegt _____ Schreibtisch.,auf dem,Mein Laptop liegt auf dem Schreibtisch.,My laptop is on the desk.,Mon ordinateur portable est sur le bureau.,der/die/das,auf,dem,,Dative,Datif,Masculine,Masculin,to indicate that an object is located <i>on</i> a horizontal area → auf + Dat.,pour indiquer qu'un objet est situé <i>sur</i> une zone horizontale → auf + Dat.,", Dative",", Datif"
50,2,2,_____ ist es warm.,Bei uns,Bei uns ist es warm.,"At our place, it is warm.","Chez nous, il fait chaud.",wir/uns/uns,Bei,uns,,Dative,Datif,,,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,Dative,Datif
51,3,2,Er bleibt heute _____ zu Hause.,bei mir,Er bleibt heute bei mir zu Hause.,He is staying at my place today.,Il dort chez moi aujourd'hui.,ich/mich/mir,bei,mir,,Dative,Datif,,,to indicate that someone is among other people → bei + Dat.,pour indiquer que quelqu'un est situé avec d'autres personnes → bei + Dat.,Dative,Datif
52,4,2,Die Katze versteckt sich _____ Tür.,hinter der,Die Katze versteckt sich hinter der Tür.,The cat is hiding behind the door.,Le chat se cache derrière la porte.,der/die/das,hinter,der,,Dative,Datif,Feminine,Féminin,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,", Dative",", Datif"
53,1,2,Das Kino ist _____ Supermarkt.,hinter dem,Das Kino ist hinter dem Supermarkt.,The cinema is behind the supermarket.,Le cinéma se trouve derrière le supermarché.,der/die/das,hinter,dem,,Dative,Datif,Masculine,Masculin,general translation of <i>behind</i> to describe a position → hinter + Dat.,traduction générale de <i>derrière</i> pour décrire une position → hinter + Dat.,", Dative",", Datif"
54,2,2,Das Auto steht _____ Haus.,vor dem,Das Auto steht vor dem Haus.,The car is in front of the house.,La voiture est garée devant la maison.,der/die/das,vor,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,", Dative",", Datif"
55,3,2,Der Bus hält _____ Schule.,vor der,Der Bus hält vor der Schule.,The bus stops in front of the school.,Le bus s'arrête devant l'école.,der/die/das,vor,der,,Dative,Datif,Feminine,Féminin,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,", Dative",", Datif"
56,4,2,Ich warte _____ Kino.,vor dem,Ich warte vor dem Kino.,I am waiting in front of the cinema.,J'attends devant le cinéma.,der/die/das,vor,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>in front of</i> to describe a position → vor + Dat.,traduction générale de <i>devant</i> pour décrire une position → vor + Dat.,", Dative",", Datif"
57,1,2,Die Bank ist _____ Supermarkt.,neben dem,Die Bank ist neben dem Supermarkt.,The bank is next to the supermarket.,La banque se trouve à côté du supermarché.,der/die/das,neben,dem,,Dative,Datif,Masculine,Masculin,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,", Dative",", Datif"
58,2,2,Der Parkplatz ist _____ Kino.,neben dem,Der Parkplatz ist neben dem Kino.,The parking lot is next to the cinema.,Le parking se trouve à côté du cinéma.,der/die/das,neben,dem,,Dative,Datif,Neuter,Neutre,general translation of <i>next to</i> to describe a position → neben + Dat.,traduction générale de <i>à côté de</i> pour décrire une position → neben + Dat.,", Dative",", Datif"
59,3,2,Die Lampe hängt _____ Tisch.,über dem,Die Lampe hängt über dem Tisch.,The lamp is hanging over the table.,La lampe est suspendue au-dessus de la table.,der/die/das,über,dem,,Dative,Datif,Masculine,Masculin,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,", Dative",", Datif"
60,4,2,Das Bild ist _____ Sofa.,über dem,Das Bild ist über dem Sofa.,The picture is above the sofa.,Le tableau est au-dessus du canapé.,der/die/das,über,dem,,Dative,Datif,Neuter,Neutre,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,", Dative",", Datif"
61,1,2,Die Uhr hängt _____ Tür.,über der,Die Uhr hängt über der Tür.,The clock is hanging above the door.,L'horloge est accrochée au-dessus de la porte.,der/die/das,über,der,,Dative,Datif,Feminine,Féminin,"general translation of <i>above, over</i> to describe a position → über + Dat.",traduction générale de <i>au-dessus de</i> pour décrire une position → über + Dat.,", Dative",", Datif"
62,2,2,Das Buch ist _____ Jacke.,unter der,Das Buch ist unter der Jacke.,The book is under the jacket.,Le livre est sous la jaquette.,der/die/das,unter,der,,Dative,Datif,Feminine,Féminin,"general translation of <i>below, under</i> to describe a position → unter + Dat.",traduction générale de <i>sous</i> pour décrire une position → unter + Dat.,", Dative",", Datif"
63,3,3,Sie hängt das Bild _____ Wand.,an die,Sie hängt das Bild an die Wand.,She hangs the picture on the wall.,Elle accroche le tableau au mur.,der/die/das,an,die,,Accusative,Accusatif,Feminine,Féminin,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,", Accusative",", Accusatif"
64,4,3,Sie stellt das Fahrrad _____ Mauer.,an die,Sie stellt das Fahrrad an die Mauer.,She puts the bike on the wall.,Elle pose le vélo sur le mur.,der/die/das,an,die,,Accusative,Accusatif,Feminine,Féminin,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,", Accusative",", Accusatif"
65,1,3,Er lehnt die Leiter _____ Fenster.,an das,Er lehnt die Leiter an das Fenster.,He leans the ladder on the window.,Il appuie l'échelle contre la fenêtre.,der/die/das,an,das,,Accusative,Accusatif,Neuter,Neutre,to indicate that an object is moved <i>on</i> a vertical area → an + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone verticale → an + Acc.,", Accusative",", Accusatif"
66,2,3,Er legt das Buch _____ Tisch.,auf den,Er legt das Buch auf den Tisch.,He puts the book on the table.,Il pose le livre sur la table.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,", Accusative",", Accusatif"
67,3,3,Wir steigen _____ Berg.,auf den,Wir steigen auf den Berg.,We climb up the mountain.,Nous gravissons la montagne.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,", Accusative",", Accusatif"
68,4,3,Das Kind klettert _____ Baum.,auf den,Das Kind klettert auf den Baum.,The child climbs up the tree.,L'enfant grimpe à l'arbre.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,", Accusative",", Accusatif"
69,1,3,Wir setzen das Kind _____ Stuhl.,auf den,Wir setzen das Kind auf den Stuhl.,We sit the child on the chair.,Nous installons l'enfant sur la chaise.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,", Accusative",", Accusatif"
70,2,3,Du stellst die Tasche _____ Boden.,auf den,Du stellst die Tasche auf den Boden.,You put the bag on the floor.,Vous posez le sac par terre.,der/die/das,auf,den,,Accusative,Accusatif,Masculine,Masculin,to indicate that an object is moved <i>onto</i> a horizontal area → auf + Acc.,pour indiquer qu'un objet est déplacé <i>sur</i> une zone horizontale → auf + Acc.,", Accusative",", Accusatif"
71,3,3,Wir steigen _____ Zug.,aus dem,Wir steigen aus dem Zug.,We get off the train.,Nous descendons du train.,der/die/das,aus,dem,,Dative,Datif,Masculine,Masculin,"to indicate a local origin as opposite of ""in"" → aus + Dat.","pour indiquer une origine locale comme opposé à ""in"" → aus + Dat.",", Dative",", Datif"
72,4,3,Soll ich _____ kommen?,zu dir,Soll ich zu dir kommen?,Shall I come to your place?,Puis-je venir chez vous ?,du/dich/dir,zu,dir,,Dative,Datif,,,to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,Dative,Datif
73,1,3,Nach der Schule läuft Anna _____ Bruder.,zu ihrem,Nach der Schule läuft Anna zu ihrem Bruder.,"After school, Anna runs to her brother's house.","Après l'école, Anna court chez son frère.",ihr,zu,ihrem,,Dative,Datif,Masculine,Masculin,to indicate a movement towards other people → zu + Dat.,pour indiquer un mouvement vers d’autres personnes → zu + Dat.,", Dative",", Datif"
74,2,3,Ich stelle den Stuhl _____ Tür.,hinter die,Ich stelle den Stuhl hinter die Tür.,I put the chair behind the door.,J'ai mis la chaise derrière la porte.,der/die/das,hinter,die,,Accusative,Accusatif,Feminine,Féminin,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,", Accusative",", Accusatif"
75,3,3,Wir gehen _____ Haus.,hinter das,Wir gehen hinter das Haus.,We go behind the house.,Nous allons derrière la maison.,der/die/das,hinter,das,,Accusative,Accusatif,Neuter,Neutre,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,", Accusative",", Accusatif"
76,4,3,Sie stellt das Fahrrad _____ Schuppen.,hinter den,Sie stellt das Fahrrad hinter den Schuppen.,She puts the bike behind the shed.,Elle range le vélo derrière le cabanon.,der/die/das,hinter,den,,Accusative,Accusatif,Masculine,Masculin,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,", Accusative",", Accusatif"
77,1,3,Der Junge läuft _____ Baum.,hinter den,Der Junge läuft hinter den Baum.,The boy runs behind the tree.,Le garçon court derrière l'arbre.,der/die/das,hinter,den,,Accusative,Accusatif,Masculine,Masculin,general translation of <i>behind</i> to describe a direction → hinter + Acc.,traduction générale de <i>derrière</i> pour décrire une direction → hinter + Acc.,", Accusative",", Accusatif"
78,2,3,Ich stelle das Auto _____ Haus.,vor das,Ich stelle das Auto vor das Haus.,I park the car in front of the house.,Je gare la voiture devant la maison.,der/die/das,vor,das,,Accusative,Accusatif,Neuter,Neutre,general translation of <i>in front of</i> to describe a direction → vor + Acc.,traduction générale de <i>devant</i> pour décrire une direction → vor + Acc.,", Accusative",", Accusatif"
