Nr,level,question,answer,german,english,case,gender,type
176,5,Die Qualität _____ Produkte wurde geprüft.,sämtlicher,Die Qualität sämtlicher Produkte wurde geprüft.,The quality of all products has been checked.,,,
177,5,_____ Teilnehmer des Wettbewerbs müssen sich registrieren.,Sämtliche,Sämtliche Teilnehmer des Wettbewerbs müssen sich registrieren.,All participants of the competition must register.,,,
178,5,_____ Schüler hatten Schwierigkeiten mit der Aufgabe.,Einzelne,Einzelne Schüler hatten Schwierigkeiten mit der Aufgabe.,Some individual students had difficulties with the task.,,,
179,5,Ich habe _____ Seiten des Buches überflogen.,einzelne,Ich habe einzelne Seiten des Buches überflogen.,I skimmed through individual pages of the book.,,,
180,5,Mit _____ Kunden haben wir besondere Verträge.,einzelnen,Mit einzelnen Kunden haben wir besondere Verträge.,"With some individual customers, we have special contracts.",,,
181,5,Die Bedeutung _____ Wörter kann sich je nach Kontext ändern.,einzelner,Die Bedeutung einzelner Wörter kann sich je nach Kontext ändern.,The meaning of individual words can change depending on the context.,,,
182,5,_____ Menschen können große Veränderungen bewirken.,Einzelne,Einzelne Menschen können große Veränderungen bewirken.,Individual people can bring about great changes.,,,
183,5,"Hast du _____ Idee, wie wir das Problem lösen können?",irgendeine,"Hast du irgendeine Idee, wie wir das Problem lösen können?",Do you have any idea how we can solve the problem?,,,
184,5,_____ Fehler muss im System sein.,Irgendein,Irgendein Fehler muss im System sein.,There must be some error in the system.,,,
185,5,Er hat mit _____ Kollegen darüber gesprochen.,irgendeinem,Er hat mit irgendeinem Kollegen darüber gesprochen.,He talked about it with some colleague.,,,
186,5,Die Bedeutung _____ Wortes kann sich mit der Zeit ändern.,irgendeines,Die Bedeutung irgendeines Wortes kann sich mit der Zeit ändern.,The meaning of some word can change over time.,,,
187,5,"Falls _____ Problem auftritt, rufen Sie mich bitte an.",irgendein,"Falls irgendein Problem auftritt, rufen Sie mich bitte an.","If any problem occurs, please call me.",,,
188,5,_____ Frau dort ist eine berühmte Autorin.,Jene,Jene Frau dort ist eine berühmte Autorin.,That woman over there is a famous author.,,,
189,5,Ich erinnere mich noch an _____ Tag.,jenen,Ich erinnere mich noch an jenen Tag.,I still remember that day.,,,
190,5,Mit _____ Mann habe ich schon einmal gesprochen.,jenem,Mit jenem Mann habe ich schon einmal gesprochen.,I have spoken with that man before.,,,
191,5,Die Farben _____ Bilder sind beeindruckend.,jener,Die Farben jener Bilder sind beeindruckend.,The colors of those paintings are impressive.,,,
192,5,_____ Momente werde ich niemals vergessen.,Jene,Jene Momente werde ich niemals vergessen.,I will never forget those moments.,,,
193,5,_____ Situationen können sehr stressig sein.,Solche,Solche Situationen können sehr stressig sein.,Such situations can be very stressful.,,,
194,5,Ich habe _____ eine Erfahrung noch nie gemacht.,solch,Ich habe solch eine Erfahrung noch nie gemacht.,I have never had such an experience.,,,
195,5,Mit _____ Wetter habe ich nicht gerechnet.,solchem,Mit solchem Wetter habe ich nicht gerechnet.,I did not expect such weather.,,,
196,5,Die Auswirkungen _____ einer Entscheidung können groß sein.,solch,Die Auswirkungen solch einer Entscheidung können groß sein.,The effects of such a decision can be significant.,,,
197,5,Warum interessieren dich _____ komplizierte Themen?,solch,Warum interessieren dich solch komplizierte Themen?,Why are you interested in such complicated topics?,,,
198,5,Sie trägt _____ Jacke wie gestern.,dieselbe,Sie trägt dieselbe Jacke wie gestern.,She is wearing the same jacket as yesterday.,,,
199,5,Wir haben _____ Meinung über dieses Thema.,dieselbe,Wir haben dieselbe Meinung über dieses Thema.,We have the same opinion about this topic.,,,
200,5,Er arbeitet im _____ Büro wie sein Bruder.,selben,Er arbeitet im selben Büro wie sein Bruder.,He works in the same office as his brother.,,,
201,5,Die Qualität _____ Produkts kann variieren.,desselben,Die Qualität desselben Produkts kann variieren.,The quality of the same product can vary.,,,
202,5,Sie benutzen _____ Bücher für den Unterricht.,dieselben,Sie benutzen dieselben Bücher für den Unterricht.,They use the same books for class.,,,
203,5,"_____ Studien zeigen, dass Sport die Konzentration verbessert.",Mehrere,"Mehrere Studien zeigen, dass Sport die Konzentration verbessert.",Several studies show that sports improve concentration.,,,
204,5,Ich habe _____ interessante Artikel zu diesem Thema gelesen.,mehrere,Ich habe mehrere interessante Artikel zu diesem Thema gelesen.,I have read several interesting articles on this topic.,,,
205,5,Mit _____ Kollegen habe ich über das Projekt diskutiert.,mehreren,Mit mehreren Kollegen habe ich über das Projekt diskutiert.,I have discussed the project with several colleagues.,,,
206,5,Die Ergebnisse _____ Experimente waren sehr überraschend.,mehrerer,Die Ergebnisse mehrerer Experimente waren sehr überraschend.,The results of several experiments were very surprising.,,,
207,5,_____ Teilnehmer haben sich über die Organisation beschwert.,Mehrere,Mehrere Teilnehmer haben sich über die Organisation beschwert.,Several participants complained about the organization.,,,
208,5,_____ Menschen nahmen an der Demonstration teil.,Zahlreiche,Zahlreiche Menschen nahmen an der Demonstration teil.,Numerous people participated in the demonstration.,,,
209,5,Ich habe _____ interessante Artikel zu diesem Thema gefunden.,zahlreiche,Ich habe zahlreiche interessante Artikel zu diesem Thema gefunden.,I have found numerous interesting articles on this topic.,,,
210,5,Mit _____ Kollegen habe ich in den letzten Jahren zusammengearbeitet.,zahlreichen,Mit zahlreichen Kollegen habe ich in den letzten Jahren zusammengearbeitet.,I have worked with numerous colleagues over the past years.,,,
211,5,Die Qualität _____ Produkte wurde verbessert.,zahlreicher,Die Qualität zahlreicher Produkte wurde verbessert.,The quality of numerous products has been improved.,,,
212,5,Wir haben _____ Ideen für das neue Projekt entwickelt.,zahlreiche,Wir haben zahlreiche Ideen für das neue Projekt entwickelt.,We have developed numerous ideas for the new project.,,,
213,5,Im Supermarkt gibt es _____ exotische Früchte.,allerlei,Im Supermarkt gibt es allerlei exotische Früchte.,"In the supermarket, there are all kinds of exotic fruits.",,,
214,5,Ich habe _____ interessante Artikel zu diesem Thema gelesen.,allerlei,Ich habe allerlei interessante Artikel zu diesem Thema gelesen.,I have read all kinds of interesting articles on this topic.,,,
215,5,Mit _____ Menschen aus verschiedenen Ländern hat er gesprochen.,allerlei,Mit allerlei Menschen aus verschiedenen Ländern hat er gesprochen.,He has spoken with all kinds of people from different countries.,,,
216,5,Die Auswirkungen _____ Entscheidungen können unvorhersehbar sein.,allerlei,Die Auswirkungen allerlei Entscheidungen können unvorhersehbar sein.,The effects of all kinds of decisions can be unpredictable.,,,
217,5,_____ neue Ideen wurden in der Diskussion vorgeschlagen.,Allerlei,Allerlei neue Ideen wurden in der Diskussion vorgeschlagen.,All kinds of new ideas were suggested in the discussion.,,,
218,5,_____ Fragen müssen noch geklärt werden.,Folgende,Folgende Fragen müssen noch geklärt werden.,The following questions still need to be clarified.,,,
219,5,Ich habe _____ Informationen über das Thema gefunden.,folgende,Ich habe folgende Informationen über das Thema gefunden.,I have found the following information on the topic.,,,
220,5,Mit _____ Beispiel möchte ich das Problem erklären.,folgendem,Mit folgendem Beispiel möchte ich das Problem erklären.,"With the following example, I want to explain the problem.",,,
221,5,Die Meinung _____ Experten wurde berücksichtigt.,folgender,Die Meinung folgender Experten wurde berücksichtigt.,The opinion of the following experts was taken into account.,,,
222,5,Bitte beachten Sie die _____ Anweisungen.,folgenden,Bitte beachten Sie die folgenden Anweisungen.,Please follow the following instructions.,,,
223,5,"_____ Frau, die das Problem gelöst hat, verdient eine Belohnung.",Diejenige,"Diejenige Frau, die das Problem gelöst hat, verdient eine Belohnung.",The woman who solved the problem deserves a reward.,,,
224,5,"Ich habe _____ Lösung gewählt, die am besten funktioniert.",diejenige,"Ich habe diejenige Lösung gewählt, die am besten funktioniert.",I chose the solution that works best.,,,
225,5,"Er spricht oft mit _____ Kollegin, die ihm geholfen hat.",derjenigen,"Er spricht oft mit derjenigen Kollegin, die ihm geholfen hat.",He often talks to the colleague who helped him.,,,
226,5,Die Meinung _____ Person ist besonders wichtig.,derjenigen,Die Meinung derjenigen Person ist besonders wichtig.,The opinion of that person is especially important.,,,
227,5,"Nur _____ Entscheidung, die gut überlegt ist, führt zum Erfolg.",diejenige,"Nur diejenige Entscheidung, die gut überlegt ist, führt zum Erfolg.",Only the decision that is well thought out leads to success.,,,
228,5,Ich habe _____ Bücher über dieses Thema gelesen.,verschiedene,Ich habe verschiedene Bücher über dieses Thema gelesen.,I have read various books on this topic.,,,
229,5,_____ Menschen haben unterschiedliche Meinungen.,Verschiedene,Verschiedene Menschen haben unterschiedliche Meinungen.,Different people have different opinions.,,,
