Nr,level,question,answer,german,english
93,2,Er ist _____ sehr lustig.,manchmal,Er ist manchmal sehr lustig.,He is sometimes very funny.
94,2,Wir besuchen _____ unsere Grosseltern.,manchmal,Wir besuchen manchmal unsere Grosseltern.,We sometimes visit our grandparents.
95,2,_____ brauche ich eine Pause.,Manchmal,Manchmal brauche ich eine Pause.,Sometimes I need a break.
96,2,Das Geschäft ist _____ von der Bank.,rechts,Das Geschäft ist rechts von der Bank.,The shop is to the right of the bank.
97,2,Bitte biegen Sie _____ ab.,rechts,Bitte biegen Sie rechts ab.,Please turn right.
98,2,_____ gibt es einen Supermarkt.,Rechts,Rechts gibt es einen Supermarkt.,There is a supermarket on the right.
99,2,Mein Haus ist _____ neben dem Park.,rechts,Mein Haus ist rechts neben dem Park.,My house is to the right of the park.
100,2,"Schau nach _____, bevor du die Strasse überquerst.",rechts,"Schau nach rechts, bevor du die Strasse überquerst.",Look to the right before crossing the street.
101,2,_____ ist ein schöner Tag.,Heute,Heute ist ein schöner Tag.,Today is a beautiful day.
102,2,Ich gehe _____ einkaufen.,heute,Ich gehe heute einkaufen.,I am going shopping today.
103,2,Wir haben _____ keine Schule.,heute,Wir haben heute keine Schule.,We have no school today.
104,2,_____ Abend schauen wir einen Film.,Heute,Heute Abend schauen wir einen Film.,Tonight we are watching a movie.
105,2,Ich besuche meine Oma _____.,heute,Ich besuche meine Oma heute.,I am visiting my grandma today.
106,2,Ich bin _____ pünktlich.,immer,Ich bin immer pünktlich.,I am always on time.
107,2,Er ist _____ freundlich.,immer,Er ist immer freundlich.,He is always friendly.
108,2,Wir essen _____ zusammen.,immer,Wir essen immer zusammen.,We always eat together.
109,2,Das Wetter ist hier _____ schön.,immer,Das Wetter ist hier immer schön.,The weather is always nice here.
110,2,Ich trinke _____ Kaffee am Morgen.,immer,Ich trinke immer Kaffee am Morgen.,I always drink coffee in the morning.
111,2,Ich komme _____ zurück.,bald,Ich komme bald zurück.,I will be back soon.
112,2,Wir sehen uns _____ wieder.,bald,Wir sehen uns bald wieder.,We will see each other again soon.
113,2,Er wird _____ Vater.,bald,Er wird bald Vater.,He will be a father soon.
114,2,_____ beginnt der Sommer.,Bald,Bald beginnt der Sommer.,Summer will start soon.
115,2,Das Essen ist _____ fertig.,bald,Das Essen ist bald fertig.,The food will be ready soon.
116,2,Dieses Kleid ist _____ teuer für mich.,zu,Dieses Kleid ist zu teuer für mich.,This dress is too expensive for me.
117,2,Er ist _____ interessiert an diesem Thema.,zu,Er ist zu interessiert an diesem Thema.,He is too interested in this topic.
118,2,Ich liebe dieses Lied _____ sehr.,zu,Ich liebe dieses Lied zu sehr.,I love this song too much.
119,2,Der Kaffee ist _____ heiß zum Trinken.,zu,Der Kaffee ist zu heiß zum Trinken.,The coffee is too hot to drink.
120,2,Diese Aufgabe ist _____ schwer für mich.,zu,Diese Aufgabe ist zu schwer für mich.,This task is too difficult for me.
121,2,Ich esse _____ mein Frühstück.,gerade,Ich esse gerade mein Frühstück.,I am eating my breakfast right now.
122,2,Sie telefoniert _____ mit ihrer Mutter.,gerade,Sie telefoniert gerade mit ihrer Mutter.,She is talking to her mother on the phone right now.
123,2,Er liest _____ ein Buch.,gerade,Er liest gerade ein Buch.,He is reading a book right now.
124,2,Wir schauen _____ einen Film.,gerade,Wir schauen gerade einen Film.,We are watching a movie right now.
125,2,Was machst du _____?,gerade,Was machst du gerade?,What are you doing right now?
126,2,Gehen Sie _____ und dann nach rechts.,geradeaus,Gehen Sie geradeaus und dann nach rechts.,Go straight ahead and then turn right.
127,2,Fahren Sie _____ bis zur nächsten Ampel.,geradeaus,Fahren Sie geradeaus bis zur nächsten Ampel.,Drive straight ahead until the next traffic light.
128,2,"Der Bahnhof ist _____, nur 500 Meter entfernt.",geradeaus,"Der Bahnhof ist geradeaus, nur 500 Meter entfernt.","The train station is straight ahead, just 500 meters away."
129,2,"Laufen Sie einfach _____, dann sehen Sie das Café.",geradeaus,"Laufen Sie einfach geradeaus, dann sehen Sie das Café.","Just walk straight ahead, then you will see the café."
130,2,"Wenn du _____ gehst, kommst du zum Park.",geradeaus,"Wenn du geradeaus gehst, kommst du zum Park.","If you go straight ahead, you will reach the park."
131,2,Ich gehe _____ ins Kino.,selten,Ich gehe selten ins Kino.,I rarely go to the cinema.
132,2,Er isst _____ Süßigkeiten.,selten,Er isst selten Süßigkeiten.,He rarely eats sweets.
133,2,Wir haben _____ Schnee im Winter.,selten,Wir haben selten Schnee im Winter.,We rarely have snow in winter.
134,2,Sie trägt _____ hohe Schuhe.,selten,Sie trägt selten hohe Schuhe.,She rarely wears high heels.
135,2,Mein Bruder ruft mich _____ an.,selten,Mein Bruder ruft mich selten an.,My brother rarely calls me.
136,2,"Ich komme _____, warte bitte eine Minute.",gleich,"Ich komme gleich, warte bitte eine Minute.","I’ll come right away, please wait a minute."
137,2,"Der Film beginnt _____, also beeil dich!",gleich,"Der Film beginnt gleich, also beeil dich!","The movie is starting soon, so hurry up!"
138,2,Kannst du mir _____ helfen?,gleich,Kannst du mir gleich helfen?,Can you help me right away?
139,2,"Der Bus fährt _____ ab, wir müssen uns beeilen.",gleich,"Der Bus fährt gleich ab, wir müssen uns beeilen.","The bus is leaving soon, we have to hurry."
140,2,Ich rufe dich _____ zurück.,gleich,Ich rufe dich gleich zurück.,I'll call you back right away.
141,2,Ich bin _____ fertig.,schon,Ich bin schon fertig.,I am already done.
142,2,Hast du das _____ gesehen?,schon,Hast du das schon gesehen?,Have you seen that already?
143,2,Er ist _____ nach Hause gegangen.,schon,Er ist schon nach Hause gegangen.,He has already gone home.
144,2,Wir haben das _____ besprochen.,schon,Wir haben das schon besprochen.,We have already discussed that.
145,2,Bist du _____ wach?,schon,Bist du schon wach?,Are you already awake?
146,2,_____ gehe ich heute ins Kino.,Vielleicht,Vielleicht gehe ich heute ins Kino.,Maybe I will go to the cinema today.
147,2,Er kommt _____ später.,vielleicht,Er kommt vielleicht später.,He might come later.
148,2,_____ regnet es morgen.,Vielleicht,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.
149,2,Wir sehen uns _____ am Wochenende.,vielleicht,Wir sehen uns vielleicht am Wochenende.,Maybe we will see each other on the weekend.
150,2,_____ hast du recht.,Vielleicht,Vielleicht hast du recht.,Maybe you are right.
151,3,the day before yesterday,vorgestern,,
152,3,the day after tomorrow,übermorgen,,
153,3,a little,ein bisschen,,
154,3,"really, truly",wirklich,,
155,3,gladly,gern,,
156,3,again,wieder,,
157,3,inside,innen,,
158,3,outside,aussen,,
159,3,"mostly, usually",meistens,,
160,3,at least,mindestens,,
161,3,"first, at first",zuerst,,
162,3,together,zusammen,,
163,3,once,einmal,,
164,3,"still, yet",noch,,
165,3,twice,zweimal,,
166,3,unfortunately,leider,,
167,3,"earlier, previously, sooner",früher,,
168,3,"later, later on",später,,
169,3,enough,genug,,
170,3,regularly,regelmässig,,
171,3,"daily, every day",täglich,,
172,3,weekly,wöchentlich,,
173,3,monthly,monatlich,,
174,3,yearly,jährlich,,
175,3,please,bitte,,
176,4,Ich komme morgen _____.,wieder,Ich komme morgen wieder.,I will come back tomorrow.
177,4,Ich werde das nicht _____ tun,wieder,Ich werde das nicht wieder tun.,I won't do that again.
178,4,Er ist _____ gesund.,wieder,Er ist wieder gesund.,He is healthy again.
179,4,Wir sehen uns _____ nächste Woche.,wieder,Wir sehen uns wieder nächste Woche.,We will see each other again next week.
180,4,Das passiert immer _____.,wieder,Das passiert immer wieder.,That happens again and again.
181,4,Ist das _____ wahr?,wirklich,Ist das wirklich wahr?,Is that really true?
182,4,Er ist _____ sehr nett.,wirklich,Er ist wirklich sehr nett.,He is really very nice.
183,4,Ich bin _____ müde nach der Arbeit.,wirklich,Ich bin wirklich müde nach der Arbeit.,I am really tired after work.
184,4,Das Essen schmeckt _____ gut.,wirklich,Das Essen schmeckt wirklich gut.,The food tastes really good.
185,4,Ich freue mich _____ auf den Urlaub.,wirklich,Ich freue mich wirklich auf den Urlaub.,I am really looking forward to the vacation.
186,4,Das Haus sieht _____ schön aus.,aussen,Das Haus sieht aussen schön aus.,The house looks nice from the outside.
187,4,Der Balkon ist nur von _____ zugänglich.,aussen,Der Balkon ist nur von aussen zugänglich.,The balcony is only accessible from the outside.
188,4,_____ ist es heute sehr kalt.,Aussen,Aussen ist es heute sehr kalt.,It is very cold outside today.
189,4,Die Wand ist _____ rot gestrichen.,aussen,Die Wand ist aussen rot gestrichen.,The wall is painted red on the outside.
190,4,"Das Gebäude ist innen alt, aber _____ modern.",aussen,"Das Gebäude ist innen alt, aber aussen modern.",The building is old inside but modern outside.
191,4,Ich brauche _____ fünf Minuten.,noch,Ich brauche noch fünf Minuten.,I need five more minutes.
192,4,Hast du _____ Fragen?,noch,Hast du noch Fragen?,Do you have any more questions?
193,4,Wir haben _____ Zeit.,noch,Wir haben noch Zeit.,We still have time.
194,4,Ich bin _____ nicht fertig.,noch,Ich bin noch nicht fertig.,I am not finished yet.
195,4,Kannst du _____ ein Stück Kuchen essen?,noch,Kannst du noch ein Stück Kuchen essen?,Can you eat another piece of cake?
196,4,Ich kann heute _____ nicht kommen.,leider,Ich kann heute leider nicht kommen.,"Unfortunately, I can't come today."
197,4,Das Restaurant ist _____ geschlossen.,leider,Das Restaurant ist leider geschlossen.,"Unfortunately, the restaurant is closed."
198,4,Er hat _____ die Prüfung nicht bestanden.,leider,Er hat leider die Prüfung nicht bestanden.,"Unfortunately, he did not pass the exam."
199,4,Wir haben den Bus _____ verpasst.,leider,Wir haben den Bus leider verpasst.,"Unfortunately, we missed the bus."
200,4,Ich habe _____ keine Zeit.,leider,Ich habe leider keine Zeit.,"Unfortunately, I don’t have time."
201,4,Wir lernen _____ Deutsch.,zusammen,Wir lernen zusammen Deutsch.,We are learning German together.
202,4,Ich esse gern _____ mit meinen Freunden.,zusammen,Ich esse gern zusammen mit meinen Freunden.,I like eating together with my friends.
203,4,Sie arbeiten _____ an einem Projekt.,zusammen,Sie arbeiten zusammen an einem Projekt.,They are working together on a project.
204,4,Lass uns _____ spazieren gehen.,zusammen,Lass uns zusammen spazieren gehen.,Let's go for a walk together.
205,4,Wir haben _____ einen Film geschaut.,zusammen,Wir haben zusammen einen Film geschaut.,We watched a movie together.
206,4,Ich stehe _____ um sieben Uhr auf.,meistens,Ich stehe meistens um sieben Uhr auf.,I usually get up at seven o’clock.
207,4,_____ esse ich Brot zum Frühstück.,Meistens,Meistens esse ich Brot zum Frühstück.,I usually eat bread for breakfast.
208,4,Er ist _____ pünktlich.,meistens,Er ist meistens pünktlich.,He is usually punctual.
209,4,Wir fahren _____ mit dem Fahrrad zur Arbeit.,meistens,Wir fahren meistens mit dem Fahrrad zur Arbeit.,We usually go to work by bike.
210,4,_____ ist es im Sommer heiss.,Meistens,Meistens ist es im Sommer heiss.,It is usually hot in summer.
211,4,_____ trinke ich einen Kaffee.,Zuerst,Zuerst trinke ich einen Kaffee.,"First, I drink a coffee."
212,4,Er liest _____ die Zeitung.,zuerst,Er liest zuerst die Zeitung.,He reads the newspaper first.
213,4,Wir müssen _____ die Hausaufgaben machen.,zuerst,Wir müssen zuerst die Hausaufgaben machen.,We have to do the homework first.
214,4,"_____ gehen wir einkaufen, dann kochen wir.",Zuerst,"Zuerst gehen wir einkaufen, dann kochen wir.","First, we go shopping, then we cook."
215,4,Sie hat _____ mit ihrer Mutter gesprochen.,zuerst,Sie hat zuerst mit ihrer Mutter gesprochen.,She talked to her mother first.
216,4,Ich war _____ in Berlin.,einmal,Ich war einmal in Berlin.,I was in Berlin once.
217,4,Kannst du das noch _____ sagen?,einmal,Kannst du das noch einmal sagen?,Can you say that again?
218,4,Ich möchte _____ nach Japan reisen.,einmal,Ich möchte einmal nach Japan reisen.,I would like to travel to Japan one day.
219,4,Probier es _____ aus!,einmal,Probier es einmal aus!,Try it once!
220,4,Er hat das nur _____ gemacht.,einmal,Er hat das nur einmal gemacht.,He only did that once.
221,4,Ich spreche _____ Deutsch.,ein bisschen,Ich spreche ein bisschen Deutsch.,I speak a little German.
222,4,Kannst du _____ langsamer sprechen?,ein bisschen,Kannst du ein bisschen langsamer sprechen?,Can you speak a little slower?
223,4,Ich brauche _____ Hilfe.,ein bisschen,Ich brauche ein bisschen Hilfe.,I need a little help.
224,4,Wir haben noch _____ Zeit.,ein bisschen,Wir haben noch ein bisschen Zeit.,We still have a little time.
225,4,Das Essen ist _____ zu salzig.,ein bisschen,Das Essen ist ein bisschen zu salzig.,The food is a little too salty.
226,4,Ich war schon _____ in Deutschland.,zweimal,Ich war schon zweimal in Deutschland.,I have been to Germany twice.
227,4,Bitte lies den Text _____.,zweimal,Bitte lies den Text zweimal.,Please read the text twice.
228,4,Ich gehe _____ pro Woche joggen.,zweimal,Ich gehe zweimal pro Woche joggen.,I go jogging twice a week.
229,4,Er hat _____ angerufen.,zweimal,Er hat zweimal angerufen.,He called twice.
230,4,Wir sehen uns mindestens _____ im Monat.,zweimal,Wir sehen uns mindestens zweimal im Monat.,We see each other at least twice a month.
231,4,Du musst _____ acht Stunden schlafen.,mindestens,Du musst mindestens acht Stunden schlafen.,You need to sleep at least eight hours.
232,4,Ich brauche _____ eine Stunde für die Hausaufgaben.,mindestens,Ich brauche mindestens eine Stunde für die Hausaufgaben.,I need at least one hour for the homework.
233,4,Wir sollten _____ zwei Liter Wasser am Tag trinken.,mindestens,Wir sollten mindestens zwei Liter Wasser am Tag trinken.,We should drink at least two liters of water per day.
234,4,Das kostet _____ zehn Euro.,mindestens,Das kostet mindestens zehn Euro.,That costs at least ten euros.
235,4,Er bleibt _____ eine Woche in Berlin.,mindestens,Er bleibt mindestens eine Woche in Berlin.,He is staying in Berlin for at least one week.
236,4,Ich esse _____ Pizza.,gern,Ich esse gern Pizza.,I like eating pizza.
237,4,Er spielt _____ Fussball.,gern,Er spielt gern Fussball.,He likes playing soccer.
238,4,Wir reisen _____.,gern,Wir reisen gern.,We like traveling.
239,4,Sie hört _____ Musik.,gern,Sie hört gern Musik.,She likes listening to music.
240,4,Ich helfe dir _____.,gern,Ich helfe dir gern.,I am happy to help you.
241,4,Das Haus sieht _____ sehr schön aus.,innen,Das Haus sieht innen sehr schön aus.,The house looks very nice inside.
242,4,Die Tasche ist _____ rot gefüttert.,innen,Die Tasche ist innen rot gefüttert.,The bag is lined with red on the inside.
243,4,Wir haben das Gebäude nur von _____ gesehen.,innen,Wir haben das Gebäude nur von innen gesehen.,We have only seen the building from the inside.
244,4,Die Jacke ist _____ sehr warm.,innen,Die Jacke ist innen sehr warm.,The jacket is very warm inside.
245,4,"Das Auto ist aussen alt, aber _____ modern.",innen,"Das Auto ist aussen alt, aber innen modern.",The car is old on the outside but modern inside.
246,4,"_____ hatte ich lange Haare, aber jetzt sind sie kurz.",Früher,"Früher hatte ich lange Haare, aber jetzt sind sie kurz.","I used to have long hair, but now it is short."
247,4,"Er hat _____ in Berlin gewohnt, aber jetzt lebt er in München.",früher,"Er hat früher in Berlin gewohnt, aber jetzt lebt er in München.","He used to live in Berlin, but now he lives in Munich."
248,4,"_____ gab es hier einen kleinen Laden, aber jetzt ist dort ein Supermarkt.",Früher,"Früher gab es hier einen kleinen Laden, aber jetzt ist dort ein Supermarkt.","There used to be a small shop here, but now there is a supermarket."
249,4,Meine Grosseltern haben _____ ohne Internet gelebt.,früher,Meine Grosseltern haben früher ohne Internet gelebt.,My grandparents used to live without the internet.
250,4,"_____ bin ich jeden Tag Fahrrad gefahren, aber jetzt nehme ich den Bus.",Früher,"Früher bin ich jeden Tag Fahrrad gefahren, aber jetzt nehme ich den Bus.","I used to ride my bike every day, but now I take the bus."
251,4,"Ich habe nicht _____ Geld, um mir ein neues Handy zu kaufen.",genug,"Ich habe nicht genug Geld, um mir ein neues Handy zu kaufen.",I don’t have enough money to buy a new phone.
252,4,"Er hat _____ Zeit, um die Aufgabe in Ruhe zu erledigen.",genug,"Er hat genug Zeit, um die Aufgabe in Ruhe zu erledigen.",He has enough time to complete the task calmly.
253,4,Wir haben _____ Essen für alle Gäste vorbereitet.,genug,Wir haben genug Essen für alle Gäste vorbereitet.,We have prepared enough food for all the guests.
254,4,"Sie spricht schon gut Deutsch, aber sie möchte noch nicht _____ üben.",genug,"Sie spricht schon gut Deutsch, aber sie möchte noch nicht genug üben.","She already speaks good German, but she doesn’t want to practice enough yet."
255,4,"Das Hotel war günstig, aber das Zimmer war nicht gross _____.",genug,"Das Hotel war günstig, aber das Zimmer war nicht gross genug.","The hotel was cheap, but the room wasn’t big enough."
256,4,"Ich habe jetzt keine Zeit, aber ich rufe dich _____ an.",später,"Ich habe jetzt keine Zeit, aber ich rufe dich später an.","I don’t have time now, but I will call you later."
257,4,Er möchte _____ als Arzt arbeiten.,später,Er möchte später als Arzt arbeiten.,He wants to work as a doctor later.
258,4,Wir treffen uns _____ im Café.,später,Wir treffen uns später im Café.,We will meet later at the café.
259,4,"Sie hat die Prüfung nicht bestanden, aber sie kann sie _____ wiederholen.",später,"Sie hat die Prüfung nicht bestanden, aber sie kann sie später wiederholen.","She didn’t pass the exam, but she can retake it later."
260,4,"Ich mache meine Hausaufgaben _____, jetzt habe ich keine Lust.",später,"Ich mache meine Hausaufgaben später, jetzt habe ich keine Lust.","I will do my homework later, I don’t feel like it now."
261,4,_____ war ich im Kino mit meinen Freunden.,Vorgestern,Vorgestern war ich im Kino mit meinen Freunden.,"The day before yesterday, I was at the cinema with my friends."
262,4,Es hat _____ den ganzen Tag geregnet.,vorgestern,Es hat vorgestern den ganzen Tag geregnet.,It rained all day the day before yesterday.
263,4,Ich habe ihn _____ in der Stadt getroffen.,vorgestern,Ich habe ihn vorgestern in der Stadt getroffen.,I met him in the city the day before yesterday.
264,4,_____ hatten wir eine wichtige Besprechung im Büro.,Vorgestern,Vorgestern hatten wir eine wichtige Besprechung im Büro.,"The day before yesterday, we had an important meeting at the office."
265,4,Meine Großeltern sind _____ aus dem Urlaub zurückgekommen.,vorgestern,Meine Großeltern sind vorgestern aus dem Urlaub zurückgekommen.,My grandparents returned from vacation the day before yesterday.
266,4,_____ haben wir eine wichtige Prüfung in der Schule.,Übermorgen,Übermorgen haben wir eine wichtige Prüfung in der Schule.,"The day after tomorrow, we have an important exam at school."
267,4,Meine Eltern kommen übermorgen aus dem Urlaub zurück.,Übermorgen,Meine Eltern kommen übermorgen aus dem Urlaub zurück.,My parents are coming back from vacation the day after tomorrow.
268,4,Wir fahren übermorgen in die Berge zum Wandern.,Übermorgen,Wir fahren übermorgen in die Berge zum Wandern.,We are going to the mountains for a hike the day after tomorrow.
269,4,_____ beginnt das neue Semester an der Universität.,Übermorgen,Übermorgen beginnt das neue Semester an der Universität.,The new semester at the university starts the day after tomorrow.
270,4,"Ich muss übermorgen früh aufstehen, weil ich einen Termin habe.",Übermorgen,"Ich muss übermorgen früh aufstehen, weil ich einen Termin habe.",I have to get up early the day after tomorrow because I have an appointment.
271,4,Ich gehe _____ ins Fitnessstudio.,regelmässig,Ich gehe regelmässig ins Fitnessstudio.,I go to the gym regularly.
272,4,Er besucht seine Großeltern _____.,regelmässig,Er besucht seine Großeltern regelmässig.,He visits his grandparents regularly.
273,4,Wir treffen uns _____ zum Lernen.,regelmässig,Wir treffen uns regelmässig zum Lernen.,We meet regularly to study.
274,4,Sie geht _____ zum Zahnarzt.,regelmässig,Sie geht regelmässig zum Zahnarzt.,She goes to the dentist regularly.
275,4,_____ Sport zu treiben ist gesund.,Regelmässig,Regelmässig Sport zu treiben ist gesund.,Exercising regularly is healthy.
276,4,Ich trinke _____ eine Tasse Kaffee.,täglich,Ich trinke täglich eine Tasse Kaffee.,I drink a cup of coffee daily.
277,4,Er fährt _____ mit dem Fahrrad zur Arbeit.,täglich,Er fährt täglich mit dem Fahrrad zur Arbeit.,He rides his bike to work every day.
278,4,Wir bekommen _____ viele E-Mails.,täglich,Wir bekommen täglich viele E-Mails.,We receive many emails daily.
279,4,Sie geht _____ eine Stunde spazieren.,täglich,Sie geht täglich eine Stunde spazieren.,She goes for a walk for an hour every day.
280,4,"_____ übe ich mein Deutsch, um besser zu werden.",Täglich,"Täglich übe ich mein Deutsch, um besser zu werden.",I practice my German daily to improve.
281,4,Ich besuche meine Großeltern _____.,wöchentlich,Ich besuche meine Großeltern wöchentlich.,I visit my grandparents weekly.
282,4,Er geht _____ zum Fußballtraining.,wöchentlich,Er geht wöchentlich zum Fußballtraining.,He goes to football training weekly.
