Nr,level,answer,question
131,4,anmelden,"to register, to sign up"
132,4,lassen,"to let, to leave, to allow"
133,4,verlassen,"to leave, to trust with something (refl.), to pass away, to die"
134,4,helfen,to help
135,4,bewegen,to move
136,4,versprechen,"to promise, to hope for, to misspeak"
137,4,hängen,"to hang, to be fond of, depend on"
138,4,mieten,"to rent, to hire"
139,4,rauchen,to smoke (e.g. a cigarette)
140,4,sterben,to die
141,4,heiraten,to marry
142,4,kämpfen,"to fight, to struggle"
143,4,fehlen,"to lack, to be absent/missing"
144,4,sorgen,"to care, to worry"
145,4,stecken,"to stick, to pin"
146,4,überraschen,to surprise
147,4,vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent"
148,4,stehlen,to steal
149,4,stimmen,"to be true, to vote, to tune"
150,4,entscheiden,to decide
151,4,vermissen,to miss something/someone
152,4,werfen,to throw
153,4,erkennen,"to recognise, to realise"
154,4,teilen,"to split, to share, to divide"
155,4,bauen,to build
156,4,melden,"to report, to register"
157,4,brechen,to break
158,4,steigen,"to ascend, to climb, to rise"
159,4,singen,to sing
160,4,empfehlen,"to recommend, to suggest"
161,5,aufmachen,"to open (coll.), to head/move off (refl.), to undo something"
162,5,vertrauen,to trust
163,5,verändern,"to alter, to change something"
164,5,bitten,"to ask, to request"
165,5,besitzen,"to own, to possess, to have"
166,5,merken,"to notice, to realise, to remember (refl.)"
167,5,stören,"to disturb, to interfere"
168,5,annehmen,"to accept, to assume (a hypothesis), to receive, to suppose"
169,5,übernehmen,to take over
170,5,stattfinden,"to take place, to occur"
171,5,fangen,to catch
172,5,enthalten,"to contain, to include"
173,5,dienen,"to serve, to function"
174,5,verschwinden,"to disappear, to get lost"
175,5,schützen,"to defend (lawyer), to protect (sunprotection)"
176,5,nennen,"to name, to call someone something, to mention"
177,5,schätzen,"to appreciate, to evaluate, to guess"
178,5,erwarten,"to expect, to await"
179,5,drehen,"to turn, to veer"
180,5,behalten,to keep
181,5,verpassen,"to miss (to be late for something, e.g. a train)"
182,5,schenken,"to gift, to give as a present"
183,5,wachsen,"to grow, to increase"
184,5,springen,"to spring, to jump"
185,5,befinden,"to be located (refl.), to find, to consider (formal)"
186,5,raten,"to advise, to recommend, to guess"
187,5,verbieten,"to forbid, to prohibit (with dative)"
188,5,fallen,"to fall, to fall in battle, to collapse"
189,5,kümmern,"to take care (refl.), to trouble, to concern"
190,5,drücken,"to press, to push"
191,5,vergleichen,to compare
192,5,putzen,"to clean, to rub"
193,5,einkaufen,to shop
194,5,veröffentlichen,"to publish, to release"
195,5,testen,"to test, to examine"
196,5,lösen,"to loosen, to solve, to separate, to remove"
197,5,kontrollieren,"to control, to check"
198,5,unterstützen,"to support, to provide help"
199,5,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to"
200,5,tanzen,to dance
201,6,studieren,"to study, to go to university/college"
202,6,sinken,"to sink, to drop"
203,6,klingen,to sound
204,6,schmecken,to taste
205,6,mitteilen,"to inform, to share"
206,6,streiten,"to argue, to fight, to quarrel"
207,6,entwickeln,to develop
208,6,ersetzen,"to replace, to substitute"
209,6,leiden,"to bear, to endure, to suffer"
210,6,diskutieren,"to discuss, to debate"
211,6,rufen,"to call out, to call for help, to telephone"
212,6,vorschlagen,"to suggest, to propose"
213,6,überzeugen,"to convince, to convince oneself (refl.)"
214,6,vermuten,"to assume something is true, to suppose, suspect something"
215,6,überlegen,"to consider, to think over"
216,6,teilnehmen,"to take part, to participate"
217,6,gründen,"to found, to establish"
218,6,überprüfen,to check
219,6,beraten,"to advise, to consult"
220,6,vertreten,"to represent, to stand for"
221,6,bewerben,to apply (to a job etc.)
222,6,erstellen,"to create, to generate, to compile, to set up"
223,6,korrigieren,"to correct, to rectify, to debug"
224,6,beenden,"to finish, to complete, to terminate (relationship)"
225,6,anbieten,"to offer, to provide"
226,6,fordern,"to demand, to require"
227,6,mitnehmen,"to carry along, to pick up (something), to take away"
228,6,mitbringen,"to bring along, to bring with"
229,6,sammeln,"to collect, to gather"
230,6,aufpassen,"to watch out, to look after something, to be attentive with something"
231,6,hassen,to hate
232,6,zurückgehen,"to go back, to decline"
233,6,ärgern,to annoy oneself (refl.)
234,6,schieben,to push
235,6,kündigen,"to terminate, to cancel"
236,6,heben,"to lift, to raise"
237,6,abholen,"to pick up someone or something, to collect"
238,6,füllen,to fill
239,6,wechseln,"to replace, to change, to exchange"
240,6,wirken,"to work, to be effective, to take affect, to act"
241,7,verletzen,"to hurt, to injure, to violate (rules, laws, etc.)"
242,7,zustimmen,"to agree, to consent"
243,7,erhalten,"to receive (passively), to maintain, to save"
244,7,erlauben,to allow/permit something to someone
245,7,trennen,"to separate, part, uncouple, to disconnect, to isolate"
246,7,darstellen,"to represent, to portray"
247,7,greifen,"to grab, to seize, to reach, to capture"
248,7,entfernen,"to remove, to recede, to deviate, to desert (military)"
249,7,verlieben,to fall in love (refl.)
250,7,verdienen,to earn
251,7,aufräumen,"to tidy up, to clean up"
252,7,spülen,"to rinse, to flush toilets"
253,7,beschreiben,to describe
254,7,verbinden,"to join, to connect, to bandage"
255,7,rennen,"to race, to sprint, to run over someone (aux. with haben)"
256,7,pflanzen,to plant
257,7,beten,to pray
258,7,ausruhen,"to rest (refl.), to relax"
259,7,entspannen,"to relax (refl.), to relieve pressure"
260,7,verbringen,to spend (time)
261,7,vorhaben,to have something planned
262,7,erleben,"to experience, to witness"
263,7,malen,to paint
264,7,jagen,to hunt
265,7,erkunden,to explore
266,7,erholen,to recover
267,7,tanken,to refuel
268,7,planen,to plan
269,7,entdecken,"to discover, to spot"
270,7,fliegen,to fly
271,7,erfahren,"to experience, to find out, to learn"
272,7,enttäuschen,to disappoint
273,7,geniessen,"to enjoy (an experience), to relish"
274,7,besichtigen,"to visit, to tour"
275,7,spazieren,"to take a walk, to stroll"
276,7,wandern,"to hike, to wander"
277,7,faszinieren,to fascinate
278,7,surfen,to surf
279,7,trainieren,"to train, to coach, to work out"
280,7,erreichen,to reach
281,8,verhindern,"to prevent, to inhibit"
282,8,unterschreiben,to sign (write one's signature)
283,8,empfangen,"to receive, to welcome (formal), to greet, to conceive (biology)"
284,8,bestellen,"to order (e.g. food), to summon, to reserve"
285,8,buchen,"to book, to reserve"
286,8,liefern,"to deliver something, to provide something, to furnish"
287,8,schneiden,"to cut, to prune"
288,8,sparen,"to save up, to conserve"
289,8,mischen,to mix
290,8,ernähren,"to nourish, to feed"
291,8,bevorzugen,to prefer
292,8,braten,"to fry, to roast"
293,8,backen,to bake
294,8,grillen,"to grill, to have a barbecue"
295,8,bereiten,"to prepare something (meals, coffee, etc.), to give, to cause (pleasure, trouble, etc.)"
296,8,zubereiten,"to prepare, to cook in advance"
297,8,reservieren,to reserve
298,8,servieren,to serve (food or drinks)
299,8,betreuen,"to care for, to supervise"
300,8,entstehen,"to arise, to emerge, to develop"
301,8,aufnehmen,"to pick up, to receive, to take in, to record, to absorb"
302,8,gelten,"to be valid, to be effective, to be worth"
303,8,verbessern,"to improve, to enhance"
304,8,sichern,"to secure, to protect"
305,8,beantworten,to answer (a question)
306,8,beschäftigen,"to concern oneself with something, to take care of"
307,8,absolvieren,"to complete, to finish, to graduate"
308,8,üben,to practice
309,8,vorbereiten,"to prepare (in advance), to prepare oneself (refl.)"
310,8,weinen,"to weep, cry"
311,8,einsetzen,"to insert, to use, to appoint, to risk"
312,8,nutzen,"to use, to utilize"
313,8,warnen,to warn
314,8,klären,to clarify
315,8,besprechen,"to discuss (formal, work related)"
316,8,erhöhen,"to increase, to raise"
317,8,beschränken,"to restrict, to limit"
318,8,zwingen,"to force, to compel"
319,8,berücksichtigen,"to consider, to take into account"
320,8,übertragen,"to transfer, to transmit"
321,9,beweisen,"to prove, to demonstrate"
322,9,erfinden,"to invent, to fabricate (something untrue), to find out"
323,9,zielen,"to aim, to target"
324,9,rechnen,"to calculate, to reckon"
325,9,forschen,to research
326,9,unterrichten,"to teach, to inform"
327,9,erzielen,"to achieve, to reach a result"
328,9,bestehen,"to succeed, to pass (an exam), to consist, to insist"
329,9,abschliessen,"to complete, to end, to shut off, to lock up, to conclude (a contract, deal)"
330,9,loben,to praise
331,9,bilden,"to form, to educate oneself (refl.)"
332,9,ausbilden,to train for a profession
333,9,herausfinden,"to find something out, to discover"
334,9,konzentrieren,"to concentrate, to focus"
335,9,küssen,"to kiss, to make out"
336,9,verstecken,to hide
337,9,zurückkommen,to return (to come back)
338,9,umziehen,"to change clothes (refl.), to move house"
339,9,zerstören,to destroy
340,9,enden,to end (passive)
341,9,abgeben,"to hand something in, to emit something, to deliver something, to cede something"
342,9,töten,to kill
343,9,achten,"to respect, to regard someone, to pay attention to something"
344,9,erwachsen,"to grow up, to spring up, to accrue"
345,9,absagen,"to call off, to cancel"
346,9,gucken,"to look, to watch, to have a certain facial expression (Northern Germany)"
347,9,anschauen,"to look at, to behold, to take a look at, to watch (Bayern/Austria)"
348,9,lauten,"to sound, to read (have a certain wording), to be, to state"
349,9,spüren,to sense
350,9,atmen,to breathe
351,9,lächeln,to smile
352,9,fürchten,"to fear, to be afraid"
353,9,empfinden,to feel (emotions)
354,9,beobachten,"to watch, to observe"
355,9,riechen,"to sniff, to reek, to tolerate someone (coll.)"
356,9,duften,to smell
357,9,blicken,"to look, to glance"
358,9,anfassen,to touch
359,9,fliehen,"to flee, to diverge"
360,9,abhängen,"to leave behind, to outdistance, to uncouple, to depend"
361,10,gelingen,"to succeed, to manage"
362,10,herstellen,"to manufacture, to produce"
363,10,verteilen,"to distribute, to share"
364,10,treten,"to step, to read, to kick (a ball)"
365,10,bewältigen,"to cope with, to get over, to overcome, to manage"
366,10,ablenken,"to distract, to divert, to steer away"
367,10,meiden,to avoid (+ nouns only)
368,10,vorgeben,to pretend
369,10,decken,"to cover, to meet"
370,10,geraten,"to get into, to turn out, succeed, to thrive"
371,10,ergänzen,"to add, to complement, to supplement"
372,10,laden,"to load, to charge"
373,10,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
374,10,verursachen,to cause
375,10,schlagen,"to hit, to defeat, to beat (cooking)"
376,10,aufwachsen,"to grow up, to be raised"
377,10,zunehmen,"to gain weight, to increase"
378,10,lohnen,"to be worthwhile, to pay off"
379,10,messen,"to measure, to gauge"
380,10,scheiden,"to separate, to divorce"
381,10,entsprechen,"to correspond, to comply"
382,10,mitmachen,"to join in, to take part"
383,10,wecken,"to wake, to wake up"
384,10,abnehmen,"to decrease, to lose weight, to accept something, to pick up (of telephones)"
385,10,bewerten,"to evaluate (subjectively), to assess, to rate, to judge"
386,10,stammen,"to descend, originate, be derived"
387,10,gebären,to give birth
388,10,stossen,"to push, to thurst, to shove"
389,10,vermeiden,to avoid (+ nouns or verbs)
390,10,hervorheben,"to point out, to emphasize"
391,10,erfüllen,"to fill (with something), to fulfill, to come true"
392,10,entziehen,"to withdraw, deprive"
393,10,gewöhnen,to accustom oneself to something (refl.)
394,10,auswählen,"to select, to choose"
395,10,verzichten,"to renounce, to forgo, to do without, to waive"
396,10,begründen,"to justify, to explain"
397,10,zugeben,to admit
398,10,besorgen,"to obtain, to manage"
399,10,abfahren,"to depart, to leave, to drive along"
400,10,abbauen,"to dismantle, to deteriorate"
401,11,lügen,"to lie, to give false information (unintentionally)"
402,11,schreien,"to shout, to yell, to scream"
403,11,entschuldigen,"to excuse, to apologise"
404,11,beschweren,to complain
405,11,bestätigen,"to confirm, to corroborate"
406,11,erwähnen,to mention (to speak of something)
407,11,informieren,to inform
408,11,reagieren,"to react, to respond"
409,11,äussern,"to utter, to say, to express"
410,11,garantieren,to guarantee
411,11,kritisieren,to criticize
412,11,ankündigen,"to announce, to declare"
413,11,aussprechen,"to pronounce, express"
414,11,unterbrechen,to interrupt
415,11,zusagen,"to promise, to accept, to confirm"
416,11,nachdenken,"to think, to reflect"
417,11,zweifeln,to doubt
418,11,einstellen,"to employ someone, to adjust, to cease"
419,11,bearbeiten,to edit
420,11,vereinbaren,"to agree, to arrange"
421,11,hinweisen,"to indicate, to point out"
422,11,verwenden,to use (formal)
423,11,reinigen,to clean (formal)
424,11,geschehen,"to occur, to happen (formal)"
425,11,beteiligen,"to take part in something (formal), to consult someone"
426,11,verfügen,"to have, to possess (formal)"
427,11,benötigen,"to need, to require (formal)"
428,11,schaffen,"to create, to produce, to achieve/reach a goal"
429,11,drucken,to print
430,11,erledigen,"to finish, to take care of, to get something done"
431,11,herunterladen,to download
432,11,entlassen,"to dismiss (from a job), to fire, to release (a prisoner or patient)"
433,11,verschieben,"to move (a meeting), to postpone, to defer"
434,11,ergeben,"to produce, to arise, to result in, to turn out, to surrender (refl.)"
435,11,leiten,"to lead, to manage"
436,11,handeln,"to act, to trade, to negotiate"
437,11,schalten,"to switch, to operate"
438,11,prüfen,"to investigate, to check something, to consider"
439,11,untersuchen,"to examine, to investigate"
440,11,auswirken,to impact
441,12,entwerfen,"to design, to draw, to draft"
442,12,reparieren,to repair
443,12,unternehmen,to undertake
444,12,präsentieren,"to present, to introduce"
445,12,auswerten,"to evaluate (objectively), to analyze"
446,12,einrichten,"to set up, to install, to furnish"
447,12,anerkennen,"to acknowledge, to recognize"
448,12,verwalten,"to manage, to administer"
449,12,leisten,"to perform, to afford (refl.)"
450,12,einführen,"to introduce, to implement"
451,12,beitragen,to contribute
452,12,anwenden,"to apply (knowledge, know-how)"
453,12,versorgen,"to provide (for someone), to supply, to feed"
454,12,pflegen,"to maintain, to care for (ill/old people)"
455,12,behandeln,"to treat (medicinally), to treat (physically), to cover (a subject)"
456,12,erzeugen,"to generate, produce, to create"
457,12,installieren,"to install, to set up"
458,12,produzieren,"to produce, to manufacture"
459,12,verarbeiten,"to process, to handle"
460,12,fressen,"to devour, to eat (of an animal), to gorge, to guzzle"
461,12,analysieren,to analyse
462,12,beurteilen,to judge
463,12,fördern,"to promote, to support"
464,12,berichten,"to report, to cover, to indicate, to refer"
465,12,werben,to advertise
466,12,beeinflussen,"to influence, to affect"
467,12,zulassen,"to allow, to license (for a car)"
468,12,verurteilen,"to condemn, to sentence (law)"
469,12,senden,"to broadcast, to send"
470,12,erfolgen,"to occur, to take place"
471,12,beugen,to bow
472,12,nicken,to nod
473,12,beeindrucken,to impress someone
474,12,mitkommen,"to come with someone, to understand something"
475,12,reichen,"to suffice, to be enough"
476,12,regeln,to regulate
477,12,frieren,"to freeze, to be cold"
478,12,ordnen,"to organize, to arrange, to order"
479,12,saugen,"to suck, to vacuum, to suckle"
480,12,abziehen,"to withdraw, to go away, to move off"
481,13,leihen,"to lend, to borrow"
482,13,finanzieren,"to finance, to fund"
483,13,investieren,to invest
484,13,abheben,to withdraw (money)
485,13,überweisen,to transfer (money)
486,13,stärken,to strengthen
487,13,erleichtern,to lighten
488,13,verlängern,to extend
489,13,vertiefen,to deepen
490,13,erweitern,"to expand, to extend, to broaden"
491,13,ermöglichen,"to enable, to facilitate"
492,13,bemerken,"to notice, to remark something"
493,13,begrüssen,"to welcome, to greet"
494,13,bemühen,to make an effort
495,13,beschliessen,"to decide something, to end, to close"
496,13,beauftragen,"to instruct, to give an order"
497,13,berechnen,to calculate something
498,13,bedanken,to thank someone
499,13,beschädigen,to damage (objects)
500,13,beruhigen,to calm
501,13,betrinken,to get drunk (refl.)
502,13,wetten,to bet
503,13,meinen,"to be of the opinion, to mean"
504,13,zögern,to hesitate
505,13,bewundern,to admire
506,13,bezeichnen,"to designate, to label"
507,13,überlassen,"to relinquish, to leave something in someone's care"
508,13,schreiten,"to stride, to step, to proceed"
509,13,binden,"to bind, to tie, to tie up, to absorb"
510,13,giessen,"to pour, to cast, to water"
511,13,blühen,to bloom
512,13,lehren,"to teach, to educate"
513,13,abbrechen,"to break off, to abort, to burst off"
514,13,lenken,"to guide, to direct, to steer, to control"
515,13,tauchen,"to dive, to submerge, to disappear"
516,13,wundern,"to wonder, to be surprised"
517,13,zusammenarbeiten,to work together
518,13,zusammenstellen,to put together
519,13,übernachten,to stay overnight
520,13,überqueren,to cross
521,14,trocknen,"to dry, to dehumidify"
522,14,verwandeln,"to transform, to metamorphose, to turn something into something"
523,14,erscheinen,"to appear, to seem"
524,14,schiessen,to shoot
525,14,verraten,"to betray, to reveal"
526,14,starten,"to start (car, airplane, etc), to start a competition"
527,14,akzeptieren,to accept
528,14,fassen,to grasp
529,14,verlangen,to demand
530,14,wenden,"to turn something, to make a u-turn"
531,14,beachten,to consider
532,14,feststellen,"to ascertain, to establish"
533,14,rücken,"to move, to shift"
534,14,landen,to land (a plane)
535,14,klappen,"to clap, to fold, to work (out) (coll.)"
536,14,behaupten,"to claim, maintain, assert"
537,14,auftreten,"to appear, to perform"
538,14,vergeben,"to set (work), to forgive, to assign"
539,14,begleiten,"to accompany, to conduct, escort"
540,14,verlaufen,"to blend, to continue, to get lost (refl.), to go (well, poorly, etc.)"
541,14,umgehen,"to avoid, to go around"
542,14,engagieren,"to engage, to commit"
543,14,profitieren,"to benefit, to profit"
544,14,prägen,"to shape, to influence"
545,14,reduzieren,"to reduce, to decrease"
546,14,ablehnen,"to reject, to decline, to refuse"
547,14,angeben,"to indicate, to specify"
548,14,retten,"to save, to rescue"
549,14,ausfallen,to stand out
550,14,hinterlassen,"to leave, to leave behind, to bequeath"
551,14,anpassen,"to adjust, to adapt"
552,14,ansprechen,"to address, to speak to"
553,14,anzeigen,"to show, to display"
554,14,aufbauen,"to build up, to construct"
555,14,ausführen,"to execute, to carry out"
556,14,beantragen,"to apply for, to request"
557,14,bedienen,"to operate, to serve"
558,14,belegen,"to occupy, to reserve, to cover, to prove"
559,14,betonen,"to emphasize, to stress"
560,14,betragen,"to amount to, to come to"
561,15,betreiben,"to run, to operate"
562,15,durchführen,"to carry out, to perform"
563,15,eignen,"to suit, to be suitable"
564,15,organisieren,"to organize, to arrange"
565,15,erheben,"to raise, to collect"
566,15,errichten,"to establish, to erect"
567,15,erteilen,"to grant, to issue"
568,15,erwerben,"to acquire, to purchase"
569,15,eröffnen,"to open, to inaugurate"
570,15,festlegen,"to define, to set"
571,15,fliessen,"to flow, to run"
572,15,gelangen,"to reach, to get to"
573,15,gestalten,"to shape, to design"
574,15,gewährleisten,"to ensure, to guarantee"
575,15,integrieren,"to integrate, to incorporate"
576,15,löschen,"to delete, to erase"
577,15,scheitern,to fail
578,15,speichern,"to save, to store"
579,15,sperren,"to block, to lock"
580,15,steigern,"to increase, to boost"
581,15,steuern,"to control, to steer"
582,15,umsetzen,"to implement, to put into practice"
583,15,unterscheiden,"to distinguish, to differentiate"
584,15,veranstalten,"to organize, to host"
585,15,verbreiten,"to spread, to distribute"
586,15,verfassen,"to compose, to write"
587,15,verleihen,"to award, to grant"
588,15,vermitteln,"to mediate, to convey"
589,15,verpflichten,"to oblige, to commit"
590,15,verfolgen,"to pursue, to persecute, to trace"
591,15,weisen,"to show, to indicate"
592,15,widmen,"to dedicate, to devote"
593,15,unterhalten,"to maintain, to entertain, to converse (refl.)"
594,15,aufregen,"to annoy, to upset (refl.)"
595,15,klingeln,to ring (to produce the sound of a bell or a similar sound)
596,15,telefonieren,to telephone
597,15,reiten,"to ride, to ride on the back of someone/something"
598,15,schweigen,"to be silent, to remain silent"
599,15,verbrennen,"to burn, to incinerate, to burn oneself, to scorch (miltary)"
600,15,verabschieden,"to disband, to see someone off, to say goodbye (refl.), to adopt (a law, etc.)"
601,16,aussteigen,"to exit, to get off"
602,16,stoppen,to stop a movement (vehicle / person)
603,16,zuhören,to listen to someone/something (with dative)
604,16,brennen,"to burn, to have a strong affection for, to induce pain"
605,16,ausrichten,"to align, to arrange, to organize"
606,16,wiegen,"to weight, to balance"
607,16,ausfüllen,"to complete, to fill in, to fill out"
608,16,ausgeben,"to spend, to expend, to issue"
609,16,ausreichen,"to suffice, to be sufficient, to be adequate"
610,16,austauschen,"to exchange, to replace, to swap"
611,16,einnehmen,"to capture, to earn, to ingest"
612,16,einschalten,"to switch on, to intervene, to turn on"
613,16,einziehen,"to move in, to penetrate, to infiltrate"
614,16,fotografieren,"to take a photo, to photograph"
615,16,protestieren,"to protest, to object"
616,16,realisieren,"to realize, to implement, to actualize"
617,16,unterstreichen,"to underline, to emphasize, to highlight"
618,16,verbrauchen,"to consume, to use"
619,16,vorlesen,"to read aloud, to read out"
620,16,zusammenfassen,"to summarize, to condense, to abstract"
621,16,aufführen,"to perform, to present"
622,16,erschrecken,"to be frightened, to frighten"
623,16,einsteigen,"to enter, to get in, to board"
624,16,markieren,"to mark, to highlight"
625,16,begehen,"to commit, perpetrate (a crime, an offence)"
626,16,kriegen,"to get after asking or fighting, to wage war"
627,16,ertragen,"to bear, to stand"
628,16,verhaften,"to detain, to take into custody"
629,16,begegnen,"to encounter (with dative), to meet"
630,16,wagen,"to venture, to dare, to risk, to jeopardise"
631,16,zurückziehen,"to withdraw, to pull back, to retreat"
632,16,schaden,"to damage, to harm (someone)"
633,16,umdrehen,to turn around
634,16,zitieren,"to cite, to quote"
635,16,anhalten,"to stop (cease moving), to continue, to compel"
636,16,absehen,"to foresee, to overlook, to disregard"
637,16,zusehen,"to watch, to see, to make sure (that something happens)"
638,16,auffallen,"to stand out, to catch someone's eye (with dative)"
639,16,begeistern,"to enthuse, to be enthusiastic (refl.)"
640,16,aufgeben,"to give up on, to give up (refl.), to abandon"
641,100,existieren,to exist
642,100,basieren,to base
643,100,packen,"to pack, to grab, to manage"
644,100,bewahren,"to keep, to preserve (to maintain the condition of)"
645,100,verzeihen,"to forgive, to pardon, to excuse"
646,100,bestrafen,to punish
647,100,stinken,to stink
648,100,berühren,to touch
649,100,bekämpfen,to fight against something
650,100,anstellen,"to queue (refl.), to employ someone, to get into mischief"
651,100,aktivieren,"to activate, to enable"
652,100,auftauchen,"to arise, to surface, to turn up"
653,100,einfallen,"to collapse, to come to mind"
654,100,aussuchen,"to select, to choose, to pick"
655,100,streichen,"to stroke, to cancel, to spread, to rub, to paint"
656,100,verhandeln,to negotiate
657,100,verhalten,"to behave (refl.), to act (refl.), to press (coll.)"
658,100,übertreiben,"to exaggerate, to overdo"
659,100,stürzen,"to fall, to rush, to throw, to overturn, to overthrow something"
660,100,festhalten,"to hold someone/something, to retain something, to record something, to detain"
661,100,bedrohen,"to threaten, to menace"
662,100,irren,to err
663,100,weitermachen,"go on, keep going, continue to do something"
664,100,anschliessen,"to join, to attach, to affiliate, to connect"
665,100,bewirken,"to bring about, to cause, to effect"
666,100,einfügen,"to insert, to infix, to conform"
667,100,erfordern,"to require, to demand, to necessitate"
668,100,ergreifen,"to seize, to grasp, to take hold of"
669,100,erstrecken,"to extend, to span, to bestride"
670,100,fortsetzen,"to continue, to carry on, to extend, to proceed"
671,100,kopieren,"to copy, to duplicate"
672,100,senken,"to lower, to sink, to drop, to reduce"
