Nr,level,level_verb,answer,question,type,prefix,german,english
49,1,A2,verpassen,"to miss (to be late for something, e.g. a train)",1. verb,ver,passen,"to fit, to suit"
50,1,A2,verbieten,"to forbid, to prohibit (with dative)",1. verb,ver,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)"
51,1,A2,vertreten,"to represent, to stand for",1. verb,ver,treten,"to step, to read, to kick (a ball)"
52,1,A2,übernehmen,to take over,1. verb,über,nehmen,"to take, to cause oneself to be (in some state)"
53,1,A2,überlegen,"to consider, to think over",1. verb,über,legen,"to lay, to lean, to lie down"
54,1,A2,überprüfen,to check,1. verb,über,prüfen,"to investigate, to check something, to consider"
55,3,B1,abgeben,"to hand something in, to emit something, to deliver something, to cede something",1. verb,ab,geben,to give
56,3,B1,absagen,"to call off, to cancel",1. verb,ab,sagen,"to say, to tell"
57,3,B1,abschließen,"to complete, to end, to shut off, to lock up, to conclude (a contract, deal)",1. verb,ab,schließen,"to shut, to close, to lock, to conclude"
58,3,B1,ablenken,"to distract, to divert, to steer away",1. verb,ab,lenken,"to guide, to direct, to steer, to control"
59,3,B1,abnehmen,"to decrease, to lose weight, to accept something, to pick up (of telephones)",1. verb,ab,nehmen,"to take, to cause oneself to be (in some state)"
60,3,B1,anschauen,"to look at, to behold, to take a look at, to watch (Bayern/Austria)",1. verb,an,schauen,to look at (Bayern/Austria)
61,3,B1,anfassen,to touch,1. verb,an,fassen,to grasp
62,3,B1,ankündigen,"to announce, to declare",1. verb,an,kündigen,"to terminate, to cancel"
63,3,B1,aufwachsen,"to grow up, to be raised",1. verb,auf,wachsen,"to grow, to increase"
64,3,B1,aufnehmen,"to pick up, to receive, to take in, to record, to absorb",1. verb,auf,nehmen,"to take, to cause oneself to be (in some state)"
65,3,B1,einsetzen,"to insert, to use, to appoint, to risk",1. verb,ein,setzen,"to set, to sit down (refl.)"
66,3,B1,einstellen,"to employ someone, to adjust, to cease",1. verb,ein,stellen,"to position, to put, to catch"
67,3,B1,zustimmen,"to agree, to consent",1. verb,zu,stimmen,"to be true, to vote, to tune"
68,3,B1,zubereiten,"to prepare, to cook in advance",1. verb,zu,bereiten,"to prepare something (meals, coffee, etc.), to give, to cause (pleasure, trouble, etc.)"
69,3,B1,zunehmen,"to gain weight, to increase",1. verb,zu,nehmen,"to take, to cause oneself to be (in some state)"
70,3,B1,zugeben,to admit,1. verb,zu,geben,to give
71,3,B1,zusagen,"to promise, to accept, to confirm",1. verb,zu,sagen,"to say, to tell"
72,3,B1,zurückkommen,to return (to come back),1. verb,zurück,kommen,"to come, to make it (e.g. over something), to go to, to occur"
73,3,B1,herausfinden,"to find something out, to discover",1. verb,heraus,finden,to find
74,3,B1,hervorheben,"to point out, to emphasize",1. verb,hervor,heben,"to lift, to raise"
75,3,B1,herunterladen,to download,1. verb,herunter,laden,"to load, to charge"
76,3,B1,herstellen,"to manufacture, to produce",1. verb,her,stellen,"to position, to put, to catch"
77,3,B1,hinweisen,"to indicate, to point out",1. verb,hin,weisen,"to show, to indicate"
78,3,B1,mitmachen,"to join in, to take part",1. verb,mit,machen,"to make, to prepare (e.g. food), to do"
79,3,B1,nachdenken,"to think, to reflect",1. verb,nach,denken,"to think, to consider"
80,3,B1,vorhaben,to have something planned,1. verb,vor,haben,"to have, to contain"
81,3,B1,vorbereiten,"to prepare (in advance), to prepare oneself (refl.)",1. verb,vor,bereiten,"to prepare something (meals, coffee, etc.), to give, to cause (pleasure, trouble, etc.)"
82,3,B1,vorgeben,to pretend,1. verb,vor,geben,to give
83,3,B1,beschreiben,to describe,1. verb,be,schreiben,to write
84,3,B1,bestellen,"to order (e.g. food), to summon, to reserve",1. verb,be,stellen,"to position, to put, to catch"
85,3,B1,beweisen,"to prove, to demonstrate",1. verb,be,weisen,"to show, to indicate"
86,3,B1,bestehen,"to succeed, to pass (an exam), to consist, to insist",1. verb,be,stehen,"to stand, to be, to appear"
87,3,B1,begründen,"to justify, to explain",1. verb,be,gründen,"to found, to establish"
88,3,B1,bearbeiten,to edit,1. verb,be,arbeiten,to work
89,3,B1,besprechen,"to discuss (formal, work related)",1. verb,be,sprechen,to speak
90,3,B1,beantworten,to answer (a question),1. verb,be,antworten,"to answer, to reply"
91,3,B1,empfangen,"to receive, to welcome (formal), to greet, to conceive (biology)",1. verb,emp,fangen,to catch
92,3,B1,empfinden,to feel (emotions),1. verb,emp,finden,to find
93,3,B1,entdecken,"to discover, to spot",1. verb,ent,decken,"to cover, to meet"
94,3,B1,entstehen,"to arise, to emerge, to develop",1. verb,ent,stehen,"to stand, to be, to appear"
95,3,B1,entsprechen,"to correspond, to comply",1. verb,ent,sprechen,to speak
96,3,B1,entziehen,"to withdraw, deprive",1. verb,ent,ziehen,"to pull, to drag, to move"
97,3,B1,entlassen,"to dismiss (from a job), to fire, to release (a prisoner or patient)",1. verb,ent,lassen,"to let, to leave, to allow"
98,4,B1,erwachsen,"to grow up, to spring up, to accrue",1. verb,er,wachsen,"to grow, to increase"
99,4,B1,erhalten,"to receive (passively), to maintain, to save",1. verb,er,halten,"to hold, to stop (a movement), to support, to keep"
100,4,B1,erleben,"to experience, to witness",1. verb,er,leben,to live
101,4,B1,erholen,to recover,1. verb,er,holen,to fetch
102,4,B1,erfahren,"to experience, to find out, to learn",1. verb,er,fahren,"to go (by vehicle), to leave, to drive"
103,4,B1,erfinden,"to invent, to fabricate (something untrue), to find out",1. verb,er,finden,to find
104,4,B1,erzielen,"to achieve, to reach a result",1. verb,er,zielen,"to aim, to target"
105,4,B1,erfüllen,"to fill (with something), to fulfill, to come true",1. verb,er,füllen,to fill
106,4,B1,ergeben,"to produce, to arise, to result in, to turn out, to surrender (refl.)",1. verb,er,geben,to give
107,4,B1,erreichen,to reach,1. verb,er,reichen,"to suffice, to be enough"
108,4,B1,verstecken,to hide,1. verb,ver,stecken,"to stick, to pin"
109,4,B1,verlieben,to fall in love (refl.),1. verb,ver,lieben,to love
110,4,B1,verdienen,to earn,1. verb,ver,dienen,"to serve, to function"
111,4,B1,verbinden,"to join, to connect, to bandage",1. verb,ver,binden,"to bind, to tie, to tie up, to absorb"
112,4,B1,verbringen,to spend (time),1. verb,ver,bringen,"to bring, to take, to lead"
113,4,B1,vermeiden,to avoid (+ nouns or verbs),1. verb,ver,meiden,to avoid (+ nouns only)
114,4,B1,verwenden,to use (formal),1. verb,ver,wenden,"to turn something, to make a u-turn"
115,4,B1,verschieben,"to move (a meeting), to postpone, to defer",1. verb,ver,schieben,to push
116,4,B1,verteilen,"to distribute, to share",1. verb,ver,teilen,"to split, to share, to divide"
117,4,B1,übertragen,"to transfer, to transmit",1. verb,über,tragen,"to wear (clothing), to carry, to hold"
118,4,B1,umziehen,"to change clothes (refl.), to move house",1. verb,um,ziehen,"to pull, to drag, to move"
119,4,B1,unterschreiben,to sign (write one's signature),1. verb,unter,schreiben,to write
120,4,B1,unterrichten,"to teach, to inform",1. verb,unter,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
121,4,B1,unterbrechen,to interrupt,1. verb,unter,brechen,to break
122,4,B1,untersuchen,"to examine, to investigate",1. verb,unter,suchen,"to seek, to search"
123,4,B1,zerstören,to destroy,1. verb,zer,stören,"to disturb, to interfere"
124,4,B1,abbauen,"to dismantle, to deteriorate",1. verb,ab,bauen,to build
125,4,B1,abhängen,"to leave behind, to outdistance, to uncouple, to depend",1. verb,ab,hängen,"to hang, to be fond of, depend on"
126,4,B1,abfahren,"to depart, to leave, to drive along",1. verb,ab,fahren,"to go (by vehicle), to leave, to drive"
127,4,B1,besorgen,"to obtain, to manage",1. verb,be,sorgen,"to care, to worry"
128,4,B1,anerkennen,"to acknowledge, to recognize",1. verb,an,erkennen,"to recognise, to realise"
129,4,B1,anwenden,"to apply (knowledge, know-how)",1. verb,an,wenden,"to turn something, to make a u-turn"
130,4,B1,einrichten,"to set up, to install, to furnish",1. verb,ein,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
131,4,B1,einführen,"to introduce, to implement",1. verb,ein,führen,"to lead, to guide"
132,4,B1,zulassen,"to allow, to license (for a car)",1. verb,zu,lassen,"to let, to leave, to allow"
133,4,B1,mitkommen,"to come with someone, to understand something",1. verb,mit,kommen,"to come, to make it (e.g. over something), to go to, to occur"
134,4,B1,behandeln,"to treat (medicinally), to treat (physically), to cover (a subject)",1. verb,be,handeln,"to act, to trade, to negotiate"
135,4,B1,berichten,"to report, to cover, to indicate, to refer",1. verb,be,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
136,4,B1,entwerfen,"to design, to draw, to draft",1. verb,ent,werfen,to throw
137,4,B1,erfolgen,"to occur, to take place",1. verb,er,folgen,to follow
138,4,B1,versorgen,"to provide (for someone), to supply, to feed",1. verb,ver,sorgen,"to care, to worry"
139,4,B1,verarbeiten,"to process, to handle",1. verb,ver,arbeiten,to work
140,4,B1,unternehmen,to undertake,1. verb,unter,nehmen,"to take, to cause oneself to be (in some state)"
141,4,B1,abziehen,"to withdraw, to go away, to move off",1. verb,ab,ziehen,"to pull, to drag, to move"
142,7,B2,abheben,to withdraw (money),1. verb,ab,heben,"to lift, to raise"
143,7,B2,absehen,"to foresee, to overlook, to disregard",1. verb,ab,sehen,"to see, to see (to something), to realise"
144,7,B2,angeben,"to indicate, to specify",1. verb,an,geben,to give
145,7,B2,anpassen,"to adjust, to adapt",1. verb,an,passen,"to fit, to suit"
146,7,B2,ansprechen,"to address, to speak to",1. verb,an,sprechen,to speak
147,7,B2,anzeigen,"to show, to display",1. verb,an,zeigen,"to show, to point at, to demonstrate"
148,7,B2,anhalten,"to stop (cease moving), to continue, to compel",1. verb,an,halten,"to hold, to stop (a movement), to support, to keep"
149,7,B2,auftreten,"to appear, to perform",1. verb,auf,treten,"to step, to read, to kick (a ball)"
150,7,B2,aufbauen,"to build up, to construct",1. verb,auf,bauen,to build
151,7,B2,auffallen,"to stand out, to catch someone's eye (with dative)",1. verb,auf,fallen,"to fall, to fall in battle, to collapse"
152,7,B2,aufgeben,"to give up on, to give up (refl.), to abandon",1. verb,auf,geben,to give
153,7,B2,aufführen,"to perform, to present",1. verb,auf,führen,"to lead, to guide"
154,7,B2,einnehmen,"to capture, to earn, to ingest",1. verb,ein,nehmen,"to take, to cause oneself to be (in some state)"
155,7,B2,einschalten,"to switch on, to intervene, to turn on",1. verb,ein,schalten,"to switch, to operate"
156,7,B2,einsteigen,"to enter, to get in, to board",1. verb,ein,steigen,"to ascend, to climb, to rise"
157,7,B2,einziehen,"to move in, to penetrate, to infiltrate",1. verb,ein,ziehen,"to pull, to drag, to move"
158,7,B2,zusehen,"to watch, to see, to make sure (that something happens)",1. verb,zu,sehen,"to see, to see (to something), to realise"
159,7,B2,zuhören,to listen to someone/something (with dative),1. verb,zu,hören,"to hear, to listen to"
160,7,B2,zurückziehen,"to withdraw, to pull back, to retreat",1. verb,zurück,ziehen,"to pull, to drag, to move"
161,7,B2,zusammenfassen,"to summarize, to condense, to abstract",1. verb,zusammen,fassen,to grasp
162,7,B2,vorlesen,"to read aloud, to read out",1. verb,vor,lesen,to read
163,7,B2,betrinken,to get drunk (refl.),1. verb,be,trinken,to drink
164,7,B2,bewundern,to admire,1. verb,be,wundern,"to wonder, to be surprised"
165,7,B2,bemerken,"to notice, to remark something",1. verb,be,merken,"to notice, to realise, to remember (refl.)"
166,7,B2,beschließen,"to decide something, to end, to close",1. verb,be,schließen,"to shut, to close, to lock, to conclude"
167,7,B2,berechnen,to calculate something,1. verb,be,rechnen,"to calculate, to reckon"
168,7,B2,beachten,to consider,1. verb,be,achten,"to respect, to regard someone, to pay attention to something"
169,7,B2,bedienen,"to operate, to serve",1. verb,be,dienen,"to serve, to function"
170,7,B2,belegen,"to occupy, to reserve, to cover, to prove",1. verb,be,legen,"to lay, to lean, to lie down"
171,7,B2,betragen,"to amount to, to come to",1. verb,be,tragen,"to wear (clothing), to carry, to hold"
172,7,B2,betreiben,"to run, to operate",1. verb,be,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to"
173,7,B2,bezeichnen,"to designate, to label",1. verb,be,zeichnen,"to draw, to sketch"
174,7,B2,begehen,"to commit, perpetrate (a crime, an offence)",1. verb,be,gehen,"to go, to leave, to work, to function (coll.)"
175,7,B2,erscheinen,"to appear, to seem",1. verb,er,scheinen,"to seem, to shine"
176,7,B2,erheben,"to raise, to collect",1. verb,er,heben,"to lift, to raise"
177,7,B2,errichten,"to establish, to erect",1. verb,er,richten,"to direct, to judge, to be directed (""auf"" towards, ""gegen"" at)"
178,7,B2,erteilen,"to grant, to issue",1. verb,er,teilen,"to split, to share, to divide"
179,7,B2,erwerben,"to acquire, to purchase",1. verb,er,werben,to advertise
180,7,B2,eröffnen,"to open, to inaugurate",1. verb,er,öffnen,to open (formal)
181,7,B2,ertragen,"to bear, to stand",1. verb,er,tragen,"to wear (clothing), to carry, to hold"
182,7,B2,verraten,"to betray, to reveal",1. verb,ver,raten,"to advise, to recommend, to guess"
183,7,B2,vergeben,"to set (work), to forgive, to assign",1. verb,ver,geben,to give
184,7,B2,verlaufen,"to blend, to continue, to get lost (refl.), to go (well, poorly, etc.)",1. verb,ver,laufen,"to walk, to flow (of a fluid), to run (of an event)"
185,7,B2,verfassen,"to compose, to write",1. verb,ver,fassen,to grasp
186,7,B2,verleihen,"to award, to grant",1. verb,ver,leihen,"to lend, to borrow"
187,7,B2,verfolgen,"to pursue, to persecute, to trace",1. verb,ver,folgen,to follow
188,7,B2,verbrennen,"to burn, to incinerate, to burn oneself, to scorch (miltary)",1. verb,ver,brennen,"to burn, to have a strong affection for, to induce pain"
189,7,B2,verbrauchen,"to consume, to use",1. verb,ver,brauchen,to need
190,7,B2,überweisen,to transfer (money),1. verb,über,weisen,"to show, to indicate"
191,7,B2,umgehen,"to avoid, to go around",1. verb,um,gehen,"to go, to leave, to work, to function (coll.)"
192,8,B2,umsetzen,"to implement, to put into practice",1. verb,um,setzen,"to set, to sit down (refl.)"
193,8,B2,umdrehen,to turn around,1. verb,um,drehen,"to turn, to veer"
194,8,B2,unterscheiden,"to distinguish, to differentiate",1. verb,unter,scheiden,"to separate, to divorce"
195,8,B2,unterhalten,"to maintain, to entertain, to converse (refl.)",1. verb,unter,halten,"to hold, to stop (a movement), to support, to keep"
196,8,B2,unterstreichen,"to underline, to emphasize, to highlight",1. verb,unter,streichen,"to stroke, to cancel, to spread, to rub, to paint"
197,8,B2,durchführen,"to carry out, to perform",1. verb,durch,führen,"to lead, to guide"
198,8,B2,hinterlassen,"to leave, to leave behind, to bequeath",1. verb,hinter,lassen,"to let, to leave, to allow"
199,8,B2,abbrechen,"to break off, to abort, to burst off",1. verb,ab,brechen,to break
200,8,B2,zusammenarbeiten,to work together,1. verb,zusammen,arbeiten,to work
201,8,B2,zusammenstellen,to put together,1. verb,zusammen,stellen,"to position, to put, to catch"
202,8,B2,überlassen,"to relinquish, to leave something in someone's care",1. verb,über,lassen,"to let, to leave, to allow"
203,8,B2,überleben,to survive,1. verb,über,leben,to live
204,8,B2,anstellen,"to queue (refl.), to employ someone, to get into mischief",1. verb,an,stellen,"to position, to put, to catch"
205,8,B2,auftauchen,"to arise, to surface, to turn up",1. verb,auf,tauchen,"to dive, to submerge, to disappear"
206,8,B2,einfallen,"to collapse, to come to mind",1. verb,ein,fallen,"to fall, to fall in battle, to collapse"
207,8,B2,weitermachen,"go on, keep going, continue to do something",1. verb,weiter,machen,"to make, to prepare (e.g. food), to do"
208,8,B2,bekämpfen,to fight against something,1. verb,be,kämpfen,"to fight, to struggle"
209,8,B2,verhandeln,to negotiate,1. verb,ver,handeln,"to act, to trade, to negotiate"
210,8,B2,verhalten,"to behave (refl.), to act (refl.), to press (coll.)",1. verb,ver,halten,"to hold, to stop (a movement), to support, to keep"
211,8,B2,bewirken,"to bring about, to cause, to effect",1. verb,be,wirken,"to work, to be effective, to take affect, to act"
212,8,B2,befürchten,"to fear, to apprehend, to be afraid",1. verb,be,fürchten,"to fear, to be afraid"
213,8,B2,abbilden,"to depict, to map, to illustrate",1. verb,ab,bilden,"to form, to educate oneself (refl.)"
214,8,B2,ablaufen,"to expire, to run out, to discharge",1. verb,ab,laufen,"to walk, to flow (of a fluid), to run (of an event)"
215,8,B2,ableiten,"to derive, to deduce",1. verb,ab,leiten,"to lead, to manage"
216,8,B2,abstimmen,"to coordinate, to vote, to adjust",1. verb,ab,stimmen,"to be true, to vote, to tune"
217,8,B2,anschließen,"to join, to attach, to affiliate, to connect",1. verb,an,schließen,"to shut, to close, to lock, to conclude"
218,8,B2,anführen,"to cite, to lead, to quote",1. verb,an,führen,"to lead, to guide"
219,8,B2,anschaffen,"to purchase, to acquire, to procure",1. verb,an,schaffen,"to create, to produce, to achieve/reach a goal"
220,8,B2,aufbrechen,"to leave, to set off, to start, to break, to burst",1. verb,auf,brechen,to break
221,8,B2,auffordern,"to request, to invite, to ask",1. verb,auf,fordern,"to demand, to require"
222,8,B2,aufhalten,"to stop, to stay, to delay",1. verb,auf,halten,"to hold, to stop (a movement), to support, to keep"
223,8,B2,aufheben,"to abolish, to lift, to pick up, to keep",1. verb,auf,heben,"to lift, to raise"
224,8,B2,aufladen,"to charge, to load, to burden, to impose",1. verb,auf,laden,"to load, to charge"
225,8,B2,auflösen,"to dissolve, to resolve, to annul, to liquidate",1. verb,auf,lösen,"to loosen, to solve, to separate, to remove"
226,8,B2,aufsteigen,"to rise, to ascend, to advance, to climb",1. verb,auf,steigen,"to ascend, to climb, to rise"
227,8,B2,einfügen,"to insert, to infix, to conform",1. verb,ein,fügen,"to acquiesce, to comply, to fit together"
228,8,B2,einleiten,"to introduce, to initiate, to commence",1. verb,ein,leiten,"to lead, to manage"
229,8,B2,eintragen,"to register, to enter, to record, to enrol",1. verb,ein,tragen,"to wear (clothing), to carry, to hold"
230,8,B2,eintreten,"to enter, to join, to occur",1. verb,ein,treten,"to step, to read, to kick (a ball)"
231,8,B2,nachweisen,"to prove, to account for, to demonstrate",1. verb,nach,weisen,"to show, to indicate"
232,8,B2,vorlegen,"to present, to submit, to bring forward",1. verb,vor,legen,"to lay, to lean, to lie down"
233,8,B2,vorkommen,"to occur, to happen, to advance",1. verb,vor,kommen,"to come, to make it (e.g. over something), to go to, to occur"
234,8,B2,voraussetzen,"to presume, to require, to assume",1. verb,voraus,setzen,"to set, to sit down (refl.)"
235,8,B2,weitergeben,"to pass on, to impart, to relay",1. verb,weiter,geben,to give
236,8,B2,zuordnen,"to assign, to allocate",1. verb,zu,ordnen,"to organize, to arrange, to order"
237,8,B2,zugehen,"to approach, to close, to happen",1. verb,zu,gehen,"to go, to leave, to work, to function (coll.)"
238,8,B2,zurückgeben,"to return, to give back, to answer back",1. verb,zurück,geben,to give
239,8,B2,zurückhalten,"to restrain, to hold back, to withhold",1. verb,zurück,halten,"to hold, to stop (a movement), to support, to keep"
240,9,B2,beherrschen,"to dominate, to master, to control, to rule",1. verb,be,herrschen,"to rule, to prevail, to control"
241,9,B2,beklagen,"to complain, to lament, to air grievances",1. verb,be,klagen,"to complain, to lament, to sue"
242,9,B2,benennen,"to name, to designate, to appoint",1. verb,be,nennen,"to name, to call someone something, to mention"
243,9,B2,besetzen,"to occupy, to border, to cast",1. verb,be,setzen,"to set, to sit down (refl.)"
244,9,B2,erfordern,"to require, to demand, to necessitate",1. verb,er,fordern,"to demand, to require"
245,9,B2,ergreifen,"to seize, to grasp, to take hold of",1. verb,er,greifen,"to grab, to seize, to reach, to capture"
246,9,B2,erarbeiten,"to develop, to elaborate, to work out, to acquire",1. verb,er,arbeiten,to work
247,9,B2,versehen,"to provide, to equip, to supply",1. verb,ver,sehen,"to see, to see (to something), to realise"
248,9,B2,verpacken,"to pack, to wrap, to package",1. verb,ver,packen,"to pack, to grab, to manage"
249,9,B2,verschreiben,"to prescribe, to commit oneself to, to misspell by accident",1. verb,ver,schreiben,to write
250,9,B2,versichern,"to assure, to insure, to cover",1. verb,ver,sichern,"to secure, to protect"
251,9,B2,vertreiben,"to expel, to dislodge, to displace",1. verb,ver,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to"
252,9,B2,anlegen,"to create, to invest",1. verb,an,legen,"to lay, to lean, to lie down"
253,9,B2,eingehen,"to shrink (textile), to wither/die (plants, animals), to assume something",1. verb,ein,gehen,"to go, to leave, to work, to function (coll.)"
254,9,B2,abrufen,"to retrieve, to access, to call away",1. verb,ab,rufen,"to call out, to call for help, to telephone"
255,9,B2,aufweisen,"to exhibit, to feature, to show, to boast",1. verb,auf,weisen,"to show, to indicate"
256,9,B2,einschließen,"to include, to enclose, to lock up, to surround",1. verb,ein,schließen,"to shut, to close, to lock, to conclude"
257,9,B2,eingeben,"to enter, to input, to give, to supply",1. verb,ein,geben,to give
258,9,B2,vorliegen,"to exist, to be available",1. verb,vor,liegen,"to lie, to be located"
259,9,B2,vornehmen,"to undertake, to carry out",1. verb,vor,nehmen,"to take, to cause oneself to be (in some state)"
260,9,B2,vorgehen,"to proceed, to advance, to go ahead",1. verb,vor,gehen,"to go, to leave, to work, to function (coll.)"
261,9,B2,vorwerfen,"to reproach, to accuse of, to allege",1. verb,vor,werfen,to throw
262,9,B2,betreffen,"to concern, to affect",1. verb,be,treffen,"to meet, to encounter"
263,9,B2,beziehen,"to refer, to obtain",1. verb,be,ziehen,"to pull, to drag, to move"
264,9,B2,bedenken,"to consider, to reflect, to give, to allow for",1. verb,be,denken,"to think, to consider"
265,9,B2,befassen,"to address, to deal with, to attend to",1. verb,be,fassen,to grasp
266,9,B2,erfassen,"to record, to capture",1. verb,er,fassen,to grasp
267,9,B2,erweisen,"to prove (passively), to turn out to be, to show",1. verb,er,weisen,"to show, to indicate"
268,9,B2,verstärken,"to amplify, to intensify, to strengthen",1. verb,ver,stärken,to strengthen
269,9,B2,übergeben,"to hand over, to vomit (refl.)",1. verb,über,geben,to give
270,9,B2,überschreiten,"to exceed, to overstep, to surpass",1. verb,über,schreiten,"to stride, to step, to proceed"
271,9,B2,umfassen,"to include, to comprise",1. verb,um,fassen,to grasp
272,9,B2,umgeben,"to surround, to enclose, to encompass",1. verb,um,geben,to give
273,9,B2,unterliegen,"to be subject to, to undergo",1. verb,unter,liegen,"to lie, to be located"
274,101,C1,entschließen,to decide (to do something) (refl.),1. verb,ent,schließen,"to shut, to close, to lock, to conclude"
275,101,C1,verheiraten,"to marry (to perform the marriage), to get married (refl.)",1. verb,ver,heiraten,to marry
276,101,C1,beschützen,"to protect, defend (security)",1. verb,be,schützen,"to defend (lawyer), to protect (sunprotection)"
277,101,C1,übertreiben,"to exaggerate, to overdo",1. verb,über,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to"
278,101,C1,umtauschen,"to convert, to exchange (currency)",1. verb,um,tauschen,"to swap, to trade, to exchange"
279,101,C1,unterzeichnen,to sign (formal),1. verb,unter,zeichnen,"to draw, to sketch"
280,101,C1,begeben,,1. verb,be,geben,to give
281,101,C1,ablösen,"to remove, to detach, to replace",1. verb,,,
