Nr,exercise,level_verben,Nr_verben,level_noun,level_goethe,level_routledge,question,answer,german,root_english,english,root_french,french,german_verb,english_verb,french_verb,german_noun,english_noun,french_noun,gender_english,gender_french
20,1,A1,65,A1,A2,A1,das Interesse,interessieren,,the interest,"to interest, to be interested in (refl.)",Loading...,"intéresser, être intéressé par (réfl.)",interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)",das Interesse,the interest,Loading...,,
21,2,A1,29,A1,A1,A1,sprechen,die Sprache,,to speak,"the language, the speech",parler (une langue),Loading...,sprechen,to speak,parler (une langue),die Sprache,"the language, the speech",Loading...,Feminine,Féminin
22,2,A1,29,A1,A1,A1,sprechen,das Gespräch,,to speak,the conversation,parler (une langue),Loading...,sprechen,to speak,parler (une langue),das Gespräch,the conversation,Loading...,Neuter,Neutre
23,2,A1,37,A1,A1,A1,leben,das Leben,,to live,the life,vivre,la vie,leben,to live,vivre,das Leben,the life,la vie,Neuter,Neutre
24,2,A1,38,A1,A1,A1,arbeiten,die Arbeit,,to work,the work,travailler,Loading...,arbeiten,to work,travailler,die Arbeit,the work,Loading...,Feminine,Féminin
25,2,A1,39,A1,A1,A1,essen,das Essen,,to eat,"the meal, the food",manger,"le repas, la nourriture",essen,to eat,manger,das Essen,"the meal, the food","le repas, la nourriture",Neuter,Neutre
26,2,A1,24,A1,A2,A1,lieben,die Liebe,,to love,the love,"aimer, être amoureux de",Loading...,lieben,to love,"aimer, être amoureux de",die Liebe,the love,Loading...,Feminine,Féminin
27,2,A1,34,A2,A2,A1,kennen,die Kenntnis,,"to know, to be acquainted with, to be familiar with",the knowledge,"connaître, être familier avec",la connaissance,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec",die Kenntnis,the knowledge,la connaissance,Feminine,Féminin
28,2,A1,,A1,A2,A1,spielen,das Spiel,,to play,the game,jouer,Loading...,spielen,to play,jouer,das Spiel,the game,Loading...,Neuter,Neutre
29,2,A1,,A1,A1,A1,fragen,die Frage,,"to ask, to wonder (refl.)",the question,"demander, se demander (réfl.)",Loading...,fragen,"to ask, to wonder (refl.)","demander, se demander (réfl.)",die Frage,the question,Loading...,Feminine,Féminin
30,2,A1,,A1,A1,B1,trinken,das Getränk,,to drink,the drink,boire,Loading...,trinken,to drink,boire,das Getränk,the drink,Loading...,Neuter,Neutre
31,2,A1,,A1,A1,A1,wohnen,die Wohnung,,"to live, to reside, to dwell",the apartment,"vivre, résider, habiter",l'appartement,wohnen,"to live, to reside, to dwell","vivre, résider, habiter",die Wohnung,the apartment,l'appartement,Feminine,Féminin
32,2,A1,,A1,A1,A1,ziehen,der Zug,,"to pull, to drag, to move",the train,"tirer, traîner, déplacer",Loading...,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer",der Zug,the train,Loading...,Masculine,Masculin
33,2,A1,,A1,A1,A2,regnen,der Regen,,to rain,the rain,pleuvoir,Loading...,regnen,to rain,pleuvoir,der Regen,the rain,Loading...,Masculine,Masculin
34,2,A1,,A1,A2,A2,schneien,der Schnee,,to snow,the snow,neiger,Loading...,schneien,to snow,neiger,der Schnee,the snow,Loading...,Masculine,Masculin
35,2,A1,,A2,A1,A2,führen,die Führung,,"to lead, to guide",the leadership,"guider, conduire",Loading...,führen,"to lead, to guide","guider, conduire",die Führung,the leadership,Loading...,Feminine,Féminin
36,2,A1,,A2,A1,,anrufen,der Anruf,,"to call by telephone, to call on (someone)",the call,appeler par téléphone,Loading...,anrufen,"to call by telephone, to call on (someone)",appeler par téléphone,der Anruf,the call,Loading...,Masculine,Masculin
37,2,A1,,A1,A1,A1,anfangen,der Anfang,,to begin something new,the beginning,commencer quelque chose de nouveau,Loading...,anfangen,to begin something new,commencer quelque chose de nouveau,der Anfang,the beginning,Loading...,Masculine,Masculin
38,2,A1,,A2,B1,A1,beginnen,der Beginn,,to begin (on a certain date or time),the beginning,commencer (à une certaine date ou heure),Loading...,beginnen,to begin (on a certain date or time),commencer (à une certaine date ou heure),der Beginn,the beginning,Loading...,Masculine,Masculin
39,2,A1,,A1,A2,A1,können,die Kunst,,"can, to be able to",the art,"pouvoir, être capable de",Loading...,können,"can, to be able to","pouvoir, être capable de",die Kunst,the art,Loading...,Feminine,Féminin
40,2,A1,,A1,A2,A1,interessieren,das Interesse,,"to interest, to be interested in (refl.)",the interest,"intéresser, être intéressé par (réfl.)",Loading...,interessieren,"to interest, to be interested in (refl.)","intéresser, être intéressé par (réfl.)",das Interesse,the interest,Loading...,Neuter,Neutre
41,3,A1,10,A2,B1,,das Wissen,wissen,,the knowledge,"to know, to have knowledge",la connaissance,savoir,wissen,"to know, to have knowledge",savoir,das Wissen,the knowledge,la connaissance,,
42,3,A1,10,A2,,A1,die Wissenschaft,wissen,,the science,"to know, to have knowledge",la science,savoir,wissen,"to know, to have knowledge",savoir,die Wissenschaft,the science,la science,,
43,3,A1,10,A2,B1,A2,der Wissenschaftler,wissen,,the scientist,"to know, to have knowledge",Loading...,savoir,wissen,"to know, to have knowledge",savoir,der Wissenschaftler,the scientist,Loading...,,
44,3,A1,11,A2,,A1,die Macht,machen,,the power,"to make, to prepare, to do",Loading...,"faire, préparer",machen,"to make, to prepare, to do","faire, préparer",die Macht,the power,Loading...,,
45,3,A1,70,B1,A2,B1,die Übersetzung,übersetzen,,the translation,to translate,Loading...,traduire,übersetzen,to translate,traduire,die Übersetzung,the translation,Loading...,,
46,3,A1,,A1,A2,B1,der Anzug,anziehen,,the suit,"to get dressed, to put on, to dress someone, to attract, to pull",le costume,"s'habiller, mettre, habiller quelqu'un, attirer, tirer",anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",der Anzug,the suit,le costume,,
47,3,A1,,B1,A2,B1,die Wäsche,waschen,,the laundry,to wash,Loading...,laver,waschen,to wash,laver,die Wäsche,the laundry,Loading...,,
48,3,A1,46,B1,B1,A2,die Erzählung,erzählen,,the narration,"to tell, to narrate",Loading...,"raconter, narrer",erzählen,"to tell, to narrate","raconter, narrer",die Erzählung,the narration,Loading...,,
49,3,A1,49,A1,B1,A1,die Hoffnung,hoffen,,the hope,to hope,Loading...,espérer,hoffen,to hope,espérer,die Hoffnung,the hope,Loading...,,
50,3,A1,54,A2,B1,A2,der Schlaf,schlafen,,the sleep,to sleep,Loading...,dormir,schlafen,to sleep,dormir,der Schlaf,the sleep,Loading...,,
51,3,A1,55,A2,B1,A2,der Kauf,kaufen,,the purchase,to buy,Loading...,acheter,kaufen,to buy,acheter,der Kauf,the purchase,Loading...,,
52,3,A1,57,A1,B1,A1,die Erklärung,erklären,,the explanation,"to explain, to declare, to assert",Loading...,"expliquer, déclarer, affirmer",erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",die Erklärung,the explanation,Loading...,,
53,3,A1,72,A1,B1,A1,die Bedeutung,bedeuten,,the meaning,"to mean, to signify",Loading...,"vouloir dire, signifier",bedeuten,"to mean, to signify","vouloir dire, signifier",die Bedeutung,the meaning,Loading...,,
54,3,A1,73,A2,,A1,die Funktion,funktionieren,,the functionality,"to function, to work",Loading...,fonctionner,funktionieren,"to function, to work",fonctionner,die Funktion,the functionality,Loading...,,
55,3,A1,74,A1,B1,A1,die Erinnerung,erinnern,,the memory,"to remind, to remember (refl.)",Loading...,"rappeler, se souvenir (réfl.)",erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",die Erinnerung,the memory,Loading...,,
56,3,A1,75,A1,B1,A1,das Gefühl,fühlen,,the feeling,"to feel, to feel something (refl.)",Loading...,"sentir, ressentir quelque chose (réfl.)",fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",das Gefühl,the feeling,Loading...,,
57,3,A1,85,A2,B1,A1,der Gewinn,gewinnen,,the victory,to win,la victoire,gagner,gewinnen,to win,gagner,der Gewinn,the victory,la victoire,,
58,3,A1,94,A2,,A2,der Verkauf,verkaufen,,the sale,to sell,la vente,vendre,verkaufen,to sell,vendre,der Verkauf,the sale,la vente,,
59,3,A1,19,A1,B1,A1,die Rede,reden,,the speech,to talk,Loading...,"parler, discuter",reden,to talk,"parler, discuter",die Rede,the speech,Loading...,,
60,3,A1,8,A1,B1,A1,die Möglichkeit,mögen,,"the possibility, the likelihood",to like,"la possibilité, la probabilité","aimer, apprécier",mögen,to like,"aimer, apprécier",die Möglichkeit,"the possibility, the likelihood","la possibilité, la probabilité",,
61,4,A1,10,A2,B1,,wissen,das Wissen,,"to know, to have knowledge",the knowledge,savoir,la connaissance,wissen,"to know, to have knowledge",savoir,das Wissen,the knowledge,la connaissance,Neuter,Neutre
62,4,A1,10,A2,,A1,wissen,die Wissenschaft,,"to know, to have knowledge",the science,savoir,la science,wissen,"to know, to have knowledge",savoir,die Wissenschaft,the science,la science,Feminine,Féminin
63,4,A1,10,A2,B1,A2,wissen,der Wissenschaftler,,"to know, to have knowledge",the scientist,savoir,Loading...,wissen,"to know, to have knowledge",savoir,der Wissenschaftler,the scientist,Loading...,Masculine,Masculin
64,4,A1,11,A2,,A1,machen,die Macht,,"to make, to prepare, to do",the power,"faire, préparer",Loading...,machen,"to make, to prepare, to do","faire, préparer",die Macht,the power,Loading...,Feminine,Féminin
65,4,A1,,B1,A2,B1,übersetzen,die Übersetzung,,to translate,the translation,traduire,Loading...,übersetzen,to translate,traduire,die Übersetzung,the translation,Loading...,Feminine,Féminin
66,4,A1,,A1,A2,B1,anziehen,der Anzug,,"to get dressed, to put on, to dress someone, to attract, to pull",the suit,"s'habiller, mettre, habiller quelqu'un, attirer, tirer",le costume,anziehen,"to get dressed, to put on, to dress someone, to attract, to pull","s'habiller, mettre, habiller quelqu'un, attirer, tirer",der Anzug,the suit,le costume,Masculine,Masculin
67,4,A1,,B1,A2,B1,waschen,die Wäsche,,to wash,the laundry,laver,Loading...,waschen,to wash,laver,die Wäsche,the laundry,Loading...,Feminine,Féminin
68,4,A1,,B1,B1,A2,erzählen,die Erzählung,,"to tell, to narrate",the narration,"raconter, narrer",Loading...,erzählen,"to tell, to narrate","raconter, narrer",die Erzählung,the narration,Loading...,Feminine,Féminin
69,4,A1,,A1,B1,A1,hoffen,die Hoffnung,,to hope,the hope,espérer,Loading...,hoffen,to hope,espérer,die Hoffnung,the hope,Loading...,Feminine,Féminin
70,4,A1,,A2,B1,A2,schlafen,der Schlaf,,to sleep,the sleep,dormir,Loading...,schlafen,to sleep,dormir,der Schlaf,the sleep,Loading...,Masculine,Masculin
71,4,A1,,A2,B1,A2,kaufen,der Kauf,,to buy,the purchase,acheter,Loading...,kaufen,to buy,acheter,der Kauf,the purchase,Loading...,Masculine,Masculin
72,4,A1,,A1,B1,A1,erklären,die Erklärung,,"to explain, to declare, to assert",the explanation,"expliquer, déclarer, affirmer",Loading...,erklären,"to explain, to declare, to assert","expliquer, déclarer, affirmer",die Erklärung,the explanation,Loading...,Feminine,Féminin
73,4,A1,,A1,B1,A1,bedeuten,die Bedeutung,,"to mean, to signify",the meaning,"vouloir dire, signifier",Loading...,bedeuten,"to mean, to signify","vouloir dire, signifier",die Bedeutung,the meaning,Loading...,Feminine,Féminin
74,4,A1,,A2,,A1,funktionieren,die Funktion,,"to function, to work",the functionality,fonctionner,Loading...,funktionieren,"to function, to work",fonctionner,die Funktion,the functionality,Loading...,Feminine,Féminin
75,4,A1,,A1,B1,A1,erinnern,die Erinnerung,,"to remind, to remember (refl.)",the memory,"rappeler, se souvenir (réfl.)",Loading...,erinnern,"to remind, to remember (refl.)","rappeler, se souvenir (réfl.)",die Erinnerung,the memory,Loading...,Feminine,Féminin
76,4,A1,,A1,B1,A1,fühlen,das Gefühl,,"to feel, to feel something (refl.)",the feeling,"sentir, ressentir quelque chose (réfl.)",Loading...,fühlen,"to feel, to feel something (refl.)","sentir, ressentir quelque chose (réfl.)",das Gefühl,the feeling,Loading...,Neuter,Neutre
77,4,A1,,A2,B1,A1,gewinnen,der Gewinn,,to win,the victory,gagner,la victoire,gewinnen,to win,gagner,der Gewinn,the victory,la victoire,Masculine,Masculin
78,4,A1,,A2,,A2,verkaufen,der Verkauf,,to sell,the sale,vendre,la vente,verkaufen,to sell,vendre,der Verkauf,the sale,la vente,Masculine,Masculin
79,4,A1,19,A1,B1,A1,reden,die Rede,,to talk,the speech,"parler, discuter",Loading...,reden,to talk,"parler, discuter",die Rede,the speech,Loading...,Feminine,Féminin
80,4,A1,8,A1,B1,A1,mögen,die Möglichkeit,,to like,"the possibility, the likelihood","aimer, apprécier","la possibilité, la probabilité",mögen,to like,"aimer, apprécier",die Möglichkeit,"the possibility, the likelihood","la possibilité, la probabilité",Feminine,Féminin
81,5,A2,101,A1,A1,A1,die Stelle,stellen,,the position (work),"to position, to put, to catch",le poste (travail),"positionner, mettre",stellen,"to position, to put, to catch","positionner, mettre",die Stelle,the position (work),le poste (travail),,
82,5,A2,107,A1,A2,A1,der Besuch,besuchen,,the visit,to visit,la visite,visiter,besuchen,to visit,visiter,der Besuch,the visit,la visite,,
83,5,A2,108,A1,B1,A1,die Freude,sich freuen,,the joy,"to make glad, to be glad (refl.), to look forward (refl.)",la joie,"rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",sich freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",die Freude,the joy,la joie,,
84,5,A2,109,A2,,,der Schloss,schließen,,the castle,"to shut, to close, to lock, to conclude",Loading...,"fermer, clore, verrouiller, conclure",schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schloss,the castle,Loading...,,
85,5,A2,109,A1,A1,A2,der Schlüssel,schließen,,the key,"to shut, to close, to lock, to conclude",Loading...,"fermer, clore, verrouiller, conclure",schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schlüssel,the key,Loading...,,
86,5,A2,110,A1,A1,B1,die Einladung,einladen,,the invitation,"to invite, to load (something into a container)",Loading...,"inviter, charger (quelque chose dans un conteneur)",einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",die Einladung,the invitation,Loading...,,
87,5,A2,112,A1,A2,A1,der Wunsch,wünschen,,the wish,to wish,le souhait,souhaiter,wünschen,to wish,souhaiter,der Wunsch,the wish,le souhait,,
88,5,A2,116,A1,A2,A1,der Traum,träumen,,the dream,to dream,Loading...,rêver,träumen,to dream,rêver,der Traum,the dream,Loading...,,
89,5,A2,119,A1,A1,A1,die Reise,reisen,,the journey,to travel,le voyage,voyager,reisen,to travel,voyager,die Reise,the journey,le voyage,,
90,5,A2,121,A1,A1,A1,die Antwort,antworten,,the answer,"to answer, to reply",la réponse,"répondre, répliquer",antworten,"to answer, to reply","répondre, répliquer",die Antwort,the answer,la réponse,,
91,5,A2,124,A1,A2,A1,die Zahl,zählen,,the number,to count,Loading...,compter,zählen,to count,compter,die Zahl,the number,Loading...,,
92,5,A2,125,A2,A1,,die Ankunft,ankommen,,the arrival,"to arrive, to depend on something",Loading...,"arriver, dépendre de quelque chose",ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose",die Ankunft,the arrival,Loading...,,
93,5,A2,127,A2,A1,,die Anmeldung,anmelden,,the registration,"to register, to sign up, to sign on",Loading...,s'inscrire,anmelden,"to register, to sign up, to sign on",s'inscrire,die Anmeldung,the registration,Loading...,,
94,5,A2,130,A1,A1,A1,die Hilfe,helfen,,the help,to help,Loading...,aider,helfen,to help,aider,die Hilfe,the help,Loading...,,
95,5,A2,134,A2,A1,B1,die Miete,mieten,,"the rent, the rental","to rent, to hire",Loading...,"louer, embaucher",mieten,"to rent, to hire","louer, embaucher",die Miete,"the rent, the rental",Loading...,,
96,5,A2,139,A1,A1,A1,der Fehler,fehlen,,"the mistake, the fault","to lack, to be absent or missing",Loading...,"manquer, être absent ou manquant",fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",der Fehler,"the mistake, the fault",Loading...,,
97,6,A2,101,A1,A1,A1,stellen,die Stelle,,"to position, to put, to catch",the position (work),"positionner, mettre",le poste (travail),stellen,"to position, to put, to catch","positionner, mettre",die Stelle,the position (work),le poste (travail),Feminine,Féminin
98,6,A2,107,A1,A2,A1,besuchen,der Besuch,,to visit,the visit,visiter,la visite,besuchen,to visit,visiter,der Besuch,the visit,la visite,Masculine,Masculin
99,6,A2,108,A1,B1,A1,sich freuen,die Freude,,"to make glad, to be glad (refl.), to look forward (refl.)",the joy,"rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",la joie,sich freuen,"to make glad, to be glad (refl.), to look forward (refl.)","rendre heureux, être heureux (réfl.), attendre avec impatience (réfl.)",die Freude,the joy,la joie,Feminine,Féminin
100,6,A2,109,A2,,,schließen,der Schloss,,"to shut, to close, to lock, to conclude",the castle,"fermer, clore, verrouiller, conclure",Loading...,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schloss,the castle,Loading...,Masculine,Masculin
101,6,A2,109,A1,A1,A2,schließen,der Schlüssel,,"to shut, to close, to lock, to conclude",the key,"fermer, clore, verrouiller, conclure",Loading...,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure",der Schlüssel,the key,Loading...,Masculine,Masculin
102,6,A2,110,A1,A1,B1,einladen,die Einladung,,"to invite, to load (something into a container)",the invitation,"inviter, charger (quelque chose dans un conteneur)",Loading...,einladen,"to invite, to load (something into a container)","inviter, charger (quelque chose dans un conteneur)",die Einladung,the invitation,Loading...,Feminine,Féminin
103,6,A2,112,A1,A2,A1,wünschen,der Wunsch,,to wish,the wish,souhaiter,le souhait,wünschen,to wish,souhaiter,der Wunsch,the wish,le souhait,Masculine,Masculin
104,6,A2,116,A1,A2,A1,träumen,der Traum,,to dream,the dream,rêver,Loading...,träumen,to dream,rêver,der Traum,the dream,Loading...,Masculine,Masculin
105,6,A2,119,A1,A1,A1,reisen,die Reise,,to travel,the journey,voyager,le voyage,reisen,to travel,voyager,die Reise,the journey,le voyage,Feminine,Féminin
106,6,A2,121,A1,A1,A1,antworten,die Antwort,,"to answer, to reply",the answer,"répondre, répliquer",la réponse,antworten,"to answer, to reply","répondre, répliquer",die Antwort,the answer,la réponse,Feminine,Féminin
107,6,A2,124,A1,A2,A1,zählen,die Zahl,,to count,the number,compter,Loading...,zählen,to count,compter,die Zahl,the number,Loading...,Feminine,Féminin
108,6,A2,125,A2,A1,,ankommen,die Ankunft,,"to arrive, to depend on something",the arrival,"arriver, dépendre de quelque chose",Loading...,ankommen,"to arrive, to depend on something","arriver, dépendre de quelque chose",die Ankunft,the arrival,Loading...,Feminine,Féminin
109,6,A2,127,A2,A1,,anmelden,die Anmeldung,,"to register, to sign up, to sign on",the registration,s'inscrire,Loading...,anmelden,"to register, to sign up, to sign on",s'inscrire,die Anmeldung,the registration,Loading...,Feminine,Féminin
110,6,A2,130,A1,A1,A1,helfen,die Hilfe,,to help,the help,aider,Loading...,helfen,to help,aider,die Hilfe,the help,Loading...,Feminine,Féminin
111,6,A2,134,A2,A1,B1,mieten,die Miete,,"to rent, to hire","the rent, the rental","louer, embaucher",Loading...,mieten,"to rent, to hire","louer, embaucher",die Miete,"the rent, the rental",Loading...,Feminine,Féminin
112,6,A2,139,A1,A1,A1,fehlen,der Fehler,,"to lack, to be absent or missing","the mistake, the fault","manquer, être absent ou manquant",Loading...,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant",der Fehler,"the mistake, the fault",Loading...,Masculine,Masculin
113,7,A2,155,A2,A1,A1,die Bitte,bitten,,the request,"to ask, to request",la demande,"demander, requérir",bitten,"to ask, to request","demander, requérir",die Bitte,the request,la demande,,
114,7,A2,173,A1,A1,B1,das Geschenk,schenken,,the gift,"to gift, to give as a present",Loading...,"offrir, faire un cadeau",schenken,"to gift, to give as a present","offrir, faire un cadeau",das Geschenk,the gift,Loading...,,
115,7,A2,184,A1,A1,A1,die Lösung,lösen,,the solution,"to loosen, to solve, to separate, to remove",Loading...,"desserrer, résoudre, séparer, enlever",lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",die Lösung,the solution,Loading...,,
116,7,A2,188,A1,A1,A1,das Studium,studieren,,the studies,"to study, to major in (a subject)",Loading...,"étudier, se spécialiser dans (une matière)",studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)",das Studium,the studies,Loading...,,
117,7,A2,196,B1,A2,,die Erlaubnis,erlauben,,the permission,"to allow, to permit",l'autorisation,"permettre, donner l'autorisation",erlauben,"to allow, to permit","permettre, donner l'autorisation",die Erlaubnis,the permission,l'autorisation,,
118,7,A2,200,A2,A2,B1,der Flug,fliegen,,the flight,"to fly, to travel by plane",Loading...,"voler, voyager en avion",fliegen,"to fly, to travel by plane","voler, voyager en avion",der Flug,the flight,Loading...,,
119,7,A2,,A1,A1,A1,der Dank,danken,,"the thanks, the gratitude",to thank,"les remerciements, la gratitude",remercier,danken,to thank,remercier,der Dank,"the thanks, the gratitude","les remerciements, la gratitude",,
120,7,A2,,A2,A1,B1,der Ausgang,ausgehen,,the exit,"to go out, to run out (e.g. of money)",Loading...,"sortir, être à court (par exemple d'argent)",ausgehen,"to go out, to run out (e.g. of money)","sortir, être à court (par exemple d'argent)",der Ausgang,the exit,Loading...,,
121,7,A2,117,A2,B1,A1,das Fernsehen,fernsehen,,the television,to watch TV,Loading...,regarder la télévision,fernsehen,to watch TV,regarder la télévision,das Fernsehen,the television,Loading...,,
122,7,A2,120,A2,A2,B1,die Feier,feiern,,the celebration,to celebrate,la célébration,célébrer,feiern,to celebrate,célébrer,die Feier,the celebration,la célébration,,
123,7,A2,148,A1,B1,A1,das Gebäude,bauen,,the building,to build,Loading...,construire,bauen,to build,construire,das Gebäude,the building,Loading...,,
124,7,A2,138,A1,B1,A1,der Kampf,kämpfen,,the fight,"to fight, to struggle",Loading...,"se battre, lutter",kämpfen,"to fight, to struggle","se battre, lutter",der Kampf,the fight,Loading...,,
125,7,A2,141,A2,B1,A1,die Vorstellung,vorstellen,,the introduction,"to introduce, to present oneself (refl.), to move forward, to represent",Loading...,"introduire, se présenter (réfl.), représenter",vorstellen,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",die Vorstellung,the introduction,Loading...,,
126,7,A2,143,A1,B1,A1,die Entscheidung,entscheiden,,the decision,to decide,Loading...,décider,entscheiden,to decide,décider,die Entscheidung,the decision,Loading...,,
127,7,A2,180,A2,B1,A1,der Vergleich,vergleichen,,the comparison,to compare,la comparaison,comparer,vergleichen,to compare,comparer,der Vergleich,the comparison,la comparaison,,
128,7,A2,,A1,B1,A2,die Stimmung,stimmen,,"the mood, the atmosphere","to be true, to vote, to tune","l'ambiance, l'atmosphère","être vrai, voter, s'accorder",stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder",die Stimmung,"the mood, the atmosphere","l'ambiance, l'atmosphère",,
129,8,A2,155,A2,A1,A1,bitten,die Bitte,,"to ask, to request",the request,"demander, requérir",la demande,bitten,"to ask, to request","demander, requérir",die Bitte,the request,la demande,Feminine,Féminin
130,8,A2,173,A1,A1,B1,schenken,das Geschenk,,"to gift, to give as a present",the gift,"offrir, faire un cadeau",Loading...,schenken,"to gift, to give as a present","offrir, faire un cadeau",das Geschenk,the gift,Loading...,Neuter,Neutre
131,8,A2,184,A1,A1,A1,lösen,die Lösung,,"to loosen, to solve, to separate, to remove",the solution,"desserrer, résoudre, séparer, enlever",Loading...,lösen,"to loosen, to solve, to separate, to remove","desserrer, résoudre, séparer, enlever",die Lösung,the solution,Loading...,Feminine,Féminin
132,8,A2,188,A1,A1,A1,studieren,das Studium,,"to study, to major in (a subject)",the studies,"étudier, se spécialiser dans (une matière)",Loading...,studieren,"to study, to major in (a subject)","étudier, se spécialiser dans (une matière)",das Studium,the studies,Loading...,Neuter,Neutre
133,8,A2,196,B1,A2,,erlauben,die Erlaubnis,,"to allow, to permit",the permission,"permettre, donner l'autorisation",l'autorisation,erlauben,"to allow, to permit","permettre, donner l'autorisation",die Erlaubnis,the permission,l'autorisation,Feminine,Féminin
