Nr,level,reflx,verb,preposition,case,english_verb,german,english_sentence,answer,question
101,3,sich,verstehen,mit,D,to get along with,Sie versteht sich gut mit ihren Kollegen.,She gets along well with her colleagues.,mit,
102,3,,wählen,zu,D,to elect to,,,zu,
103,3,,wissen,von,D,to know about,Ich weiss nichts von dieser Angelegenheit.,I know nothing about this matter.,von,
104,3,,wissen,über,A,to know about,,,über,
105,3,,zählen,zu,D,to count among,,,zu,
106,4,,ändern,an,,to change about,Er ändert etwas an seinem Plan.,He changes something about his plan.,an,Er ändert etwas _____ seinem Plan.
107,4,,ändern,an,,to change about,Wir müssen etwas an der Situation ändern.,We have to change something about the situation.,an,Wir müssen etwas _____ der Situation ändern.
108,4,,anfangen,mit,,to start with,Sie fängt mit dem Lernen an.,She starts learning.,mit,Sie fängt _____ dem Lernen an.
109,4,,anfangen,mit,,to start with,Ich fange mit der Arbeit um 9 Uhr an.,I start work at 9 o'clock.,mit,Ich fange _____ der Arbeit um 9 Uhr an.
110,4,,anrufen,bei,,to call at,Ich rufe bei der Firma an.,I call the company.,bei,Ich rufe _____ der Firma an.
111,4,,anrufen,bei,,to call at,Er ruft bei seiner Mutter an.,He calls his mother.,bei,Er ruft _____ seiner Mutter an.
112,4,,antworten,auf,,to answer to,Ich antworte auf deine Frage.,I answer your question.,auf,Ich antworte _____ deine Frage.
113,4,,antworten,auf,,to answer to,Er antwortet auf die E-Mail.,He answers the email.,auf,Er antwortet _____ die E-Mail.
114,4,,aufhören,mit,,to stop with,Wir hören mit dem Rauchen auf.,We stop smoking.,mit,Wir hören _____ dem Rauchen auf.
115,4,,aufhören,mit,,to stop with,Sie hört mit der Arbeit um 18 Uhr auf.,She stops working at 6 PM.,mit,Sie hört _____ der Arbeit um 18 Uhr auf.
116,4,,beginnen,mit,,to begin with,Ich beginne mit dem neuen Projekt.,I start with the new project.,mit,Ich beginne _____ dem neuen Projekt.
117,4,,beginnen,mit,,to begin with,Er beginnt mit dem Studium.,He starts studying.,mit,Er beginnt _____ dem Studium.
118,4,,bitten,um,,to ask for / plead for,Ich bitte um Hilfe.,I ask for help.,um,Ich bitte _____ Hilfe.
119,4,,bitten,um,,to ask for / plead for,Er bittet um einen Gefallen.,He asks for a favor.,um,Er bittet _____ einen Gefallen.
120,4,,danken,für,,to thank for,Ich danke dir für deine Hilfe.,I thank you for your help.,für,Ich danke dir _____ deine Hilfe.
121,4,,danken,für,,to thank for,Wir danken unseren Eltern für alles.,We thank our parents for everything.,für,Wir danken unseren Eltern _____ alles.
122,4,,diskutieren,über,,to discuss about,Wir diskutieren über das Problem.,We discuss the problem.,über,Wir diskutieren _____ das Problem.
123,4,,diskutieren,über,,to discuss about,Sie diskutiert über Politik.,She discusses politics.,über,Sie diskutiert _____ Politik.
124,4,,diskutieren,mit,,to discuss with,Ich diskutiere mit meinem Freund.,I discuss with my friend.,mit,Ich diskutiere _____ meinem Freund.
125,4,,diskutieren,mit,,to discuss with,Er diskutiert mit seinen Kollegen.,He discusses with his colleagues.,mit,Er diskutiert _____ seinen Kollegen.
126,4,,einladen,zu,,to invite to,Ich lade dich zu meiner Party ein.,I invite you to my party.,zu,Ich lade dich _____ meiner Party ein.
127,4,,einladen,zu,,to invite to,Er lädt uns zu seinem Geburtstag ein.,He invites us to his birthday.,zu,Er lädt uns _____ seinem Geburtstag ein.
128,4,sich,erinnern,an,,to recall / remember,Ich erinnere mich an meine Kindheit.,I remember my childhood.,an,Ich erinnere mich _____ meine Kindheit.
129,4,sich,erinnern,an,,to recall / remember,Sie erinnert sich an den Urlaub.,She remembers the vacation.,an,Sie erinnert sich _____ den Urlaub.
130,4,,erzählen,über,A,to talk of / about,Sie hat über ihre Reise nach Afrika erzählt.,She talked about her trip to Africa.,über,Sie hat _____ ihre Reise nach Afrika erzählt.
131,4,,erzählen,über,A,to talk of / about,Er erzählt über die Geschichte seiner Familie.,He talks about the history of his family.,über,Er erzählt _____ die Geschichte seiner Familie.
132,4,,erzählen,von,,to tell about,Sie hat von ihrer Kindheit erzählt.,She told about her childhood.,von,Sie hat _____ ihrer Kindheit erzählt.
133,4,,erzählen,von,,to tell about,"Er erzählte von einem interessanten Buch, das er gelesen hat.",He told about an interesting book he read.,von,"Er erzählte _____ einem interessanten Buch, das er gelesen hat."
134,4,sich,freuen,auf,,to look forward to,Ich freue mich auf den Sommer.,I am looking forward to summer.,auf,Ich freue mich _____ den Sommer.
135,4,sich,freuen,auf,,to look forward to,Er freut sich auf den Besuch.,He is looking forward to the visit.,auf,Er freut sich _____ den Besuch.
136,4,sich,freuen,über,,to rejoice about,Ich freue mich über dein Geschenk.,I am happy about your gift.,über,Ich freue mich _____ dein Geschenk.
137,4,sich,freuen,über,,to rejoice about,Sie freut sich über die gute Nachricht.,She is happy about the good news.,über,Sie freut sich _____ die gute Nachricht.
138,4,,führen,zu,,to lead to,Diese Regel führt zu Problemen.,This rule leads to problems.,zu,Diese Regel führt _____ Problemen.
139,4,,führen,zu,,to lead to,Sein Verhalten führt zu Missverständnissen.,His behavior leads to misunderstandings.,zu,Sein Verhalten führt _____ Missverständnissen.
140,4,,gehören,zu,,to belong to,Dieses Buch gehört zu meiner Sammlung.,This book belongs to my collection.,zu,Dieses Buch gehört _____ meiner Sammlung.
141,4,,gehören,zu,,to belong to,Er gehört zu den besten Spielern.,He belongs to the best players.,zu,Er gehört _____ den besten Spielern.
142,4,,helfen,bei,,to help with,Ich helfe dir bei den Hausaufgaben.,I help you with your homework.,bei,Ich helfe dir _____ den Hausaufgaben.
143,4,,helfen,bei,,to help with,Er hilft bei der Organisation.,He helps with the organization.,bei,Er hilft _____ der Organisation.
144,4,,hören,von,,to hear of,Ich habe noch nichts von ihm gehört.,I haven't heard from him yet.,von,Ich habe noch nichts _____ ihm gehört.
145,4,,hören,von,,to hear of,Hast du etwas von dem Unfall gehört?,Have you heard about the accident?,von,Hast du etwas _____ dem Unfall gehört?
146,4,,lachen,über,,to laugh about,Wir lachen über den Witz.,We laugh about the joke.,über,Wir lachen _____ den Witz.
147,4,,lachen,über,,to laugh about,Sie lacht über seine Geschichte.,She laughs about his story.,über,Sie lacht _____ seine Geschichte.
148,4,,passen,zu,,"to match with, to pair with",Dieses Kleid passt zu deinen Schuhen.,This dress matches your shoes.,zu,Dieses Kleid passt _____ deinen Schuhen.
149,4,,passen,zu,,"to match with, to pair with",Sein Verhalten passt nicht zu seinem Alter.,His behavior doesn’t match his age.,zu,Sein Verhalten passt nicht _____ seinem Alter.
150,4,,reden,über,,to talk about something,Sie hat über ihre Karriere als Sängerin geredet.,She talked about her career as a singer.,über,Sie hat _____ ihre Karriere als Sängerin geredet.
151,4,,reden,über,,to talk about something,"Wir reden oft über Politik, wenn wir uns treffen.",We often talk about politics when we meet.,über,"Wir reden oft _____ Politik, wenn wir uns treffen."
152,4,,reden,von,,to talk of something,"Sie reden immer von ihren Nachbarn, wenn wir sie besuchen.",They always talk about their neighbors when we visit.,von,"Sie reden immer _____ ihren Nachbarn, wenn wir sie besuchen."
153,4,,reden,von,,to talk of something,"Er redet von seiner Kindheit, aber nur selten.","He talks about his childhood, but only rarely.",von,"Er redet _____ seiner Kindheit, aber nur selten."
154,4,,sprechen,über,,to talk about,Wir haben lange über den Klimawandel gesprochen.,We had a long discussion about climate change.,über,Wir haben lange _____ den Klimawandel gesprochen.
155,4,,sprechen,über,,to talk about,Der Professor hat ausführlich über die Geschichte des antiken Roms gesprochen.,The professor talked extensively about the history of ancient Rome.,über,Der Professor hat ausführlich _____ die Geschichte des antiken Roms gesprochen.
156,4,,sprechen,von,,to speak of,Er hat von seinem neuen Job gesprochen.,He briefly spoke about his new job.,von,Er hat _____ seinem neuen Job gesprochen.
157,4,,sprechen,von,,to speak of,Er hat nur kurz von der Party gesprochen.,"He mentioned the party in passing, but didn’t go into detail.",von,Er hat nur kurz _____ der Party gesprochen.
158,4,,träumen,von,,to dream of,Ich träume von einem schönen Urlaub.,I dream of a nice vacation.,von,Ich träume _____ einem schönen Urlaub.
159,4,,träumen,von,,to dream of,Er träumt von einem besseren Leben.,He dreams of a better life.,von,Er träumt _____ einem besseren Leben.
160,4,,verstehen,von,,to be versed in / skilled in,Ich verstehe nichts von Mathe.,I don’t understand anything about math.,von,Ich verstehe nichts _____ Mathe.
161,4,,verstehen,von,,to be versed in / skilled in,Er versteht viel von Technik.,He understands a lot about technology.,von,Er versteht viel _____ Technik.
162,4,sich,verstehen,mit,,to get along with,Ich verstehe mich gut mit meiner Schwester.,I get along well with my sister.,mit,Ich verstehe mich gut _____ meiner Schwester.
163,4,sich,verstehen,mit,,to get along with,Er versteht sich mit seinen Kollegen.,He gets along with his colleagues.,mit,Er versteht sich _____ seinen Kollegen.
164,4,,wählen,zu,,to elect to,Wir wählen ihn zum Klassensprecher.,We elect him as class representative.,zum,Wir wählen ihn _____ Klassensprecher.
165,4,,wählen,zu,,to elect to,Sie wurde zur Chefin gewählt.,She was elected as the boss.,zur,Sie wurde _____ Chefin gewählt.
166,4,,wissen,über,,to know about,Was weißt du über die neue Kollegin?,What do you know about the new colleague?,über,Was weißt du _____ die neue Kollegin?
167,4,,wissen,über,,to know about,Ich weiß viel über die Kultur Japans.,I know a lot about Japanese culture.,über,Ich weiß viel _____ die Kultur Japans.
168,4,,wissen,von,,to know about,Weißt du von dem neuen Projekt?,Do you know about the new project?,von,Weißt du _____ dem neuen Projekt?
169,4,,wissen,von,,to know about,Er weiß nichts von der Überraschung.,He doesn’t know anything about the surprise.,von,Er weiß nichts _____ der Überraschung.
170,4,,zählen,zu,,to count among,Berlin zählt zu den größten Städten Deutschlands.,Berlin is considered one of the biggest cities in Germany.,zu,Berlin zählt _____ den größten Städten Deutschlands.
171,4,,zählen,zu,,to count among,Er zählt zu den besten Musikern.,He is considered one of the best musicians.,zu,Er zählt _____ den besten Musikern.
172,5,,achten,auf,A,"to watch, to pay attention to",,,,
173,5,,ankommen,auf,A,to depend on,Es kommt auf das Wetter an.,It depends on the weather.,,
174,5,sich,ärgern,über,A,to get angry about / with,,,,
175,5,,aufpassen,auf,A,to watch over,,,,
176,5,,beeilen,mit,D,to hurry with,,,,
177,5,sich,bemühen,um,A,"to strive for, be eager for",,,um,
178,5,sich,beschäftigen,mit,D,"to deal with, to concern onself with, to be occupied with",,,,
179,5,,beschreiben,als,A,to describe as,,,,
180,5,sich,beschweren,über,A,to complain about,,,,
181,5,sich,beschweren,bei,D,to complain to,,,,
182,5,,enden,mit,D,to end with,,,,
183,5,sich,entscheiden,für,A,to decide on,Er hat sich für das rote Auto entschieden.,He decided on the red car.,,
184,5,sich,entscheiden,gegen,A,to decide against,,,,
185,5,sich,entschuldigen,für,A,to apologize for,,,,
186,5,sich,entschuldigen,bei,D,to apologize to,,,,
187,5,,entwickeln,zu,D,to develop into,,,,
188,5,,ergeben,aus,D,to result from,,,,
189,5,,erwarten,von,D,to expect from,,,,
190,5,,fehlen,an,D,to lack,,,,
191,5,,gehen,um,A,"to be about, to revolve around",,,,
192,5,,kämpfen,gegen,A,to fight against,Er kämpft gegen die Ungerechtigkeit.,He fights against injustice.,,
193,5,,kämpfen,um,A,to fight for (something real),,,,
194,5,,kämpfen,für,A,to fight for (something abstract),Sie kämpft für ihre Rechte.,She fights for her rights.,,
195,5,,kämpfen,mit,D,to struggle with,,,,
196,5,sich,kümmern,um,A,to take care of / care for,,,,
197,5,,leben,von,D,to live off,Er lebt von seiner Kunst.,He lives off his art.,,
198,5,,raten,zu,D,to advise to,,,,
199,5,,schmecken,nach,D,to taste like,Der Kuchen schmeckt nach Schokolade.,The cake tastes like chocolate.,,
200,5,sich,schützen,vor,D,to protect oneself from,Er schützt sich vor der Kälte.,He protects himself from the cold.,,
201,5,,sorgen,für,A,to care for,Sie sorgt für die Kinder.,She takes care of the children.,,
202,5,sich,sorgen,um,A,to worry about / for,Sie sorgt sich um ihre Zukunft.,She worries about her future.,,
203,5,,sterben,für,A,to die for,,,,
204,5,,sterben,an,A,to die of,Sie starb an einer schweren Krankheit.,She died from a severe illness.,,
205,5,,stimmen,für,A,to vote for,,,,
206,5,,stimmen,gegen,A,to vote against,,,,
207,5,,vergleichen,mit,D,to compare to / with,,,,
208,5,sich,verlassen,auf,A,to rely on,Man kann sich auf ihn verlassen.,You can rely on him.,,
209,5,,verlieben,in,A,to fall in love with,,,,
210,5,,vertrauen,auf,A,to trust in,,,,
211,5,sich,vorbereiten,auf,A,to prepare oneself for,Wir bereiten uns auf die Prüfung vor.,We are preparing for the exam.,,
212,5,,weinen,über,A,to cry about,,,,
213,5,,wirken,auf,A,"to affect, to have an effect on",,,,
214,6,,achten,auf,,,Du solltest mehr auf deine Gesundheit achten.,You should pay more attention to your health.,auf,Du solltest mehr _____ deine Gesundheit achten.
215,6,,achten,auf,,,"Ich achte auf die Umwelt, indem ich weniger Plastik benutze.",I pay attention to the environment by using less plastic.,auf,"Ich achte _____ die Umwelt, indem ich weniger Plastik benutze."
216,6,,ankommen,auf,,,"Es kommt auf das Wetter an, ob wir morgen wandern gehen.",It depends on the weather whether we go hiking tomorrow.,auf,"Es kommt _____ das Wetter an, ob wir morgen wandern gehen."
217,6,,ankommen,auf,,,Beim Bewerbungsgespräch kommt es auf die richtige Kleidung an.,"In a job interview, the right clothing matters.",auf,Beim Bewerbungsgespräch kommt es _____ die richtige Kleidung an.
218,6,,ärgern,über,,,Ich ärgere mich über die ständigen Zugverspätungen.,I get annoyed about the constant train delays.,über,Ich ärgere mich _____ die ständigen Zugverspätungen.
219,6,,ärgern,über,,,Er ärgert sich über seine schlechte Note in Mathematik.,He is annoyed about his bad grade in math.,über,Er ärgert sich _____ seine schlechte Note in Mathematik.
220,6,,aufpassen,auf,,,"Kannst du bitte auf meinen Hund aufpassen, während ich weg bin?",Can you please take care of my dog while I am away?,auf,"Kannst du bitte _____ meinen Hund aufpassen, während ich weg bin?"
221,6,,aufpassen,auf,,,Er passt immer auf seine kleine Schwester auf.,He always takes care of his little sister.,auf,Er passt immer _____ seine kleine Schwester auf.
222,6,,beeilen,mit,,,"Beeil dich mit dem Essen, wir müssen los!","Hurry up with your food, we have to leave!",mit,"Beeil dich _____ dem Essen, wir müssen los!"
223,6,,beeilen,mit,,,"Ich muss mich mit der Arbeit beeilen, sonst verpasse ich meinen Termin.","I have to hurry with my work, otherwise I will miss my appointment.",mit,"Ich muss mich _____ der Arbeit beeilen, sonst verpasse ich meinen Termin."
224,6,,bemühen,um,,,Sie bemüht sich um einen Studienplatz an einer renommierten Universität.,She is striving for a place at a prestigious university.,um,Sie bemüht sich _____ einen Studienplatz an einer renommierten Universität.
225,6,,berichten,über,,,Die Journalistin berichtete ausführlich über die aktuellen Ereignisse.,The journalist reported extensively on the current events.,über,Die Journalistin berichtete ausführlich _____ die aktuellen Ereignisse.
226,6,,beschäftigen,mit,,,Er beschäftigt sich gerne mit Technik.,He enjoys dealing with technology.,mit,Er beschäftigt sich gerne _____ Technik.
227,6,,beschäftigen,mit,,,Wir haben uns lange mit diesem Problem beschäftigt.,We spent a long time dealing with this problem.,mit,Wir haben uns lange _____ diesem Problem beschäftigt.
228,6,,beschreiben,als,,,Er beschreibt die Stadt als sehr lebendig.,He describes the city as very lively.,als,Er beschreibt die Stadt _____ sehr lebendig.
229,6,,beschreiben,als,,,Das Buch wird oft als Meisterwerk beschrieben.,The book is often described as a masterpiece.,als,Das Buch wird oft _____ Meisterwerk beschrieben.
230,6,,beschweren,über,,,Ich habe mich über den schlechten Service im Restaurant beschwert.,I complained about the bad service in the restaurant.,über,Ich habe mich _____ den schlechten Service im Restaurant beschwert.
231,6,,beschweren,über,,,Viele Bürger beschweren sich über die hohen Steuern.,Many citizens complain about high taxes.,über,Viele Bürger beschweren sich _____ die hohen Steuern.
232,6,,beschweren,bei,,,Sie hat sich bei der Lehrerin über die schwierige Prüfung beschwert.,She complained to the teacher about the difficult exam.,bei,Sie hat sich _____ der Lehrerin über die schwierige Prüfung beschwert.
233,6,,beschweren,bei,,,Ich beschwere mich beim Chef über meinen Kollegen.,I am complaining to the boss about my colleague.,beim,Ich beschwere mich _____ Chef über meinen Kollegen.
234,6,,enden,mit,,,Der Film endet mit einer Überraschung.,The movie ends with a surprise.,mit,Der Film endet _____ einer Überraschung.
235,6,,enden,mit,,,Das Gespräch endete mit einem Kompromiss.,The conversation ended with a compromise.,mit,Das Gespräch endete _____ einem Kompromiss.
236,6,,entscheiden,für,,,Ich habe mich für das teurere Handy entschieden.,I decided on the more expensive phone.,für,Ich habe mich _____ das teurere Handy entschieden.
237,6,,entscheiden,für,,,Er hat sich für ein Studium in Berlin entschieden.,He decided to study in Berlin.,für,Er hat sich _____ ein Studium in Berlin entschieden.
238,6,,entscheiden,gegen,,,Wir haben uns gegen den Kauf des Hauses entschieden.,We decided against buying the house.,gegen,Wir haben uns _____ den Kauf des Hauses entschieden.
239,6,,entscheiden,gegen,,,Er entschied sich gegen das Jobangebot.,He decided against the job offer.,gegen,Er entschied sich _____ das Jobangebot.
