Nr,level,german,english,type,answer,question,case,gender
48,1,Der Staat ist reich.,,,Der,_____ Staat ist reich.,nominative,masculine
49,1,Das Ziel ist weit.,,,Das,_____ Ziel ist weit.,nominative,neuter
50,1,Der Freund sind nett.,,,Der,_____ Freund sind nett.,nominative,plural
51,1,Das Thema ist interessant.,,,Das,_____ Thema ist interessant.,nominative,neuter
52,1,Die Person ist freundlich.,,,Die,_____ Person ist freundlich.,nominative,feminine
53,1,Die Nacht ist dunkel.,,,Die,_____ Nacht ist dunkel.,nominative,feminine
54,1,Der Raum ist groß.,,,Der,_____ Raum ist groß.,nominative,masculine
55,1,Der Blick ist schön.,,,Der,_____ Blick ist schön.,nominative,masculine
56,1,Der Platz ist leer.,,,Der,_____ Platz ist leer.,nominative,masculine
57,1,Die Zahl ist hoch.,,,Die,_____ Zahl ist hoch.,nominative,feminine
58,1,Die Uhr ist kaputt.,,,Die,_____ Uhr ist kaputt.,nominative,feminine
59,1,Die Eltern sind nett.,,,Die,_____ Eltern sind nett.,nominative,plural
60,1,Das Jahrhundert ist lang.,,,Das,_____ Jahrhundert ist lang.,nominative,neuter
61,1,Der Sohn ist klug.,,,Der,_____ Sohn ist klug.,nominative,masculine
62,1,Das Werk ist bekannt.,,,Das,_____ Werk ist bekannt.,nominative,neuter
63,1,Die Richtung ist richtig.,,,Die,_____ Richtung ist richtig.,nominative,feminine
64,1,Das Programm ist neu.,,,Das,_____ Programm ist neu.,nominative,neuter
65,1,Die Angst ist groß.,,,Die,_____ Angst ist groß.,nominative,feminine
66,1,Die Information ist wichtig.,,,Die,_____ Information ist wichtig.,nominative,feminine
67,1,Die Kunst ist schön.,,,Die,_____ Kunst ist schön.,nominative,feminine
68,1,Die Musik ist laut.,,,Die,_____ Musik ist laut.,nominative,feminine
69,1,Die Politiken sind kompliziert.,,,Die,_____ Politiken sind kompliziert.,nominative,plural
70,1,Der Beruf ist spannend.,,,Der,_____ Beruf ist spannend.,nominative,masculine
71,1,Die Regel ist klar.,,,Die,_____ Regel ist klar.,nominative,feminine
72,1,Der Gott ist mächtig.,,,Der,_____ Gott ist mächtig.,nominative,masculine
73,1,Das Auto ist schnell.,,,Das,_____ Auto ist schnell.,nominative,neuter
74,1,Der Tisch ist aus Holz.,,,Der,_____ Tisch ist aus Holz.,nominative,masculine
75,1,Das Spiel ist spannend.,,,Das,_____ Spiel ist spannend.,nominative,neuter
76,1,Das Licht ist hell.,,,Das,_____ Licht ist hell.,nominative,neuter
77,1,Der Markt ist groß.,,,Der,_____ Markt ist groß.,nominative,masculine
78,1,Die Tochter ist freundlich.,,,Die,_____ Tochter ist freundlich.,nominative,feminine
79,1,Die Kirchen sind alt.,,,Die,_____ Kirchen sind alt.,nominative,plural
80,1,Die Frage ist einfach.,,,Die,_____ Frage ist einfach.,nominative,feminine
81,1,Das Haus ist groß.,,,Das,_____ Haus ist groß.,nominative,neuter
82,1,Die Leute sind freundlich.,,,Die,_____ Leute sind freundlich.,nominative,feminine
83,1,Die Arbeit ist schwer.,,,Die,_____ Arbeit ist schwer.,nominative,feminine
84,1,Das Prozent ist hoch.,,,Das,_____ Prozent ist hoch.,nominative,neuter
85,1,Die Hand ist klein.,,,Die,_____ Hand ist klein.,nominative,feminine
86,1,Die Stadt ist alt.,,,Die,_____ Stadt ist alt.,nominative,feminine
87,1,Der Herr ist müde.,,,Der,_____ Herr ist müde.,nominative,masculine
88,1,Das Problem ist groß.,,,Das,_____ Problem ist groß.,nominative,neuter
89,1,Die Welt sind schön.,,,Die,_____ Welt sind schön.,nominative,plural
90,1,Das Jahr haben zwölf Monate.,,,Das,_____ Jahr haben zwölf Monate.,nominative,neuter
91,1,Das Mal ist anders als vorher.,,,Das,_____ Mal ist anders als vorher.,nominative,neuter
92,1,Das Beispiel ist sehr einfach.,,,Das,_____ Beispiel ist sehr einfach.,nominative,neuter
93,1,Die Zeit ist knapp.,,,Die,_____ Zeit ist knapp.,nominative,feminine
94,1,Die Frau sind nett.,,,Die,_____ Frau sind nett.,nominative,feminine
95,1,Der Mensch ist intelligent.,,,Der,_____ Mensch ist intelligent.,nominative,masculine
96,1,Das Kind ist klein.,,,Das,_____ Kind ist klein.,nominative,neuter
97,1,Der Tag ist schön.,,,Der,_____ Tag ist schön.,nominative,masculine
98,1,Der Mann sind stark.,,,Der,_____ Mann sind stark.,nominative,masculine
99,1,Das Land ist groß.,,,Das,_____ Land ist groß.,nominative,neuter
100,2,Ich sehe das Ende des Films.,,,das,Ich sehe _____ Ende des Films.,accusative,neuter
101,2,Er hat die Million gewonnen.,,,die,Er hat _____ Million gewonnen.,accusative,feminine
102,2,Wir besuchen die Schule jeden Tag.,,,die,Wir besuchen _____ Schule jeden Tag.,accusative,feminine
103,2,Ich plane die Woche im Voraus.,,,die,Ich plane _____ Woche im Voraus.,accusative,feminine
104,2,Sie ruft den Vater an.,,,den,Sie ruft _____ Vater an.,accusative,masculine
105,2,Ich lese die Seite im Buch.,,,die,Ich lese _____ Seite im Buch.,accusative,feminine
106,2,Er genießt das Leben.,,,das,Er genießt _____ Leben.,accusative,neuter
107,2,Wir besuchen die Mutter am Wochenende.,,,die,Wir besuchen _____ Mutter am Wochenende.,accusative,feminine
108,2,Sie schützt das Auge mit einer Brille.,,,das,Sie schützt _____ Auge mit einer Brille.,accusative,neuter
109,2,Er schreibt die Wörter auf.,,,das,Er schreibt die Wörter auf.,accusative,plural
110,2,Er spart das Geld.,,,das,Er spart _____ Geld.,accusative,neuter
111,2,Wir nehmen den Weg durch den Park.,,,den,Wir nehmen _____ Weg durch den Park.,accusative,masculine
112,2,Ich lerne die Stunde lang.,,,die,Ich lerne _____ Stunde lang.,accusative,feminine
113,2,Ich kenne den Namen nicht.,,,den,Ich kenne _____ Namen nicht.,accusative,masculine
114,2,Er hält den Kopf hoch.,,,den,Er hält _____ Kopf hoch.,accusative,masculine
115,2,Ich sehe das Paar auf der Straße.,,,das,Ich sehe _____ Paar auf der Straße.,accusative,neuter
116,2,Wir unterstützen das Unternehmen.,,,das,Wir unterstützen _____ Unternehmen.,accusative,neuter
117,2,Sie malt das Bild.,,,das,Sie malt _____ Bild.,accusative,neuter
118,2,Er liest das Buch.,,,das,Er liest _____ Buch.,accusative,neuter
119,2,Ich trinke die Wasser.,,,das,Ich trinke die Wasser.,accusative,plural
120,2,Er findet die Stelle interessant.,,,die,Er findet _____ Stelle interessant.,accusative,feminine
121,2,Ich ändere die Form des Designs.,,,die,Ich ändere _____ Form des Designs.,accusative,feminine
122,2,Wir feiern den Monat des Herbstes.,,,den,Wir feiern _____ Monat des Herbstes.,accusative,masculine
123,2,Sie liebt die Familie sehr.,,,die,Sie liebt _____ Familie sehr.,accusative,feminine
124,2,Ich genieße den Morgen mit Kaffee.,,,den,Ich genieße _____ Morgen mit Kaffee.,accusative,masculine
125,2,Wir verbringen den Abend zusammen.,,,den,Wir verbringen _____ Abend zusammen.,accusative,masculine
126,2,Ich verstehe den Sinn des Wortes.,,,den,Ich verstehe _____ Sinn des Wortes.,accusative,masculine
127,2,Er kennt den Staat gut.,,,den,Er kennt _____ Staat gut.,accusative,masculine
128,2,Wir erreichen das Ziel bald.,,,das,Wir erreichen _____ Ziel bald.,accusative,neuter
129,2,Ich besuche die Freunde in Berlin.,,,den,Ich besuche die Freunde in Berlin.,accusative,plural
130,2,Er diskutiert das Thema im Kurs.,,,das,Er diskutiert _____ Thema im Kurs.,accusative,neuter
131,2,Ich kenne die Person nicht.,,,die,Ich kenne _____ Person nicht.,accusative,feminine
132,2,Sie verbringt die Nacht im Hotel.,,,die,Sie verbringt _____ Nacht im Hotel.,accusative,feminine
133,2,Wir betreten den Raum leise.,,,den,Wir betreten _____ Raum leise.,accusative,masculine
134,2,Ich genieße den Blick auf das Meer.,,,den,Ich genieße _____ Blick auf das Meer.,accusative,masculine
135,2,Er reserviert den Platz für uns.,,,den,Er reserviert _____ Platz für uns.,accusative,masculine
136,2,Ich schreibe die Zahl auf.,,,die,Ich schreibe _____ Zahl auf.,accusative,feminine
137,2,Ich kaufe die Uhr im Geschäft.,,,die,Ich kaufe _____ Uhr im Geschäft.,accusative,feminine
138,2,Wir besuchen die Eltern am Sonntag.,,,die,Wir besuchen _____ Eltern am Sonntag.,accusative,plural
139,2,Ich überquere die Straße.,,,die,Ich überquere _____ Straße.,accusative,feminine
140,2,Ich warte die Minute.,,,die,Ich warte _____ Minute.,accusative,feminine
141,2,Er sieht die Gruppe im Park.,,,die,Er sieht _____ Gruppe im Park.,accusative,feminine
142,2,Ich verstehe den Wert dieser Idee.,,,den,Ich verstehe _____ Wert dieser Idee.,accusative,masculine
143,2,Sie wäscht das Gesicht mit Wasser.,,,das,Sie wäscht _____ Gesicht mit Wasser.,accusative,neuter
144,2,Wir lernen die Sprache in der Schule.,,,die,Wir lernen _____ Sprache in der Schule.,accusative,feminine
145,2,Ich besuche den Ort jedes Jahr.,,,den,Ich besuche _____ Ort jedes Jahr.,accusative,masculine
146,2,Er genießt den Moment.,,,den,Er genießt _____ Moment.,accusative,masculine
147,2,Ich habe das Interesse an diesem Thema.,,,das,Ich habe _____ Interesse an diesem Thema.,accusative,neuter
148,2,Er spielt die Rollen gut.,,,die,Er spielt _____ Rollen gut.,accusative,plural
149,2,Sie öffnet die Tür.,,,die,Sie öffnet _____ Tür.,accusative,feminine
150,2,Der Lehrer hilft den Schüler.,,,den,Der Lehrer hilft _____ Schüler.,accusative,masculine
151,2,Ich lese den Text im Buch.,,,den,Ich lese _____ Text im Buch.,accusative,masculine
152,2,Er isst das Stück Kuchen.,,,das,Er isst _____ Stück Kuchen.,accusative,neuter
153,2,Wir mieten die Wohnung.,,,die,Wir mieten _____ Wohnung.,accusative,feminine
154,2,Er misst den Meter mit dem Lineal.,,,den,Er misst _____ Meter mit dem Lineal.,accusative,masculine
155,2,Ich setze den Punkt am Ende des Satzes.,,,den,Ich setze _____ Punkt am Ende des Satzes.,accusative,masculine
156,2,Sie erklärt die Situation.,,,die,Sie erklärt _____ Situation.,accusative,feminine
157,2,Ich sehe den Lehrer in der Schule.,,,den,Ich sehe _____ Lehrer in der Schule.,accusative,masculine
158,2,Er bezahlt die Preise.,,,die,Er bezahlt _____ Preise.,accusative,plural
159,2,Ich studiere das Jahrhundert der Geschichte.,,,das,Ich studiere _____ Jahrhundert der Geschichte.,accusative,neuter
160,2,Sie sieht den Sohn im Garten.,,,den,Sie sieht _____ Sohn im Garten.,accusative,masculine
161,2,Er kennt das Werk des Künstlers.,,,das,Er kennt _____ Werk des Künstlers.,accusative,neuter
162,2,Wir nehmen die Richtung nach Süden.,,,die,Wir nehmen _____ Richtung nach Süden.,accusative,feminine
163,2,Ich installiere das Programm auf dem Computer.,,,das,Ich installiere _____ Programm auf dem Computer.,accusative,neuter
164,2,Er fühlt die Angst in seinem Herzen.,,,die,Er fühlt _____ Angst in seinem Herzen.,accusative,feminine
165,2,Sie sucht die Information online.,,,die,Sie sucht _____ Information online.,accusative,feminine
166,2,Wir bewundern die Kunst im Museum.,,,die,Wir bewundern _____ Kunst im Museum.,accusative,feminine
167,2,Er hört die Musik im Radio.,,,die,Er hört _____ Musik im Radio.,accusative,feminine
168,2,Sie diskutiert die Politiken in der Zeitung.,,,die,Sie diskutiert _____ Politiken in der Zeitung.,accusative,plural
169,2,Ich lerne den Beruf in der Ausbildung.,,,den,Ich lerne _____ Beruf in der Ausbildung.,accusative,masculine
170,2,Wir befolgen die Regel in der Schule.,,,die,Wir befolgen _____ Regel in der Schule.,accusative,feminine
171,2,Er verehrt den Gott seiner Religion.,,,den,Er verehrt _____ Gott seiner Religion.,accusative,masculine
172,2,Er fährt das Auto zur Arbeit.,,,das,Er fährt _____ Auto zur Arbeit.,accusative,neuter
173,2,Sie deckt den Tisch für das Abendessen.,,,den,Sie deckt _____ Tisch für das Abendessen.,accusative,masculine
174,2,Ich spiele das Spiel mit meinen Freunden.,,,das,Ich spiele _____ Spiel mit meinen Freunden.,accusative,neuter
175,2,Er schaltet das Licht aus.,,,das,Er schaltet _____ Licht aus.,accusative,neuter
176,2,Sie besucht den Markt jeden Samstag.,,,den,Sie besucht _____ Markt jeden Samstag.,accusative,masculine
177,2,Er liebt die Tochter sehr.,,,die,Er liebt _____ Tochter sehr.,accusative,feminine
178,2,Wir besuchen die Kirchen am Sonntag.,,,die,Wir besuchen _____ Kirchen am Sonntag.,accusative,plural
179,2,Ich sehe das Jahr auf dem Kalender.,,,das,Ich sehe _____ Jahr auf dem Kalender.,accusative,neuter
180,2,Ich erinnere mich an das Mal.,,,das,Ich erinnere mich an _____ Mal.,accusative,neuter
181,2,Er gibt das Beispiel im Unterricht.,,,das,Er gibt _____ Beispiel im Unterricht.,accusative,neuter
182,2,Wir brauchen die Zeit für das Projekt.,,,die,Wir brauchen _____ Zeit für das Projekt.,accusative,feminine
183,2,Er kennt die Frau gut.,,,die,Er kennt _____ Frau gut.,accusative,feminine
184,2,Ich treffe den Menschen im Park.,,,den,Ich treffe _____ Menschen im Park.,accusative,masculine
185,2,Sie liebt das Kind sehr.,,,das,Sie liebt _____ Kind sehr.,accusative,neuter
186,2,Wir genießen den Tag am Strand.,,,den,Wir genießen _____ Tag am Strand.,accusative,masculine
187,2,Sie sieht den Mann im Restaurant.,,,den,Sie sieht _____ Mann im Restaurant.,accusative,masculine
188,2,Wir besuchen die Länder im Sommer.,,,die,Wir besuchen _____ Länder im Sommer.,accusative,plural
189,2,Er beantwortet die Frage richtig.,,,die,Er beantwortet _____ Frage richtig.,accusative,feminine
190,2,Sie kauft das Haus in der Stadt.,,,das,Sie kauft _____ Haus in der Stadt.,accusative,neuter
191,2,Ich treffe die Leute am Bahnhof.,,,die,Ich treffe _____ Leute am Bahnhof.,accusative,feminine
192,2,Sie erledigt die Arbeit schnell.,,,die,Sie erledigt _____ Arbeit schnell.,accusative,feminine
193,2,Ich berechne das Prozent.,,,das,Ich berechne _____ Prozent.,accusative,neuter
194,2,Er hält die Hand seines Freundes.,,,die,Er hält _____ Hand seines Freundes.,accusative,feminine
195,2,Wir besuchen die Stadt am Wochenende.,,,die,Wir besuchen _____ Stadt am Wochenende.,accusative,feminine
196,2,Ich rufe den Herrn am Telefon an.,,,den,Ich rufe _____ Herrn am Telefon an.,accusative,masculine
197,2,Sie löst das Problem leicht.,,,das,Sie löst _____ Problem leicht.,accusative,neuter
198,2,Er entdeckt die Welten mit Neugier.,,,die,Er entdeckt _____ Welten mit Neugier.,accusative,plural
199,3,Er widmet sich dem Jahrhundert der Geschichte.,,,dem,Er widmet sich _____ Jahrhundert der Geschichte.,dative,masculine
200,3,Sie gibt dem Sohn ein Geschenk.,,,dem,Sie gibt _____ Sohn ein Geschenk.,dative,masculine
201,3,Er vertraut dem Werk des Künstlers.,,,dem,Er vertraut _____ Werk des Künstlers.,dative,masculine
202,3,Ich folge der Richtung des Weges.,,,der,Ich folge _____ Richtung des Weges.,dative,feminine
203,3,Ich helfe dem Programm bei der Installation.,,,dem,Ich helfe _____ Programm bei der Installation.,dative,masculine
204,3,Er stellt sich der Angst.,,,der,Er stellt sich _____ Angst.,dative,feminine
205,3,Sie folgt der Information auf der Website.,,,der,Sie folgt _____ Information auf der Website.,dative,feminine
206,3,Wir danken der Kunst für ihre Schönheit.,,,der,Wir danken _____ Kunst für ihre Schönheit.,dative,feminine
207,3,Er lauscht der Musik.,,,der,Er lauscht _____ Musik.,dative,feminine
208,3,Sie widerspricht den Politiken des Landes.,,,der,Sie wi_____spricht den Politiken des Landes.,dative,plural
209,3,Ich widme mich dem Beruf.,,,dem,Ich widme mich _____ Beruf.,dative,masculine
210,3,Wir folgen der Regel in der Schule.,,,der,Wir folgen _____ Regel in _____ Schule.,dative,feminine
211,3,Er glaubt dem Gott seiner Religion.,,,dem,Er glaubt _____ Gott seiner Religion.,dative,masculine
212,3,Ich nähere mich dem Auto.,,,dem,Ich nähere mich _____ Auto.,dative,masculine
213,3,Er gibt dem Tisch eine neue Farbe.,,,dem,Er gibt _____ Tisch eine neue Farbe.,dative,masculine
214,3,Ich folge dem Spiel mit Spannung.,,,dem,Ich folge _____ Spiel mit Spannung.,dative,masculine
215,3,Er nähert sich dem Licht am Ende des Tunnels.,,,dem,Er nähert sich _____ Licht am Ende des Tunnels.,dative,masculine
216,3,Sie hilft dem Markt mit Werbung.,,,dem,Sie hilft _____ Markt mit Werbung.,dative,masculine
217,3,Er schenkt der Tochter eine Puppe.,,,der,Er schenkt _____ Tochter eine Puppe.,dative,feminine
218,3,Wir danken den Kirchen für ihre Unterstützung.,,,den,Wir danken _____ Kirchen für ihre Unterstützung.,dative,plural
219,3,Ich folge der Straße bis zum Park.,,,der,Ich folge _____ Straße bis zum Park.,dative,feminine
220,3,Ich widme der Minute meine volle Aufmerksamkeit.,,,der,Ich widme _____ Minute meine volle Aufmerksamkeit.,dative,feminine
221,3,Er hilft der Gruppe mit den Aufgaben.,,,der,Er hilft _____ Gruppe mit den Aufgaben.,dative,feminine
222,3,Ich vertraue dem Wert dieser Information.,,,dem,Ich vertraue _____ Wert dieser Information.,dative,masculine
223,3,Sie wendet sich dem Gesicht zu.,,,dem,Sie wendet sich _____ Gesicht zu.,dative,masculine
224,3,Wir danken der Sprache für ihre Schönheit.,,,der,Wir danken _____ Sprache für ihre Schönheit.,dative,feminine
225,3,Ich nähere mich dem Ort langsam.,,,dem,Ich nähere mich _____ Ort langsam.,dative,masculine
226,3,Er erinnert sich an dem Moment.,,,dem,Er erinnert sich an _____ Moment.,dative,masculine
227,3,Sie folgt dem Interesse des Publikums.,,,dem,Sie folgt _____ Interesse des Publikums.,dative,masculine
228,3,Er bleibt den Rollen treu.,,,den,Er bleibt _____ Rollen treu.,dative,plural
229,3,Ich stehe der Tür gegenüber.,,,der,Ich stehe _____ Tür gegenüber.,dative,feminine
230,3,Der Lehrer hilft dem Schüler.,,,dem,Der Lehrer hilft _____ Schüler.,dative,masculine
231,3,Ich folge dem Text im Buch.,,,dem,Ich folge _____ Text im Buch.,dative,masculine
232,3,Er gibt dem Stück eine neue Interpretation.,,,dem,Er gibt _____ Stück eine neue Interpretation.,dative,masculine
233,3,Wir helfen der Wohnungssuche.,,,der,Wir helfen _____ Wohnungssuche.,dative,feminine
234,3,Er misst dem Meter mit dem Lineal.,,,dem,Er misst _____ Meter mit _____ Lineal.,dative,masculine
235,3,Ich nähere mich dem Punkt im Text.,,,dem,Ich nähere mich _____ Punkt im Text.,dative,masculine
236,3,Ich passe mich der Situation an.,,,der,Ich passe mich _____ Situation an.,dative,feminine
237,3,Ich danke dem Lehrer für die Hilfe.,,,dem,Ich danke _____ Lehrer für die Hilfe.,dative,masculine
238,3,Er widerspricht den Preisen des Produkts.,,,den,Er widerspricht _____ Preisen des Produkts.,dative,plural
239,3,Er hilft der Stelle mit neuen Ideen.,,,der,Er hilft _____ Stelle mit neuen Ideen.,dative,feminine
240,3,Ich passe der Form an.,,,der,Ich passe _____ Form an.,dative,feminine
241,3,Wir widmen dem Monat besondere Bedeutung.,,,dem,Wir widmen _____ Monat besondere Bedeutung.,dative,masculine
242,3,Sie hilft der Familie oft.,,,der,Sie hilft _____ Familie oft.,dative,feminine
243,3,Ich genieße dem Morgen mit einem Kaffee.,,,dem,Ich genieße _____ Morgen mit einem Kaffee.,dative,masculine
244,3,Wir danken dem Abend für die Ruhe.,,,dem,Wir danken _____ Abend für die Ruhe.,dative,masculine
245,3,Ich vertraue dem Sinn seiner Worte.,,,dem,Ich vertraue _____ Sinn seiner Worte.,dative,masculine
246,3,Er dient dem Staat als Beamter.,,,dem,Er dient _____ Staat als Beamter.,dative,masculine
247,3,Sie nähert sich dem Ziel langsam.,,,dem,Sie nähert sich _____ Ziel langsam.,dative,masculine
248,3,Ich helfe den Freunden mit der Arbeit.,,,den,Ich helfe _____ Freunden mit der Arbeit.,dative,plural
249,3,Wir bleiben dem Thema treu.,,,dem,Wir bleiben _____ Thema treu.,dative,masculine
250,3,Ich danke der Person für ihre Hilfe.,,,der,Ich danke _____ Person für ihre Hilfe.,dative,feminine
251,3,Er widmet sich der Nacht und den Sternen.,,,der,Er widmet sich _____ Nacht und den Sternen.,dative,feminine
252,3,Ich gebe dem Raum eine neue Farbe.,,,dem,Ich gebe _____ Raum eine neue Farbe.,dative,masculine
253,3,Sie folgt dem Blick des Fotografen.,,,dem,Sie folgt _____ Blick des Fotografen.,dative,masculine
254,3,Er nähert sich dem Platz vorsichtig.,,,dem,Er nähert sich _____ Platz vorsichtig.,dative,masculine
255,3,Ich vertraue der Zahl auf dem Formular.,,,der,Ich vertraue _____ Zahl auf dem Formular.,dative,feminine
256,3,Ich glaube der Uhr nicht.,,,der,Ich glaube _____ Uhr nicht.,dative,feminine
257,3,Wir helfen den Eltern im Haushalt.,,,den,Wir helfen _____ Eltern im Haushalt.,dative,plural
258,3,Ich sehe dem Ende des Films entgegen.,,,dem,Ich sehe _____ Ende des Films entgegen.,dative,masculine
259,3,Er vertraut der Million an der Börse.,,,der,Er vertraut _____ Million an der Börse.,dative,feminine
260,3,Wir helfen der Schule mit Spenden.,,,der,Wir helfen _____ Schule mit Spenden.,dative,feminine
261,3,Ich widme der Woche meine Zeit.,,,der,Ich widme _____ Woche meine Zeit.,dative,feminine
262,3,Sie gibt dem Vater ein Geschenk.,,,dem,Sie gibt _____ Vater ein Geschenk.,dative,masculine
263,3,Ich folge der Seite im Buch.,,,der,Ich folge _____ Seite im Buch.,dative,feminine
264,3,Er dankt dem Leben für seine Erfahrungen.,,,dem,Er dankt _____ Leben für seine Erfahrungen.,dative,masculine
265,3,Wir helfen der Mutter im Haushalt.,,,der,Wir helfen _____ Mutter im Haushalt.,dative,feminine
266,3,Sie schützt dem Auge mit einer Brille.,,,dem,Sie schützt _____ Auge mit einer Brille.,dative,masculine
267,3,Ich glaube den Wörtern des Lehrers.,,,den,Ich glaube _____ Wörtern des Lehrers.,dative,plural
268,3,Er vertraut dem Geld nicht.,,,dem,Er vertraut _____ Geld nicht.,dative,masculine
269,3,Ich folge dem Weg zum See.,,,dem,Ich folge _____ Weg zum See.,dative,masculine
270,3,Ich widme der Stunde meine volle Konzentration.,,,der,Ich widme _____ Stunde meine volle Konzentration.,dative,feminine
271,3,Ich erinnere mich an dem Namen.,,,dem,Ich erinnere mich an _____ Namen.,dative,masculine
272,3,Er nickt dem Kopf zu.,,,dem,Er nickt _____ Kopf zu.,dative,masculine
273,3,Ich gratuliere dem Paar zur Hochzeit.,,,dem,Ich gratuliere _____ Paar zur Hochzeit.,dative,masculine
274,3,Wir helfen dem Unternehmen zu wachsen.,,,dem,Wir helfen _____ Unternehmen zu wachsen.,dative,masculine
275,3,Ich zeige dem Bild meine Freunde.,,,dem,Ich zeige _____ Bild meine Freunde.,dative,masculine
276,3,Sie gibt dem Buch eine neue Bedeutung.,,,dem,Sie gibt _____ Buch eine neue Bedeutung.,dative,masculine
277,3,Ich nähere mich den Wassern vorsichtig.,,,den,Ich nähere mich _____ Wassern vorsichtig.,dative,plural
278,3,Ich helfe dem Jahr mit einer neuen Planung.,,,dem,Ich helfe _____ Jahr mit einer neuen Planung.,dative,masculine
279,3,Er gibt dem Mal eine neue Bedeutung.,,,dem,Er gibt _____ Mal eine neue Bedeutung.,dative,masculine
280,3,Sie folgt dem Beispiel ihrer Mutter.,,,dem,Sie folgt _____ Beispiel ihrer Mutter.,dative,masculine
281,3,Ich widme der Zeit meine Aufmerksamkeit.,,,der,Ich widme _____ Zeit meine Aufmerksamkeit.,dative,feminine
282,3,Er schenkt der Frau Blumen.,,,der,Er schenkt _____ Frau Blumen.,dative,feminine
283,3,Ich vertraue dem Menschen.,,,dem,Ich vertraue _____ Menschen.,dative,masculine
