german,english,french
Außerordentliche Übel erfordern außerordentliche Mittel.,Desperate diseases must have desperate remedies. 'Desperate times call for desperate measures'.,Aux grands maux les grands remèdes.
"Bald geben, ist doppelt geben.","He gives twice, who gives in a trice.
<br>Literally: Soon given is doubly given.","Donner vite, c’est donner deux fois."
Bald reif hält nicht steif.,"Early ripe, early rotten.",Ce qui mûrit trop vite ne dure pas.
Barmherzigkeit fängt en zu Hause an.,Charity begins at home.,La charité commence à la maison.
Bedenke das Ende.,"Whatever you do, act wisely, and consider the end.",Pense à la fin.
"Bedenke, dass du sterben musst.",Latin equivalent: Memento mori.,Souviens-toi que tu es mortel.
"Behüte mich Gott vor meinen Freunden, mit den Feinden will ich schon fertig werden.","Defend me from my friends, from my enemies I can defend myself.","Dieu, protège-moi de mes amis ; de mes ennemis, je saurai bien me défendre."
Bei offener Kiste mag auch der Fromme ein Schalk werden.,A nice wife and a back door oft make a rich man poor.,Même le plus pieux peut devenir fripon devant un coffre ouvert.
Beispiele tun oft mehr als viel Wort' und Lehr'.,"Precepts teach, but examples move.",Les exemples valent mieux que de longs discours.
"Beiß nicht in die Hand, die dich füttert.",Do not bite into the hand that feeds you.,Ne mords pas la main qui te nourrit.
Bellende Hunde beißen nicht.,Barking dogs seldom bite.,Chien qui aboie ne mord pas.
Berühre nicht alte Wunden.,It is not wise to open old wounds.,Ne rouvre pas les vieilles blessures.
Besser allein als in schlechter Gesellschaft.,It is better to be alone than to be in bad company.,Mieux vaut être seul que mal accompagné.
Besser arm in Ehren als reich in Schanden.,"A good name is the best of all treasures.
<br>Literally: Better poor in honor than rich in shame.",Mieux vaut pauvre et honnête que riche et déshonoré.
"Besser ein Narr mit allen andern, als ein Weiser und allein.","Better foolish by all than wise by yourself.
<br>Literally: Better a fool with everyone else than a wise man and alone.",Mieux vaut être fou avec les autres que sage tout seul.
"Besser ein Spatz in der Hand, als eine Taube auf dem Dach.","A bird in the hand is worth two in the bush.
<br>Literally: Better a sparrow in the hand than a dove on the roof.",Un tiens vaut mieux que deux tu l’auras.
Besser spät als nie.,Better late than never.,Mieux vaut tard que jamais.
Beurtheile nicht jeden nach deinem eigen Mass.,Do not judge others by your own yardstick.,Ne juge pas les autres à ton propre étalon.
Blinder Eifer ist Feuer ohne Licht.,Zeal without knowledge is a runaway horse.,Le zèle aveugle est un feu sans lumière.
Blödes Herz buhlt keine schöne Frau.,Faint heart never won fair lady.,Un cœur timide ne conquiert pas de belle femme.
Blut ist dicker als Wasser.,Blood is thicker than water.,Le sang est plus épais que l’eau.
Böses mit Gutem vergelten.,"If life gives you lemons, make lemonade.
<br>Literally: Repay evil with good.",Rendre le bien pour le mal.
Da liegt der Hund begraben.,To smell a rat.,C’est là que le bât blesse.
"Das Auge sieht weit, der Verstand noch weiter.",The eye looks but it is the mind that sees.,"L’œil voit loin, mais l’esprit voit plus loin encore."
Das Bessere ist der Feind des guten.,Better is the enemy of good.,Le mieux est l’ennemi du bien.
Das Beste kommt selten hernach.,Bad is the best choice.,Le meilleur vient rarement après.
Das Billige ist immer das Teuerste.,"Buy cheaply, pay dearly.",Le bon marché coûte toujours cher.
Das böse Gewissen verrät sich selbst.,A guilty conscience needs no accuser.,La mauvaise conscience se trahit d’elle-même.
"Das Eisen schmieden, solange es heiß ist.",Strike while the iron is hot.,Il faut battre le fer pendant qu’il est chaud.
Das Glück hilft den Kühnen.,Fortune favors the bold.,La fortune sourit aux audacieux.
Das Herz lügt nicht.,The heart does not lie.,Le cœur ne ment pas.
Das Kind mit dem Bade ausschütten.,Don't throw out the child with the bath water.,Jeter le bébé avec l’eau du bain.
"Das Pferd stirbt oft, ehe das Gras wächst.",While the grass grows the steed starves.,Le cheval meurt souvent avant que l’herbe ne pousse.
Das Weib ist des Mannes größtes Glück oder Unglück.,Choose a wife rather by your ear than your eye.,La femme est la plus grande chance ou la plus grande perte de l’homme.
"Das Wort verhallt, die Schrift bleibt.",Paper is forbearing.,"Les paroles s’envolent, les écrits restent."
Deine Wäsche wasche zu Hause.,It is an ill bird that fouls its own nest; Don't wash your dirty linen in public.,Lave ton linge sale en famille.
"Dem Beichtwater, Arzt und Advokaten darf man nichts verschweigen.","Hide nothing from thy minister, physician and lawyer.","Il ne faut rien cacher à son confesseur, à son médecin ni à son avocat."
"Dem Hahn, der zu früh kräht, dreht man den Hals um.","Patience is a virtue, and a little will not hurt you.","Au coq qui chante trop tôt, on tord le cou."
Dem Trinker kommt der Durst.,Appetite comes with eating.,Qui boit aura soif.
Den Teufel nicht an die Wand malen.,Not to paint the devil on the wall.,Il ne faut pas peindre le diable sur la muraille.
Der Amboss erschrickt vor dem (fürchtet den) Hammer nicht.,A good anvil does not fear the hammer.,L’enclume ne craint pas le marteau.
Der Apfel fällt nicht weit vom Stamm.,The apple does not fall far from the tree.,La pomme ne tombe pas loin de l’arbre.
"Der Arme isst wenn er was hat, der Reiche wenn er will.",Beggars can’t be choosers.,"Le pauvre mange quand il a, le riche quand il veut."
Der Eider dünket seine Ente ein Falk.,Every man thinks his own geese swans.,Chaque canard trouve son caneton beau comme un faucon.
Der Ertrinkende greift nach einem Strohhalm.,A drowning man plucks at a straw.,Un homme qui se noie s’accroche à une paille.
Der Fisch stinkt vom Kopf her.,A fish stinks from the head.,Le poisson pourrit par la tête.
"Der Geizige ist keinem gut, ihm selbst der Ärgste.",The covetous man is good to none and worst to himself.,"L’avare ne fait du bien à personne, pas même à lui-même."
Der gerade Weg ist der beste.,The straight path is the best one.,Le chemin droit est le meilleur.
"Der Gesunde weiß nicht, wie reich er ist.",Health is wealth; Good health is more to be desired than wealth.,Le bien portant ne sait pas combien il est riche.
Der Horcher an der Wand hört seine eigene Schand.,Eavesdroppers hear no good of themselves.,"Tel écoute aux portes, qui entend sa propre honte."
Der Hund bellt und die Karawane geht vorüber.,"The dogs bark, but the caravan moves on.","Le chien aboie, la caravane passe."
Der liebe Gott ist immer mit den stärksten Bataillonen.,God is on the side of the strongest battalions.,Dieu est toujours du côté des plus fortes armées.
"Der Mensch denkt, Gott lenkt.",Man proposes but God disposes.,"L’homme propose, Dieu dispose."
"Der muss einen langen Löffel haben, der mit dem Teufel essen will.",He who sups with the devil needs a long spoon.,Il faut avoir une longue cuillère pour dîner avec le diable.
Der Neid frisst seinen eigenen Herrn.,Envy is its own torturer.,L’envie ronge celui qui l’éprouve.
Der Schein trügt.,Appearances deceive.,Les apparences sont trompeuses.
Der Schuster hat die schlechtesten Schuhe.,The shoemaker goes barefoot.,Les cordonniers sont les plus mal chaussés.
Der Stärkere hat immer Recht.,Might is always right.,La raison du plus fort est toujours la meilleure.
Der Ton macht die Musik.,"It is not what you do, but the way that you do it.",C’est le ton qui fait la musique.
Der Weg zur Hölle ist mit guten Vorsätzen gepflastert.,The road to hell is paved with good intentions.,L’enfer est pavé de bonnes intentions.
Der Wolf beißt das Schaf um Kleinigkeit.,The wolf finds a reason for taking the lamb.,Le loup mord le mouton pour peu de chose.
Des Menschen Wille ist sein Himmelreich.,His own desire leads every man.,La volonté de l’homme est son paradis.
Die Arznei ist oft ärger als das Übel.,The remedy is often worse than the disease.,Le remède est souvent pire que le mal.
Die beste Verteidigung ist der Angriff.,The best defense is a good offense.,"La meilleure défense, c’est l’attaque."
Die besten Gedanken kommen allzeit hinterdrein.,Second thoughts are the best; We shall lose nothing by waiting.,Les meilleures idées viennent toujours après coup.
Die besten Schwimmer ertrinken.,The best swimmers often drown.,Les meilleurs nageurs se noient aussi.
Die Ersten werden die Letzten sein.,"The last will be first, and the first last.",Les premiers seront les derniers.
Die großen Fische fressen die kleinen.,Men are like fish; the great ones devour the small.,Les gros poissons mangent les petits.
Die Nacht ist keines Menschen Freund.,The night is no man's friend.,La nuit n’est l’amie de personne.
Die Ochsen hinter den Wagen spannen.,Don't put the cart before the horse.,Mettre la charrue avant les bœufs.
Die Ratten verlassen das sinkende Schiff.,Rats desert a sinking ship.,Les rats quittent le navire qui coule.
"Die Zeiten ändern sich, und wir ändern uns in ihnen.",Times change and we are changed with them.,"Les temps changent, et nous changeons avec eux."
Doppelt genäht hält besser.,"Good riding at two anchors, men have told, for if the one fails, the other may hold.",Deux précautions valent mieux qu’une.
Du siehst den Wald vor lauter Bäumen nicht.,Missing the forest for the trees.,L’arbre te cache la forêt.
Durch Völlerei kommen mehr um denn durchs Schwert.,Gluttony kills more than the sword.,La gourmandise tue plus d’hommes que l’épée.
"Galle im Herzen, Honig im Mund.",A honey tongue and a heart of gall.,"Bile au cœur, miel à la bouche."
Gebranntes Kind scheut das Feuer.,"Once bitten, twice shy.",Chat échaudé craint l’eau froide.
Geduld bringt Rosen.,"Patience is a virtue, and a little will not hurt you.",La patience apporte des roses.
Geklagtes Leid ist halbes Leid.,A problem shared is a problem halved.,"Chagrin partagé, chagrin allégé."
Geld macht nicht glücklich.,Money can't buy happiness.,L’argent ne fait pas le bonheur.
Gelernt ist gelernt.,What is learned in the cradle lasts to the tomb.,Ce qui est appris est appris.
Gemein Gerücht ist selten erlogen.,Common fame is seldom to blame.,La rumeur publique est rarement sans fondement.
Geschehene Dinge leiden keinen Rath.,"When a thing is done, advice comes too late.",Ce qui est fait est fait.
Geschenk vom Feind ist nicht gut gemeint.,Beware of Greeks bearing gifts.,Le cadeau d’un ennemi n’est jamais sincère.
Geschichte wiederholt sich.,History repeats itself.,L’histoire se répète.
"Gesunder Mann, reicher Mann.",Good health is above wealth.,"Homme en santé, homme riche."
Gesundheit ist besser als Reichtum.,Good health is above wealth.,La santé vaut mieux que la richesse.
"Geteilte Freude ist doppelte Freude, geteilter Schmerz ist halber Schmerz.","Joy shared, joy doubled; sorrow shared, sorrow halved.","Joie partagée, joie doublée ; peine partagée, peine diminuée."
Gezwungen Liebe und gemachte Farbe dauern nicht.,Forced love and self-made colors do not last.,Amour forcé et teint fabriqué ne durent pas.
"Gleich sucht sich, Gleich findet sich.",Birds of a feather flock together.,Qui se ressemble s’assemble.
Gleiche Gemüter suchen sich.,Great minds think alike.,Les esprits semblables se trouvent.
Gleiches muß durch Gleiches geheilt werden.,Fight fire with fire.,Le mal se guérit par son semblable.
Glück bringt Neider.,Envy always shooteth at a high mark.,La chance attire la jalousie.
Goldenes Gebiss macht das Pferd besser.,Fine feathers make fine birds.,Un beau mors ne fait pas un bon cheval.
"Gott bewahre mich vor jemand, der nur ein Büchlein gelesen hat.",Fear the man of one book.,Dieu me garde de celui qui n’a lu qu’un seul livre.
"Gott lässt uns wohl sinken, aber nicht ertrinken.",Bitter pills may have blessed effects.,"Dieu nous laisse sombrer, mais pas nous noyer."
"Gut verloren, etwas verloren; Ehre verloren, viel verloren; Mut verloren, alles verloren.","Courage lost, all lost.","Bien perdu, quelque chose perdu ; honneur perdu, beaucoup perdu ; courage perdu, tout perdu."
Gute Freunde muss man nicht zu viel überlaufen.,Friends are lost by calling often and calling seldom.,Il ne faut pas trop courir après ses bons amis.
Guter Mut ist halber Leib.,Faith is half the battle.,"Bonne humeur, demi-santé."
Guter Wille gilt für die Tat.,Take the will for the deed.,La bonne volonté vaut l’action.
"Halt's Maul, so fliegt dir keine Mücke hinein.",A closed mouth catches no flies.,"Tais-toi, et aucune mouche ne te rentrera dans la bouche."
Hast ist meist ohne Vorteil.,Haste makes waste.,La hâte est rarement bonne conseillère.
"Heute mir, Morgen dir.","Today thee, tomorrow me.","Aujourd’hui à moi, demain à toi."
Hochmut kommt vor dem Fall.,Pride cometh before a fall.,L’orgueil précède la chute.
Hoffen und Harren macht manchen zum Narren.,He that lives on hope shall die fasting.,Espérer et attendre rend parfois fou.
"Hurtig zum Imbiß, hurtig zur Arbeit.","Quick at meat, quick at work.","Vite au repas, vite au travail."
Hütet euch vor den falschen Propheten.,Beware of false prophets.,Méfiez-vous des faux prophètes.
Im Becher ersaufen mehr als im Meer.,Wine has drowned more than the sea.,Plus d’hommes se noient dans le verre que dans la mer.
"Im Glück nicht jubeln, im Sturm nicht zagen.","If fortune favors, beware of being exalted; if fortune thunders, beware of being overwhelmed.","Dans le bonheur, ne triomphe pas ; dans la tempête, ne désespère pas."
Im Hause des Gehenkten rede nicht vom Stricke.,Name not a rope in his house who hanged himself.,"Dans la maison du pendu, ne parle pas de corde."
"Im Scherz klopft man oft, und im Ernst wird auf.",Many a true word is spoken in jest.,On plaisante souvent de ce qu’on finit par faire sérieusement.
In der Furt soll man die Pferde nicht wechseln.,Don't change horses in midstream.,On ne change pas de chevaux au milieu du gué.
In eigener Sache kann niemand Richter sein.,No one can be the judge in his own case.,Nul ne peut être juge dans sa propre cause.
In Zweifelsfalle draußen bleiben.,"When in doubt, leave it out.","En cas de doute, abstiens-toi."
"Je mehr man die Katze streichelt, desto höher trägt sie den Schwanz.","The more you stroke the cat's tail, the more he raises his back.","Plus on caresse le chat, plus il lève la queue."
"Je näher dem Bein, desto süßer das Fleisch.",The sweetest flesh is near the bones.,"Plus près de l’os, plus la viande est tendre."
"Je toller, desto besser.",The more the merrier.,"Plus c’est fou, mieux c’est."
Jedem gefällt das Seine.,The bird loves her own nest.,À chacun son goût.
Jedem Narren gefällt seine Kappe.,Every fool is pleased with his own folly.,Chaque sot aime son bonnet.
Jedes Warum hat seinen Darum.,Every why has a wherefore.,À chaque pourquoi son parce que.
"Jung getollt, alt gezollt.",Reckless youth makes rueful age.,"Folie de jeunesse, rançon de vieillesse."
Kehre vor Deiner eigenen Tür.,Sweep your own doorstep clean.,Balaye devant ta porte.
Kehre vor Deiner eigenen Tür.,Sweep your own doorstep clean.,Balaye devant ta porte.
"Kein Buch so schlecht, es steckt was Gutes drin.",No book was so bad that some good might be got out of it.,Il n’est pas de livre si mauvais qu’on n’y trouve quelque chose de bon.
Keiner weiss wo dem Andern der Schuh drückt.,"No one knows where the shoe pinches, but he who wears it.",Nul ne sait où le soulier blesse son voisin.
Kleine Kessel haben große Ohren.,Little pitchers have big ears.,Les petits chaudrons ont de grandes oreilles.
Krummes Holz gibt auch gerades Feuer.,Crooked logs make straight fires.,Bois tordu fait aussi bon feu.
Lasset die Sonne nicht über eurem Zorne untergehen.,Do not let sunset find you still nursing your anger.,Que le soleil ne se couche pas sur ta colère.
"Lebe wie du kannst, nicht wie du willst.","Do as you may, if you can't do as you could.","Vis comme tu peux, non comme tu veux."
Leichter gesagt als getan.,Easier said than done.,Plus facile à dire qu’à faire.
Lieber ein Ende mit Schmerzen als Schmerzen ohne Ende.,Better an end with pain than pain without end.,Mieux vaut une fin douloureuse qu’une douleur sans fin.
Lügen haben kurze Beine.,A lie has short legs.,Les mensonges ont les jambes courtes.
Man kann die Natur nicht ändern.,What is bred in the bone will not go out of the flesh.,On ne change pas la nature.
Man muss das Eisen schmieden solange es heiß ist.,Strike while the iron is hot.,Il faut battre le fer pendant qu’il est chaud.
Man sieht das Hirn nicht an der Stirn.,Judge not a man and things at first sight.,On ne lit pas l’intelligence sur le front.
Man soll den Tag nicht vor dem Abend loben.,Don't count your chickens before they hatch.,Il ne faut pas vendre la peau de l’ours avant de l’avoir tué.
Mit Honig fängt man Fliegen.,You catch more flies with honey than with vinegar.,On attrape plus de mouches avec du miel qu’avec du vinaigre.
"Mitgefangen, mitgehangen.","Caught together, hanged together.","Pris avec les autres, pendu avec les autres."
Morgenstund hat Gold im Mund.,The early bird catches the worm.,L’avenir appartient à ceux qui se lèvent tôt.
Muth ist halber Leib tägliches Wohlleben.,Faith is half the battle.,"Le courage, c’est la moitié de la santé et du bien-être."
Narren bedürfen der Schellen nicht.,A fool does not need any bells.,Les fous n’ont pas besoin de grelots pour se faire remarquer.
Natur geht vor Lehre.,Nature is beyond all teaching.,La nature l’emporte sur l’enseignement.
Nehmt euch vor einem Ochsen vorn: vor einem Eisel hinten und vor einem Mönch auf allen Seiten in Acht.,"Take heed of an ox before, an ass behind, and a monk on all sides.","Méfie-toi du bœuf par devant, de l’âne par derrière et du moine de tous côtés."
"Neidhard ist gestorben, hat aber viele Kinder hinterlassen.",Envy takes no holiday.,"L’envie est morte, mais elle a laissé beaucoup d’enfants."
Neue Besen kehren gut.,New brooms clean well.,Les nouveaux balais balaient bien.
Nicht alle sind Diebe die der Hund anbellt.,All are not thieves that dogs bark at.,Tous ceux que le chien aboie ne sont pas des voleurs.
Nichts vertrocknet balder als Ihránen.,Nothing dries sooner than tears.,Rien ne se dessèche plus vite que les larmes.
Niemand ist unersetzlich.,No man is indispensable.,Personne n’est irremplaçable.
"Niemand kann sich über das Meer beklagen, der zum zweiten Male Schiffbruch erlitten hat.",No one that has suffered shipwreck for the second time can complain about the sea.,Qui fait naufrage deux fois ne doit pas se plaindre de la mer.
Nur tote Fische schwimmen mit dem Strom.,Only dead fish swim with the stream.,Seuls les poissons morts suivent le courant.
Öl in Feuer schütten.,To pour oil into fire.,Jeter de l’huile sur le feu.
Quatsch keine Opern.,Don’t talk operas (Few words are best).,Ne me raconte pas d’histoires.
Raten ist nicht zwingen.,Counsel is no command.,Conseiller n’est pas contraindre.
"Reden ist Silber, Schweigen ist Gold.","Speech is silver, but silence is golden.","La parole est d’argent, le silence est d’or."
"Rund ist die Welt, drum Brüder laßt uns reisen.","The world is round, so let's travel, brothers.","Le monde est rond, alors frères, voyageons."
Schälke muss man mit Schälken fangen.,Set a thief to catch a thief.,Il faut prendre les filous avec ruse.
"Schande dem, der schlecht davon denkt.",Shame take him that shame thinketh.,Honte à qui pense mal.
Schlafende Hunde soll man nicht wecken.,Let sleeping dogs lie.,Il ne faut pas réveiller le chat qui dort.
"Schlimme Sitten, gut Gesetz.",Good laws have sprung from bad customs.,"Mauvaises mœurs, bonnes lois."
Schmieds Pferd und Schusters Weiber gehen meistens barfuß.,The cobbler's wife is the worst shod.,Le cheval du forgeron et la femme du cordonnier vont souvent pieds nus.
Schnell Urteil hat Reue feil.,Hasty judgment leads to repentance.,"Jugement hâtif, regret certain."
"Schön ist, was schön lässt.",Handsome is that handsome does.,Est beau ce qui sait se faire aimer.
"Schuster, bleib bei deinen Leisten.","Shoemaker, stick to your trade.","À chacun son métier, les vaches seront bien gardées."
Selbst dem Teufel sein Recht geben.,Give the devil his due.,Il faut rendre justice même au diable.
Selbst ist der Mann.,"If you want a thing done right, do it yourself.",On n’est jamais mieux servi que par soi-même.
Sich aufs hohe Pferde setzen.,Riding the high horse.,Monter sur ses grands chevaux.
Sicher ist sicher.,Better safe than sorry.,On n’est jamais trop prudent.
Sieht doch wohl die Katze den Kaiser an.,A cat may look at a king.,Même un chat peut bien regarder l’empereur.
Sorge macht vor Zeiten grau.,Worrying about too much makes a person old before their time.,Le souci fait blanchir avant l’âge.
Spiele nicht mit Feuer.,If you play with fire you will get burned.,Ne joue pas avec le feu.
Stehend Wasser wird stinkend.,Standing pools gather mud.,L’eau stagnante finit par croupir.
Steter Tropfen höhlt den Stein.,A steady dripping will carve the stone.,"Goutte à goutte, la pierre s’use."
Taten statt Worte!,Actions speak louder than words.,"Des actes, pas des paroles !"
Teile und herrsche!,Divide and conquer.,Diviser pour régner.
Tut nach meinen Worten und nicht nach meinen Werken.,"Do as I say, not as I do.","Faites ce que je dis, pas ce que je fais."
Übung macht den Meister.,Practice makes perfect.,C’est en forgeant qu’on devient forgeron.
Unter dem blühenden Strauch liegt oft eine giftige Schlange versteckt.,"Look before you leap, for snakes among sweet flowers do creep.",Sous le buisson fleuri se cache souvent un serpent venimeux.
Unter den Blinden ist der Einäugige König.,"In the land of the blind, the one-eyed man is king.","Au royaume des aveugles, les borgnes sont rois."
Verborgener Schatz ist nichts wert.,A hidden treasure is worth nothing.,Trésor caché ne vaut rien.
Verbotene Frucht schmeckt am besten.,Forbidden fruit tastes the best.,Le fruit défendu est le plus savoureux.
Verstand kommt mit den Jahren.,Wisdom comes with age.,La raison vient avec les années.
Vertrauen erweckt Vertrauen.,Trust begets trust.,La confiance appelle la confiance.
Viel Rat ist Unrat.,Too much advice is useless.,Trop de conseils gâtent la décision.
Viel Rath ist Unrath.,Too much advice is bad advice.,Trop de conseils gâtent la décision.
"Viel Stroh, wenig Korn.","Much straw, little grain.","Beaucoup de paille, peu de grain."
Viel Wissen macht Kopfweh.,Much knowledge creates headache.,Trop de savoir donne mal à la tête.
Viele Handwerke verderben den Meister.,Jack of all trades and a master of none.,Trop de métiers gâtent le maître.
Viele Körnlein machen auch einen Haufen.,Many a mickle makes a muckle.,Les petits grains font aussi un grand tas.
Volle Fässer klingen nicht leere desto mehr.,Empty vessels make the greatest sound.,"Les tonneaux pleins font peu de bruit, les vides d’autant plus."
Vom Regen in die Traufe.,Out of the frying pan and into the fire.,Tomber de Charybde en Scylla.
Von großen Blöcken haut man große Stücke.,From big blocks one chops big pieces.,"Des gros blocs, on tire de gros morceaux."
Von Toten soll man nichts als Gutes reden.,Speak well of the dead.,On ne doit parler des morts qu’en bien.
Vorbeugen ist besser als heilen.,Prevention is better than cure.,Mieux vaut prévenir que guérir.
Vorrath nimmer schadet.,A store never hurts.,Les provisions ne font jamais de tort.
"Wahrheit gibt kurzen Bescheid, Luege macht viel Redens.","Truth gives one reason, the lie gives many.","La vérité est brève, le mensonge bavard."
"Was du allein wissen willst, das sage niemand.","What you want to keep a secret, tell no one.","Ce que tu veux garder secret, ne le dis à personne."
Was Gutes kommt wieder.,What is good returns.,Le bien revient toujours.
Was man wünscht das glaubt man gern.,The wish is father to the thought.,On croit volontiers ce qu’on désire.
"Wem das Ferkel geboten wird, soll den Sack bereit haben.",Don't look a gift horse in the mouth.,"À qui l’on offre le porcelet, qu’il ait le sac prêt."
"Wem der Rock paßt, mag ihn anziehen.","If the shoe fits, wear it.",Que celui à qui le manteau va le mette.
"Wem Gott gibt ein Amt, dem gibt er auch Verstand.","Where God bestows an office, he gives brains to fill it.","À qui Dieu confie une charge, il donne aussi l’intelligence."
"Wem nicht zu raten ist, dem ist auch nicht zu helfen.","He who can't be advised, can also not be helped.","À qui ne veut pas de conseil, nul ne peut venir en aide."
"Wenn alle dir sagen, du seiest betrunken, geh' schlafen.","When everyone tells you that you are drunk, go to sleep.","Si tout le monde te dit que tu es ivre, va te coucher."
"Wenn das Haupt krank ist, trauern alle Glieder.","When the head is sick, all members mourn.","Quand la tête est malade, tout le corps souffre."
"Wenn der Berg nicht zum Propheten kommt, muß der Prophet zum Berge gehen.","If the mountain will not come to Mohammed, Mohammed must go to the mountain.","Si la montagne ne vient pas à Mahomet, Mahomet ira à la montagne."
Wenn der Himmel einfällt bleibt nirgend ein stehen.,"If the sky falls, we shall catch larks.","Si le ciel s’écroule, personne n’en réchappera."
"Wenn der Scherz am Besten ist, soll man aufhören.",Leave a jest when it pleases you best.,Il faut s’arrêter quand la plaisanterie est la meilleure.
"Wenn der Teufel alt wird, will er ein Mönch werden.","When the devil gets old, he wants to be a monk.","Quand le diable vieillit, il veut devenir moine."
"Wenn du dich nicht selber kitzelst, ein and'rer wird nicht für dich lachen.","If you do not tickle yourself, no one else will laugh for you.","Si tu ne te chatouilles pas toi-même, personne ne le fera pour toi."
"Wenn ein Freund bittet, so gilt nicht morgen.","When a friend asks, tomorrow does not count.","Quand un ami demande, c’est pour tout de suite, pas pour demain."
Wenn Wünsche hülfen wären wohl Viele reich.,"If wishes were horses, beggars would ride.","Si les vœux pouvaient tout, beaucoup seraient riches."
"Wer anderen eine Grube gräbt, fällt selbst hinein.",He who digs a pit for others falls into it himself.,Qui creuse une fosse pour autrui y tombe lui-même.
"Wer auf des Andern Schuhe wartet, bis er todt ist, der geht barfuss.",Don't wait for dead men's shoes.,Qui attend les chaussures d’un mort marche pieds nus.
"Wer auf Gott vertraut, hat gut gebaut.",He who trusts in God has built well.,Qui met sa confiance en Dieu bâtit sur du solide.
"Wer befehlen will, muß gehorchen lernen.",Who wants to command must learn to obey.,Qui veut commander doit apprendre à obéir.
"Wer den Acker nicht will graben, der wird nicht als Unkraut haben.",Who does not want to dig the land shall have nothing but weeds.,Qui ne veut pas bêcher son champ n’aura que des mauvaises herbes.
"Wer den Kern essen will, muss die Nuss knacken.",He that would eat the kernel must crack the nut.,Qui veut manger le noyau doit casser la noix.
"Wer den Teufel im Schiff hat, der muss ihn fahren.",He that takes the devil into the boat must carry him over the sound.,Qui a le diable à bord doit le mener jusqu’au bout.
"Wer durch Fliehen sich mag retten, kann wieder vor die Luke treten.",He who fights and runs away may live to fight another day.,Qui se sauve peut revenir par la fenêtre.
"Wer Eier unter den Füßen hat, muss leise auftreten.",He who has eggs under his feet must tread lightly.,Qui marche sur des œufs doit marcher doucement.
"Wer ein Kalb stiehlt, stiehlt eine Kuh.",He that steals a calf steals a cow.,Qui vole un veau vole une vache.
"Wer Feuer bedarf, sucht es in der Asche.",Let him that is cold blow the coals.,Qui cherche du feu le trouve dans les cendres.
"Wer Gott vertraut, Hat wohl gebaut.","He who serves God, has a good master.",Qui met sa confiance en Dieu bâtit sur du solide.
"Wer im Glashaus sitzt, darf andere nicht mit Steinen bewerfen.",People who live in glass houses shouldn't throw stones.,Qui vit dans une maison de verre ne doit pas jeter de pierres aux autres.
"Wer nicht wagt, der nicht gewinnt.","Nothing ventured, nothing gained.",Qui ne risque rien n’a rien.
"Wer zuerst kommt, mahlt zuerst.","First come, first served.","Premier arrivé, premier servi."
Zeit heilt alle Wunden.,Time heals all wounds.,Le temps guérit toutes les blessures.
Zeit ist das teuerste Kleinod.,Time is precious.,Le temps est le plus précieux des trésors.
Zu nacht sind alle Katzen grau.,At night all cats are gray.,"La nuit, tous les chats sont gris."
"Zum Dichter muß man geboren sein, Redner kann man werden.","Poets are born, but orators are trained.","On naît poète, on devient orateur."
Zur rechten Zeit ein Nadelstich erspart sicherlich neun.,A stitch in time saves nine.,Un point à temps en épargne cent.
