unit,input,output,level,comment_english,comment_french
adverbien,vornehmlich,hauptsächlich,C1,formal,
adverbien,rauf,herauf,C1,,
adverbien,raus,heraus,C1,,
adverbien,rein,herein,C1,,
adverbien,herab,herunter,C1,,
adverbien,runter,herunter,C1,,
adverbien,heut,heute,C1,,
adverbien,vor und zurück,hin und her,C1,,
adverbien,hinab,hinunter,C1,,
adverbien,vorab,im Voraus,C1,,
adverbien,voraus,im Voraus,C1,,
adverbien,stets,immer,C1,,
adverbien,jemals,je,C1,,
adverbien,knapp,kaum,C1,,
adverbien,keineswegs,keinesfalls,C1,formal,
adverbien,vor langer Zeit,längst,C1,,
adverbien,größtenteils,meistens,C1,,
adverbien,schätzungsweise,circa,C1,,
adverbien,üblicherweise,meistens,C1,,
adverbien,zumeist,meistens,C1,formal,
adverbien,oral,mündlich,C1,,
adverbien,allmählich,nach und nach,C1,,
adverbien,schrittweise,nach und nach,C1,,
adverbien,freilich,natürlich,C1,,
adverbien,niemals,nie,C1,,
adverbien,nimmer,nie,C1,,
adverbien,nach wie vor,noch,C1,,
adverbien,bloß,nur,C1,,
adverbien,lediglich,nur,C1,,
adverbien,oftmals,oft,C1,,
adverbien,gesetzlich,rechtlich,C1,,
adverbien,geschwindig,schnell,C1,,
adverbien,von jeher,seit jeher,C1,,
adverbien,augenblicklich,sofort,C1,,
adverbien,sogleich,sofort,C1,,
adverbien,ohnehin,sowieso,C1,,
adverbien,gleichsam,sozusagen,C1,,
adverbien,von sich selbst,spontan,C1,,
adverbien,teils,teilweise,C1,,
adverbien,vergebens,umsonst,C1,,
adverbien,und so weiter und so fort,und so weiter,C1,,
adverbien,widerwillig,ungern,C1,,
adverbien,verhältnismäßig,vergleichsweise,C1,,
adverbien,An vielen Orten,vielerorts,C1,,
adverbien,eventuell,vielleicht,C1,,
adverbien,möglicherweise,vielleicht,C1,,
adverbien,wohl,vielleicht,C1,,
adverbien,womöglich,vielleicht,C1,,
adverbien,völlig,vollständig,C1,,
adverbien,von Anfang an,von vornherein,C1,,
adverbien,jüngst,vor kurzem,C1,formal,
adverbien,unlängst,vor kurzem,C1,,
adverbien,soeben,vorhin,C1,,
adverbien,vorläufig,vorübergehend,C1,,
adverbien,vorüber,vorübergehend,C1,,
adverbien,zeitweise,vorübergehend,C1,,
adverbien,voran,vorwärts,C1,,
adverbien,überwiegend,vorwiegend,C1,,
adverbien,vermutlich,wahrscheinlich,C1,,
adverbien,weitaus,weit,C1,,
adverbien,wiederum,wieder,C1,,
adverbien,daheim,zuhause,C1,,
adverbien,gegenwärtig,zurzeit,C1,,
adverbien,hinterwärts,rückwärts,C2,,
artikel,einige,manche,,,
artikel,einige der,manche der,,,
artikel,einigem,manchem,,,
artikel,einigen der,manchen der,,,
artikel,einiger,mancher,,,
artikel,einiger der,mancher der,,,
fragen,in welchem Maße,inwieweit,,,
fragen,inwiefern,inwieweit,,,
fragen,wieweit,inwieweit,,,
fragen,weshalb,warum,,,
fragen,weswegen,warum,,,
fragen,wieso,warum,,,
fragen,Um wie viel Uhr,Wie spät,,,
konnektoren,jedoch,allerdings,B1,,
konnektoren,statt zu,anstatt zu,B1,,
konnektoren,nachher,danach,B1,,
konnektoren,darum,deshalb,B1,,
konnektoren,deswegen,deshalb,B1,,
konnektoren,obgleich,obwohl,B1,,
konnektoren,obschon,obwohl,B1,,
konnektoren,seit,seitdem,B1,,
konnektoren,dennoch,trotzdem,B1,,
konnektoren,davor,vorher,B1,,
konnektoren,zuvor,vorher,B1,,
konnektoren,da,weil,B1,,
konnektoren,zudem,außerdem,B2,,
konnektoren,zusätzlich,außerdem,B2,,
konnektoren,ehe,bevor,B2,,
konnektoren,bislang,bisher,B2,,
konnektoren,demgegenüber,dagegen,B2,,
konnektoren,daher,deshalb,B2,,
konnektoren,demzufolge,folglich,B2,,
konnektoren,infolgedessen,folglich,B2,,
konnektoren,letztlich,schließlich,B2,,
konnektoren,zuletzt,schließlich,B2,,
konnektoren,andernfalls,sonst,B2,,
konnektoren,ebenso wie,sowie,B2,,
konnektoren,weswegen,weshalb,B2,,
konnektoren,wogegen,wohingegen,B2,,
konnektoren,allein,aber,C1,,
konnektoren,zum Abschluss,abschließend,C1,,
konnektoren,zum Schluss,abschließend,C1,,
konnektoren,als wenn,als ob,C1,,
konnektoren,wie wenn,als ob,C1,,
konnektoren,somit,also,C1,,
konnektoren,selbst wenn,auch wenn,C1,,
konnektoren,daneben,außerdem,C1,,
konnektoren,des Weiteren,außerdem,C1,,
konnektoren,ferner,außerdem,C1,,
konnektoren,überdies,außerdem,C1,,
konnektoren,weiterhin,außerdem,C1,,
konnektoren,bis dato,bisher,C1,,
konnektoren,hingegen,dagegen,C1,,
konnektoren,im Gegensatz dazu,dagegen,C1,,
konnektoren,auf dass,damit,C1,,
konnektoren,anschließend,danach,C1,,
konnektoren,hernach,danach,C1,,
konnektoren,hinterher,danach,C1,,
konnektoren,sodann,dann,C1,,
konnektoren,desgleichen,ebenfalls,C1,,
konnektoren,gleichfalls,ebenfalls,C1,,
konnektoren,dementsprechend,entsprechend,C1,,
konnektoren,demgemäß,entsprechend,C1,,
konnektoren,daraufhin,folglich,C1,,
konnektoren,demnach,folglich,C1,,
konnektoren,mithin,folglich,C1,,
konnektoren,sooft,immer wenn,C1,,
konnektoren,alles in allem,insgesamt,C1,,
konnektoren,im Großen und Ganzen,insgesamt,C1,,
konnektoren,insoweit,insofern,C1,,
konnektoren,kurzum,kurz Gesagt,C1,,
konnektoren,wenngleich,obwohl,C1,,
konnektoren,derart,so,C1,,
konnektoren,dermaßen,so,C1,,
konnektoren,vorausgesetzt,sofern,C1,,
konnektoren,ansonsten,sonst,C1,,
konnektoren,soviel,soweit,C1,,
konnektoren,gleichwohl,trotzdem,C1,,
konnektoren,nichtsdestotrotz,trotzdem,C1,,
konnektoren,nichtsdestoweniger,trotzdem,C1,,
konnektoren,ganz nebenbei,übrigens,C1,,
konnektoren,im Übrigen,übrigens,C1,,
konnektoren,nebenbei,übrigens,C1,,
konnektoren,im Endeffekt,unter dem Strich,C1,,
konnektoren,derweil,währenddessen,C1,,
konnektoren,in der Zwischenzeit,währenddessen,C1,,
konnektoren,inzwischen,währenddessen,C1,,
konnektoren,mittlerweile,währenddessen,C1,,
konnektoren,unterdessen,währenddessen,C1,formal,
konnektoren,dafür,zu diesem Zweck,C1,,
konnektoren,dazu,zu diesem Zweck,C1,,
konnektoren,für diesen Zweck,zu diesem Zweck,C1,,
konnektoren,noch zuletzt,zu guter Letzt,C1,,
konnektoren,zunächst,zuerst,C1,,
konnektoren,beispielsweise,zum Beispiel,C1,,
konnektoren,währenddem,währenddessen,C2,,
konnektoren,d.h.,das heißt,,,
konnektoren,endlich,schließlich,,,
nomen_verben_verbindungen,um das Leben,ums Leben,,,
nomen_verben_verbindungen,zum Abschluss,zu Ende,,,
nomen_verben_wortstaemme,die Würze,das Gewürz,,,
nomen_verben_wortstaemme,der Kehricht,das Kehricht,,,
nomen_verben_wortstaemme,die Klägerin,der Kläger,,,
nomen_verben_wortstaemme,die Lehrerin,der Lehrer,,,
nomen_verben_wortstaemme,die Retterin,der Retter,,,
nomen_verben_wortstaemme,das Schmalz,der Schmalz,,,
nomen_verben_wortstaemme,die Schöpferin,der Schöpfer,,,
nomen_verben_wortstaemme,die Schreiberin,der Schreiber,,,
nomen_verben_wortstaemme,der Strich,der Streich,,,
nomen_verben_wortstaemme,die Wissenschaftlerin,der Wissenschaftler,,,
nomen_verben_wortstaemme,das Erfordernis,die Erfordernis,,,
nomen_verben_wortstaemme,die Qualifizierung,die Qualifikation,,,
nomen_verben_wortstaemme,die Reduktion,die Reduzierung,,,
nomen_verben_wortstaemme,die Renovation,die Renovierung,,,
nomen_verben_wortstaemme,die Qualifizierung,die Qualifikation,,,
nomen_verben_wortstaemme,die Taucherin,der Taucher,,,
nomen_verben_wortstaemme,der Besatzer,der Besetzer,,,
nomen_verben_wortstaemme,die Besetzerin,der Besetzer,,,
nomen_verben_wortstaemme,die Langweilerin,der Langweiler,,,
nomen_verben_wortstaemme,die Lauscherin,der Lauscher,,,
nomen_verben_wortstaemme,die Weberin,der Weber,,,
praepositionen_adjective,an dem,am,,,
praepositionen_adjective,an das,ans,,,
praepositionen_adjective,bei dem,beim,,,
praepositionen_adjective,in dem,im,,,
praepositionen_adjective,in das,ins,,,
praepositionen_adjective,von dem,vom,,,
praepositionen_adjective,zu dem,zum,,,
praepositionen_adjective,zu der,zur,,,
praepositionen_grammatik,statt,anstatt,B2,,
praepositionen_grammatik,ungeachtet,trotz,B2,,
praepositionen_grammatik,auf Grund,wegen,B2,,
praepositionen_grammatik,aufgrund,wegen,B2,,
praepositionen_grammatik,in Anbetracht,angesichts,C1,,
praepositionen_grammatik,an Stelle,anstatt,C1,,
praepositionen_grammatik,anstelle,anstatt,C1,,
praepositionen_grammatik,ausschließlich,außer,C1,,
praepositionen_grammatik,bis auf,außer,C1,,
praepositionen_grammatik,hinsichtlich,bezüglich,C1,,
praepositionen_grammatik,in Bezug auf,bezüglich,C1,,
praepositionen_grammatik,inkl.,einschließlich,C1,,
praepositionen_grammatik,inklusive,einschließlich,C1,,
praepositionen_grammatik,gemäß,entsprechend,C1,formal,
praepositionen_grammatik,i. A.,im Auftrag,C1,,
praepositionen_grammatik,i.A.,im Auftrag,C1,,
praepositionen_grammatik,im Unterschied zu,im Gegensatz zu,C1,,
praepositionen_grammatik,im Vergleich zu,im Gegensatz zu,C1,,
praepositionen_grammatik,nebst,mitsamt,C1,,
praepositionen_grammatik,samt,mitsamt,C1,,
praepositionen_grammatik,zusammen mit,mitsamt,C1,,
praepositionen_grammatik,an dem,am,,,
praepositionen_grammatik,an das,ans,,,
praepositionen_grammatik,aufm,auf dem,,,
praepositionen_grammatik,auf das,aufs,,,
praepositionen_grammatik,ausm,aus dem,,,
praepositionen_grammatik,bei dem,beim,,,
praepositionen_grammatik,durchs,durch das,,,
praepositionen_grammatik,fürs,für das,,,
praepositionen_grammatik,hinters,hinter das,,,
praepositionen_grammatik,hinterm,hinter dem,,,
praepositionen_grammatik,in dem,im,,,
praepositionen_grammatik,in das,ins,,,
praepositionen_grammatik,übers,über das,,,
praepositionen_grammatik,überm,über dem,,,
praepositionen_grammatik,ums,um das,,,
praepositionen_grammatik,unters,unter das,,,
praepositionen_grammatik,unterm,unter dem,,,
praepositionen_grammatik,von dem,vom,,,
praepositionen_grammatik,vors,vor das,,,
praepositionen_grammatik,zu dem,zum,,,
praepositionen_grammatik,zu der,zur,,,
praepositionen_nomen,an dem,am,,,
praepositionen_nomen,an das,ans,,,
praepositionen_nomen,bei dem,beim,,,
praepositionen_nomen,in dem,im,,,
praepositionen_nomen,in das,ins,,,
praepositionen_nomen,von dem,vom,,,
praepositionen_nomen,zu dem,zum,,,
praepositionen_nomen,zu der,zur,,,
praepositionen_verben,an dem,am,,,
praepositionen_verben,an das,ans,,,
praepositionen_verben,bei dem,beim,,,
praepositionen_verben,in dem,im,,,
praepositionen_verben,in das,ins,,,
praepositionen_verben,von dem,vom,,,
praepositionen_verben,zu dem,zum,,,
praepositionen_verben,zu der,zur,,,
pronomen,deins,deines,,,
pronomen,euers,eures,,,
pronomen,ihrs,ihres,,,
pronomen,meins,meines,,,
pronomen,nix,nichts,,,
pronomen,seins,seines,,,
pronomen,unsers,unseres,,,
