exercise,question,answer,german,english,french,case_english,case_french
9,20:43,zwanzig Uhr dreiundvierzig/siebzehn vor neun,,,,,
9,23:55,dreiundzwanzig Uhr fünfundfünfzig/fünf vor zwölf,,,,,
10,acht Uhr,8:00/08:00,,,,,
10,Viertel nach acht,8:15/08:15,,,,,
10,halb neun,8:30/08:30,,,,,
10,Viertel vor neun,8:45/08:45,,,,,
10,halb zehn,9:30/09:30,,,,,
10,fünf nach zehn,10:05,,,,,
10,zwanzig nach zehn,10:20,,,,,
10,zwanzig vor zwölf,11:40,,,,,
10,zwölf Uhr,12:00,,,,,
10,zwölf Uhr dreißig,12:30,,,,,
10,dreizehn Uhr fünfzehn,13:15,,,,,
10,vierzehn Uhr fünfundvierzig,14:45,,,,,
10,sechzehn Uhr zehn,16:10,,,,,
10,siebzehn Uhr fünfzig,17:50,,,,,
10,achtzehn Uhr,18:00,,,,,
10,neunzehn Uhr dreißig,19:30,,,,,
10,zwanzig Uhr,20:00,,,,,
10,zwanzig Uhr zwanzig,20:20,,,,,
10,zwanzig Uhr dreiundvierzig,20:43,,,,,
10,dreiundzwanzig Uhr fünfundfünfzig,23:55,,,,,
11,1'000'000,eine Million,,,,,
11,1'457'321,eine Million vierhundertsiebenundfünfzigtausenddreihunderteinundzwanzig,,,,,
11,2'084'500,zwei Millionen vierundachtzigtausendfünfhundert,,,,,
11,3'799'128,drei Millionen siebenhundertneunundneunzigtausendeinhundertachtundzwanzig,,,,,
11,5'200'043,fünf Millionen zweihunderttausenddreiundvierzig,,,,,
11,6'843'197,sechs Millionen achthundertdreiundvierzigtausendeinhundertsiebenundneunzig,,,,,
11,9'120'000,neun Millionen einhundertzwanzigtausend,,,,,
11,10'457'832,zehn Millionen vierhundertsiebenundfünfzigtausendachthundertzweiunddreißig,,,,,
11,18'745'001,achtzehn Millionen siebenhundertfünfundvierzigtausendeins,,,,,
11,25'999'340,fünfundzwanzig Millionen neunhundertneunundneunzigtausenddreihundertvierzig,,,,,
11,40'321'098,vierzig Millionen dreihunderteinundzwanzigtausendachtundneunzig,,,,,
11,58'700'412,achtundfünfzig Millionen siebenhunderttausendvierhundertzwölf,,,,,
11,76'219'876,sechsundsiebzig Millionen zweihundertneunzehntausendachthundertsechsundsiebzig,,,,,
11,91'000'000,einundneunzig Millionen,,,,,
11,134'560'210,einhundertvierunddreißig Millionen fünfhundertsechzigtausendzweihundertzehn,,,,,
11,278'900'004,zweihundertachtundsiebzig Millionen neunhunderttausendvier,,,,,
11,401'234'567,vierhunderteine Million zweihundertvierunddreißigtausendfünfhundertsiebenundsechzig,,,,,
11,589'700'002,fünfhundertneunundachtzig Millionen siebenhunderttausendzwei,,,,,
11,742'345'890,siebenhundertzweiundvierzig Millionen dreihundertfünfundvierzigtausendachthundertneunzig,,,,,
11,999'999'999,neunhundertneunundneunzig Millionen neunhundertneunundneunzigtausendneunhundertneunundneunzig,,,,,
12,"1,2",eins Komma zwei,,,,,
12,"3,14",drei Komma eins vier,,,,,
12,"5,08",fünf Komma null acht,,,,,
12,"7,5",sieben Komma fünf,,,,,
12,"10,25",zehn Komma zwei fünf,,,,,
12,"12,003",zwölf Komma null null drei,,,,,
12,"18,6",achtzehn Komma sechs,,,,,
12,"21,75",einundzwanzig Komma sieben fünf,,,,,
12,"42,195",zweiundvierzig Komma eins neun fünf,,,,,
12,"100,5",einhundert Komma fünf,,,,,
12,"256,04",zweihundertsechsundfünfzig Komma null vier,,,,,
12,"999,99",neunhundertneunundneunzig Komma neun neun,,,,,
12,"1000,1",eintausend Komma eins,,,,,
12,"2500000,75",zwei Millionen fünfhunderttausend Komma sieben fünf/zweieinhalb Millionen Komma sieben fünf,,,,,
12,"12345678,9",zwölf Millionen dreihundertfünfundvierzigtausendsechshundertachtundsiebzig Komma neun,,,,,
13,,erste,,first,"premier, première",,
13,,zweite,,second,deuxième,,
13,,dritte,,third,troisième,,
13,,vierte,,fourth,quatrième,,
13,,fünfte,,fifth,cinquième,,
13,,sechste,,sixth,sixième,,
13,,siebte,,seventh,septième,,
13,,achte,,eighth,huitième,,
13,,neunte,,ninth,neuvième,,
13,,zehnte,,tenth,dixième,,
14,,elfte,,eleventh,onzième,,
14,,zwölfte,,twelfth,douzième,,
14,,dreizehnte,,thirteenth,treizième,,
14,,vierzehnte,,fourteenth,quatorzième,,
14,,fünfzehnte,,fifteenth,quinzième,,
14,,sechzehnte,,sixteenth,seizième,,
14,,siebzehnte,,seventeenth,dix-septième,,
14,,achtzehnte,,eighteenth,dix-huitième,,
14,,neunzehnte,,nineteenth,dix-neuvième,,
14,,zwanzigste,,twentieth,vingtième,,
15,,einundzwanzigste,,twenty-first,vingt-et-unième,,
15,,zweiundzwanzigste,,twenty-second,vingt-deuxième,,
15,,dreiundzwanzigste,,twenty-third,vingt-troisième,,
15,,vierundzwanzigste,,twenty-fourth,vingt-quatrième,,
15,,fünfundzwanzigste,,twenty-fifth,vingt-cinquième,,
15,,sechsundzwanzigste,,twenty-sixth,vingt-sixième,,
15,,siebenundzwanzigste,,twenty-seventh,vingt-septième,,
15,,achtundzwanzigste,,twenty-eighth,vingt-huitième,,
15,,neunundzwanzigste,,twenty-ninth,vingt-neuvième,,
15,,dreißigste,,thirtieth,trentième,,
15,,einunddreißigste,,thirty-first,trente-et-unième,,
16,Das ist der _____ Tag meines neuen Jobs.,erste,Das ist der erste Tag meines neuen Jobs.,This is the first day of my new job.,C’est le premier jour de mon nouveau travail.,"Definite article (weak declension), Nominative, Masculine","Article défini (déclinaison faible), Nominatif, Masculin"
16,Sie wohnt im _____ Stock.,zweiten,Sie wohnt im zweiten Stock.,She lives on the second floor.,Elle habite au deuxième étage.,"Definite article (weak declension), Dative, Masculine","Article défini (déclinaison faible), Datif, Masculin"
16,Wir haben die _____ Möglichkeit gewählt.,dritte,Wir haben die dritte Möglichkeit gewählt.,We chose the third option.,Nous avons choisi la troisième option.,"Definite article (weak declension), Accusative, Feminine","Article défini (déclinaison faible), Accusatif, Féminin"
16,Er hat beim _____ Versuch bestanden.,vierten,Er hat beim vierten Versuch bestanden.,He passed on the fourth attempt.,Il a réussi à la quatrième tentative.,"Definite article (weak declension), Dative, Masculine","Article défini (déclinaison faible), Datif, Masculin"
16,Das ist das _____ Kapitel des Buches.,fünfte,Das ist das fünfte Kapitel des Buches.,This is the fifth chapter of the book.,C’est le cinquième chapitre du livre.,"Definite article (weak declension), Nominative, Neuter","Article défini (déclinaison faible), Nominatif, Neutre"
16,Sie hat im _____ Monat gekündigt.,sechsten,Sie hat im sechsten Monat gekündigt.,She resigned in the sixth month.,Elle a démissionné au sixième mois.,"Definite article (weak declension), Dative, Masculine","Article défini (déclinaison faible), Datif, Masculin"
16,Der _____ Punkt ist besonders wichtig.,siebte,Der siebte Punkt ist besonders wichtig.,The seventh point is particularly important.,Le septième point est particulièrement important.,"Definite article (weak declension), Nominative, Masculine","Article défini (déclinaison faible), Nominatif, Masculin"
16,Wir treffen uns am _____ März.,achten,Wir treffen uns am achten März.,We meet on the eighth of March.,Nous nous retrouvons le huit mars.,"Definite article (weak declension), Dative, Masculine","Article défini (déclinaison faible), Datif, Masculin"
16,Er belegte den _____ Platz in der Rangliste.,neunten,Er belegte den neunten Platz in der Rangliste.,He came ninth in the rankings.,Il occupait la neuvième place du classement.,"Definite article (weak declension), Accusative, Masculine","Article défini (déclinaison faible), Accusatif, Masculin"
16,Das war ihr _____ Versuch.,zehnter,Das war ihr zehnter Versuch.,That was her tenth attempt.,C’était sa dixième tentative.,"Possessive article (mixed declension), Nominative, Masculine","Article possessif (déclinaison mixte), Nominatif, Masculin"
17,,erstens,,firstly,premièrement,,
17,,zweitens,,secondly,deuxièmement,,
17,,drittens,,thirdly,troisièmement,,
17,,viertens,,fourthly,quatrièmement,,
17,,fünftens,,fifthly,cinquièmement,,
17,,sechstens,,sixthly,sixièmement,,
17,,siebtens,,seventhly,septièmement,,
17,,achtens,,eighthly,huitièmement,,
17,,neuntens,,ninthly,neuvièmement,,
17,,zehntens,,tenthly,dixièmement,,
18,"_____ sollten wir klären, was genau das Problem ist.",Erstens,"Erstens sollten wir klären, was genau das Problem ist.","Firstly, we should clarify what exactly the problem is.","Premièrement, nous devrions clarifier quel est exactement le problème.",,
18,_____ braucht das Projekt mehr Zeit als geplant.,Zweitens,Zweitens braucht das Projekt mehr Zeit als geplant.,"Secondly, the project needs more time than planned.","Deuxièmement, le projet nécessite plus de temps que prévu.",,
18,_____ fehlt uns im Moment das nötige Budget.,Drittens,Drittens fehlt uns im Moment das nötige Budget.,"Thirdly, we currently lack the necessary budget.","Troisièmement, il nous manque actuellement le budget nécessaire.",,
18,_____ müssen alle Beteiligten informiert werden.,Viertens,Viertens müssen alle Beteiligten informiert werden.,"Fourthly, all parties involved must be informed.","Quatrièmement, toutes les personnes concernées doivent être informées.",,
18,_____ ist eine klare Kommunikation entscheidend.,Fünftens,Fünftens ist eine klare Kommunikation entscheidend.,"Fifthly, clear communication is crucial.","Cinquièmement, une communication claire est décisive.",,
18,_____ sollten wir mögliche Risiken berücksichtigen.,Sechstens,Sechstens sollten wir mögliche Risiken berücksichtigen.,"Sixthly, we should take possible risks into account.","Sixièmement, nous devrions prendre en compte les risques possibles.",,
18,_____ ist eine Lösung nur gemeinsam erreichbar.,Siebtens,Siebtens ist eine Lösung nur gemeinsam erreichbar.,"Seventhly, a solution can only be achieved together.","Septièmement, une solution n’est atteignable qu’ensemble.",,
18,_____ darf die Qualität nicht darunter leiden.,Achtens,Achtens darf die Qualität nicht darunter leiden.,"Eighthly, quality must not suffer as a result.","Huitièmement, la qualité ne doit pas en pâtir.",,
18,_____ sollten die Ergebnisse dokumentiert werden.,Neuntens,Neuntens sollten die Ergebnisse dokumentiert werden.,"Ninthly, the results should be documented.","Neuvièmement, les résultats devraient être documentés.",,
18,_____ ist eine regelmäßige Überprüfung sinnvoll.,Zehntens,Zehntens ist eine regelmäßige Überprüfung sinnvoll.,"Tenthly, regular review makes sense.","Dixièmement, un contrôle régulier est judicieux.",,
19,,einmal,,once,une fois,,
19,,zweimal,,"twice, two times",deux fois,,
19,,dreimal,,"thrice, three times",trois fois,,
19,,viermal,,four times,quatre fois,,
19,,fünfmal,,five times,cinq fois,,
19,,sechsmal,,six times,six fois,,
19,,siebenmal,,seven times,sept fois,,
19,,achtmal,,eight times,huit fois,,
19,,neunmal,,nine times,neuf fois,,
19,,zehnmal,,ten times,dix fois,,
20,"Ich war _____ in Berlin, als ich studiert habe.",einmal,"Ich war einmal in Berlin, als ich studiert habe.",I was in Berlin once when I was a student.,Je suis allé une fois à Berlin quand j’étais étudiant.,,
20,Ich habe den Film _____ gesehen.,zweimal,Ich habe den Film zweimal gesehen.,I’ve seen the movie twice.,J’ai vu le film deux fois.,,
20,"Er hat _____ versucht, mich anzurufen.",dreimal,"Er hat dreimal versucht, mich anzurufen.",He tried to call me three times.,Il a essayé de m’appeler trois fois.,,
20,Wir treffen uns _____ im Jahr.,viermal,Wir treffen uns viermal im Jahr.,We meet four times a year.,Nous nous rencontrons quatre fois par an.,,
20,Sie hat die Prüfung _____ wiederholt.,fünfmal,Sie hat die Prüfung fünfmal wiederholt.,She retook the exam five times.,Elle a repassé l’examen cinq fois.,,
20,Ich habe ihn _____ daran erinnert.,sechsmal,Ich habe ihn sechsmal daran erinnert.,I reminded him six times.,Je lui ai rappelé six fois.,,
20,Der Zug hatte _____ Verspätung in diesem Monat.,siebenmal,Der Zug hatte siebenmal Verspätung in diesem Monat.,The train was late seven times this month.,Le train a eu du retard sept fois ce mois-ci.,,
20,Wir haben _____ über das Thema gesprochen.,achtmal,Wir haben achtmal über das Thema gesprochen.,We talked about the topic eight times.,Nous avons parlé du sujet huit fois.,,
20,"Er war _____ pünktlich, aber heute nicht.",neunmal,"Er war neunmal pünktlich, aber heute nicht.","He was on time nine times, but not today.","Il a été ponctuel neuf fois, mais pas aujourd’hui.",,
20,Das Experiment wurde _____ wiederholt.,zehnmal,Das Experiment wurde zehnmal wiederholt.,The experiment was repeated ten times.,L’expérience a été répétée dix fois.,,
21,1/2,die Hälfte,,a half,la moitié,,
21,1/3,ein Drittel,,a third,un tiers,,
21,1/4,ein Viertel,,a quarter,un quart,,
21,1/5,ein Fünftel,,a fifth,un cinquième,,
21,1/6,ein Sechstel,,a sixth,un sixième,,
21,1/7,ein Siebtel,,a seventh,un septième,,
21,1/8,ein Achtel,,an eighth,un huitième,,
21,1/9,ein Neuntel,,a ninth,un neuvième,,
21,1/10,ein Zehntel,,a tenth,un dixième,,
22,_____ der Teilnehmenden hat den Kurs vorzeitig beendet.,Die Hälfte,Die Hälfte der Teilnehmenden hat den Kurs vorzeitig beendet.,Half of the participants dropped out of the course early.,La moitié des participants a quitté le cours prématurément.,,
22,_____ der Bevölkerung sprechen mehr als eine Sprache.,Zwei Drittel,Zwei Drittel der Bevölkerung sprechen mehr als eine Sprache.,Two thirds of the population speak more than one language.,Deux tiers de la population parlent plus d’une langue.,,
22,_____ des Budgets wurden bereits ausgegeben.,Drei Viertel,Drei Viertel des Budgets wurden bereits ausgegeben.,Three quarters of the budget have already been spent.,Trois quarts du budget ont déjà été dépensés.,,
22,_____ der Fläche ist für Grünzonen reserviert.,Ein Fünftel,Ein Fünftel der Fläche ist für Grünzonen reserviert.,One fifth of the area is reserved for green spaces.,Un cinquième de la surface est réservé aux espaces verts.,,
22,_____ der Stimmen entfielen auf den gleichen Vorschlag.,Vier Sechstel,Vier Sechstel der Stimmen entfielen auf den gleichen Vorschlag.,Four sixths of the votes went to the same proposal.,Quatre sixièmes des voix sont allés à la même proposition.,,
22,_____ der Aufgaben wurden automatisiert.,Zwei Siebtel,Zwei Siebtel der Aufgaben wurden automatisiert.,Two sevenths of the tasks were automated.,Deux septièmes des tâches ont été automatisées.,,
22,_____ der Strecke führen durch bergiges Gelände.,Fünf Achtel,Fünf Achtel der Strecke führen durch bergiges Gelände.,Five eighths of the route go through mountainous terrain.,Cinq huitièmes du parcours traversent une zone montagneuse.,,
22,_____ der Fälle ließen sich schnell klären.,Drei Neuntel,Drei Neuntel der Fälle ließen sich schnell klären.,Three ninths of the cases could be resolved quickly.,Trois neuvièmes des cas ont pu être réglés rapidement.,,
22,_____ der Befragten befürworten die Reform.,Sieben Zehntel,Sieben Zehntel der Befragten befürworten die Reform.,Seven tenths of respondents support the reform.,Sept dixièmes des personnes interrogées soutiennent la réforme.,,
22,Mehr als _____ der Zeit ging für Abstimmungen verloren.,ein Drittel,Mehr als ein Drittel der Zeit ging für Abstimmungen verloren.,More than one third of the time was lost to coordination.,Plus d’un tiers du temps a été perdu en concertation.,,
23,2,zweier,,,,,
23,3,dreier,,,,,
23,4,vierer,,,,,
23,5,fünfer,,,,,
23,6,sechser,,,,,
23,7,siebener,,,,,
23,8,achter,,,,,
23,9,neuner,,,,,
23,10,zehner,,,,,
24,Die Studie basiert auf dem Vergleich _____ methodisch völlig unterschiedlicher Datensätze.,zweier,Die Studie basiert auf dem Vergleich zweier methodisch völlig unterschiedlicher Datensätze.,The study is based on the comparison of two methodologically completely different datasets.,L’étude repose sur la comparaison de deux ensembles de données méthodologiquement très différents.,,
24,Der Konflikt lässt sich nur vor dem historischen Hintergrund _____ aufeinanderfolgender Krisen verstehen.,dreier,Der Konflikt lässt sich nur vor dem historischen Hintergrund dreier aufeinanderfolgender Krisen verstehen.,The conflict can only be understood against the historical background of three successive crises.,Le conflit ne peut être compris qu’à la lumière de trois crises successives.,,
24,Die Lösung ergibt sich aus der Kombination _____ voneinander abhängiger Faktoren.,vierer,Die Lösung ergibt sich aus der Kombination vierer voneinander abhängiger Faktoren.,The solution emerges from the combination of four interdependent factors.,La solution résulte de la combinaison de quatre facteurs interdépendants.,,
24,Der Bericht analysiert die langfristigen Auswirkungen _____ zentraler Reformmaßnahmen.,fünfer,Der Bericht analysiert die langfristigen Auswirkungen fünfer zentraler Reformmaßnahmen.,The report analyses the long-term effects of five key reform measures.,Le rapport analyse les effets à long terme de cinq mesures de réforme centrales.,,
24,Das Modell erklärt das Phänomen als Resultat _____ gleichzeitig wirkender Mechanismen.,sechser,Das Modell erklärt das Phänomen als Resultat sechser gleichzeitig wirkender Mechanismen.,The model explains the phenomenon as the result of six mechanisms acting simultaneously.,Le modèle explique le phénomène comme le résultat de six mécanismes agissant simultanément.,,
24,Der Ausschuss einigte sich nach intensiver Debatte auf einen Kompromiss _____ Parteien.,siebener/von sieben,Der Ausschuss einigte sich nach intensiver Debatte auf einen Kompromiss siebener Parteien.,"After intense debate, the committee agreed on a compromise involving seven parties.","Après un débat intense, la commission s’est accordée sur un compromis entre sept partis.",,
24,Die Theorie beruht auf der systematischen Auswertung _____ unabhängiger Feldstudien.,achter,Die Theorie beruht auf der systematischen Auswertung achter unabhängiger Feldstudien.,The theory is based on the systematic evaluation of eight independent field studies.,La théorie repose sur l’évaluation systématique de huit études de terrain indépendantes.,,
24,Der Erfolg des Projekts hängt von der präzisen Abstimmung _____ internationaler Partner ab.,neuner,Der Erfolg des Projekts hängt von der präzisen Abstimmung neuner internationaler Partner ab.,The success of the project depends on the precise coordination of nine international partners.,Le succès du projet dépend de la coordination précise de neuf partenaires internationaux.,,
24,Die Entscheidung war das Ergebnis _____ Jahre intensiver institutioneller Erfahrung.,zehner,Die Entscheidung war das Ergebnis zehner Jahre intensiver institutioneller Erfahrung.,The decision was the result of ten years of intensive institutional experience.,La décision est le résultat de dix années d’expérience institutionnelle intensive.,,
1000,,einfach,,"single, onefold",simple,,
1000,,zweifach,,"double, twofold",double,,
1000,,dreifach,,"triple, threefold",triple,,
1000,,vierfach,,fourfold,quadruple,,
1000,,fünffach,,fivefold,quintuple,,
1000,,sechsfach,,sixfold,sextuple,,
1000,,siebenfach,,sevenfold,septuple,,
1000,,achtfach,,eightfold,octuple,,
1000,,neunfach,,ninefold,nonuple,,
1000,,zehnfach,,tenfold,décuple,,
1001,"Die _____ Lösung wirkt überzeugend, greift aber zu kurz.",einfache,"Die einfache Lösung wirkt überzeugend, greift aber zu kurz.",The single solution seems convincing but doesn’t go far enough.,"La solution simple paraît convaincante, mais elle est insuffisante.",,
1001,Das Risiko ist _____: finanziell und reputationsbezogen.,zweifach,Das Risiko ist zweifach: finanziell und reputationsbezogen.,The risk is twofold: financial and reputational.,Le risque est double : financier et réputationnel.,,
1001,"Der Nutzen dieser Maßnahme ist _____, da sie Zeit, Kosten und Ressourcen spart.",dreifach,"Der Nutzen dieser Maßnahme ist dreifach, da sie Zeit, Kosten und Ressourcen spart.","The benefit of this measure is threefold, as it saves time, costs, and resources.","L’avantage de cette mesure est triple, car elle permet d’économiser du temps, des coûts et des ressources.",,
1001,Das Problem ist _____ gelagert und lässt sich nicht isoliert betrachten.,vierfach,Das Problem ist vierfach gelagert und lässt sich nicht isoliert betrachten.,The problem has four dimensions and cannot be considered in isolation.,Le problème est de nature quadruple et ne peut être analysé isolément.,,
1001,Der Erfolg der Strategie beruht auf einem _____ Ansatz.,fünffachen,Der Erfolg der Strategie beruht auf einem fünffachen Ansatz.,The success of the strategy is based on a fivefold approach.,Le succès de la stratégie repose sur une approche quintuple.,,
1001,Die Belastung ist _____ höher als ursprünglich angenommen.,sechsfache,Die Belastung ist sechsfache höher als ursprünglich angenommen.,The burden is six times higher than originally assumed.,La charge est six fois plus élevée que prévu initialement.,,
1001,Das Verfahren bietet einen _____ Schutz gegen Datenverlust.,siebenfachen,Das Verfahren bietet einen siebenfachen Schutz gegen Datenverlust.,The procedure provides sevenfold protection against data loss.,Le procédé offre une protection septuple contre la perte de données.,,
1001,Die Komplexität des Systems hat sich _____ erhöht.,achtfach,Die Komplexität des Systems hat sich achtfach erhöht.,The system’s complexity has increased eightfold.,La complexité du système a été multipliée par huit.,,
1001,"Die Kosten sind _____ gestiegen, ohne dass die Qualität mithalten konnte.",neunfach,"Die Kosten sind neunfach gestiegen, ohne dass die Qualität mithalten konnte.",Costs have increased ninefold without quality keeping pace.,Les coûts ont été multipliés par neuf sans que la qualité suive.,,
1001,Der Schaden ist _____ größer als zunächst prognostiziert.,zehnfach,Der Schaden ist zehnfach größer als zunächst prognostiziert.,The damage is ten times greater than initially forecast.,Les dégâts sont dix fois plus importants que prévu.,,
