Nr,exercise,level_verb,answer,question,english,french,type,prefix,root_german,root_english,root_french
18,4,A2,ankommen,,"to arrive, to depend on something","arriver, dépendre de quelque chose",1. verb,an,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
19,4,A2,anmelden,,"to register, to sign up",s'inscrire,1. verb,an,melden,"to report, to register","signaler, enregistrer"
20,4,A2,annehmen,,"to accept, to assume (a hypothesis), to receive, to suppose","accepter, supposer (une hypothèse), recevoir",1. verb,an,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
21,4,B1,aufmachen,,"to open (coll.), to head or move off (refl.), to undo something","ouvrir (familier), se diriger ou s'éloigner (réfl.), défaire quelque chose",1. verb,auf,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
22,4,B2,einschlafen,,to fall asleep,s'endormir,1. verb,ein,schlafen,to sleep,dormir
23,4,A2,einkaufen,,to shop,"faire les courses, faire du shopping",1. verb,ein,kaufen,to buy,acheter
24,4,A2,vorstellen,,"to introduce, to present oneself (refl.), to move forward, to represent","introduire, se présenter (réfl.), représenter",1. verb,vor,stellen,"to position, to put, to catch","positionner, mettre"
25,4,A2,besitzen,,"to own, to possess, to have","posséder, avoir",1. verb,be,sitzen,"to be seated, to stay, to fit (of clothing)","être assis, rester"
26,4,A2,behalten,,to keep,garder,1. verb,be,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
27,4,A2,befinden,,"to be located (refl.), to find, to consider (formal)","être localisé (réfl.), trouver, considérer (formel)",1. verb,be,finden,to find,trouver
28,4,A2,empfehlen,,"to recommend, to suggest","recommander, suggérer",1. verb,emp,fehlen,"to lack, to be absent or missing","manquer, être absent ou manquant"
29,4,A2,entscheiden,,to decide,décider,1. verb,ent,scheiden,"to separate, to divorce, to part","se séparer, divorcer"
30,4,A2,enthalten,,"to contain, to include","contenir, inclure",1. verb,ent,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
31,4,A2,erkennen,,"to recognise, to realise","reconnaître, réaliser",1. verb,er,kennen,"to know, to be acquainted with, to be familiar with","connaître, être familier avec"
32,4,A2,erwarten,,"to expect, to await",s'attendre à,1. verb,er,warten,"to wait, to maintain (e.g. a car)","attendre, entretenir (par exemple une voiture)"
33,4,A2,verlassen,,"to leave, to trust with something (refl.), to pass away, to die","partir, confier quelque chose (réfl.), décéder, mourir",1. verb,ver,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
34,4,A2,versprechen,,"to promise, to hope for, to misspeak","promettre, espérer",1. verb,ver,sprechen,to speak,parler (une langue)
35,4,A2,verändern,,"to alter, to change something","modifier, changer quelque chose",1. verb,ver,ändern,to change (one's personality or behavior),changer (sa personnalité ou son comportement)
36,4,A2,verpassen,,"to miss (to be late for something, e.g. a train)","manquer (être en retard pour quelque chose, par exemple un train)",1. verb,ver,passen,"to fit, to suit","s'adapter, convenir"
37,4,B1,verbieten,,"to forbid, to prohibit","interdire, prohiber",1. verb,ver,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
38,4,A2,übernehmen,,to take over,"prendre le relais, prendre le contrôle",1. verb,über,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
39,7,B1,abholen,,"to pick up, to collect","ramasser, collecter",1. verb,ab,holen,to fetch,aller chercher
40,7,B1,anbieten,,"to offer, to provide, to propose","offrir, fournir, proposer",1. verb,an,bieten,"to offer, to bid, to arise, to occur (of an opportunity) (refl.)","offrir, enchérir, surgir, se produire (d'une opportunité) (réfl.)"
41,7,B1,aufpassen,,"to pay attention, to watch out, to take care","faire attention, prendre soin",1. verb,auf,passen,"to fit, to suit","s'adapter, convenir"
42,7,B1,zurückgehen,,"to go back, to decrease, to decline","revenir en arrière, diminuer, décliner",1. verb,zurück,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
43,7,B1,mitnehmen,,"to take along, to take with",emporter,1. verb,mit,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
44,7,B1,mitbringen,,"to bring along, to bring with",apporter,1. verb,mit,bringen,"to bring, to take, to lead","apporter, prendre, conduire"
45,7,A2,mitteilen,,"to inform, to notify, to communicate","informer, notifier, communiquer",1. verb,mit,teilen,"to split, to share, to divide","diviser, partager"
46,7,B1,vorschlagen,,"to suggest, to propose","suggérer, proposer",1. verb,vor,schlagen,"to hit, to beat, to strike, to defeat","frapper, battre, vaincre"
47,7,B1,beraten,,"to advise, to consult, to discuss","conseiller, consulter, discuter",1. verb,be,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner"
48,7,B1,bewerben,,"to apply (for a job, position)","postuler (à un emploi, un poste)",1. verb,be,werben,"to advertise, to recruit","faire de la publicité, recruter"
49,7,B1,beenden,,"to finish, to end, to complete","finir, terminer, achever",1. verb,be,enden,"to end, to finish, to conclude","terminer, achever, conclure"
50,7,B1,ersetzen,,"to replace, to substitute, to compensate for","remplacer, substituer, compenser",1. verb,er,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
51,7,B1,erstellen,,"to create, to prepare, to compile","créer, préparer, compiler",1. verb,er,stellen,"to position, to put, to catch","positionner, mettre"
52,7,B1,vertreten,,"to represent, to advocate, to stand in for","représenter, défendre, se substituer",1. verb,ver,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer"
53,7,B1,überlegen,,"to consider, to think about, to reflect","considérer, penser à, réfléchir",1. verb,über,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
54,7,B1,überprüfen,,"to check, to examine, to verify","vérifier, examiner",1. verb,über,prüfen,"to check, to examine, to test, to investigate","vérifier, examiner, tester, enquêter"
55,7,B1,abgeben,,"to submit, to hand in, to deliver","soumettre, remettre, livrer",1. verb,ab,geben,to give,donner
56,7,B1,absagen,,"to cancel, to call off",annuler,1. verb,ab,sagen,"to say, to tell","dire, raconter"
57,7,B1,abschließen,,"to complete, to conclude, to lock","compléter, conclure, verrouiller",1. verb,ab,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
58,7,B1,ablenken,,"to distract, to divert, to steer away","distraire, détourner, éloigner",1. verb,ab,lenken,"to steer, to direct, to guide","diriger, orienter, guider"
59,8,B1,abnehmen,,"to decrease, to lose weight, to remove","diminuer, perdre du poids, éliminer",1. verb,ab,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
60,8,B1,anschauen,,"to look at, to behold, to take a look at, to watch (Bayern and Austria)","regarder, contempler, jeter un coup d'œil à, observer (Bayern et Autriche)",1. verb,an,schauen,to look at (Bayern and Austria),regarder (Bayern et Autriche)
61,8,B1,anfassen,,"to touch, to handle","toucher, manipuler",1. verb,an,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
62,8,B1,aufwachsen,,"to grow up, to be raised","grandir, être élevé",1. verb,auf,wachsen,"to grow, to increase","grandir, augmenter"
63,8,B1,aufnehmen,,"to record, to take in, to absorb, to include","enregistrer, assimiler, absorber, inclure",1. verb,auf,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
64,8,B1,einsetzen,,"to use, to apply, to deploy, to insert","utiliser, appliquer, déployer, insérer",1. verb,ein,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
65,8,B1,zustimmen,,"to agree, to consent, to approve","être d'accord, consentir, approuver",1. verb,zu,stimmen,"to be true, to vote, to tune","être vrai, voter, s'accorder"
66,8,B1,zubereiten,,"to prepare (food), to cook","préparer (de la nourriture), cuisiner",1. verb,zu,bereiten,"to prepare, to cause","préparer, provoquer"
67,8,B1,zunehmen,,"to increase, to gain (weight), to rise","augmenter, prendre (du poids), s'élever",1. verb,zu,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
68,8,B1,zugeben,,"to admit, to confess, to add","admettre, confesser, ajouter",1. verb,zu,geben,to give,donner
69,8,B1,zurückkommen,,"to come back, to return","revenir, retourner",1. verb,zurück,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
70,8,B1,herausfinden,,"to find out, to discover, to figure out","découvrir, comprendre",1. verb,heraus,finden,to find,trouver
71,8,B1,hervorheben,,"to emphasize, to highlight, to stress","souligner, mettre en valeur, insister",1. verb,hervor,heben,"to lift, to raise","soulever, élever"
72,8,B1,herstellen,,"to produce, to make, to establish","produire, fabriquer, établir",1. verb,her,stellen,"to position, to put, to catch","positionner, mettre"
73,8,B1,mitmachen,,"to participate, to join in, to go along","participer, se joindre à, accompagner",1. verb,mit,machen,"to make, to prepare (e.g. food), to do","faire, préparer (par exemple de la nourriture)"
74,8,B1,vorhaben,,"to intend, to plan, to be up to","avoir l'intention de, planifier, être à la hauteur",1. verb,vor,haben,"to have, to contain","avoir, contenir"
75,8,B1,vorbereiten,,"to prepare, to get ready",se préparer,1. verb,vor,bereiten,"to prepare, to cause","préparer, provoquer"
76,8,B1,vorgeben,,"to claim, to pretend, to set (a pace)","revendiquer, prétendre, donner (un rythme)",1. verb,vor,geben,to give,donner
77,8,B1,beschreiben,,"to describe, to depict","décrire, représenter",1. verb,be,schreiben,to write,écrire
78,8,B1,bestellen,,"to order, to reserve","commander, réserver",1. verb,be,stellen,"to position, to put, to catch","positionner, mettre"
79,9,B1,beweisen,,"to prove, to demonstrate","prouver, démontrer",1. verb,be,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
80,9,B1,bestehen,,"to pass, to exist, to consist, to insist","passer, exister, consister, insister",1. verb,be,stehen,"to stand, to be, to appear","être debout, apparaître"
81,9,B1,begründen,,"to justify, to explain, to establish","justifier, expliquer, établir",1. verb,be,gründen,"to found, to establish, to start","fonder, établir, démarrer"
82,9,B1,besprechen,,"to discuss, to talk about","discuter, parler de",1. verb,be,sprechen,to speak,parler (une langue)
83,9,B1,beantworten,,"to answer, to reply to","répondre, répliquer à",1. verb,be,antworten,"to answer, to reply","répondre, répliquer"
84,9,B1,empfangen,,"to receive, to welcome, to greet","recevoir, accueillir, saluer",1. verb,emp,fangen,to catch,attraper
85,9,B1,empfinden,,"to feel, to sense, to perceive","sentir, pressentir, percevoir",1. verb,emp,finden,to find,trouver
86,9,B1,entdecken,,"to discover, to find","découvrir, trouver",1. verb,ent,decken,"to cover, to set (a table), to hedge","couvrir, dresser (une table), se protéger"
87,9,B1,entstehen,,"to arise, to develop, to come into being","surgir, se développer, naître",1. verb,ent,stehen,"to stand, to be, to appear","être debout, apparaître"
88,9,B1,entsprechen,,"to correspond, to match, to comply with","correspondre, égaler, se conformer à",1. verb,ent,sprechen,to speak,parler (une langue)
89,9,B1,entziehen,,"to withdraw, to remove, to deprive","retirer, enlever, priver",1. verb,ent,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
90,9,B2,erwachsen,,"to grow up, to arise, to spring up, to accrue","grandir, surgir, jaillir, s'accumuler",1. verb,er,wachsen,"to grow, to increase","grandir, augmenter"
91,9,B1,erhalten,,"to receive, to get, to obtain, to preserve","recevoir, obtenir, acquérir, préserver",1. verb,er,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
92,9,B1,erleben,,"to experience, to live through","expérimenter, vivre",1. verb,er,leben,to live,vivre
93,9,B1,erholen,,"to recover, to recuperate","récupérer, se rétablir",1. verb,er,holen,to fetch,aller chercher
94,9,B1,erfahren,,"to learn, to find out, to experience","apprendre, découvrir, expérimenter",1. verb,er,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire"
95,9,B1,erfinden,,"to invent, to make up, to fabricate","inventer, fabriquer",1. verb,er,finden,to find,trouver
96,9,B1,erzielen,,"to achieve, to obtain, to reach","atteindre, obtenir, parvenir",1. verb,er,zielen,"to aim, to target, to focus on","viser, cibler, se concentrer sur"
97,9,B1,erfüllen,,"to fulfill, to satisfy, to carry out","accomplir, satisfaire, réaliser",1. verb,er,füllen,"to fill, to stuff","remplir, farcir"
98,9,B1,erreichen,,"to reach, to achieve, to attain","atteindre, réaliser, parvenir",1. verb,er,reichen,"to reach, to hand, to be enough","atteindre, mettre la main, être suffisant"
99,10,B1,verstecken,,"to hide, to conceal","cacher, dissimuler",1. verb,ver,stecken,"to stick, to pin","coller, épingler"
100,10,B1,verlieben,,to fall in love,tomber amoureux,1. verb,ver,lieben,to love,"aimer, être amoureux de"
101,10,B1,verdienen,,"to earn, to deserve","gagner, mériter",1. verb,ver,dienen,"to serve, to function","servir, fonctionner"
102,10,B1,verbinden,,"to connect, to link, to join, to bandage","connecter, lier, joindre, bander",1. verb,ver,binden,"to tie, to bind, to attach","attacher, lier"
103,10,B1,verbringen,,"to spend (time), to pass",passer (du temps),1. verb,ver,bringen,"to bring, to take, to lead","apporter, prendre, conduire"
104,10,B1,vermeiden,,"to avoid, to prevent","éviter, empêcher",1. verb,ver,meiden,"to avoid, to shun","éviter, fuir"
105,10,B1,verteilen,,"to distribute, to allocate, to hand out","distribuer, attribuer",1. verb,ver,teilen,"to split, to share, to divide","diviser, partager"
106,10,B1,übertragen,,"to transfer, to transmit, to broadcast","transférer, transmettre, diffuser",1. verb,über,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
107,10,B1,umziehen,,"to move (house), to change clothes","déménager, changer de vêtements",1. verb,um,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
108,10,B1,unterschreiben,,to sign,signer,1. verb,unter,schreiben,to write,écrire
109,10,B1,unterrichten,,"to teach, to instruct, to inform","enseigner, instruire, informer",1. verb,unter,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
110,10,B1,zerstören,,"to destroy, to ruin","détruire, ruiner",1. verb,zer,stören,"to disturb, to interfere","déranger, interférer"
111,10,B1,abbauen,,"to dismantle, to reduce, to break down","démanteler, réduire, décomposer",1. verb,ab,bauen,to build,construire
112,10,B1,abhängen,,"to depend on, to hang out (coll.)","dépendre de, fréquenter (coll.)",1. verb,ab,hängen,"to hang, to be fond of, depend on","accrocher, aimer, dépendre de"
113,10,B1,abfahren,,"to depart, to leave","partir, quitter",1. verb,ab,fahren,"to go (by vehicle), to leave, to drive","aller (en véhicule), partir, conduire"
114,10,B1,besorgen,,"to get, to obtain, to take care of","obtenir, prendre soin de",1. verb,be,sorgen,"to care, to worry","se soucier, s'inquiéter"
115,19,B2,ankündigen,,"to announce, to declare","annoncer, déclarer",1. verb,an,kündigen,"to resign, to quit, to terminate, to cancel","démissionner, quitter, mettre fin à, annuler"
116,19,B2,einstellen,,"to hire, to adjust, to stop","embaucher, ajuster, arrêter",1. verb,ein,stellen,"to position, to put, to catch","positionner, mettre"
117,19,B2,zusagen,,"to promise, to accept, to agree","promettre, accepter, convenir",1. verb,zu,sagen,"to say, to tell","dire, raconter"
118,19,B2,herunterladen,,to download,télécharger,1. verb,herunter,laden,"to load, to charge, to invite","charger, inviter"
119,19,B2,hinweisen,,"to indicate, to point out, to refer","indiquer, faire remarquer, se référer",1. verb,hin,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
120,19,B2,nachdenken,,"to think about, to reflect, to ponder","penser à, réfléchir, méditer",1. verb,nach,denken,"to think, to consider","penser, considérer"
121,19,B2,bearbeiten,,"to edit, to process, to work on","éditer, traiter, travailler sur",1. verb,be,arbeiten,to work,travailler
122,19,B2,entlassen,,"to dismiss, to fire, to release","congédier, licencier, libérer",1. verb,ent,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
123,19,B2,ergeben,,"to result in, to yield, to surrender","aboutir à, céder, se rendre",1. verb,er,geben,to give,donner
124,19,B2,verwenden,,"to use, to employ, to utilize","utiliser, employer, exploiter",1. verb,ver,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser"
125,19,B2,verschieben,,"to postpone, to move, to shift","reporter, déplacer, décaler",1. verb,ver,schieben,"to push, to shove, to wheel","pousser, bousculer, faire tourner"
126,19,B2,unterbrechen,,"to interrupt, to suspend","interrompre, suspendre",1. verb,unter,brechen,to break,"casser, briser"
127,19,B2,untersuchen,,"to investigate, to examine, to analyze","enquêter, examiner, analyser",1. verb,unter,suchen,"to seek, to search","chercher, rechercher"
128,19,B2,anerkennen,,"to recognize, to acknowledge, to approve","reconnaître, admettre, approuver",1. verb,an,erkennen,"to recognise, to realise","reconnaître, réaliser"
129,19,B2,anwenden,,"to apply, to make use of","appliquer, faire usage de",1. verb,an,wenden,"to turn, to reverse, to address","tourner, inverser, s'adresser"
130,19,B2,einrichten,,"to set up, to furnish, to arrange","installer, meubler, aménager",1. verb,ein,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
131,19,B2,einführen,,"to introduce, to implement, to import","introduire, mettre en œuvre, importer",1. verb,ein,führen,"to lead, to guide","guider, conduire"
132,19,B2,zulassen,,"to allow, to permit, to license","permettre, autoriser, autoriser",1. verb,zu,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
133,19,B2,mitkommen,,"to come along, to keep up","venir, suivre",1. verb,mit,kommen,"to come, to make it (e.g. over something), to go to, to occur","venir, aller à, se produire"
134,19,B2,behandeln,,"to treat, to handle, to deal with","traiter, manipuler, faire face à",1. verb,be,handeln,"to act, to deal, to trade, to negotiate","agir, traiter, commercer, négocier"
135,20,B2,berichten,,"to report, to inform, to cover","signaler, informer, couvrir",1. verb,be,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
136,20,B2,entwerfen,,"to design, to draft, to sketch","concevoir, ébaucher, esquisser",1. verb,ent,werfen,to throw,"jeter, lancer"
137,20,B2,erfolgen,,"to occur, to take place","se produire, avoir lieu",1. verb,er,folgen,to follow,suivre
138,20,B2,versorgen,,"to supply, to provide for, to take care of","fournir, pourvoir à, prendre soin de",1. verb,ver,sorgen,"to care, to worry","se soucier, s'inquiéter"
139,20,B2,verarbeiten,,"to process, to handle, to work through","traiter, manipuler, travailler",1. verb,ver,arbeiten,to work,travailler
140,20,B2,unternehmen,,"to undertake, to attempt, to take action","entreprendre, tenter, agir",1. verb,unter,nehmen,"to take, to cause oneself to be (in some state)","prendre, se mettre (dans un état)"
141,20,B2,abziehen,,"to remove, to deduct, to withdraw","supprimer, déduire, retirer",1. verb,ab,ziehen,"to pull, to drag, to move","tirer, traîner, déplacer"
142,20,B2,abheben,,"to withdraw (money), to take off (aircraft)","retirer (de l'argent), décoller (un avion)",1. verb,ab,heben,"to lift, to raise","soulever, élever"
143,20,B2,angeben,,"to state, to declare, to show off","déclarer, affirmer, se vanter",1. verb,an,geben,to give,donner
144,20,B2,anpassen,,"to adapt, to adjust","s'adapter, ajuster",1. verb,an,passen,"to fit, to suit","s'adapter, convenir"
145,20,B2,ansprechen,,"to address, to speak to, to appeal to","s'adresser à, parler à, faire appel à",1. verb,an,sprechen,to speak,parler (une langue)
146,20,B2,anzeigen,,"to report, to indicate, to display","signaler, indiquer, afficher",1. verb,an,zeigen,"to show, to point at, to demonstrate","montrer, pointer du doigt, démontrer"
147,20,B2,auftreten,,"to appear, to occur, to perform","apparaître, se produire, accomplir",1. verb,auf,treten,"to step, to kick, to enter","marcher, donner un coup de pied, entrer"
148,20,B2,aufbauen,,"to build, to establish, to develop","construire, établir, développer",1. verb,auf,bauen,to build,construire
149,20,B2,betrinken,,to get drunk,se saouler,1. verb,be,trinken,to drink,boire
150,20,B2,bewundern,,to admire,admirer,1. verb,be,wundern,"to surprise, to amaze","surprendre, étonner"
151,20,B2,bemerken,,"to notice, to observe, to remark","remarquer, observer",1. verb,be,merken,"to notice, to realise, to remember (refl.)","remarquer, se rendre compte, se souvenir (réfl.)"
152,20,B2,beschließen,,"to decide, to resolve","décider, résoudre",1. verb,be,schließen,"to shut, to close, to lock, to conclude","fermer, clore, verrouiller, conclure"
153,20,B2,berechnen,,"to calculate, to charge","calculer, facturer",1. verb,be,rechnen,"to calculate, to expect, to count on","calculer, s'attendre à, compter sur"
154,20,B2,beachten,,"to notice, to pay attention to, to observe","remarquer, prêter attention à, observer",1. verb,be,achten,"to respect, to pay attention to, to heed","respecter, prêter attention à"
155,21,B2,bedienen,,"to serve, to operate, to use","servir, opérer, utiliser",1. verb,be,dienen,"to serve, to function","servir, fonctionner"
156,21,B2,belegen,,"to prove, to occupy, to substantiate","prouver, occuper, étayer",1. verb,be,legen,"to lay, to lean, to lie down","poser, se pencher, s'allonger"
157,21,B2,betragen,,"to amount to, to come to","s'élever à, arriver à",1. verb,be,tragen,"to wear (clothing), to carry, to hold","porter (des vêtements), transporter, tenir"
158,21,B2,betreiben,,"to operate, to run, to conduct","opérer, diriger, conduire",1. verb,be,treiben,"to practice (sport), to propel, to put forth, to urge (figuratively), to fuck, to float, to sprout, to get up to","pratiquer (sport), propulser, mettre en avant, pousser (au sens figuré), baiser, flotter, germer, se lever"
159,21,B2,bezeichnen,,"to designate, to label, to describe","désigner, étiqueter, décrire",1. verb,be,zeichnen,"to draw, to sketch","dessiner, esquisser"
160,21,B2,erscheinen,,"to appear, to be published, to seem","apparaître, être publié, sembler",1. verb,er,scheinen,"to seem, to shine","paraître, briller"
161,21,B2,erheben,,"to raise, to collect, to levy","lever, collecter, prélever",1. verb,er,heben,"to lift, to raise","soulever, élever"
162,21,B2,errichten,,"to build, to erect, to establish","construire, ériger, établir",1. verb,er,richten,"to direct, to adjust, to focus, to judge","diriger, ajuster, focaliser, juger"
163,21,B2,erteilen,,"to grant, to issue, to give","accorder, délivrer, donner",1. verb,er,teilen,"to split, to share, to divide","diviser, partager"
164,21,B2,erwerben,,"to acquire, to purchase, to gain","acquérir, acheter, gagner",1. verb,er,werben,"to advertise, to recruit","faire de la publicité, recruter"
165,21,B2,eröffnen,,"to open, to inaugurate","ouvrir, inaugurer",1. verb,er,öffnen,to open (formal),ouvrir (formel)
166,21,B2,verraten,,"to betray, to reveal","trahir, révéler",1. verb,ver,raten,"to advise, to recommend, to guess","conseiller, recommander, deviner"
167,21,B2,vergeben,,"to forgive, to award, to assign","pardonner, récompenser, attribuer",1. verb,ver,geben,to give,donner
168,21,B2,verlaufen,,"to proceed, to pass, to go (in a certain way)","procéder, passer, aller (d'une certaine manière)",1. verb,ver,laufen,"to walk, to flow (of a fluid), to run (of an event)","marcher, couler (un fluide), se dérouler (un événement)"
169,21,B2,verfassen,,"to write, to compose, to draft","écrire, composer, rédiger",1. verb,ver,fassen,"to grasp, to seize, to capture, to comprehend","saisir, capturer, comprendre"
170,22,B2,verleihen,,"to award, to grant, to lend","attribuer, accorder, prêter",1. verb,ver,leihen,"to lend, to borrow","prêter, emprunter"
171,22,B2,verfolgen,,"to pursue, to track, to follow, to prosecute","poursuivre, pister, suivre",1. verb,ver,folgen,to follow,suivre
172,22,B2,verbrennen,,"to burn, to consume by fire, to incinerate","brûler, consumer par le feu, incinérer",1. verb,ver,brennen,"to burn, to have a strong affection for, to induce pain","brûler, avoir une forte affection pour, provoquer de la douleur"
173,22,B2,überweisen,,"to transfer (money), to refer (a patient)","transférer (de l'argent), référer (un patient)",1. verb,über,weisen,"to point, to direct, to indicate","pointer, diriger, indiquer"
174,22,B2,umgehen,,"to handle, to deal with, to avoid","gérer, faire face à, éviter",1. verb,um,gehen,"to go, to leave, to work, to function (coll.)","aller, partir, fonctionner (familier)"
175,22,B2,umsetzen,,"to implement, to apply, to put into practice","mettre en œuvre, appliquer, mettre en pratique",1. verb,um,setzen,"to set, to sit down (refl.)",s'asseoir (réfl.)
176,22,B2,unterscheiden,,"to distinguish, to differentiate","distinguer, différencier",1. verb,unter,scheiden,"to separate, to divorce, to part","se séparer, divorcer"
177,22,B2,unterhalten,,"to entertain, to maintain, to support, to convert","divertir, entretenir, soutenir, convertir",1. verb,unter,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
178,22,B2,durchführen,,"to carry out, to conduct, to implement","réaliser, mener, mettre en œuvre",1. verb,durch,führen,"to lead, to guide","guider, conduire"
179,22,B2,hinterlassen,,"to leave behind, to bequeath","laisser derrière soi, léguer",1. verb,hinter,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
180,22,B2,abbrechen,,"to cancel, to break off, to interrupt","annuler, interrompre, rompre",1. verb,ab,brechen,to break,"casser, briser"
181,22,B2,zusammenarbeiten,,"to cooperate, to collaborate","coopérer, collaborer",1. verb,zusammen,arbeiten,to work,travailler
182,22,B2,zusammenstellen,,"to compile, to assemble","compiler, assembler",1. verb,zusammen,stellen,"to position, to put, to catch","positionner, mettre"
183,22,B2,überlassen,,"to leave to, to entrust, to surrender","laisser à, confier, abandonner",1. verb,über,lassen,"to let, to leave, to allow","laisser, quitter, permettre"
184,100,C1,absehen,,"to foresee, to overlook, to disregard","prévoir, négliger",1. verb,ab,sehen,"to see, to realise","voir, se rendre compte"
185,100,C1,anhalten,,"to stop (cease moving), to continue, to compel","arrêter (cesser de bouger), continuer, contraindre",1. verb,an,halten,"to hold, to stop (a movement), to support, to keep","tenir, arrêter (un mouvement), soutenir, garder"
186,100,C1,auffallen,,"to stand out, to catch someone's eye (with dative)","se démarquer, attirer l'attention (avec le datif)",1. verb,auf,fallen,"to fall, to fall in battle, to collapse","tomber, tomber au combat, s'effondrer"
