Nr,exercise,question,answer,combination,german,english,french,gender_english,gender_french,expression,case_preposition,explanation_english,explanation_french,verb,level verb NVV,level verb root,level chatgpt,NVV,is_NVV,root_verb
11,2,vor etw.<sup>Dat</sup> Angst _____,haben,Angst haben,vor etw.<sup>Dat</sup> Angst haben,to be afraid of,avoir peur de,,,,,vor etw.<sup>Dat</sup> Angst haben = to be afraid of,vor etw.<sup>Dat</sup> Angst haben = avoir peur de,,,,,,,
12,2,eine Frage _____,stellen,eine Frage stellen,eine Frage stellen,to ask a question,poser une question,,,,,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,,,,,
13,2,eine Antwort _____,geben,eine Antwort geben,eine Antwort geben,"to answer, to give an answer",répondre,,,,,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,,,,,
14,2,einen Rat _____,geben,einen Rat geben,einen Rat geben,"to advise, to give some advice","conseiller, donner un conseil",,,,,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,,,,,
15,2,einen Vorschlag _____,machen/unterbreiten,"einen Vorschlag machen, einen Vorschlag unterbreiten","einen Vorschlag machen, einen Vorschlag unterbreiten","to suggest, to make a suggestion","suggérer, faire une suggestion",,,,,"einen Vorschlag machen, einen Vorschlag unterbreiten = to suggest, to make a suggestion","einen Vorschlag machen, einen Vorschlag unterbreiten = suggérer, faire une suggestion",,,,,,,
16,2,Hoffnung _____,haben,Hoffnung haben,Hoffnung haben,to hope,"espérer, avoir de l'espoir",,,,,Hoffnung haben = to hope,"Hoffnung haben = espérer, avoir de l'espoir",,,,,,,
17,2,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> _____,machen,sich Sorgen machen,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen,to worry,"s'inquiéter, se faire du soucis",,,,,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = to worry,"sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = s'inquiéter, se faire du soucis",,,,,,,
18,2,auf etw.<sup>Acc</sup> Lust _____,haben,Lust haben,auf etw.<sup>Acc</sup> Lust haben,to want,avoir envie de,,,,,"auf etw.<sup>Acc</sup> Lust haben = to want, to feel like",auf etw.<sup>Acc</sup> Lust haben = avoir envie de,,,,,,,
19,2,an etw.<sup>Dat</sup> Spaß _____,haben,Spaß haben,an etw.<sup>Dat</sup> Spaß haben,to have fun (active),s'amuser (actif),,,,,an etw.<sup>Dat</sup> Spaß haben = to have fun (active),an etw.<sup>Dat</sup> Spaß haben = s'amuser (actif),,,,,,,
20,2,Spaß _____,machen,Spaß machen,Spaß machen,"to be fun, to amuse (passive)","amuser, plaire, faire plaisir (passif)",,,,,"Spaß machen = to be fun, to amuse (passive)","Spaß machen = amuser, plaire, faire plaisir (passif)",,,,,,,
21,3,Darf ich Ihnen eine _____ stellen?,Frage,eine Frage stellen,Darf ich Ihnen eine Frage stellen?,May I ask you a question?,Puis-je vous poser une question ?,,,,,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,,,,,
22,3,Der Schüler hat dem Lehrer eine interessante _____ gestellt.,Frage,eine Frage stellen,Der Schüler hat dem Lehrer eine interessante Frage gestellt.,The student asked the teacher an interesting question.,L’élève a posé une question intéressante au professeur.,,,,,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,,,,,
23,3,Darf ich einen _____ machen?,Vorschlag,"einen Vorschlag machen, einen Vorschlag unterbreiten",Darf ich einen Vorschlag machen?,May I make a suggestion?,Puis-je faire une proposition ?,,,,,"einen Vorschlag machen, einen Vorschlag unterbreiten = to suggest, to make a suggestion","einen Vorschlag machen, einen Vorschlag unterbreiten = suggérer, faire une suggestion",,,,,,,
24,3,Er hat einen guten _____ für das Wochenende gemacht.,Vorschlag,"einen Vorschlag machen, einen Vorschlag unterbreiten",Er hat einen guten Vorschlag für das Wochenende gemacht.,He made a good suggestion for the weekend.,Il a fait une bonne proposition pour le week-end.,,,,,"einen Vorschlag machen, einen Vorschlag unterbreiten = to suggest, to make a suggestion","einen Vorschlag machen, einen Vorschlag unterbreiten = suggérer, faire une suggestion",,,,,,,
25,3,"Ich habe _____, dass alles gut wird.",Hoffnung,Hoffnung haben,"Ich habe Hoffnung, dass alles gut wird.",I have hope that everything will be fine.,J’ai l’espoir que tout ira bien.,,,,,Hoffnung haben = to hope,"Hoffnung haben = espérer, avoir de l'espoir",,,,,,,
26,3,Viele Menschen haben _____ auf eine bessere Zukunft.,Hoffnung,Hoffnung haben,Viele Menschen haben Hoffnung auf eine bessere Zukunft.,Many people have hope for a better future.,Beaucoup de gens ont l’espoir d’un avenir meilleur.,,,,,Hoffnung haben = to hope,"Hoffnung haben = espérer, avoir de l'espoir",,,,,,,
27,3,Der Lehrer gab den Schülern eine ausführliche _____.,Antwort,eine Antwort geben,Der Lehrer gab den Schülern eine ausführliche Antwort.,The teacher gave the students a detailed answer.,Le professeur a donné une réponse détaillée aux élèves.,,,,,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,,,,,
28,3,Kannst du mir bitte eine klare _____ geben?,Antwort,eine Antwort geben,Kannst du mir bitte eine klare Antwort geben?,Can you please give me a clear answer?,"Peux-tu me donner une réponse claire, s’il te plaît ?",,,,,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,,,,,
29,3,"Kannst du mir einen _____ geben, wie ich besser lernen kann?",Rat,einen Rat geben,"Kannst du mir einen Rat geben, wie ich besser lernen kann?",Can you give me some advice on how to study better?,Peux-tu me donner un conseil pour mieux étudier ?,,,,,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,,,,,
30,3,Mein Vater hat mir einen guten _____ gegeben.,Rat,einen Rat geben,Mein Vater hat mir einen guten Rat gegeben.,My father gave me good advice.,Mon père m’a donné un bon conseil.,,,,,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,,,,,
31,3,"Ich habe _____ vor Spinnen, obwohl ich weiß, dass sie harmlos sind.",Angst,Angst haben,"Ich habe Angst vor Spinnen, obwohl ich weiß, dass sie harmlos sind.","I’m afraid of spiders, even though I know they are harmless.","J’ai peur des araignées, même si je sais qu’elles sont inoffensives.",,,,,vor etw.<sup>Dat</sup> Angst haben = to be afraid of,vor etw.<sup>Dat</sup> Angst haben = avoir peur de,,,,,,,
32,3,"Viele Menschen haben _____, ihren Job zu verlieren.",Angst,Angst haben,"Viele Menschen haben Angst, ihren Job zu verlieren.",Many people are afraid of losing their job.,Beaucoup de gens ont peur de perdre leur emploi.,,,,,vor etw.<sup>Dat</sup> Angst haben = to be afraid of,vor etw.<sup>Dat</sup> Angst haben = avoir peur de,,,,,,,
33,3,Ich mache mir _____ um meine Prüfung.,Sorgen,sich Sorgen machen,Ich mache mir Sorgen um meine Prüfung.,I’m worried about my exam.,Je me fais du souci pour mon examen.,,,,,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = to worry,"sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = s'inquiéter, se faire du soucis",,,,,,,
34,3,"Mach dir keine _____, alles wird gut.",Sorgen,sich Sorgen machen,"Mach dir keine Sorgen, alles wird gut.","Don’t worry, everything will be fine.","Ne t’inquiète pas, tout ira bien.",,,,,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = to worry,"sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = s'inquiéter, se faire du soucis",,,,,,,
35,3,"Hast du _____, ins Kino zu gehen?",Lust/Bock,Lust haben,"Hast du Lust, ins Kino zu gehen?",Do you feel like going to the cinema?,Tu as envie d’aller au cinéma ?,,,,,"auf etw.<sup>Acc</sup> Lust haben = to want, to feel like",auf etw.<sup>Acc</sup> Lust haben = avoir envie de,,,,,,,
36,3,Ich habe heute keine _____ zu arbeiten.,Lust/Bock,Lust haben,Ich habe heute keine Lust zu arbeiten.,I don’t feel like working today.,Je n’ai pas envie de travailler aujourd’hui.,,,,,"auf etw.<sup>Acc</sup> Lust haben = to want, to feel like",auf etw.<sup>Acc</sup> Lust haben = avoir envie de,,,,,,,
37,3,Die Kinder haben im Park _____ gehabt und laut gelacht.,Spaß,Spaß haben,Die Kinder haben im Park Spaß gehabt und laut gelacht.,The children had fun in the park and laughed loudly.,Les enfants se sont amusés au parc et ont beaucoup ri.,,,,,an etw.<sup>Dat</sup> Spaß haben = to have fun (active),an etw.<sup>Dat</sup> Spaß haben = s'amuser (actif),,,,,,,
38,3,"Wir haben _____ daran, zusammen neue Rezepte auszuprobieren.",Spaß,Spaß haben,"Wir haben Spaß daran, zusammen neue Rezepte auszuprobieren.",We enjoy having fun trying out new recipes together.,Nous prenons plaisir à essayer de nouvelles recettes ensemble.,,,,,an etw.<sup>Dat</sup> Spaß haben = to have fun (active),an etw.<sup>Dat</sup> Spaß haben = s'amuser (actif),,,,,,,
39,3,"Die Arbeit macht mehr _____, wenn man nette Kollegen hat.",Spaß,Spaß machen,"Die Arbeit macht mehr Spaß, wenn man nette Kollegen hat.",Work is more fun when you have nice colleagues.,Le travail est plus agréable quand on a des collègues sympathiques.,,,,,"Spaß machen = to be fun, to amuse (passive)","Spaß machen = amuser, plaire, faire plaisir (passif)",,,,,,,
40,3,Der Ausflug in die Berge hat allen viel _____ gemacht.,Spaß,Spaß machen,Der Ausflug in die Berge hat allen viel Spaß gemacht.,The trip to the mountains was a lot of fun for everyone.,L’excursion à la montagne a beaucoup plu à tout le monde.,,,,,"Spaß machen = to be fun, to amuse (passive)","Spaß machen = amuser, plaire, faire plaisir (passif)",,,,,,,
41,4,"Der Arzt _____ ihm den Rat, mehr Sport zu treiben.",gab,einen Rat geben,"Der Arzt gab ihm den Rat, mehr Sport zu treiben.",The doctor advised him to do more exercise.,Le médecin lui a donné le conseil de faire plus de sport.,,,,,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,,,,,
42,4,"Ich weiß nicht, welchen Rat ich ihr _____ soll.",geben,einen Rat geben,"Ich weiß nicht, welchen Rat ich ihr geben soll.",I don’t know what advice to give her.,Je ne sais pas quel conseil lui donner.,,,,,"einen Rat geben = to advise, to give some advice","einen Rat geben = conseiller, donner un conseil",,,,,,,
43,4,"Es erwärmt trotzdem mein Herz zu sehen, dass die Menschen Hoffnung _____.",haben,Hoffnung haben,"Es erwärmt trotzdem mein Herz zu sehen, dass die Menschen Hoffnung haben.",It still warms my heart to see that people have hope.,Cela me fait toujours chaud au cœur de voir que les gens ont de l’espoir.,,,,,Hoffnung haben = to hope,"Hoffnung haben = espérer, avoir de l'espoir",,,,,,,
44,4,Trotz der Schwierigkeiten _____ wir noch Hoffnung.,haben,Hoffnung haben,Trotz der Schwierigkeiten haben wir noch Hoffnung.,"Despite the difficulties, we still have hope.","Malgré les difficultés, nous avons encore de l’espoir.",,,,,Hoffnung haben = to hope,"Hoffnung haben = espérer, avoir de l'espoir",,,,,,,
45,4,Ich kann dir im Moment noch keine Antwort _____.,geben,eine Antwort geben,Ich kann dir im Moment noch keine Antwort geben.,I can’t give you an answer right now.,Je ne peux pas encore te donner de réponse pour le moment.,,,,,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,,,,,
46,4,Sie wollte keine Antwort auf diese Frage _____.,geben,eine Antwort geben,Sie wollte keine Antwort auf diese Frage geben.,She didn’t want to give an answer to that question.,Elle ne voulait pas donner de réponse à cette question.,,,,,"eine Antwort geben = to answer, to give an answer",eine Antwort geben = répondre,,,,,,,
47,4,Ich möchte eine Frage zu diesem Thema _____.,stellen,eine Frage stellen,Ich möchte eine Frage zu diesem Thema stellen.,I’d like to ask a question about this topic.,J’aimerais poser une question à ce sujet.,,,,,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,,,,,
48,4,"Sie _____ viele Fragen, um das Problem besser zu verstehen.",stellte,eine Frage stellen,"Sie stellte viele Fragen, um das Problem besser zu verstehen.",She asked many questions to understand the problem better.,Elle a posé beaucoup de questions pour mieux comprendre le problème.,,,,,eine Frage stellen = to ask a question,eine Frage stellen = poser une question,,,,,,,
49,4,Kinder _____ oft Angst im Dunkeln.,haben,Angst haben,Kinder haben oft Angst im Dunkeln.,Children are often afraid in the dark.,Les enfants ont souvent peur dans le noir.,,,,,vor etw.<sup>Dat</sup> Angst haben = to be afraid of,vor etw.<sup>Dat</sup> Angst haben = avoir peur de,,,,,,,
50,4,"Sie _____ Angst, dass ihr Freund sie nicht mehr liebt.",hat,Angst haben,"Sie hat Angst, dass ihr Freund sie nicht mehr liebt.",She is afraid that her boyfriend doesn’t love her anymore.,Elle a peur que son petit ami ne l’aime plus.,,,,,vor etw.<sup>Dat</sup> Angst haben = to be afraid of,vor etw.<sup>Dat</sup> Angst haben = avoir peur de,,,,,,,
51,4,Könnten Sie stattdessen einen konkreten Vorschlag _____?,machen/unterbreiten,"einen Vorschlag machen, einen Vorschlag unterbreiten",Könnten Sie stattdessen einen konkreten Vorschlag machen?,Could you make a concrete suggestion instead?,Pourriez-vous plutôt faire une suggestion concrète ?,,,,,"einen Vorschlag machen, einen Vorschlag unterbreiten = to suggest, to make a suggestion","einen Vorschlag machen, einen Vorschlag unterbreiten = suggérer, faire une suggestion",,,,,,,
52,4,"Sie _____ den Vorschlag, gemeinsam zu reisen.",machte/unterbreitete,"einen Vorschlag machen, einen Vorschlag unterbreiten","Sie machte den Vorschlag, gemeinsam zu reisen.",She made the suggestion to travel together.,Elle a fait la proposition de voyager ensemble.,,,,,"einen Vorschlag machen, einen Vorschlag unterbreiten = to suggest, to make a suggestion","einen Vorschlag machen, einen Vorschlag unterbreiten = suggérer, faire une suggestion",,,,,,,
53,4,"Sie _____ sich Sorgen, weil ihr Sohn krank ist.",macht,sich Sorgen machen,"Sie macht sich Sorgen, weil ihr Sohn krank ist.",She is worried because her son is sick.,Elle se fait du souci parce que son fils est malade.,,,,,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = to worry,"sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = s'inquiéter, se faire du soucis",,,,,,,
54,4,Viele Eltern _____ sich Sorgen um die Zukunft ihrer Kinder.,machen,sich Sorgen machen,Viele Eltern machen sich Sorgen um die Zukunft ihrer Kinder.,Many parents worry about their children’s future.,Beaucoup de parents se font du souci pour l’avenir de leurs enfants.,,,,,sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = to worry,"sich<sup>Dat</sup> Sorgen um etw.<sup>Acc</sup> machen = s'inquiéter, se faire du soucis",,,,,,,
55,4,Sie _____ Lust auf ein Stück Kuchen.,hat,Lust haben,Sie hat Lust auf ein Stück Kuchen.,She feels like having a piece of cake.,Elle a envie d’un morceau de gâteau.,,,,,"auf etw.<sup>Acc</sup> Lust haben = to want, to feel like",auf etw.<sup>Acc</sup> Lust haben = avoir envie de,,,,,,,
56,4,"Wir _____ Lust, etwas Neues auszuprobieren.",haben,Lust haben,"Wir haben Lust, etwas Neues auszuprobieren.",We feel like trying something new.,Nous avons envie d’essayer quelque chose de nouveau.,,,,,"auf etw.<sup>Acc</sup> Lust haben = to want, to feel like",auf etw.<sup>Acc</sup> Lust haben = avoir envie de,,,,,,,
57,4,Am Wochenende habe ich mit meinen Freunden viel Spaß _____.,gehabt,Spaß haben,Am Wochenende habe ich mit meinen Freunden viel Spaß gehabt.,I had a lot of fun with my friends over the weekend.,"Le week-end, je me suis beaucoup amusé avec mes amis.",,,,,an etw.<sup>Dat</sup> Spaß haben = to have fun (active),an etw.<sup>Dat</sup> Spaß haben = s'amuser (actif),,,,,,,
58,4,Beim Lernen einer neuen Sprache kann man auch Spaß _____.,haben,Spaß haben,Beim Lernen einer neuen Sprache kann man auch Spaß haben.,"When learning a new language, you can also have fun.","En apprenant une nouvelle langue, on peut aussi prendre du plaisir.",,,,,an etw.<sup>Dat</sup> Spaß haben = to have fun (active),an etw.<sup>Dat</sup> Spaß haben = s'amuser (actif),,,,,,,
59,4,Das Spiel _____ den Kindern großen Spaß.,macht,Spaß machen,Das Spiel macht den Kindern großen Spaß.,The game is a lot of fun for the children.,Le jeu amuse beaucoup les enfants.,,,,,"Spaß machen = to be fun, to amuse (passive)","Spaß machen = amuser, plaire, faire plaisir (passif)",,,,,,,
60,4,"Es _____ mir Spaß, abends ein Buch zu lesen.",macht,Spaß machen,"Es macht mir Spaß, abends ein Buch zu lesen.",I enjoy reading a book in the evening.,Ça me fait plaisir de lire un livre le soir.,,,,,"Spaß machen = to be fun, to amuse (passive)","Spaß machen = amuser, plaire, faire plaisir (passif)",,,,,,,
61,5,_____ spielen,eine Rolle,eine Rolle spielen,eine Rolle spielen,"to be important, to play a role","être important, jouer un rôle",Feminine,Féminin,,,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,,B2,eine Rolle spielen,yes,"wichtig sein, relevant sein"
62,5,nach jdm./etw.<sup>Dat</sup> _____ sein,auf der Suche,auf der Suche sein,nach jdm./etw.<sup>Dat</sup> auf der Suche sein,"to look for, to search","chercher, être à la recherche de",Feminine,Féminin,nach jdm./etw.<sup>Dat</sup> auf der Suche sein,nach + Dat.,"nach jdm./etw.<sup>Dat</sup> auf der Suche sein = to look for, to search","nach jdm./etw.<sup>Dat</sup> auf der Suche sein = chercher, être à la recherche de",,,A1,B1B2,auf der Suche sein,borderline NVV,suchen
63,5,"_____ sagen, geben",Bescheid,"Bescheid sagen, Bescheid geben",jdm. Bescheid sagen/geben,to let somebody know,faire passer un message,Masculine,Masculin,jdm. Bescheid sagen/geben,,jdm. Bescheid sagen/geben = to let somebody know,jdm. Bescheid sagen/geben = faire passer un message,,,B1,B2,"Bescheid sagen, Bescheid geben",yes,informieren
64,5,_____ sein,in der Lage,in der Lage sein,in der Lage sein,"to be able to, to be in a position to","pourvoir, être capable de",Feminine,Féminin,,zu + Inf.,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,,A1,B2,in der Lage sein,fixed expression (not NVV),können
65,5,_____ treffen,Vorbereitungen,Vorbereitungen treffen,Vorbereitungen treffen,"to prepare, to make preparations","préparer, faire des préparatifs",Plural,Pluriel,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,,B1,B2,Vorbereitungen treffen,yes,vorbereiten
66,5,sich<sup>Acc/Dat</sup> _____ geben,Mühe,sich Mühe geben,sich<sup>Acc/Dat</sup> Mühe geben,"to take care, to make an effort",faire un effort,Feminine,Féminin,sich<sup>Acc/Dat</sup> Mühe geben,,"sich<sup>Acc/Dat</sup> Mühe geben = to take care, to make an effort",sich<sup>Acc/Dat</sup> Mühe geben = faire un effort,,,B1,B1,sich Mühe geben,yes,sich bemühen
67,5,_____ machen,ein Angebot,ein Angebot machen,ein Angebot machen,to make an offer,faire une offre,Neuter,Neutre,,für + Acc.,ein Angebot machen = to make an offer,ein Angebot machen = faire une offre,,,B1,B1B2,ein Angebot machen,yes,anbieten
68,5,_____ wissen,Bescheid,Bescheid wissen,Bescheid wissen,to be in the know,être au courant,Masculine,Masculin,,über + Acc.,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,,B2,Bescheid wissen,fixed expression,"informiert sein, wissen",
69,5,_____ kommen,ums Leben,ums Leben kommen,ums Leben kommen,"to perish, to lose one's life","mourir, périr",Neuter,Neutre,,,"ums Leben kommen = to perish, to lose one's life","ums Leben kommen = mourir, périr",kommen,A1,B2,ums Leben kommen,fixed expression,sterben,
70,5,_____ nehmen,in Kauf,in Kauf nehmen,in Kauf nehmen,"to accept, to take the risk",accepter,Masculine,Masculin,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,,,C1,in Kauf nehmen,yes,akzeptieren
71,6,eine Rolle _____,spielen,eine Rolle spielen,eine Rolle spielen,"to be important, to play a role","être important, jouer un rôle",,,,,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,,,,,
72,6,nach jdm./etw.<sup>Dat</sup> auf der Suche _____,sein,auf der Suche sein,nach jdm./etw.<sup>Dat</sup> auf der Suche sein,"to look for, to search","chercher, être à la recherche de",,,,,"nach jdm./etw.<sup>Dat</sup> auf der Suche sein = to look for, to search","nach jdm./etw.<sup>Dat</sup> auf der Suche sein = chercher, être à la recherche de",,,,,,,
73,6,Bescheid _____,sagen/geben,"Bescheid sagen, Bescheid geben",jdm. Bescheid sagen/geben,to let somebody know,faire passer un message,,,,,jdm. Bescheid sagen/geben = to let somebody know,jdm. Bescheid sagen/geben = faire passer un message,,,,,,,
74,6,in der Lage _____,sein,in der Lage sein,in der Lage sein,"to be able to, to be in a position to","pourvoir, être capable de",,,,,"in der Lage sein = to be able to, to be in a position to","in der Lage sein = pourvoir, être capable de",,,,,,,
75,6,Vorbereitungen _____,treffen,Vorbereitungen treffen,Vorbereitungen treffen,"to prepare, to make preparations","préparer, faire des préparatifs",,,,,"Vorbereitungen treffen = to prepare, to make preparations","Vorbereitungen treffen = préparer, faire des préparatifs",,,,,,,
76,6,sich<sup>Acc/Dat</sup> Mühe _____,geben,sich Mühe geben,sich<sup>Acc/Dat</sup> Mühe geben,"to take care, to make an effort",faire un effort,,,,,"sich<sup>Acc/Dat</sup> Mühe geben = to take care, to make an effort",sich<sup>Acc/Dat</sup> Mühe geben = faire un effort,,,,,,,
77,6,ein Angebot _____,machen,ein Angebot machen,ein Angebot machen,to make an offer,faire une offre,,,,,ein Angebot machen = to make an offer,ein Angebot machen = faire une offre,,,,,,,
78,6,Bescheid _____,wissen,Bescheid wissen,Bescheid wissen,to be in the know,être au courant,,,,,Bescheid wissen = to be in the know,Bescheid wissen = être au courant,,,,,,,
79,6,ums Leben _____,kommen,ums Leben kommen,ums Leben kommen,"to perish, to lose one's life","mourir, périr",,,,,"ums Leben kommen = to perish, to lose one's life","ums Leben kommen = mourir, périr",kommen,A1,B2,,,,
80,6,in Kauf _____,nehmen,in Kauf nehmen,in Kauf nehmen,"to accept, to take the risk",accepter,,,,,"in Kauf nehmen = to accept, to take the risk",in Kauf nehmen = accepter,,,,,,,
81,7,Erfahrung spielt bei dieser Arbeit eine wichtige _____.,Rolle,eine Rolle spielen,Erfahrung spielt bei dieser Arbeit eine wichtige Rolle.,Experience plays an important role in this job.,L’expérience joue un rôle important dans ce travail.,,,,,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,,,,,
82,7,Geld spielt in meinem Leben keine große _____.,Rolle,eine Rolle spielen,Geld spielt in meinem Leben keine große Rolle.,Money doesn’t play a big role in my life.,L’argent ne joue pas un grand rôle dans ma vie.,,,,,"eine Rolle spielen = to be important, to play a role","eine Rolle spielen = être important, jouer un rôle",,,,,,,
83,7,"Ich bin schon seit Wochen _____ nach einer Wohnung, die sowohl ruhig als auch zentral liegt.",auf der Suche,auf der Suche sein,"Ich bin schon seit Wochen auf der Suche nach einer Wohnung, die sowohl ruhig als auch zentral liegt.",I have been looking for an apartment for weeks that is both quiet and central.,"Je suis à la recherche d’un appartement depuis des semaines, qui soit à la fois calme et central.",,,,,"nach jdm./etw.<sup>Dat</sup> auf der Suche sein = to look for, to search","nach jdm./etw.<sup>Dat</sup> auf der Suche sein = chercher, être à la recherche de",,,,,,,
84,7,"Viele junge Leute sind heute _____ nach einem Job, der nicht seulement Geld bringt, sondern auch Sinn hat.",auf der Suche,auf der Suche sein,"Viele junge Leute sind heute auf der Suche nach einem Job, der nicht seulement Geld bringt, sondern auch Sinn hat.",Many young people are looking for a job today that not only brings money but also has meaning.,Beaucoup de jeunes sont aujourd’hui à la recherche d’un travail qui n’apporte pas seulement de l’argent mais aussi du sens.,,,,,"nach jdm./etw.<sup>Dat</sup> auf der Suche sein = to look for, to search","nach jdm./etw.<sup>Dat</sup> auf der Suche sein = chercher, être à la recherche de",,,,,,,
