Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french
16,1,Er ist älter _____ ich.,als,Er ist älter als ich.,He is older than me.,Il est plus vieux que moi.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
17,1,Diese Stadt ist größer _____ mein Heimatdorf.,als,Diese Stadt ist größer als mein Heimatdorf.,This city is bigger than my hometown.,Cette ville est plus grande que ma ville natale.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
18,1,Der Kuchen schmeckt besser _____ die Torte.,als,Der Kuchen schmeckt besser als die Torte.,The cake tastes better than the tart.,Le gâteau a meilleur goût que la tarte.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
19,1,Heute ist es heißer _____ gestern.,als,Heute ist es heißer als gestern.,Today is hotter than yesterday.,Aujourd'hui il fait plus chaud qu'hier.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
20,1,Dieses Auto ist schneller _____ das alte.,als,Dieses Auto ist schneller als das alte.,This car is faster than the old one.,Cette voiture est plus rapide que l'ancienne.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
21,1,Mein Haus ist nicht so groß _____ dein Haus.,wie,Mein Haus ist nicht so groß wie dein Haus.,My house is not as big as your house.,Ma maison n'est pas aussi grande que ta maison.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
22,1,Er ist nicht so schnell _____ sein Bruder.,wie,Er ist nicht so schnell wie sein Bruder.,He is not as fast as his brother.,Il n'est pas aussi rapide que son frère.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
23,1,Das Wetter heute ist nicht so schön _____ gestern.,wie,Das Wetter heute ist nicht so schön wie gestern.,The weather today is not as nice as yesterday.,Le temps aujourd’hui n’est pas aussi beau qu’hier.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
24,1,Diese Stadt ist nicht so laut _____ Berlin.,wie,Diese Stadt ist nicht so laut wie Berlin.,This city is not as loud as Berlin.,Cette ville n’est pas aussi bruyante que Berlin.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
25,1,Meine Katze ist nicht so verspielt _____ dein Hund.,wie,Meine Katze ist nicht so verspielt wie dein Hund.,My cat is not as playful as your dog.,Mon chat n'est pas aussi joueur que votre chien.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
26,1,Der Film war _____ spannend wie das Buch.,nicht so,Der Film war nicht so spannend wie das Buch.,The movie was not as exciting as the book.,Le film n’était pas aussi passionnant que le livre.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
27,1,Das Hotel war _____ teuer wie erwartet.,nicht so,Das Hotel war nicht so teuer wie erwartet.,The hotel was not as expensive as expected.,L'hôtel n'était pas aussi cher que prévu.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
28,1,Peter ist _____ freundlich wie Maria.,nicht so,Peter ist nicht so freundlich wie Maria.,Peter is not as friendly as Maria.,Peter n'est pas aussi amical que Maria.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
29,1,Mein Auto ist _____ neu wie deins.,nicht so,Mein Auto ist nicht so neu wie deins.,My car is not as new as yours.,Ma voiture n'est pas aussi neuve que la tienne.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
30,1,Die Aufgabe war _____ schwer wie ich dachte.,nicht so,Die Aufgabe war nicht so schwer wie ich dachte.,The task was not as difficult as I thought.,La tâche n’était pas aussi difficile que je le pensais.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
31,2,"Der Test war schwieriger, _____ ich erwartet habe.",als,"Der Test war schwieriger, als ich erwartet habe.",The test was more difficult than I expected.,Le test était plus difficile que prévu.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
32,2,"Das Haus ist größer, _____ wir gedacht haben.",als,"Das Haus ist größer, als wir gedacht haben.",The house is bigger than we thought.,La maison est plus grande que ce que nous pensions.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
33,2,"Es ist günstiger, _____ wir geplant haben.",als,"Es ist günstiger, als wir geplant haben.",It is cheaper than we planned.,C'est moins cher que prévu.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
34,2,"Das Buch ist interessanter, _____ ich es mir vorgestellt habe.",als,"Das Buch ist interessanter, als ich es mir vorgestellt habe.",The book is more interesting than I imagined.,Le livre est plus intéressant que je l'imaginais.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
35,2,"Der Film war besser, _____ ich gedacht habe.",als,"Der Film war besser, als ich gedacht habe.",The movie was better than I thought.,Le film était meilleur que ce que je pensais.,to express an unequal comparison – <i>than</i> → als,pour exprimer une comparaison inégale – <i>que</i> → als
36,2,"Das Essen schmeckte so gut, _____ wir es erwartet hatten.",wie,"Das Essen schmeckte so gut, wie wir es erwartet hatten.",The food tastes as good as we expected.,La nourriture a le goût que nous attendions.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
37,2,"Die Prüfung war einfach, _____ der Lehrer gesagt hatte.",wie,"Die Prüfung war einfach, wie der Lehrer gesagt hatte.","The exam was easy, as the teacher said.","L'examen était facile, comme l'a dit le professeur.",to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
38,2,"Er fährt genauso schnell, _____ es im Plan steht.",wie,"Er fährt genauso schnell, wie es im Plan steht.",He drives just as fast as it was planned.,Il conduit aussi vite que prévu.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
39,2,"Ich habe das Problem genauso gelöst, _____ du es mir erklärt hast.",wie,"Ich habe das Problem genauso gelöst, wie du es mir erklärt hast.",I solved the problem exactly as you explained it to me.,J'ai résolu le problème exactement comme vous me l'avez expliqué.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
40,2,"Der Film war genauso spannend, _____ ich gehofft habe.",wie,"Der Film war genauso spannend, wie ich gehofft habe.",The movie was just as exciting as I had hoped.,Le film était aussi passionnant que je l’espérais.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
41,2,"Ich lernte, _____ viel ich konnte, für die Prüfung.",so,"Ich lernte, so viel ich konnte, für die Prüfung.",I studied as much as I could for the exam.,J'ai étudié autant que j'ai pu pour l'examen.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
42,2,"Sie redete, _____ leise sie konnte, um niemanden zu stören.",so,"Sie redete, so leise sie konnte, um niemanden zu stören.",She spoke as quietly as she could so as not to disturb anyone.,Elle parlait aussi doucement qu'elle le pouvait pour ne déranger personne.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
43,2,"Er half, _____ gut er konnte, beim Umzug.",so,"Er half, so gut er konnte, beim Umzug.",He helped with the move as best he could.,Il a aidé au déménagement du mieux qu'il a pu.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
44,2,"Wir arbeiteten, _____ lange wir konnten, an dem Projekt.",so,"Wir arbeiteten, so lange wir konnten, an dem Projekt.",We worked on the project as long as we could.,Nous avons travaillé sur le projet aussi longtemps que nous le pouvions.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
45,2,"Der Hund lief, _____ schnell er konnte, zum Ball.",so,"Der Hund lief, so schnell er konnte, zum Ball.",The dog ran as fast as he could to the ball.,Le chien a couru aussi vite qu'il le pouvait vers la balle.,to express an equal comparison – <i>as ... as</i> → so ... wie,pour exprimer une comparaison d'égalité – <i>aussi ... que</i> → so ... wie
46,2,"_____ mehr du lernst, desto besser wirst du die Sprache verstehen.",Je,"Je mehr du lernst, desto besser wirst du die Sprache verstehen.","The more you study, the better you will understand the language.","Plus vous étudiez, mieux vous comprendrez la langue.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
47,2,"_____ früher wir losfahren, desto schneller kommen wir an.",Je,"Je früher wir losfahren, desto schneller kommen wir an.","The earlier we leave, the faster we will arrive.","Plus tôt nous partirons, plus vite nous arriverons.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
48,2,"_____ länger du wartest, desto schwieriger wird es, eine Entscheidung zu treffen.",Je,"Je länger du wartest, desto schwieriger wird es, eine Entscheidung zu treffen.","The longer you wait, the harder it will be to make a decision.","Plus vous attendez, plus il sera difficile de prendre une décision.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
49,2,"_____ mehr Geld du sparst, desto mehr kannst du dir später leisten.",Je,"Je mehr Geld du sparst, desto mehr kannst du dir später leisten.","The more money you save, the more you can afford later.","Plus vous économisez d’argent, plus vous pourrez vous le permettre plus tard.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
50,2,"_____ öfter du übst, desto sicherer wirst du im Sprechen.",Je,"Je öfter du übst, desto sicherer wirst du im Sprechen.","The more often you practice, the more confident you will become in speaking.","Plus vous pratiquez souvent, plus vous aurez confiance en vous pour parler.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
51,2,"Je kälter es draußen ist, _____ mehr ziehe ich warme Kleidung an.",desto,"Je kälter es draußen ist, desto mehr ziehe ich warme Kleidung an.","The colder it is outside, the more warm clothing I wear.","Plus il fait froid dehors, plus je porte des vêtements chauds.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
52,2,"Je gesünder du isst, _____ besser fühlst du dich.",desto,"Je gesünder du isst, desto besser fühlst du dich.","The healthier you eat, the better you feel.","Plus vous mangez sainement, mieux vous vous sentez.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
53,2,"Je mehr Erfahrung du hast, _____ einfacher wird der Job.",desto,"Je mehr Erfahrung du hast, desto einfacher wird der Job.","The more experience you have, the easier the job will be.","Plus vous avez d’expérience, plus le travail sera facile.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
54,2,"Je lauter die Musik ist, _____ schlechter kann ich mich konzentrieren.",desto,"Je lauter die Musik ist, desto schlechter kann ich mich konzentrieren.","The louder the music is, the harder it is for me to concentrate.","Plus la musique est forte, plus il m’est difficile de me concentrer.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
55,2,"Je länger wir arbeiten, _____ müder werden wir.",desto,"Je länger wir arbeiten, desto müder werden wir.","The longer we work, the more tired we become.","Plus nous travaillons, plus nous sommes fatigués.","to express a proportional relationship → je ... desto, je ... umso","pour exprimer une relation proportionnelle → je ... desto, je ... umso"
56,2,"Der Vortrag war _____ interessant, dass ich völlig die Zeit vergaß.",so/derart/dermaßen,"Der Vortrag war so interessant, dass ich völlig die Zeit vergaß.",The lecture was so interesting that I completely forgot the time.,La conférence était si intéressante que j’ai complètement oublié le temps.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
57,2,"Er sprach _____ leise, dass man ihn kaum verstehen konnte.",so/derart/dermaßen,"Er sprach so leise, dass man ihn kaum verstehen konnte.",He spoke so quietly that one could hardly understand him.,Il parlait si doucement qu’on pouvait à peine le comprendre.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
58,2,"Die Aufgabe war _____ kompliziert, dass selbst erfahrene Kollegen Hilfe brauchten.",so/derart/dermaßen,"Die Aufgabe war so kompliziert, dass selbst erfahrene Kollegen Hilfe brauchten.",The task was so complicated that even experienced colleagues needed help.,La tâche était si compliquée que même des collègues expérimentés avaient besoin d’aide.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
59,2,"Sie war _____ müde, dass sie während des Films einschlief.",so/derart/dermaßen,"Sie war so müde, dass sie während des Films einschlief.",She was so tired that she fell asleep during the movie.,Elle était si fatiguée qu’elle s’est endormie pendant le film.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
60,2,"Der Zug hatte _____ viel Verspätung, dass wir den Anschluss verpassten.",so/derart/dermaßen,"Der Zug hatte so viel Verspätung, dass wir den Anschluss verpassten.",The train was so delayed that we missed the connection.,Le train avait un tel retard que nous avons raté la correspondance.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
61,2,"Das Wetter war so schlecht, _____ wir den Ausflug absagen mussten.",dass,"Das Wetter war so schlecht, dass wir den Ausflug absagen mussten.",The weather was so bad that we had to cancel the trip.,Le temps était si mauvais que nous avons dû annuler l’excursion.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
62,2,"Er war so überzeugt von seiner Meinung, _____ er keine Kritik zuließ.",dass,"Er war so überzeugt von seiner Meinung, dass er keine Kritik zuließ.",He was so convinced of his opinion that he accepted no criticism.,Il était tellement convaincu de son opinion qu’il n’acceptait aucune critique.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
63,2,"Die Musik war so laut, _____ die Nachbarn sich beschwerten.",dass,"Die Musik war so laut, dass die Nachbarn sich beschwerten.",The music was so loud that the neighbors complained.,La musique était si forte que les voisins se sont plaints.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
64,2,"Das Problem erwies sich als so dringend, _____ sofort gehandelt werden musste.",dass,"Das Problem erwies sich als so dringend, dass sofort gehandelt werden musste.",The problem turned out to be so urgent that immediate action was required.,Le problème s’est révélé si urgent qu’il a fallu agir immédiatement.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
65,2,"Seine Erklärung war so klar, _____ es keine weiteren Fragen gab.",dass,"Seine Erklärung war so klar, dass es keine weiteren Fragen gab.",His explanation was so clear that there were no further questions.,Son explication était si claire qu’il n’y avait plus de questions.,"to translate the construction ""<i>so ..., that</i>"" → so ..., dass","pour traduire la construction ""<i>si ..., que</i>"", ""<i>tellement ..., que</i>"" → so ..., dass"
66,3,"Die Arbeit wird _____ anspruchsvoller, je mehr Verantwortung er übernimmt.",immer,"Die Arbeit wird immer anspruchsvoller, je mehr Verantwortung er übernimmt.",The work becomes more and more demanding the more responsibility he takes on.,Le travail devient de plus en plus exigeant à mesure qu’il prend des responsabilités.,to describe a continuous change – such as <i>more and more</i> → immer ...,pour décrire un changement continu – tel que <i>de plus en plus</i> → immer ...
67,3,Seit dem Umzug ist der Arbeitsweg _____ länger geworden.,immer,Seit dem Umzug ist der Arbeitsweg immer länger geworden.,"Since the move, the commute has become longer and longer.","Depuis le déménagement, le trajet domicile-travail est devenu de plus en plus long.",to describe a continuous change – such as <i>more and more</i> → immer ...,pour décrire un changement continu – tel que <i>de plus en plus</i> → immer ...
68,3,"Die Diskussion wurde _____ hitziger, bis schließlich niemand mehr zuhörte.",immer,"Die Diskussion wurde immer hitziger, bis schließlich niemand mehr zuhörte.",The discussion became more and more heated until no one was listening anymore.,La discussion est devenue de plus en plus animée jusqu’à ce que plus personne n’écoute.,to describe a continuous change – such as <i>more and more</i> → immer ...,pour décrire un changement continu – tel que <i>de plus en plus</i> → immer ...
69,3,Mit jeder Wiederholung klang sein Vortrag _____ überzeugender.,immer,Mit jeder Wiederholung klang sein Vortrag immer überzeugender.,"With each repetition, his presentation sounded more and more convincing.","À chaque répétition, son exposé paraissait de plus en plus convaincant.",to describe a continuous change – such as <i>more and more</i> → immer ...,pour décrire un changement continu – tel que <i>de plus en plus</i> → immer ...
70,3,"Die Situation wird _____ schwieriger, je länger keine Entscheidung getroffen wird.",immer,"Die Situation wird immer schwieriger, je länger keine Entscheidung getroffen wird.",The situation becomes more and more difficult the longer no decision is made.,La situation devient de plus en plus difficile tant qu’aucune décision n’est prise.,to describe a continuous change – such as <i>more and more</i> → immer ...,pour décrire un changement continu – tel que <i>de plus en plus</i> → immer ...
71,3,"Die Lage ist _____ komplex, als dass sie sich mit einfachen Maßnahmen lösen ließe.",zu,"Die Lage ist zu komplex, als dass sie sich mit einfachen Maßnahmen lösen ließe.",The situation is too complex to be resolved with simple measures.,La situation est trop complexe pour être résolue par des mesures simples.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
72,3,"Der politische Druck war _____ groß, als dass man die Entscheidung weiter hätte aufschieben können.",zu,"Der politische Druck war zu groß, als dass man die Entscheidung weiter hätte aufschieben können.",The political pressure was too great to postpone the decision any further.,La pression politique était trop forte pour que la décision puisse être repoussée davantage.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
73,3,"Das Argument ist _____ vage formuliert, als dass es einer ernsthaften Prüfung standhalten würde.",zu,"Das Argument ist zu vage formuliert, als dass es einer ernsthaften Prüfung standhalten würde.",The argument is too vaguely formulated to withstand serious scrutiny.,L’argument est formulé de manière trop vague pour résister à un examen sérieux.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
74,3,"Die Frist war _____ knapp bemessen, als dass eine gründliche Analyse möglich gewesen wäre.",zu,"Die Frist war zu knapp bemessen, als dass eine gründliche Analyse möglich gewesen wäre.",The deadline was too tight to allow for a thorough analysis.,Le délai était trop court pour permettre une analyse approfondie.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
75,3,"Die Unterschiede sind _____ gravierend, als dass man von bloßen Nuancen sprechen könnte.",zu,"Die Unterschiede sind zu gravierend, als dass man von bloßen Nuancen sprechen könnte.",The differences are too significant to be described as mere nuances.,Les différences sont trop importantes pour qu’on puisse parler de simples nuances.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
76,3,"Der Zeitraum war zu kurz, _____ nachhaltige Effekte hätten erzielt werden können.",als dass,"Der Zeitraum war zu kurz, als dass nachhaltige Effekte hätten erzielt werden können.",The time frame was too short for sustainable effects to be achieved.,La période était trop courte pour que des effets durables puissent être obtenus.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
77,3,"Die Aussagen bleiben zu widersprüchlich, _____ man ihnen uneingeschränkt vertrauen dürfte.",als dass,"Die Aussagen bleiben zu widersprüchlich, als dass man ihnen uneingeschränkt vertrauen dürfte.",The statements remain too contradictory to be fully trusted.,Les déclarations restent trop contradictoires pour qu’on puisse leur accorder une confiance totale.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
78,3,"Seine Erklärung war zu ausweichend, _____ sie die Zweifel hätte ausräumen können.",als dass,"Seine Erklärung war zu ausweichend, als dass sie die Zweifel hätte ausräumen können.",His explanation was too evasive to dispel the doubts.,Son explication était trop évasive pour dissiper les doutes.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
79,3,"Das Risiko erscheint zu hoch, _____ man es ohne weitere Absicherung eingehen sollte.",als dass,"Das Risiko erscheint zu hoch, als dass man es ohne weitere Absicherung eingehen sollte.",The risk seems too high to be taken without additional safeguards.,Le risque paraît trop élevé pour être assumé sans garanties supplémentaires.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
80,3,"Die Theorie ist zu abstrakt, _____ sie sich unmittelbar in die Praxis übertragen ließe.",als dass,"Die Theorie ist zu abstrakt, als dass sie sich unmittelbar in die Praxis übertragen ließe.",The theory is too abstract to be directly applied in practice.,La théorie est trop abstraite pour être transposée directement dans la pratique.,"to translate the construction ""<i>too ..., to</i>"", ""<i>too ..., for</i>"" → zu ..., als dass","pour traduire la construction ""<i>trop ..., pour</i>"", ""<i>trop ..., pour que</i>"" → so ..., dass"
81,3,"_____ überzeugend das Konzept auch wirkt, bleiben erhebliche praktische Hürden bestehen.",So/Wie/Sosehr,"So überzeugend das Konzept auch wirkt, bleiben erhebliche praktische Hürden bestehen.","Convincing as the concept may be, significant practical obstacles remain.","Aussi convaincant que le concept puisse paraître, des obstacles pratiques importants subsistent.","to introduce a concession with an adjective – <i>however ... may be</i>, <i>no matter</i> → so ... auch, wie ... auch, sosehr ... auch","pour traduire la construction ""<i>aussi ... que</i>"" → so ... auch, wie ... auch, sosehr ... auch"
