Nr,exercise,points,german,english,comparative,superlative,opposite,,,
170,3. B1,12,gering,low,,,,,,
171,3. B1,11,gleichzeitig,simultaneous,,,,,,
172,3. B1,11,historisch,historical,,,,,,
173,3. B1,12,häufig,frequent,,,,,,
174,3. B1,10,ideal,ideal,,,,,,
175,3. B1,11,individuell,individual,,,,,,
176,3. B1,10,intensiv,intensive,,,,,,
177,3. B1,11,interessant,interesting,,,,,,
178,3. B1,11,knapp,"scarce, short",,,,,,
179,3. B1,10,kritisch,critical,,,,,,
180,3. B1,10,kräftig,strong,,,,,,
181,3. B1,10,körperlich,physical,,,,,,
182,3. B1,11,menschlich,human,,,,,,
183,3. B1,10,national,national,,,,,,
184,3. B1,10,negativ,negative,,,,,,
185,3. B1,11,nötig,necessary,,,,,,
186,3. B1,11,offenbar,obvious,,,,,,
187,3. B1,10,offiziell,official,,,,,,
188,3. B1,10,ordentlich,orderly,,,,,,
189,3. B1,10,perfekt,perfect,,,,,,
190,3. B1,12,persönlich,personal,,,,,,
191,3. B1,12,politisch,political,,,,,,
192,3. B1,11,positiv,positive,,,,,,
193,3. B1,10,rechtlich,legal,,,,,,
194,3. B1,11,regelmäßig,regular,,,,,,
195,3. B1,10,regional,regional,,,,,,
196,3. B1,11,relativ,relatively,,,,,,
197,3. B1,10,riesig,huge,,,,,,
198,3. B1,10,selbstverständlich,natural,,,,,,
199,3. B1,11,selten,rare,,,,,,
200,3. B1,10,sichtbar,visible,,,,,,
201,3. B1,10,sinnvoll,sensible,,,,,,
202,3. B1,12,sozial,social,,,,,,
203,3. B1,11,speziell,special,,,,,,
204,3. B1,10,still,quiet,,,,,,
205,3. B1,10,stolz,proud,,,,,,
206,3. B1,11,ständig,constant,,,,,,
207,3. B1,12,tatsächlich,actual,,,,,,
208,3. B1,11,technisch,technical,,,,,,
209,3. B1,10,traditionell,traditional,,,,,,
210,3. B1,12,unterschiedlich,different,,,,,,
211,3. B1,10,ursprünglich,originally,,,,,,
212,3. B1,10,verantwortlich,responsible,,,,,,
213,3. B1,12,völlig,completely,,,,,,
214,3. B1,11,weltweit,worldwide,,,,,,
215,3. B1,10,wild,wild,,,,,,
216,3. B1,11,zahlreich,numerous,,,,,,
217,3. B1,11,zentral,central,,,,,,
218,3. B1,10,zuständig,responsible,,,,,,
219,3. B1,12,zusätzlich,additionally,,,,,,
220,3. B1,12,ähnlich,similar,,,,,,
221,3. B1,12,öffentlich,public,,,,,,
222,3. B1,11,üblich,usual,,,,,,
223,3. B1,11,übrig,remaining,,,,,,
224,4. B2,9,blond,blond,,,,,,
225,4. B2,9,intelligent,intelligent,,,,,,
226,4. B2,9,selbständig,independent,,,,,,
227,4. B2,9,furchtbar,terrible,,,,,,
228,4. B2,9,recht,fair,,,,,,
229,4. B2,9,schrecklich,terrible,,,,,,
230,4. B2,9,schwanger,pregnant,,,,,,
231,4. B2,9,unbedingt,absolutely,,,,,,
232,4. B2,9,abhängig,dependent,,,,,,
233,4. B2,9,alternativ,alternative,,,,,,
234,4. B2,9,biologisch,biological,,,,,,
235,4. B2,9,dicht,dense,,,,,,
236,4. B2,9,digital,digital,,,,,,
237,4. B2,9,durchschnittlich,average,,,,,,
238,4. B2,9,elektrisch,electrical,,,,,,
239,4. B2,9,ewig,eternal,,,,,,
240,4. B2,9,gemütlich,comfortable,,,,,,
241,4. B2,9,gerecht,fair,,,,,,
242,4. B2,9,komplett,complete,,,,,,
243,4. B2,9,kreativ,creative,,,,,,
244,4. B2,9,künstlich,artificial,,,,,,
245,4. B2,4,lecker,tasty,,,,,,
246,4. B2,9,maximal,maximum,,,,,,
247,4. B2,9,mobil,mobile,,,,,,
248,4. B2,9,musikalisch,musical,,,,,,
249,4. B2,9,recht,right,,,,,,
250,4. B2,9,schmal,narrow,,,,,,
251,4. B2,9,schuld,guilt,,,,,,
252,4. B2,9,städtisch,urban,,,,,,
253,4. B2,9,theoretisch,theoretical,,,,,,
254,4. B2,8,treu,loyal,,,,,,
255,4. B2,9,ungefähr,approximately,,,,,,
256,4. B2,9,unglaublich,unbelievable,,,,,,
257,4. B2,9,unheimlich,uncanny,,,,,,
258,4. B2,9,wertvoll,valuable,,,,,,
259,4. B2,9,wunderschön,beautiful,,,,,,
260,4. B2,9,zukünftig,future,,,,,,
261,3. B1,#N/A,nutzlos,useless,,,,,,
262,4. B2,7,sinnlos,pointless,,,,,,
263,4. B2,8,fett,fat,,,,,,
264,4. B2,8,fleißig,hardworking,,,,,,
265,4. B2,8,stressig,stressful,,,,,,
266,4. B2,8,fit,fit,,,,,,
267,4. B2,8,fantastisch,fantastic,,,,,,
268,4. B2,8,preiswert,"inexpensive, good value",,,,,,
269,4. B2,8,romantisch,romantic,,,,,,
270,4. B2,8,schädlich,harmful,,,,,,
271,3. B1,8,witzig,"witty, funny",,,,,,
272,4. B2,8,anwesend,present,,,,,,
273,4. B2,8,berufstätig,working,,,,,,
274,4. B2,8,blind,blind,,,,,,
275,4. B2,8,einheitlich,uniform,,,,,,
276,4. B2,8,einsam,lonely,,,,,,
277,4. B2,8,elegant,elegant,,,,,,
278,4. B2,8,ernsthaft,serious,,,,,,
279,4. B2,8,fair,fair,,,,,,
280,4. B2,8,feucht,moist,,,,,,
281,4. B2,8,flach,flat,,,,,,
282,4. B2,8,fröhlich,cheerful,,,,,,
283,4. B2,8,fällig,due,,,,,,
284,4. B2,8,gar,even,,,,,,
285,4. B2,8,geheim,secret,,,,,,
286,4. B2,8,gewöhnlich,ordinary,,,,,,
287,4. B2,8,glatt,smooth,,,,,,
288,4. B2,8,gründlich,thorough,,,,,,
289,4. B2,8,heimlich,secret,,,,,,
290,4. B2,7,höflich,polite,,,,,,
291,4. B2,8,hübsch,pretty,,,,,,
292,4. B2,8,inner,inner,,,,,,
293,4. B2,8,interkulturell,intercultural,,,,,,
294,4. B2,7,klasse,class,,,,,,
295,4. B2,8,korrekt,correct,,,,,,
296,3. B1,8,kürzlich,recent,,,,,,
297,4. B2,8,link,link,,,,,,
298,4. B2,8,merkwürdig,strange,,,,,,
299,4. B2,8,mild,mild,,,,,,
300,4. B2,8,minimal,minimal,,,,,,
301,4. B2,8,mündlich,oral,,,,,,
302,4. B2,8,nah,close,,,,,,
303,4. B2,8,neugierig,curious,,,,,,
304,4. B2,8,optimistisch,optimistic,,,,,,
305,4. B2,8,parallel,parallel,,,,,,
306,4. B2,8,peinlich,embarrassing,,,,,,
307,4. B2,8,realistisch,realistic,,,,,,
308,4. B2,8,rechtzeitig,timely,,,,,,
309,4. B2,8,schief,crooked,,,,,,
310,4. B2,8,schlank,slim,,,,,,
311,4. B2,8,schuldig,guilty,,,,,,
312,4. B2,8,sogenannt,so-called,,,,,,
313,4. B2,7,sparsam,frugal,,,,,,
314,4. B2,8,statistisch,statistical,,,,,,
315,4. B2,8,steil,steep,,,,,,
316,4. B2,8,stumm,mute,,,,,,
317,4. B2,8,teilweise,partially,,,,,,
318,4. B2,8,tödlich,deadly,,,,,,
319,4. B2,8,ungewöhnlich,unusual,,,,,,
320,4. B2,8,verdächtig,suspicious,,,,,,
321,4. B2,8,vergeblich,futile,,,,,,
322,4. B2,8,vermutlich,probably,,,,,,
323,4. B2,8,vernünftig,reasonable,,,,,,
324,4. B2,8,verständlich,understandable,,,,,,
325,4. B2,8,virtuell,virtual,,,,,,
326,4. B2,8,voraussichtlich,probably,,,,,,
327,4. B2,8,vorläufig,provisional,,,,,,
328,4. B2,8,wahnsinnig,insane,,,,,,
329,4. B2,8,wohl,probably,,,,,,
330,4. B2,8,ziemlich,quite,,,,,,
331,4. B2,8,zufällig,random,,,,,,
332,4. B2,8,zugänglich,accessible,,,,,,
333,4. B2,8,zuverlässig,reliable,,,,,,
334,4. B2,8,ökologisch,ecological,,,,,,
335,4. B2,6,bös,bad,böser,am bösesten,,,,
336,4. B2,6,ledig,single,,,,,,
337,4. B2,6,wach,awake,,,,,,
338,4. B2,5,blass,pale,,,,,,
339,4. B2,7,farbig,colored,,,,,,
340,4. B2,7,frech,cheeky,,,,,,
341,4. B2,7,gesamt,total,,,,,,
342,4. B2,7,giftig,toxic,,,,,,
343,4. B2,7,gleichberechtigt,equal,,,,,,
344,4. B2,7,haltbar,durable,,,,,,
345,4. B2,7,hungrig,hungry,,,,,,
346,4. B2,5,illegal,illegal,,,,,,
347,4. B2,5,locker,relaxed,,,,,,
348,4. B2,7,mager,skinny,,,,,,
349,3. B1,7,mutig,courageous,,,,,,
350,4. B2,7,original,original,,,,,,
351,4. B2,7,passiv,passive,,,,,,
352,4. B2,7,pauschal,general,,,,,,
353,4. B2,7,populär,popular,,,,,,
354,4. B2,7,prima,great,,,,,,
355,4. B2,7,reif,mature,,,,,,
356,4. B2,7,roh,raw,,,,,,
357,4. B2,7,satt,full,,,,,,
358,4. B2,7,schick,chic,,,,,,
359,4. B2,8,seltsam,strange,,,,,,
360,4. B2,7,senkrecht,vertical,,,,,,
361,4. B2,7,spitz,pointed,,,,,,
362,4. B2,7,stilistisch,stylistic,,,,,,
363,4. B2,7,strafbar,punishable,,,,,,
364,4. B2,4,unentschieden,undecided,,,,,,
365,4. B2,7,vegetarisch,vegetarian,,,,,,
366,4. B2,7,vorder,ahead,,,,,,
367,4. B2,7,wert,worth,,,,,,
368,4. B2,7,ängstlich,anxious,,,,,,
369,4. B2,7,ärgerlich,annoying,,,,,,
370,4. B2,7,äußerlich,external,,,,,,
371,4. B2,6,harmlos,,,,,,,
372,4. B2,6,hilflos,,,,,,,
373,4. B2,6,zweifellos,,,,,,,
374,4. B2,11,herzlich,"warm, cordial",,,,,,
375,4. B2,11,schriftlich,written,,,,,,
376,5. C1,4,süchtig,addictive,,,,,,
377,5. C1,4,taub,deaf,,,,,,
378,5. C1,4,tolerant,tolerant,,,,,,
379,5. C1,4,verwandt,related,,,,,,
380,5. C1,4,waagerecht,horizontally,,,,,,
381,5. C1,4,abwesend,absent,,,,,,
382,5. C1,4,allerbest,very best,,,,,,
383,5. C1,4,allerschönst,most beautiful,,,,,,
384,5. C1,4,bio,organic,,,,,,
385,5. C1,4,chic,chic,,,,,,
386,5. C1,4,durstig,thirsty,,,,,,
387,5. C1,4,eckig,angular,,,,,,
388,5. C1,4,färbig,colored,,,,,,
389,5. C1,4,mittler,medium,,,,,,
390,5. C1,4,salzig,salty,,,,,,
391,5. C1,4,wertlos,worthless,,,,,,
392,5. C1,3,endlos,,,,,,,
393,5. C1,14,halb,,,,,,,
394,5. C1,13,offen,,,,,,,
395,5. C1,13,verschieden,,,,,,,
396,5. C1,13,wahrscheinlich,,,,,,,
397,5. C1,11,weiter,,,,,,,
398,5. C1,11,böse,,,,,,,
399,5. C1,11,selbstständig,,,,,,,
400,5. C1,10,doppelt,,,,,,,
401,5. C1,10,wesentlich,,,,,,,
402,5. C1,10,wirtschaftlich,,,,,,,
403,5. C1,9,egal,,,,,,,
404,5. C1,9,ehemalig,,,,,,,
405,5. C1,9,eigentlich,,,,,,,
406,5. C1,9,englisch,,,,,,,
407,5. C1,9,gesellschaftlich,,,,,,,
408,5. C1,9,grundsätzlich,,,,,,,
409,5. C1,9,heutig,,,,,,,
410,5. C1,9,jeweilig,,,,,,,
411,5. C1,9,klassisch,,,,,,,
412,5. C1,9,konkret,,,,,,,
413,5. C1,9,künftig,,,,,,,
414,5. C1,9,plötzlich,,,,,,,
415,5. C1,9,recht,,,,,,,
416,5. C1,9,rein,,,,,,,
417,5. C1,9,staatlich,,,,,,,
418,5. C1,9,täglich,,,,,,,
419,5. C1,9,unabhängig,,,,,,,
420,5. C1,9,unmittelbar,,,,,,,
421,5. C1,9,vorhanden,,,,,,,
422,5. C1,9,wirklich,,,,,,,
423,5. C1,9,wissenschaftlich,,,,,,,
424,5. C1,9,schade,,,,,,,
425,5. C1,9,eilig,,,,,,,
426,5. C1,8,angeblich,,,,,,,
427,5. C1,8,ausschließlich,,,,,,,
428,5. C1,8,bisherig,,,,,,,
429,5. C1,8,damalig,,,,,,,
430,5. C1,8,demokratisch,,,,,,,
431,5. C1,8,erheblich,,,,,,,
432,5. C1,8,fein,,,,,,,
433,5. C1,8,gesetzlich,,,,,,,
434,5. C1,8,global,,,,,,,
435,5. C1,8,heftig,,,,,,,
436,5. C1,8,heilig,,,,,,,
437,5. C1,8,jährlich,,,,,,,
438,5. C1,8,komplex,,,,,,,
439,5. C1,8,langfristig,,,,,,,
440,5. C1,8,medizinisch,,,,,,,
441,5. C1,8,offensichtlich,,,,,,,
442,5. C1,8,sonstig,,,,,,,
443,5. C1,8,tätig,,,,,,,
444,5. C1,8,unbekannt,,,,,,,
445,5. C1,8,vielfältig,,,,,,,
446,5. C1,8,vollständig,,,,,,,
447,5. C1,8,phantastisch,,,,,,,
448,5. C1,7,alle,,,,,,,
449,5. C1,7,gerade,,,,,,,
450,5. C1,7,unter,,,,,,,
451,5. C1,7,attraktiv,,,,,,,
452,5. C1,7,ausdrücklich,,,,,,,
453,5. C1,7,ausführlich,,,,,,,
454,5. C1,7,dauerhaft,,,,,,,
455,5. C1,7,divers,,,,,,,
456,5. C1,7,effektiv,,,,,,,
457,5. C1,7,enorm,,,,,,,
458,5. C1,7,erhältlich,,,,,,,
459,5. C1,7,evangelisch,,,,,,,
460,5. C1,7,extern,,,,,,,
461,5. C1,7,generell,,,,,,,
462,5. C1,7,golden,,,,,,,
463,5. C1,7,heimisch,,,,,,,
464,5. C1,7,hochwertig,,,,,,,
465,5. C1,7,intern,,,,,,,
466,5. C1,7,kurzfristig,,,,,,,
467,5. C1,7,langjährig,,,,,,,
468,5. C1,7,lokal,,,,,,,
469,5. C1,7,massiv,,,,,,,
470,5. C1,7,mehrfach,,,,,,,
471,5. C1,7,monatlich,,,,,,,
472,5. C1,7,nachhaltig,,,,,,,
473,5. C1,7,optimal,,,,,,,
474,5. C1,7,professionell,,,,,,,
475,5. C1,7,stabil,,,,,,,
476,5. C1,7,umfangreich,,,,,,,
477,5. C1,7,verfügbar,,,,,,,
478,5. C1,7,weitgehend,,,,,,,
479,5. C1,7,militärisch,,,,,,,
480,5. C1,7,hauptsächlich,,,,,,,
481,5. C1,7,gegenwärtig,,,,,,,
482,5. C1,7,zeitlich,,,,,,,
483,5. C1,7,spezifisch,,,,,,,
484,5. C1,7,chemisch,,,,,,,
485,5. C1,7,künstlerisch,,,,,,,
486,5. C1,7,mächtig,,,,,,,
487,5. C1,7,ökonomisch,,,,,,,
488,5. C1,7,religiös,,,,,,,
489,5. C1,7,geographisch,,,,,,,
490,5. C1,7,unmöglich,,,,,,,
491,5. C1,7,räumlich,,,,,,,
492,5. C1,7,sprachlich,,,,,,,
493,5. C1,7,vorsichtig,,,,,,,
494,5. C1,7,derartig,,,,,,,
495,5. C1,7,empirisch,,,,,,,
496,5. C1,7,gegenseitig,,,,,,,
497,5. C1,7,gewaltig,,,,,,,
498,5. C1,7,grundlegend,,,,,,,
499,5. C1,7,exakt,,,,,,,
500,5. C1,7,inhaltlich,,,,,,,
501,5. C1,6,amerikanisch,,,,,,,
502,5. C1,6,barrierefrei,,,,,,,
503,5. C1,6,bayerisch,,,,,,,
504,5. C1,6,bewußt,,,,,,,
505,5. C1,6,britisch,,,,,,,
506,5. C1,6,bundesweit,,,,,,,
507,5. C1,6,chinesisch,,,,,,,
508,5. C1,6,eben,,,,,,,
509,5. C1,6,ehrenamtlich,,,,,,,
510,5. C1,6,einzigartig,,,,,,,
511,5. C1,6,französisch,,,,,,,
512,5. C1,6,gewiß,,,,,,,
513,5. C1,6,hinter,,,,,,,
514,5. C1,6,innovativ,,,,,,,
515,5. C1,6,italienisch,,,,,,,
516,5. C1,6,jüdisch,,,,,,,
517,5. C1,6,katholisch,,,,,,,
518,5. C1,6,live,,,,,,,
519,5. C1,6,momentan,,,,,,,
520,5. C1,6,nämlich,,,,,,,
521,5. C1,6,russisch,,,,,,,
522,5. C1,6,sozialistisch,,,,,,,
523,5. C1,6,telefonisch,,,,,,,
524,5. C1,6,österreichisch,,,,,,,
525,5. C1,6,überlegen,,,,,,,
526,5. C1,6,"erste (r, s)",,,,,,,
527,5. C1,6,"letzte (r, s)",,,,,,,
528,5. C1,6,"weitere (r, s)",,,,,,,
529,5. C1,6,bestimmt,,,,,,,
530,5. C1,6,besser,,,,,,,
531,5. C1,6,"nächste (r, s)",,,,,,,
532,5. C1,6,bekannt,,,,,,,
533,5. C1,6,"nahe, nah",,,,,,,
534,5. C1,6,"beste (r,s)",,,,,,,
535,5. C1,6,meiste,,,,,,,
536,5. C1,6,"besondere (r,s)",,,,,,,
537,5. C1,6,–jährig,,,,,,,
538,5. C1,6,gelegentlich,,,,,,,
539,5. C1,6,grob,,,,,,,
540,5. C1,6,literarisch,,,,,,,
541,5. C1,6,vergleichbar,,,,,,,
542,5. C1,6,strategisch,,,,,,,
543,5. C1,6,konservativ,,,,,,,
544,5. C1,6,nackt,,,,,,,
545,5. C1,6,physikalisch,,,,,,,
546,5. C1,6,touristisch,,,,,,,
547,5. C1,6,vielfach,,,,,,,
548,5. C1,6,real,,,,,,,
549,5. C1,6,dramatisch,,,,,,,
550,5. C1,6,erkennbar,,,,,,,
551,5. C1,6,fern,,,,,,,
552,5. C1,6,juristisch,,,,,,,
553,5. C1,6,objektiv,,,,,,,
554,5. C1,6,sorgfältig,,,,,,,
555,5. C1,6,mathematisch,,,,,,,
556,5. C1,6,radikal,,,,,,,
557,5. C1,6,systematisch,,,,,,,
558,5. C1,6,winzig,,,,,,,
559,5. C1,6,erstaunlich,,,,,,,
560,5. C1,6,sanft,,,,,,,
561,5. C1,6,scheinbar,,,,,,,
562,5. C1,6,wirksam,,,,,,,
563,5. C1,6,akademisch,,,,,,,
564,5. C1,6,experimentell,,,,,,,
565,5. C1,6,primär,,,,,,,
566,5. C1,6,übel,,,,,,,
567,5. C1,6,schlicht,,,,,,,
568,5. C1,6,unendlich,,,,,,,
569,5. C1,6,vollkommen,,,,,,,
570,5. C1,6,abstrakt,,,,,,,
571,5. C1,6,indirekt,,,,,,,
572,5. C1,6,lebendig,,,,,,,
573,5. C1,6,relevant,,,,,,,
574,5. C1,6,subjektiv,,,,,,,
575,5. C1,6,dynamisch,,,,,,,
576,5. C1,6,kommunikativ,,,,,,,
577,5. C1,6,moralisch,,,,,,,
578,5. C1,6,potenziell,,,,,,,
579,5. C1,6,prinzipiell,,,,,,,
580,5. C1,6,problematisch,,,,,,,
581,5. C1,6,akut,,,,,,,
582,5. C1,6,einig,,,,,,,
583,5. C1,6,jetzig,,,,,,,
584,5. C1,6,außerordentlich,,,,,,,
585,5. C1,6,denkbar,,,,,,,
586,5. C1,6,eigenständig,,,,,,,
587,5. C1,6,geistlich,,,,,,,
588,5. C1,6,intellektuell,,,,,,,
589,5. C1,6,konsequent,,,,,,,
