Nr,exercise,question,answer,german,english,french,explanation_english,explanation_french,opposite,type
39,2,Er hat mich _____ angerufen.,gestern,Er hat mich gestern angerufen.,He called me yesterday.,Il m'a appelé hier.,gestern = yesterday,gestern = hier,,
40,2,_____ hatte ich viel zu tun.,Gestern,Gestern hatte ich viel zu tun.,Yesterday I had a lot to do.,"Hier, j'avais beaucoup à faire.",gestern = yesterday,gestern = hier,,
41,2,_____ ist ein schöner Tag.,Heute,Heute ist ein schöner Tag.,Today is a beautiful day.,Aujourd'hui est une belle journée.,heute = today,heute = aujourd'hui,,
42,2,Ich gehe _____ einkaufen.,heute,Ich gehe heute einkaufen.,I am going shopping today.,Je vais faire du shopping aujourd'hui.,heute = today,heute = aujourd'hui,,
43,2,Wir haben _____ keine Schule.,heute,Wir haben heute keine Schule.,We have no school today.,Nous n'avons pas école aujourd'hui.,heute = today,heute = aujourd'hui,,
44,2,_____ schauen wir einen Film.,Heute,Heute schauen wir einen Film.,Today we are watching a movie.,"Aujourd'hui, nous regardons un film.",heute = today,heute = aujourd'hui,,
45,2,Ich besuche meine Oma _____.,heute,Ich besuche meine Oma heute.,I am visiting my grandma today.,Je rends visite à ma grand-mère aujourd'hui.,heute = today,heute = aujourd'hui,,
46,2,Ich bin _____ pünktlich.,immer,Ich bin immer pünktlich.,I am always on time.,Je suis toujours à l'heure.,immer = always,immer = toujours,,
47,2,Er ist _____ freundlich.,immer,Er ist immer freundlich.,He is always friendly.,Il est toujours amical.,immer = always,immer = toujours,,
48,2,Wir essen _____ zusammen.,immer,Wir essen immer zusammen.,We always eat together.,Nous mangeons toujours ensemble.,immer = always,immer = toujours,,
49,2,Das Wetter ist hier _____ schön.,immer,Das Wetter ist hier immer schön.,The weather is always nice here.,Il fait toujours beau ici.,immer = always,immer = toujours,,
50,2,Ich trinke _____ Kaffee am Morgen.,immer,Ich trinke immer Kaffee am Morgen.,I always drink coffee in the morning.,Je bois toujours du café le matin.,immer = always,immer = toujours,,
51,2,Ich komme _____ zurück.,bald,Ich komme bald zurück.,I will be back soon.,Je reviendrai bientôt.,bald = soon,bald = bientôt,,
52,2,Wir sehen uns _____ wieder.,bald,Wir sehen uns bald wieder.,We will see each other again soon.,On se reverra bientôt.,bald = soon,bald = bientôt,,
53,2,Er wird _____ Vater.,bald,Er wird bald Vater.,He will be a father soon.,Il sera bientôt papa.,bald = soon,bald = bientôt,,
54,2,_____ beginnt der Sommer.,Bald,Bald beginnt der Sommer.,Summer will start soon.,L'été va bientôt commencer.,bald = soon,bald = bientôt,,
55,2,Das Essen ist _____ fertig.,bald,Das Essen ist bald fertig.,The food will be ready soon.,La nourriture sera bientôt prête.,bald = soon,bald = bientôt,,
56,2,Ich gehe _____ ins Kino.,manchmal,Ich gehe manchmal ins Kino.,I sometimes go to the cinema.,Je vais parfois au cinéma.,manchmal = sometimes,manchmal = parfois,,
57,2,_____ regnet es im Sommer.,Manchmal,Manchmal regnet es im Sommer.,Sometimes it rains in summer.,Parfois il pleut en été.,manchmal = sometimes,manchmal = parfois,,
58,2,Er ist _____ sehr lustig.,manchmal,Er ist manchmal sehr lustig.,He is sometimes very funny.,Il est parfois très drôle.,manchmal = sometimes,manchmal = parfois,,
59,2,Wir besuchen _____ unsere Großeltern.,manchmal,Wir besuchen manchmal unsere Großeltern.,We sometimes visit our grandparents.,Nous rendons parfois visite à nos grands-parents.,manchmal = sometimes,manchmal = parfois,,
60,2,_____ brauche ich eine Pause.,Manchmal,Manchmal brauche ich eine Pause.,Sometimes I need a break.,"Parfois, j'ai besoin d'une pause.",manchmal = sometimes,manchmal = parfois,,
61,3,,nie,,never,jamais,nie = never,nie = jamais,immer,temporal
62,3,,oft,,"often, frequently","souvent, fréquemment","oft = often, frequently","oft = souvent, fréquemment",,temporal
63,3,,links,,left,à gauche,links = left,links = à gauche,recht,local
64,3,,rechts,,right,à droite,rechts = right,rechts = à droite,links,local
65,3,,nicht,,not,ne ... pas,nicht = not,nicht = ne ... pas,,modal
66,3,,auch,,"also, too",aussi,"auch = also, too",auch = aussi,,modal
67,3,,nur,,"only, merely",seulement,"nur = only, merely",nur = seulement,,modal
68,3,,schon,,already,déjà,schon = already,schon = déjà,,modal
69,3,,noch,,"still, yet",encore,"noch = still, yet",noch = encore,,modal
70,3,,zu,,"too, overly, excessively","trop, excessivement","zu = too, overly, excessively","zu = trop, excessivement",,
71,4,Ich gehe _____ spazieren.,oft,Ich gehe oft spazieren.,I go for a walk often.,Je vais souvent me promener.,"oft = often, frequently","oft = souvent, fréquemment",,
72,4,Er reist _____ nach Deutschland.,oft,Er reist oft nach Deutschland.,He often travels to Germany.,Il voyage souvent en Allemagne.,"oft = often, frequently","oft = souvent, fréquemment",,
73,4,Wir sehen uns _____.,oft,Wir sehen uns oft.,We see each other often.,Nous nous voyons souvent.,"oft = often, frequently","oft = souvent, fréquemment",,
74,4,Sie geht _____ ins Kino.,oft,Sie geht oft ins Kino.,She often goes to the cinema.,Elle va souvent au cinéma.,"oft = often, frequently","oft = souvent, fréquemment",,
75,4,Ich mache das _____ mit meinen Freunden.,oft,Ich mache das oft mit meinen Freunden.,I often do that with my friends.,Je fais souvent ça avec mes amis.,"oft = often, frequently","oft = souvent, fréquemment",,
76,4,Ich war noch _____ in Frankreich.,nie,Ich war noch nie in Frankreich.,I have never been to France.,Je ne suis jamais allé en France.,nie = never,nie = jamais,,
77,4,Er isst _____ Fleisch.,nie,Er isst nie Fleisch.,He never eats meat.,Il ne mange jamais de viande.,nie = never,nie = jamais,,
78,4,Wir kommen _____ zu spät.,nie,Wir kommen nie zu spät.,We are never late.,Nous ne sommes jamais en retard.,nie = never,nie = jamais,,
79,4,Sie lügt _____.,nie,Sie lügt nie.,She never lies.,Elle ne ment jamais.,nie = never,nie = jamais,,
80,4,Ich habe das noch _____ gemacht.,nie,Ich habe das noch nie gemacht.,I have never done that before.,Je n'ai jamais fait ça avant.,nie = never,nie = jamais,,
81,4,Das Haus ist _____ von der Schule.,links,Das Haus ist links von der Schule.,The house is to the left of the school.,La maison est à gauche de l'école.,links = left,links = à gauche,,
82,4,Bitte biegen Sie _____ ab.,links,Bitte biegen Sie links ab.,Please turn left.,Veuillez tourner à gauche.,links = left,links = à gauche,,
83,4,_____ gibt es einen schönen Park.,Links,Links gibt es einen schönen Park.,There is a nice park on the left.,Il y a un joli parc sur la gauche.,links = left,links = à gauche,,
84,4,Mein Auto steht _____ auf dem Parkplatz.,links,Mein Auto steht links auf dem Parkplatz.,My car is parked on the left in the parking lot.,Ma voiture est garée à gauche sur le parking.,links = left,links = à gauche,,
85,4,"Schau nach _____, bevor du die Straße überquerst.",links,"Schau nach links, bevor du die Straße überquerst.",Look to the left before crossing the street.,Regardez à gauche avant de traverser la rue.,links = left,links = à gauche,,
86,4,Ich verstehe das _____.,nicht,Ich verstehe das nicht.,I don’t understand that.,Je ne comprends pas ça.,nicht = not,nicht = ne ... pas,,
87,4,Er ist heute _____ zu Hause.,nicht,Er ist heute nicht zu Hause.,He is not at home today.,Il n'est pas à la maison aujourd'hui.,nicht = not,nicht = ne ... pas,,
88,4,Wir haben das _____ gemacht.,nicht,Wir haben das nicht gemacht.,We did not do that.,Nous n'avons pas fait ça.,nicht = not,nicht = ne ... pas,,
89,4,Sie mag Kaffee _____.,nicht,Sie mag Kaffee nicht.,She does not like coffee.,Elle n'aime pas le café.,nicht = not,nicht = ne ... pas,,
90,4,Das ist _____ richtig.,nicht,Das ist nicht richtig.,That is not correct.,Ce n'est pas correct.,nicht = not,nicht = ne ... pas,,
91,4,Das Geschäft ist _____ von der Bank.,rechts,Das Geschäft ist rechts von der Bank.,The shop is to the right of the bank.,Le magasin se trouve à droite de la rive.,rechts = right,rechts = à droite,,
92,4,Bitte biegen Sie _____ ab.,rechts,Bitte biegen Sie rechts ab.,Please turn right.,Veuillez tourner à droite.,rechts = right,rechts = à droite,,
93,4,_____ gibt es einen Supermarkt.,Rechts,Rechts gibt es einen Supermarkt.,There is a supermarket on the right.,Il y a un supermarché sur la droite.,rechts = right,rechts = à droite,,
94,4,Mein Haus ist _____ neben dem Park.,rechts,Mein Haus ist rechts neben dem Park.,My house is to the right of the park.,Ma maison est à droite du parc.,rechts = right,rechts = à droite,,
95,4,"Schau nach _____, bevor du die Straße überquerst.",rechts,"Schau nach rechts, bevor du die Straße überquerst.",Look to the right before crossing the street.,Regardez à droite avant de traverser la rue.,rechts = right,rechts = à droite,,
96,4,Ich mag Pizza und ich mag _____ Pasta.,auch,Ich mag Pizza und ich mag auch Pasta.,"I like pizza, and I also like pasta.",J'aime la pizza et j'aime aussi les pâtes.,"auch = also, too",auch = aussi,,
97,4,Er spricht Deutsch und _____ Englisch.,auch,Er spricht Deutsch und auch Englisch.,He speaks German and also English.,Il parle allemand et aussi anglais.,"auch = also, too",auch = aussi,,
98,4,Ich habe _____ ein Fahrrad.,auch,Ich habe auch ein Fahrrad.,I also have a bicycle.,J'ai aussi un vélo.,"auch = also, too",auch = aussi,,
99,4,Wir gehen ins Kino und du kannst _____ mitkommen.,auch,Wir gehen ins Kino und du kannst auch mitkommen.,"We are going to the cinema, and you can also come along.","Nous allons au cinéma, et tu peux aussi venir.","auch = also, too",auch = aussi,,
100,4,"Sie ist müde, aber sie arbeitet _____ hart.",auch,"Sie ist müde, aber sie arbeitet auch hart.","She is tired, but she also works hard.","Elle est fatiguée, mais elle travaille aussi dur.","auch = also, too",auch = aussi,,
101,4,Ich spreche _____ ein bisschen Deutsch.,nur,Ich spreche nur ein bisschen Deutsch.,I only speak a little German.,Je ne parle qu'un peu allemand.,"nur = only, merely",nur = seulement,,
102,4,Wir haben _____ eine Stunde Zeit.,nur,Wir haben nur eine Stunde Zeit.,We only have one hour.,Nous n'avons qu'une heure.,"nur = only, merely",nur = seulement,,
103,4,Das kostet _____ fünf Euro.,nur,Das kostet nur fünf Euro.,That only costs five euros.,Cela ne coûte que cinq euros.,"nur = only, merely",nur = seulement,,
104,4,Ich wollte _____ helfen.,nur,Ich wollte nur helfen.,I just wanted to help.,Je voulais juste aider.,"nur = only, merely",nur = seulement,,
105,4,Es ist _____ ein Scherz.,nur,Es ist nur ein Scherz.,It is just a joke.,C'est juste une blague.,"nur = only, merely",nur = seulement,,
106,4,Ich bin _____ fertig.,schon,Ich bin schon fertig.,I am already done.,J'ai déjà fini.,schon = already,schon = déjà,,
107,4,Hast du das _____ gesehen?,schon,Hast du das schon gesehen?,Have you seen that already?,Tu as déjà vu ça ?,schon = already,schon = déjà,,
108,4,Er ist _____ nach Hause gegangen.,schon,Er ist schon nach Hause gegangen.,He has already gone home.,Il est déjà rentré chez lui.,schon = already,schon = déjà,,
109,4,Wir haben das _____ besprochen.,schon,Wir haben das schon besprochen.,We have already discussed that.,Nous en avons déjà discuté.,schon = already,schon = déjà,,
110,4,Bist du _____ wach?,schon,Bist du schon wach?,Are you already awake?,Es-tu déjà réveillé ?,schon = already,schon = déjà,,
111,4,Ich brauche _____ fünf Minuten.,noch,Ich brauche noch fünf Minuten.,I need five more minutes.,J'ai besoin de cinq minutes de plus.,"noch = still, yet",noch = encore,,
112,4,Hast du _____ Fragen?,noch,Hast du noch Fragen?,Do you have any further questions?,Avez-vous d’autres questions ?,"noch = still, yet",noch = encore,,
113,4,Wir haben _____ Zeit.,noch,Wir haben noch Zeit.,We still have time.,Nous avons encore du temps.,"noch = still, yet",noch = encore,,
114,4,Er ist _____ krank,noch,Er ist noch krank.,He is still sick.,Il est toujours malade.,"noch = still, yet",noch = encore,,
115,4,Kannst du _____ ein Stück Kuchen essen?,noch,Kannst du noch ein Stück Kuchen essen?,Can you eat another piece of cake?,Peux-tu manger un autre morceau de gâteau ?,"noch = still, yet",noch = encore,,
116,4,Dieses Kleid ist _____ teuer für mich.,zu,Dieses Kleid ist zu teuer für mich.,This dress is too expensive for me.,Cette robe est trop chère pour moi.,"zu = too, overly, excessively","zu = trop, excessivement",,
117,4,Er ist _____ interessiert an diesem Thema.,zu,Er ist zu interessiert an diesem Thema.,He is too interested in this topic.,Il est trop intéressé par ce sujet.,"zu = too, overly, excessively","zu = trop, excessivement",,
118,4,Ich liebe dieses Lied _____ sehr.,zu,Ich liebe dieses Lied zu sehr.,I love this song too much.,J'aime trop cette chanson.,"zu = too, overly, excessively","zu = trop, excessivement",,
119,4,Der Kaffee ist _____ heiß zum Trinken.,zu,Der Kaffee ist zu heiß zum Trinken.,The coffee is too hot to drink.,Le café est trop chaud pour être bu.,"zu = too, overly, excessively","zu = trop, excessivement",,
120,4,Diese Aufgabe ist _____ schwer für mich.,zu,Diese Aufgabe ist zu schwer für mich.,This task is too difficult for me.,Cette tâche est trop difficile pour moi.,"zu = too, overly, excessively","zu = trop, excessivement",,
121,5,,selten,,"rarely, seldom",rarement,"selten = rarely, seldom",selten = rarement,,
122,5,,gerade,,"right now, just, currently","tout de suite, en ce moment-même, actuellement","gerade = right now, just, currently","gerade = tout de suite, en ce moment-même, actuellement",,
123,5,,geradeaus,,straight ahead,tout droit,geradeaus = straight ahead,geradeaus = tout droit,,
124,5,,genug,,enough,assez,genug = enough,genug = assez,,
125,5,,dort,,there,là,dort = there,dort = là,hier,
126,5,,gleich,,right away,"tout de suite, immédiatement",gleich = right away,"gleich = tout de suite, immédiatement",,
127,5,,vielleicht,,maybe,peut être,vielleicht = maybe,vielleicht = peut être,,
128,5,,wirklich,,"really, truly",vraiment,"wirklich = really, truly",wirklich = vraiment,,
129,5,,meistens,,"mostly, usually","principalement, habituellement","meistens = mostly, usually","meistens = principalement, habituellement",,
130,5,,bitte,,please,"s'il te plaît, s'il vous plaît",bitte = please,"bitte = s'il te plaît, s'il vous plaît",,
131,6,Ich gehe _____ ins Kino.,selten,Ich gehe selten ins Kino.,I rarely go to the cinema.,Je vais rarement au cinéma.,"selten = rarely, seldom",selten = rarement,,
132,6,Er isst _____ Süßigkeiten.,selten,Er isst selten Süßigkeiten.,He rarely eats sweets.,Il mange rarement des sucreries.,"selten = rarely, seldom",selten = rarement,,
133,6,Wir haben _____ Schnee im Winter.,selten,Wir haben selten Schnee im Winter.,We rarely have snow in winter.,Nous avons rarement de la neige en hiver.,"selten = rarely, seldom",selten = rarement,,
134,6,Sie trägt _____ hohe Schuhe.,selten,Sie trägt selten hohe Schuhe.,She rarely wears high heels.,Elle porte rarement des talons hauts.,"selten = rarely, seldom",selten = rarement,,
135,6,Mein Bruder ruft mich _____ an.,selten,Mein Bruder ruft mich selten an.,My brother rarely calls me.,Mon frère m'appelle rarement.,"selten = rarely, seldom",selten = rarement,,
136,6,Ich esse _____ mein Frühstück.,gerade,Ich esse gerade mein Frühstück.,I am eating my breakfast right now.,Je prends mon petit-déjeuner tout de suite.,"gerade = right now, just, currently","gerade = tout de suite, en ce moment-même, actuellement",,
137,6,Sie telefoniert _____ mit ihrer Mutter.,gerade,Sie telefoniert gerade mit ihrer Mutter.,She is talking to her mother on the phone right now.,Elle parle à sa mère au téléphone tout de suite.,"gerade = right now, just, currently","gerade = tout de suite, en ce moment-même, actuellement",,
138,6,Er liest _____ ein Buch.,gerade,Er liest gerade ein Buch.,He is reading a book right now.,Il lit un livre en ce moment même.,"gerade = right now, just, currently","gerade = tout de suite, en ce moment-même, actuellement",,
139,6,Wir schauen _____ einen Film.,gerade,Wir schauen gerade einen Film.,We are watching a movie right now.,Nous regardons un film actuellement.,"gerade = right now, just, currently","gerade = tout de suite, en ce moment-même, actuellement",,
140,6,Was machst du _____?,gerade,Was machst du gerade?,What are you doing right now?,Que fais-tu actuellement?,"gerade = right now, just, currently","gerade = tout de suite, en ce moment-même, actuellement",,
141,6,Gehen Sie _____ und dann nach rechts.,geradeaus,Gehen Sie geradeaus und dann nach rechts.,Go straight ahead and then turn right.,Continuez tout droit puis tournez à droite.,geradeaus = straight ahead,geradeaus = tout droit,,
142,6,Fahren Sie _____ bis zur nächsten Ampel.,geradeaus,Fahren Sie geradeaus bis zur nächsten Ampel.,Drive straight ahead until the next traffic light.,Continuez tout droit jusqu'au prochain feu de circulation.,geradeaus = straight ahead,geradeaus = tout droit,,
143,6,"Der Bahnhof ist _____, nur 500 Meter entfernt.",geradeaus,"Der Bahnhof ist geradeaus, nur 500 Meter entfernt.","The train station is straight ahead, just 500 meters away.","La gare est juste en face, à seulement 500 mètres.",geradeaus = straight ahead,geradeaus = tout droit,,
144,6,"Laufen Sie einfach _____, dann sehen Sie das Café.",geradeaus,"Laufen Sie einfach geradeaus, dann sehen Sie das Café.","Just walk straight ahead, then you will see the café.",Continuez tout droit et vous verrez le café.,geradeaus = straight ahead,geradeaus = tout droit,,
145,6,"Wenn du _____ gehst, kommst du zum Park.",geradeaus,"Wenn du geradeaus gehst, kommst du zum Park.","If you go straight ahead, you will reach the park.","Si vous continuez tout droit, vous arriverez au parc.",geradeaus = straight ahead,geradeaus = tout droit,,
146,6,"Ich habe nicht _____ Geld, um mir ein neues Handy zu kaufen.",genug,"Ich habe nicht genug Geld, um mir ein neues Handy zu kaufen.",I don’t have enough money to buy a new phone.,Je n’ai pas assez d’argent pour acheter un nouveau téléphone.,genug = enough,genug = assez,,
147,6,"Er hat _____ Zeit, um die Aufgabe in Ruhe zu erledigen.",genug,"Er hat genug Zeit, um die Aufgabe in Ruhe zu erledigen.",He has enough time to complete the task calmly.,Il a suffisamment de temps pour terminer la tâche sereinement.,genug = enough,genug = assez,,
148,6,Wir haben _____ Essen für alle Gäste vorbereitet.,genug,Wir haben genug Essen für alle Gäste vorbereitet.,We have prepared enough food for all the guests.,Nous avons préparé suffisamment de nourriture pour tous les invités.,genug = enough,genug = assez,,
149,6,"Sie spricht schon gut Deutsch, aber sie möchte noch nicht _____ üben.",genug,"Sie spricht schon gut Deutsch, aber sie möchte noch nicht genug üben.","She already speaks good German, but she doesn’t want to practice enough yet.","Elle parle déjà bien allemand, mais elle ne veut pas encore le pratiquer suffisamment.",genug = enough,genug = assez,,
150,6,"Das Hotel war günstig, aber das Zimmer war nicht gross _____.",genug,"Das Hotel war günstig, aber das Zimmer war nicht gross genug.","The hotel was cheap, but the room wasn’t big enough.","L’hôtel était bon marché, mais la chambre n’était pas assez grande.",genug = enough,genug = assez,,
151,6,Ich war letztes Jahr _____ im Urlaub.,dort,Ich war letztes Jahr dort im Urlaub.,I was there on vacation last year.,J'y étais en vacances l'année dernière.,dort = there,dort = là,,
152,6,_____ gibt es ein schönes Café.,Dort,Dort gibt es ein schönes Café.,There is a nice café there.,Il y a un joli café là-bas.,dort = there,dort = là,,
153,6,Meine Freunde wohnen _____.,dort,Meine Freunde wohnen dort.,My friends live there.,Mes amis vivent là-bas.,dort = there,dort = là,,
154,6,Wir treffen uns _____ um 18 Uhr.,dort,Wir treffen uns dort um 18 Uhr.,We will meet there at 6 PM.,Nous nous retrouverons là-bas à 18 heures.,dort = there,dort = là,,
155,6,Er arbeitet _____ seit fünf Jahren.,dort,Er arbeitet dort seit fünf Jahren.,He has been working there for five years.,Il travaille là depuis cinq ans.,dort = there,dort = là,,
156,6,"Ich komme _____, warte bitte eine Minute.",gleich,"Ich komme gleich, warte bitte eine Minute.","I’ll come right away, please wait a minute.","J'arrive tout de suite, veuillez patienter une minute.",gleich = right away,"gleich = tout de suite, immédiatement",,
157,6,"Der Film beginnt _____, also beeil dich!",gleich,"Der Film beginnt gleich, also beeil dich!","The movie is starting very soon, so hurry up!","Le film commence immédiatement, alors dépêchez-vous !",gleich = right away,"gleich = tout de suite, immédiatement",,
158,6,Kannst du mir _____ helfen?,gleich,Kannst du mir gleich helfen?,Can you help me right away?,Pouvez-vous m'aider tout de suite ?,gleich = right away,"gleich = tout de suite, immédiatement",,
159,6,"Der Bus fährt _____ ab, wir müssen uns beeilen.",gleich,"Der Bus fährt gleich ab, wir müssen uns beeilen.","The bus is leaving very soon, we have to hurry.","Le bus part tout bientôt, il faut se dépêcher.",gleich = right away,"gleich = tout de suite, immédiatement",,
160,6,Ich rufe dich _____ zurück.,gleich,Ich rufe dich gleich zurück.,I'll call you back right away.,Je te rappelle tout de suite.,gleich = right away,"gleich = tout de suite, immédiatement",,
161,6,_____ gehe ich heute ins Kino.,Vielleicht,Vielleicht gehe ich heute ins Kino.,Maybe I will go to the cinema today.,Peut-être que j'irai au cinéma aujourd'hui.,vielleicht = maybe,vielleicht = peut être,,
162,6,Er kommt _____ später.,vielleicht,Er kommt vielleicht später.,He might come later.,Il pourrait venir plus tard.,vielleicht = maybe,vielleicht = peut être,,
163,6,_____ regnet es morgen.,Vielleicht,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.,Peut-être qu'il pleuvra demain.,vielleicht = maybe,vielleicht = peut être,,
164,6,Wir sehen uns _____ am Wochenende.,vielleicht,Wir sehen uns vielleicht am Wochenende.,Maybe we will see each other on the weekend.,Peut-être qu'on se verra ce week-end.,vielleicht = maybe,vielleicht = peut être,,
165,6,_____ hast du recht.,Vielleicht,Vielleicht hast du recht.,Maybe you are right.,Peut-être que tu as raison.,vielleicht = maybe,vielleicht = peut être,,
166,6,Ist das _____ wahr?,wirklich,Ist das wirklich wahr?,Is that really true?,Est-ce vraiment vrai ?,"wirklich = really, truly",wirklich = vraiment,,
167,6,Er ist _____ sehr nett.,wirklich,Er ist wirklich sehr nett.,He is really very nice.,Il est vraiment très gentil.,"wirklich = really, truly",wirklich = vraiment,,
168,6,Ich bin _____ müde nach der Arbeit.,wirklich,Ich bin wirklich müde nach der Arbeit.,I am really tired after work.,Je suis vraiment fatigué après le travail.,"wirklich = really, truly",wirklich = vraiment,,
169,6,Das Essen schmeckt _____ gut.,wirklich,Das Essen schmeckt wirklich gut.,The food tastes really good.,La nourriture a vraiment bon goût.,"wirklich = really, truly",wirklich = vraiment,,
170,6,Ich freue mich _____ auf den Urlaub.,wirklich,Ich freue mich wirklich auf den Urlaub.,I am really looking forward to the vacation.,J’attends vraiment les vacances avec impatience.,"wirklich = really, truly",wirklich = vraiment,,
171,6,Ich stehe _____ um sieben Uhr auf.,meistens,Ich stehe meistens um sieben Uhr auf.,I usually get up at seven o’clock.,Je me lève généralement à sept heures.,"meistens = mostly, usually","meistens = principalement, habituellement",,
172,6,_____ esse ich Brot zum Frühstück.,Meistens,Meistens esse ich Brot zum Frühstück.,I usually eat bread for breakfast.,Je mange habituellement du pain au petit-déjeuner.,"meistens = mostly, usually","meistens = principalement, habituellement",,
173,6,Er ist _____ pünktlich.,meistens,Er ist meistens pünktlich.,He is usually punctual.,Il est généralement ponctuel.,"meistens = mostly, usually","meistens = principalement, habituellement",,
