Nr,exercise,question,answer,konnektor,german,english,french,case_english,case_french,explanation_english,explanation_french
19,2,"Ich esse jetzt, _____ ich habe Hunger.",denn,denn,"Ich esse jetzt, denn ich habe Hunger.",I am eating now because I am hungry.,Je mange maintenant parce que j'ai faim.,,,"denn = because, for","denn = parce que, car"
20,2,"Möchtest du Tee trinken, _____ soll ich Kaffee machen?",oder,oder,"Möchtest du Tee trinken, oder soll ich Kaffee machen?","Do you want to drink tea, or should I make coffee?",Veux-tu boire du thé ou dois-je faire du café ?,,,oder = or,oder = ou
21,2,"Wir können ins Kino gehen, _____ wir bleiben zu Hause.",oder,oder,"Wir können ins Kino gehen, oder wir bleiben zu Hause.","We can go to the cinema, or we stay at home.","On peut aller au cinéma, ou rester à la maison.",,,oder = or,oder = ou
22,2,"Er fährt mit dem Fahrrad, _____ er nimmt den Bus.",oder,oder,"Er fährt mit dem Fahrrad, oder er nimmt den Bus.","He rides his bike, or he takes the bus.",Il fait du vélo ou il prend le bus.,,,oder = or,oder = ou
23,2,"Liest du ein Buch, _____ schaust du einen Film?",oder,oder,"Liest du ein Buch, oder schaust du einen Film?","Are you reading a book, or are you watching a movie?",Lisez-vous un livre ou regardez-vous un film ?,,,oder = or,oder = ou
24,2,"Ich koche Pasta, _____ du bestellst Pizza.",oder,oder,"Ich koche Pasta, oder du bestellst Pizza.","I will cook pasta, or you order pizza.",Je cuisinerai des pâtes ou tu commanderas une pizza.,,,oder = or,oder = ou
25,3,,weil,weil,,"because, since","parce que, puisque",Subordinating conjunction,Conjonctions de subordination,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque ● Conjonctions de subordination"
26,3,,also,also,,"so, thus, hence","donc, ainsi, d'où",Adverb,Adverbe,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe"
27,3,,deshalb,deshalb,,"therefore, for this reason, because of that","pour cette raison, à cause de cela",Adverb,Adverbe,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
28,3,,dass,dass,,that,que,Subordinating conjunction,Conjonctions de subordination,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination
29,3,,wenn,wenn,,"if, when","si, quand",Subordinating conjunction,Conjonctions de subordination,"wenn = if, when ● Subordinating conjunction","wenn = si, quand ● Conjonctions de subordination"
30,3,,als,als,,"when, as","quand, lorsque",Subordinating conjunction,Conjonctions de subordination,"als = when, as ● Subordinating conjunction","als = quand, lorsque ● Conjonctions de subordination"
31,4,"Ich bleibe zu Hause, _____ es stark regnet.",weil,weil,"Ich bleibe zu Hause, weil es stark regnet.",I stay at home because it is raining heavily.,Je reste à la maison parce qu'il pleut beaucoup.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque ● Conjonctions de subordination"
32,4,"Er kann nicht kommen, _____ er arbeiten muss.",weil,weil,"Er kann nicht kommen, weil er arbeiten muss.",He can't come because he has to work.,Il ne peut pas venir parce qu'il doit travailler.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque ● Conjonctions de subordination"
33,4,"Sie lernt viel, _____ sie die Prüfung bestehen will.",weil,weil,"Sie lernt viel, weil sie die Prüfung bestehen will.",She studies a lot because she wants to pass the exam.,Elle étudie beaucoup parce qu'elle veut réussir l'examen.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque ● Conjonctions de subordination"
34,4,"Wir gehen früh ins Bett, _____ wir morgen früh aufstehen müssen.",weil,weil,"Wir gehen früh ins Bett, weil wir morgen früh aufstehen müssen.",We go to bed early because we have to get up early tomorrow.,Nous nous couchons tôt parce que nous devons nous lever tôt demain.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque ● Conjonctions de subordination"
35,4,"Ich trinke Kaffee, _____ ich müde bin.",weil,weil,"Ich trinke Kaffee, weil ich müde bin.",I drink coffee because I am tired.,Je bois du café parce que je suis fatigué.,,,"weil = because, since ● Subordinating conjunction","weil = parce que, puisque ● Conjonctions de subordination"
36,4,"Es regnet, _____ bleibe ich zu Hause.",also,also,"Es regnet, also bleibe ich zu Hause.","It’s raining, so I’m staying at home.","Il pleut, alors je reste à la maison.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe"
37,4,"Ich habe Hunger, _____ esse ich jetzt.",also,also,"Ich habe Hunger, also esse ich jetzt.","I’m hungry, so I’m eating now.","J’ai faim, alors je mange maintenant.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe"
38,4,Du hast das Buch vergessen? _____ müssen wir zurückgehen.,Also,Also,Du hast das Buch vergessen? Also müssen wir zurückgehen.,You forgot the book? So we have to go back.,Tu as oublié le livre ? Alors on doit y retourner.,,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe"
39,4,"Er hat viel gelernt, _____ besteht er die Prüfung.",also,also,"Er hat viel gelernt, also besteht er die Prüfung.","He studied a lot, so he passes the exam.","Il a beaucoup étudié, donc il réussit l'examen.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe"
40,4,"Das Auto ist kaputt, _____ nehmen wir den Bus.",also,also,"Das Auto ist kaputt, also nehmen wir den Bus.","The car is broken, so we take the bus.","La voiture est en panne, alors nous prenons le bus.",,,"also = so, thus, hence ● Adverb","also = donc, ainsi, d'où ● Adverbe"
41,4,"Ich hoffe, _____ du mich bald besuchst.",dass,dass,"Ich hoffe, dass du mich bald besuchst.",I hope that you visit me soon.,J'espère que tu viendras me rendre visite bientôt.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination
42,4,"Er sagt, _____ er heute keine Zeit hat.",dass,dass,"Er sagt, dass er heute keine Zeit hat.",He says that he has no time today.,Il dit qu'il n'a pas le temps aujourd'hui.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination
43,4,"Wir wissen, _____ Deutsch eine schwierige Sprache ist.",dass,dass,"Wir wissen, dass Deutsch eine schwierige Sprache ist.",We know that German is a difficult language.,Nous savons que l’allemand est une langue difficile.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination
44,4,"Sie glaubt, _____ er ihr helfen kann.",dass,dass,"Sie glaubt, dass er ihr helfen kann.",She believes that he can help her.,Elle croit qu’il peut l’aider.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination
45,4,"Ich finde, _____ das Essen sehr lecker schmeckt.",dass,dass,"Ich finde, dass das Essen sehr lecker schmeckt.",I think that the food tastes very delicious.,Je pense que la nourriture a un goût très délicieux.,,,dass = that ● Subordinating conjunction,dass = que ● Conjonctions de subordination
46,4,"Es regnet stark, _____ nehme ich meinen Regenschirm.",deshalb,deshalb,"Es regnet stark, deshalb nehme ich meinen Regenschirm.","It is raining heavily, therefore I take my umbrella.","Il pleut beaucoup, alors je prends mon parapluie.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
47,4,"Ich habe meine Hausaufgaben vergessen, _____ muss ich sie jetzt machen.",deshalb,deshalb,"Ich habe meine Hausaufgaben vergessen, deshalb muss ich sie jetzt machen.","I forgot my homework, therefore I have to do it now.","J'ai oublié mes devoirs, donc je dois les faire maintenant.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
48,4,"Er hat schlecht geschlafen, _____ ist er heute müde.",deshalb,deshalb,"Er hat schlecht geschlafen, deshalb ist er heute müde.","He slept badly, therefore he is tired today.","Il a mal dormi, donc il est fatigué aujourd'hui.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
49,4,"Wir haben Hunger, _____ kochen wir etwas zu essen.",deshalb,deshalb,"Wir haben Hunger, deshalb kochen wir etwas zu essen.","We are hungry, therefore we cook something to eat.","Nous avons faim, donc nous cuisinons quelque chose à manger.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
50,4,"Sie hat ihren Bus verpasst, _____ kommt sie zu spät.",deshalb,deshalb,"Sie hat ihren Bus verpasst, deshalb kommt sie zu spät.","She missed her bus, therefore she is late.","Elle a raté son bus, donc elle est en retard.",,,"deshalb = therefore, for this reason, because of that ● Adverb","deshalb = pour cette raison, à cause de cela ● Adverbe"
51,4,"_____ es regnet, nehme ich meinen Regenschirm.",Wenn,Wenn,"Wenn es regnet, nehme ich meinen Regenschirm.","When it rains, I take my umbrella.","Quand il pleut, je prends mon parapluie.",,,"wenn = if, when ● Subordinating conjunction","wenn = si, quand ● Conjonctions de subordination"
52,4,"Ich gehe joggen, _____ ich Zeit habe.",wenn,wenn,"Ich gehe joggen, wenn ich Zeit habe.",I go jogging when I have time.,Je fais du jogging quand j'ai le temps.,,,"wenn = if, when ● Subordinating conjunction","wenn = si, quand ● Conjonctions de subordination"
53,4,"_____ er müde ist, trinkt er Kaffee.",Wenn,Wenn,"Wenn er müde ist, trinkt er Kaffee.","When he is tired, he drinks coffee.","Quand il est fatigué, il boit du café.",,,"wenn = if, when ● Subordinating conjunction","wenn = si, quand ● Conjonctions de subordination"
54,4,"Wir machen ein Picknick, _____ das Wetter schön ist.",wenn,wenn,"Wir machen ein Picknick, wenn das Wetter schön ist.",We have a picnic when the weather is nice.,Nous faisons un pique-nique quand il fait beau.,,,"wenn = if, when ● Subordinating conjunction","wenn = si, quand ● Conjonctions de subordination"
55,4,"_____ sie Geburtstag hat, feiert sie mit ihrer Familie.",Wenn,Wenn,"Wenn sie Geburtstag hat, feiert sie mit ihrer Familie.","When it’s her birthday, she celebrates with her family.","Quand c’est son anniversaire, elle le fête avec sa famille.",,,"wenn = if, when ● Subordinating conjunction","wenn = si, quand ● Conjonctions de subordination"
56,4,"_____ ich ein Kind war, hatte ich einen Hund.",Als,Als,"Als ich ein Kind war, hatte ich einen Hund.","When I was a child, I had a dog.","Quand j'étais enfant, j'avais un chien.",,,"als = when, as ● Subordinating conjunction","als = quand, lorsque ● Conjonctions de subordination"
57,4,"Er war sehr glücklich, _____ er die Prüfung bestanden hat.",als,als,"Er war sehr glücklich, als er die Prüfung bestanden hat.",He was very happy when he passed the exam.,Il était très heureux lorsqu'il a réussi l'examen.,,,"als = when, as ● Subordinating conjunction","als = quand, lorsque ● Conjonctions de subordination"
58,4,"_____ wir in Berlin waren, haben wir den Fernsehturm besucht.",Als,Als,"Als wir in Berlin waren, haben wir den Fernsehturm besucht.","When we were in Berlin, we visited the TV tower.","Quand nous étions à Berlin, nous avons visité la tour de télévision.",,,"als = when, as ● Subordinating conjunction","als = quand, lorsque ● Conjonctions de subordination"
59,4,"Ich habe ihn das erste Mal getroffen, _____ ich nach Deutschland gereist bin.",als,als,"Ich habe ihn das erste Mal getroffen, als ich nach Deutschland gereist bin.",I met him for the first time when I traveled to Germany.,Je l'ai rencontré pour la première fois lors d'un voyage en Allemagne.,,,"als = when, as ● Subordinating conjunction","als = quand, lorsque ● Conjonctions de subordination"
60,4,"_____ sie ihr Auto gekauft hat, war sie sehr stolz.",Als,Als,"Als sie ihr Auto gekauft hat, war sie sehr stolz.","When she bought her car, she was very proud.","Lorsqu'elle a acheté sa voiture, elle était très fière.",,,"als = when, as ● Subordinating conjunction","als = quand, lorsque ● Conjonctions de subordination"
61,5,,obwohl,obwohl,,"although, even though","bien que, même si",Subordinating conjunction,Conjonctions de subordination,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
62,5,,trotzdem,trotzdem,,"despite it, nevertheless, yet, nonetheless","malgré cela, néanmoins, pourtant",Adverb,Adverbe,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
63,5,,weshalb,weshalb,,"which is why, therefore",c'est pourquoi,Subordinating conjunction,Conjonctions de subordination,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination
64,5,,damit,damit,,"so that, in order to","pour que, afin que",Subordinating conjunction,Conjonctions de subordination,"damit = so that, in order to ● Subordinating conjunction","damit = pour que, afin que ● Conjonctions de subordination"
65,5,,um zu,um zu,,in order to,"pour que, afin que",Correlative conjunction,Conjonction corrélative,um zu = in order to ● Correlative conjunction,"um zu = pour que, afin que ● Conjonction corrélative"
66,5,,anstatt zu,anstatt zu,,instead of,"au lieu de, à la place de",Correlative conjunction,Conjonction corrélative,anstatt zu = instead of ● Correlative conjunction,"anstatt zu = au lieu de, à la place de ● Conjonction corrélative"
67,5,,ohne zu,ohne zu,,without (+ ...ing),sans que,Correlative conjunction,Conjonction corrélative,ohne zu = without (+ ...ing) ● Correlative conjunction,ohne zu = sans que ● Conjonction corrélative
68,5,,während,während,,while,"pendant que, alors que",Subordinating conjunction,Conjonctions de subordination,während = while ● Subordinating conjunction,"während = pendant que, alors que ● Conjonctions de subordination"
69,6,"Ich gehe spazieren, _____ es regnet.",obwohl,obwohl,"Ich gehe spazieren, obwohl es regnet.",I go for a walk although it is raining.,Je vais me promener même s'il pleut.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
70,6,"Er arbeitet weiter, _____ er müde ist.",obwohl,obwohl,"Er arbeitet weiter, obwohl er müde ist.",He continues working although he is tired.,Il continue à travailler même s'il est fatigué.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
71,6,"Sie kommt zur Party, _____ sie viel zu tun hat.",obwohl,obwohl,"Sie kommt zur Party, obwohl sie viel zu tun hat.",She comes to the party although she has a lot to do.,Elle vient à la fête même si elle a beaucoup à faire.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
72,6,"Wir spielen draussen, _____ es kalt ist.",obwohl,obwohl,"Wir spielen draussen, obwohl es kalt ist.",We play outside although it is cold.,Nous jouons dehors même s'il fait froid.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
73,6,"Ich esse das Gericht, _____ ich es nicht mag.",obwohl,obwohl,"Ich esse das Gericht, obwohl ich es nicht mag.",I eat the dish although I don’t like it.,Je mange le plat même si je ne l’aime pas.,,,"obwohl = although, even though ● Subordinating conjunction","obwohl = bien que, même si ● Conjonctions de subordination"
74,6,"Ich lerne jeden Tag, _____ Deutsch zu verbessern.",um,um zu,"Ich lerne jeden Tag, um Deutsch zu verbessern.",I study every day in order to improve my German.,J'étudie tous les jours pour améliorer mon allemand.,,,um zu = in order to ● Correlative conjunction,"um zu = pour que, afin que ● Conjonction corrélative"
75,6,"Er spart Geld, _____ eine Weltreise zu machen.",um,um zu,"Er spart Geld, um eine Weltreise zu machen.",He saves money in order to travel around the world.,Il économise de l'argent pour voyager à travers le monde.,,,um zu = in order to ● Correlative conjunction,"um zu = pour que, afin que ● Conjonction corrélative"
76,6,"Sie trainiert hart, _____ beim Marathon zu gewinnen.",um,um zu,"Sie trainiert hart, um beim Marathon zu gewinnen.",She trains hard in order to win the marathon.,Elle s'entraîne dur pour gagner le marathon.,,,um zu = in order to ● Correlative conjunction,"um zu = pour que, afin que ● Conjonction corrélative"
77,6,"Wir fahren früh los, _____ den Verkehr zu vermeiden.",um,um zu,"Wir fahren früh los, um den Verkehr zu vermeiden.",We leave early in order to avoid traffic.,Nous partons tôt afin d'éviter le trafic.,,,um zu = in order to ● Correlative conjunction,"um zu = pour que, afin que ● Conjonction corrélative"
78,6,"Er liest viele Bücher, _____ sein Wissen zu erweitern.",um,um zu,"Er liest viele Bücher, um sein Wissen zu erweitern.",He reads many books in order to expand his knowledge.,Il lit de nombreux livres afin d'élargir ses connaissances.,,,um zu = in order to ● Correlative conjunction,"um zu = pour que, afin que ● Conjonction corrélative"
79,6,"Es regnet, _____ gehen wir spazieren.",trotzdem,trotzdem,"Es regnet, trotzdem gehen wir spazieren.","It is raining; nevertheless, we are going for a walk.","Il pleut, mais nous allons quand même nous promener.",,,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
80,6,"Er war müde, _____ hat er bis spät in die Nacht gearbeitet.",trotzdem,trotzdem,"Er war müde, trotzdem hat er bis spät in die Nacht gearbeitet.","He was tired; nevertheless, he worked late into the night.","Il était fatigué, mais il a néanmoins travaillé tard dans la nuit.",,,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
81,6,"Sie hatte wenig Zeit, _____ hat sie mir geholfen.",trotzdem,trotzdem,"Sie hatte wenig Zeit, trotzdem hat sie mir geholfen.","She had little time; nevertheless, she helped me.","Elle avait peu de temps, mais elle m'a quand même aidée.",,,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
82,6,"Das Essen war teuer, _____ hat es sich gelohnt.",trotzdem,trotzdem,"Das Essen war teuer, trotzdem hat es sich gelohnt.","The food was expensive; nevertheless, it was worth it.","La nourriture était chère, mais cela en valait la peine.",,,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
83,6,"Ich war nervös, _____ habe ich die Präsentation gut gehalten.",trotzdem,trotzdem,"Ich war nervös, trotzdem habe ich die Präsentation gut gehalten.","I was nervous; nevertheless, I gave the presentation well.","J’étais nerveux, mais j’ai quand même bien fait ma présentation.",,,"trotzdem = despite it, nevertheless, yet, nonetheless ● Adverb","trotzdem = malgré cela, néanmoins, pourtant ● Adverbe"
84,6,"Es hat den ganzen Tag geregnet, _____ das Spiel abgesagt wurde.",weshalb,weshalb,"Es hat den ganzen Tag geregnet, weshalb das Spiel abgesagt wurde.","It rained all day, which is why the game was canceled.","Il a plu toute la journée, c'est pourquoi le match a été annulé.",,,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination
85,6,"Der Bus hatte eine Panne, _____ wir zu spät zur Arbeit kamen.",weshalb,weshalb,"Der Bus hatte eine Panne, weshalb wir zu spät zur Arbeit kamen.","The bus broke down, which is why we arrived late to work.","Le bus est tombé en panne, c'est pourquoi nous sommes arrivés en retard au travail.",,,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination
86,6,"Ich habe schlecht geschlafen, _____ ich heute sehr müde bin.",weshalb,weshalb,"Ich habe schlecht geschlafen, weshalb ich heute sehr müde bin.","I slept poorly, which is why I'm very tired today.","J'ai mal dormi, c'est pourquoi je suis très fatigué aujourd'hui.",,,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination
87,6,"Sie hat viel gearbeitet, _____ sie jetzt Urlaub macht.",weshalb,weshalb,"Sie hat viel gearbeitet, weshalb sie jetzt Urlaub macht.","She worked a lot, which is why she’s on vacation now.","Elle a beaucoup travaillé, c'est pourquoi elle est en vacances maintenant.",,,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination
88,6,"Das Angebot war sehr günstig, _____ wir es sofort gekauft haben.",weshalb,weshalb,"Das Angebot war sehr günstig, weshalb wir es sofort gekauft haben.","The offer was very good, which is why we bought it immediately.","L'offre était très bonne, c'est pourquoi nous l'avons achetée immédiatement.",,,"weshalb = which is why, therefore ● Subordinating conjunction",weshalb = c'est pourquoi ● Conjonctions de subordination
89,6,"_____ arbeiten, spielt er die ganze Zeit Videospiele.",Anstatt zu,anstatt zu,"Anstatt zu arbeiten, spielt er die ganze Zeit Videospiele.","Instead of working, he plays video games all the time.","Au lieu de travailler, il joue tout le temps à des jeux vidéo.",,,anstatt zu = instead of ● Correlative conjunction,"anstatt zu = au lieu de, à la place de ● Conjonction corrélative"
90,6,"Sie hat sich für die Reise entschieden, _____ zu Hause zu bleiben.",anstatt,anstatt zu,"Sie hat sich für die Reise entschieden, anstatt zu Hause zu bleiben.",She decided to travel instead of staying at home.,Elle a décidé de voyager au lieu de rester à la maison.,,,anstatt zu = instead of ● Correlative conjunction,"anstatt zu = au lieu de, à la place de ● Conjonction corrélative"
91,6,"Er ging joggen, _____ lernen.",anstatt zu,anstatt zu,"Er ging joggen, anstatt zu lernen.",He went jogging instead of studying.,Il est allé faire du jogging au lieu d'étudier.,,,anstatt zu = instead of ● Correlative conjunction,"anstatt zu = au lieu de, à la place de ● Conjonction corrélative"
92,6,"Wir sind mit dem Zug gefahren, _____ fliegen.",anstatt zu,anstatt zu,"Wir sind mit dem Zug gefahren, anstatt zu fliegen.",We took the train instead of flying.,Nous avons pris le train au lieu de l'avion.,,,anstatt zu = instead of ● Correlative conjunction,"anstatt zu = au lieu de, à la place de ● Conjonction corrélative"
93,6,"_____ helfen, hat er nur zugesehen.",Anstatt zu,anstatt zu,"Anstatt zu helfen, hat er nur zugesehen.","Instead of helping, he just watched.","Au lieu d’aider, il se contentait de regarder.",,,anstatt zu = instead of ● Correlative conjunction,"anstatt zu = au lieu de, à la place de ● Conjonction corrélative"
94,6,"Er ging, _____ bezahlen.",ohne zu,ohne zu,"Er ging, ohne zu bezahlen.",He left without paying.,Il est parti sans payer.,,,ohne zu = without (+ ...ing) ● Correlative conjunction,ohne zu = sans que ● Conjonction corrélative
95,6,"Sie hat das Haus verlassen, _____ sprechen.",ohne zu,ohne zu,"Sie hat das Haus verlassen, ohne zu sprechen.",She left the house without speaking.,Elle a quitté la maison sans parler.,,,ohne zu = without (+ ...ing) ● Correlative conjunction,ohne zu = sans que ● Conjonction corrélative
96,6,"Wir konnten den Text verstehen, _____ übersetzen.",ohne zu,ohne zu,"Wir konnten den Text verstehen, ohne zu übersetzen.",We were able to understand the text without translating.,Nous avons pu comprendre le texte sans traduire.,,,ohne zu = without (+ ...ing) ● Correlative conjunction,ohne zu = sans que ● Conjonction corrélative
97,6,"Ich habe die Aufgabe gelöst, _____ fragen.",ohne zu,ohne zu,"Ich habe die Aufgabe gelöst, ohne zu fragen.",I solved the task without asking.,J'ai résolu la tâche sans demander.,,,ohne zu = without (+ ...ing) ● Correlative conjunction,ohne zu = sans que ● Conjonction corrélative
98,6,"Die Kinder spielten stundenlang draußen, _____ streiten.",ohne zu,ohne zu,"Die Kinder spielten stundenlang draußen, ohne zu streiten.",The children played outside for hours without arguing.,Les enfants ont joué dehors pendant des heures sans se disputer.,,,ohne zu = without (+ ...ing) ● Correlative conjunction,ohne zu = sans que ● Conjonction corrélative
99,6,"_____ ich koche, hört mein Mann Musik.",Während,Während,"Während ich koche, hört mein Mann Musik.","While I am cooking, my husband is listening to music.","Pendant que je cuisine, mon mari écoute de la musique.",,,während = while ● Subordinating conjunction,"während = pendant que, alors que ● Conjonctions de subordination"
100,6,"Er arbeitet, _____ seine Kollegen eine Pause machen.",während,während,"Er arbeitet, während seine Kollegen eine Pause machen.",He is working while his colleagues are taking a break.,Il travaille pendant que ses collègues font une pause.,,,während = while ● Subordinating conjunction,"während = pendant que, alors que ● Conjonctions de subordination"
101,6,"_____ sie für die Prüfung lernt, schaut ihr Bruder Fernsehen.",Während,Während,"Während sie für die Prüfung lernt, schaut ihr Bruder Fernsehen.","While she is studying for the exam, her brother is watching TV.","Pendant qu'elle étudie pour l'examen, son frère regarde la télévision.",,,während = while ● Subordinating conjunction,"während = pendant que, alors que ● Conjonctions de subordination"
102,6,"Wir haben im Restaurant gegessen, _____ draußen ein Sturm tobte.",während,während,"Wir haben im Restaurant gegessen, während draußen ein Sturm tobte.",We ate in the restaurant while a storm was raging outside.,Nous avons mangé au restaurant alors qu'une tempête faisait rage dehors.,,,während = while ● Subordinating conjunction,"während = pendant que, alors que ● Conjonctions de subordination"
103,6,"_____ ich das Buch lese, macht sie sich Notizen.",Während,Während,"Während ich das Buch lese, macht sie sich Notizen.","While I am reading the book, she is taking notes.","Pendant que je lis le livre, elle prend des notes.",,,während = while ● Subordinating conjunction,"während = pendant que, alors que ● Conjonctions de subordination"
