Nr,exercise,question,answer,frage_word,german,english,french,explanation_english,explanation_french
31,2,_____ möchtest du essen?,Was,was,Was möchtest du essen?,What would you like to eat?,Qu'est-ce que tu aimerais manger ?,Was = What,"Was = Que, Quoi"
32,2,_____ suchst du denn?,Was,was,Was suchst du denn?,What are you looking for?,Qu'est-ce que tu cherches?,Was = What,"Was = Que, Quoi"
33,2,_____ bedeutet dieses Wort?,Was,was,Was bedeutet dieses Wort?,What does this word mean?,Que signifie ce mot ?,Was = What,"Was = Que, Quoi"
34,2,_____ wohnst du?,Wo,wo,Wo wohnst du?,Where do you live?,Où  habites-tu?,Wo = Where,Wo = Où
35,2,_____ ist mein Handy?,Wo,wo,Wo ist mein Handy?,Where is my phone?,Où est mon téléphone ?,Wo = Where,Wo = Où
36,2,_____ arbeitet dein Vater?,Wo,wo,Wo arbeitet dein Vater?,Where does your father work?,Où travaille ton père ?,Wo = Where,Wo = Où
37,2,_____ treffen wir uns?,Wo,wo,Wo treffen wir uns?,Where are we meeting?,Où nous retrouvons-nous ?,Wo = Where,Wo = Où
38,2,_____ ist die nächste U-Bahn-Station?,Wo,wo,Wo ist die nächste U-Bahn-Station?,Where is the nearest subway station?,Où est la station de métro la plus proche?,Wo = Where,Wo = Où
39,2,_____ gehst du?,Wohin,wohin,Wohin gehst du?,Where are you going?,Où vas-tu?,"Wohin = Where to, Whither",Wohin = Vers où
40,2,_____ fährt dieser Bus?,Wohin,wohin,Wohin fährt dieser Bus?,Where does this bus go?,Où va ce bus ?,"Wohin = Where to, Whither",Wohin = Vers où
41,2,_____ fliegst du in den Urlaub?,Wohin,wohin,Wohin fliegst du in den Urlaub?,Where are you flying for vacation?,Où partez-vous en vacances ?,"Wohin = Where to, Whither",Wohin = Vers où
42,2,_____ soll ich die Tasche stellen?,Wohin,wohin,Wohin soll ich die Tasche stellen?,Where should I put the bag?,Où dois-je mettre le sac ?,"Wohin = Where to, Whither",Wohin = Vers où
43,2,_____ gehen wir heute Abend essen?,Wohin,wohin,Wohin gehen wir heute Abend essen?,Where are we going to eat tonight?,Où allons-nous manger ce soir ?,"Wohin = Where to, Whither",Wohin = Vers où
44,2,_____ kommst du?,Woher,woher,Woher kommst du?,Where are you from?,D'où venez-vous?,"Woher = Where from, Whence",Woher = D'où
45,2,_____ kennst du ihn?,Woher,woher,Woher kennst du ihn?,Where do you know him from?,D'où le connais-tu ?,"Woher = Where from, Whence",Woher = D'où
46,2,_____ hast du dieses Buch?,Woher,woher,Woher hast du dieses Buch?,Where did you get this book from?,D'où avez-vous obtenu ce livre?,"Woher = Where from, Whence",Woher = D'où
47,2,_____ weißt du das?,Woher,woher,Woher weißt du das?,How do you know that? (Where do you know that from?),Comment le sais-tu ? (D'où le sais-tu ?),"Woher = Where from, Whence",Woher = D'où
48,2,_____ kommt dieser Lärm?,Woher,woher,Woher kommt dieser Lärm?,Where is this noise coming from?,D'où vient ce bruit ?,"Woher = Where from, Whence",Woher = D'où
49,3,,Welche,welche feminine nominative,,Which ● Feminine,Quelle ● Féminin,Welche = Which ● Feminine,Welche = Quelle ● Féminin
50,3,,Welcher,welcher masculine nominative,,Which ● Masculine,Quel ● Masculin,Welcher = Which ● Masculine,Welcher = Quel ● Masculin
51,3,,Welches,welches neuter nominative,,Which ● Neuter,"Quel, Quelle ● Neutre",Welches = Which ● Neuter,"Welches = Quel, Quelle ● Neutre"
52,3,,Welche,welche plural nominative,,Which ● Plural,"Quels, Quelles ● Pluriel",Welche = Which ● Plural,"Welche = Quels, Quelles ● Pluriel"
53,3,,Wie viel,wie viel,,How much,"Combien, Quelle quantité (indénombrable)",Wie viel = How much,"Wie viel = Combien, Quelle quantité (indénombrable)"
54,3,,Wie viele,wie viele,,How many,Combien (dénombrable),Wie viele = How many,Wie viele = Combien (dénombrable)
55,3,,Wie spät,wie spät,,"What time, At what time",À quelle heure,"Wie spät = What time, At what time",Wie spät = À quelle heure
56,4,_____ Buch liest du?,Welches,welches neuter nominative,Welches Buch liest du?,Which book are you reading?,Quel livre lis-tu ?,Welches = Which ● Neuter,"Welches = Quel, Quelle ● Neutre"
57,4,_____ Tier ist das?,Welches,welches neuter nominative,Welches Tier ist das?,Which animal is that?,Quel est cet animal ?,Welches = Which ● Neuter,"Welches = Quel, Quelle ● Neutre"
58,4,_____ Auto gehört dir?,Welches,welches neuter nominative,Welches Auto gehört dir?,Which car belongs to you?,Quelle voiture t'appartient ?,Welches = Which ● Neuter,"Welches = Quel, Quelle ● Neutre"
59,4,_____ Getränk möchtest du?,Welches,welches neuter nominative,Welches Getränk möchtest du?,Which drink would you like?,Quelle boisson désirez-vous ?,Welches = Which ● Neuter,"Welches = Quel, Quelle ● Neutre"
60,4,_____ Zimmer ist frei?,Welches,welches neuter nominative,Welches Zimmer ist frei?,Which room is available?,Quelle chambre est disponible ?,Welches = Which ● Neuter,"Welches = Quel, Quelle ● Neutre"
61,4,_____ Farbe magst du?,Welche,welche feminine nominative,Welche Farbe magst du?,Which color do you like?,Quelle couleur aimes-tu ?,Welche = Which ● Feminine,Welche = Quelle ● Féminin
62,4,_____ Stadt ist deine Lieblingsstadt?,Welche,welche feminine nominative,Welche Stadt ist deine Lieblingsstadt?,Which city is your favorite?,Quelle ville est votre préférée ?,Welche = Which ● Feminine,Welche = Quelle ● Féminin
63,4,_____ Blume ist das?,Welche,welche feminine nominative,Welche Blume ist das?,Which flower is that?,Quelle est cette fleur ?,Welche = Which ● Feminine,Welche = Quelle ● Féminin
64,4,_____ Straße ist das?,Welche,welche feminine nominative,Welche Straße ist das?,Which street is that?,Quelle est cette rue ?,Welche = Which ● Feminine,Welche = Quelle ● Féminin
65,4,_____ Lampe gefällt dir am besten?,Welche,welche feminine nominative,Welche Lampe gefällt dir am besten?,Which lamp do you like best?,Quelle lampe préférez-vous ?,Welche = Which ● Feminine,Welche = Quelle ● Féminin
66,4,_____ Tag ist heute?,Welcher,welcher masculine nominative,Welcher Tag ist heute?,Which day is today?,Quel jour sommes-nous aujourd'hui ?,Welcher = Which ● Masculine,Welcher = Quel ● Masculin
67,4,_____ Bus fährt zum Bahnhof?,Welcher,welcher masculine nominative,Welcher Bus fährt zum Bahnhof?,Which bus goes to the train station?,Quel bus va à la gare ?,Welcher = Which ● Masculine,Welcher = Quel ● Masculin
68,4,_____ Film läuft im Kino?,Welcher,welcher masculine nominative,Welcher Film läuft im Kino?,Which movie is playing in the cinema?,Quel film passe au cinéma ?,Welcher = Which ● Masculine,Welcher = Quel ● Masculin
69,4,_____ Apfel ist süßer?,Welcher,welcher masculine nominative,Welcher Apfel ist süßer?,Which apple is sweeter?,Quelle pomme est la plus sucrée ?,Welcher = Which ● Masculine,Welcher = Quel ● Masculin
70,4,_____ Lehrer unterrichtet Deutsch?,Welcher,welcher masculine nominative,Welcher Lehrer unterrichtet Deutsch?,Which teacher teaches German?,Quel professeur enseigne l'allemand ?,Welcher = Which ● Masculine,Welcher = Quel ● Masculin
71,4,_____ Bücher liest du gern?,Welche,welche plural nominative,Welche Bücher liest du gern?,Which books do you like to read?,Quels livres aimez-vous lire ?,Welche = Which ● Plural,"Welche = Quels, Quelles ● Pluriel"
72,4,_____ Filme magst du?,Welche,welche plural nominative,Welche Filme magst du?,Which movies do you like?,Quels films aimes-tu ?,Welche = Which ● Plural,"Welche = Quels, Quelles ● Pluriel"
73,4,_____ Sprachen sprichst du?,Welche,welche plural nominative,Welche Sprachen sprichst du?,Which languages do you speak?,Quelles langues parlez-vous ?,Welche = Which ● Plural,"Welche = Quels, Quelles ● Pluriel"
74,4,_____ Tiere findest du interessant?,Welche,welche plural nominative,Welche Tiere findest du interessant?,Which animals do you find interesting?,Quels animaux trouvez-vous intéressants ?,Welche = Which ● Plural,"Welche = Quels, Quelles ● Pluriel"
75,4,_____ Farben gefallen dir?,Welche,welche plural nominative,Welche Farben gefallen dir?,Which colors do you like?,Quelles couleurs aimez-vous ?,Welche = Which ● Plural,"Welche = Quels, Quelles ● Pluriel"
76,4,_____ kostet das Brot?,Wie viel,wie viel,Wie viel kostet das Brot?,How much does the bread cost?,Combien coûte le pain ?,Wie viel = How much,"Wie viel = Combien, Quelle quantité (indénombrable)"
77,4,_____ Wasser trinkst du am Tag?,Wie viel,wie viel,Wie viel Wasser trinkst du am Tag?,How much water do you drink per day?,Quelle quantité d’eau buvez-vous par jour ?,Wie viel = How much,"Wie viel = Combien, Quelle quantité (indénombrable)"
78,4,_____ Mehl brauchst du?,Wie viel,wie viel,Wie viel Mehl brauchst du?,How much flour do you need?,De combien de farine avez-vous besoin ?,Wie viel = How much,"Wie viel = Combien, Quelle quantité (indénombrable)"
79,4,_____ Zucker soll ich in den Tee geben?,Wie viel,wie viel,Wie viel Zucker soll ich in den Tee geben?,How much sugar should I put in the tea?,Quelle quantité de sucre dois-je mettre dans le thé ?,Wie viel = How much,"Wie viel = Combien, Quelle quantité (indénombrable)"
80,4,_____ Geld hast du dabei?,Wie viel,wie viel,Wie viel Geld hast du dabei?,How much money do you have with you?,Combien d'argent as-tu sur toi ?,Wie viel = How much,"Wie viel = Combien, Quelle quantité (indénombrable)"
81,4,_____ Schüler sind heute im Klassenzimmer?,Wie viele,wie viele,Wie viele Schüler sind heute im Klassenzimmer?,How many students are in the classroom today?,Combien d'élèves y a-t-il dans la classe aujourd'hui ?,Wie viele = How many,Wie viele = Combien (dénombrable)
82,4,_____ Katzen leben bei dir zu Hause?,Wie viele,wie viele,Wie viele Katzen leben bei dir zu Hause?,How many cats live at your home?,Combien de chats vivent chez vous ?,Wie viele = How many,Wie viele = Combien (dénombrable)
83,4,_____ Bücher liegen auf dem Tisch?,Wie viele,wie viele,Wie viele Bücher liegen auf dem Tisch?,How many books are on the table?,Combien de livres y a-t-il sur la table ?,Wie viele = How many,Wie viele = Combien (dénombrable)
84,4,_____ Personen arbeiten in dieser Firma?,Wie viele,wie viele,Wie viele Personen arbeiten in dieser Firma?,How many people work in this company?,Combien de personnes travaillent dans cette entreprise ?,Wie viele = How many,Wie viele = Combien (dénombrable)
85,4,_____ Tage hat der Monat Februar?,Wie viele,wie viele,Wie viele Tage hat der Monat Februar?,How many days does the month of February have?,Combien de jours compte le mois de février ?,Wie viele = How many,Wie viele = Combien (dénombrable)
86,4,_____ ist es?,Wie spät,wie spät,Wie spät ist es?,What time is it?,Quelle heure est-il?,"Wie spät = What time, At what time",Wie spät = À quelle heure
87,4,"Weißt du, _____ es ist?",wie spät,wie spät,"Weißt du, wie spät es ist?",Do you know what time it is?,Sais-tu quelle heure il est ?,"Wie spät = What time, At what time",Wie spät = À quelle heure
88,4,_____ beginnt der Unterricht?,Wie spät,wie spät,Wie spät beginnt der Unterricht?,What time does the class start?,A quelle heure commence le cours ?,"Wie spät = What time, At what time",Wie spät = À quelle heure
89,4,_____ kommt der Bus?,Wie spät,wie spät,Wie spät kommt der Bus?,What time does the bus arrive?,A quelle heure arrive le bus ?,"Wie spät = What time, At what time",Wie spät = À quelle heure
90,4,_____ gehst du normalerweise ins Bett?,Wie spät,wie spät,Wie spät gehst du normalerweise ins Bett?,What time do you usually go to bed?,À quelle heure te couches-tu habituellement ?,"Wie spät = What time, At what time",Wie spät = À quelle heure
91,5,,Seit wann,seit wann,,Since when,Depuis quand,Seit wann = Since when,Seit wann = Depuis quand
92,5,,Bis wann,bis wann,,Until when,Jusqu'à quand,Bis wann = Until when,Bis wann = Jusqu'à quand
93,5,,Ab wann,ab wann,,From when,À partir de quand,Ab wann = From when,Ab wann = À partir de quand
94,5,,Von wann bis wann,von wann bis wann,,"From when to when, from when until when",De quand à quand,"Von wann bis wann = From when to when, from when until when",Von wann bis wann = De quand à quand
95,5,,Wie lange,wie lange,,How long,Combien de temps,Wie lange = How long,Wie lange = Combien de temps
96,5,,Wie oft,wie oft,,How often,À quelle fréquence,Wie oft = How often,Wie oft = À quelle fréquence
97,6,_____ lernst du Deutsch?,Seit wann,seit wann,Seit wann lernst du Deutsch?,Since when have you been learning German?,Depuis quand apprends-tu l'allemand ?,Seit wann = Since when,Seit wann = Depuis quand
98,6,_____ wohnst du in dieser Stadt?,Seit wann,seit wann,Seit wann wohnst du in dieser Stadt?,Since when have you been living in this city?,Depuis quand vis-tu dans cette ville ?,Seit wann = Since when,Seit wann = Depuis quand
99,6,_____ arbeitest du in dieser Firma?,Seit wann,seit wann,Seit wann arbeitest du in dieser Firma?,Since when have you been working at this company?,Depuis quand travaillez-vous dans cette entreprise ?,Seit wann = Since when,Seit wann = Depuis quand
100,6,_____ kennst du ihn?,Seit wann,seit wann,Seit wann kennst du ihn?,Since when have you known him?,Depuis quand le connais-tu ?,Seit wann = Since when,Seit wann = Depuis quand
101,6,_____ hast du ein Auto?,Seit wann,seit wann,Seit wann hast du ein Auto?,Since when have you had a car?,Depuis quand as-tu une voiture ?,Seit wann = Since when,Seit wann = Depuis quand
102,6,_____ arbeitest du heute?,Bis wann,bis wann,Bis wann arbeitest du heute?,Until when are you working today?,Jusqu'à quand travaillez-vous aujourd'hui ?,Bis wann = Until when,Bis wann = Jusqu'à quand
103,6,_____ bleibt das Museum geöffnet?,Bis wann,bis wann,Bis wann bleibt das Museum geöffnet?,Until when is the museum open?,Jusqu'à quand le musée est-il ouvert ?,Bis wann = Until when,Bis wann = Jusqu'à quand
104,6,_____ muss ich das Formular abgeben?,Bis wann,bis wann,Bis wann muss ich das Formular abgeben?,Until when do I have to submit the form?,Jusqu'à quand dois-je soumettre le formulaire ?,Bis wann = Until when,Bis wann = Jusqu'à quand
105,6,_____ dauert der Kurs?,Bis wann,bis wann,Bis wann dauert der Kurs?,Until when does the course last?,Jusqu'à quand dure le cours ?,Bis wann = Until when,Bis wann = Jusqu'à quand
106,6,_____ bleibst du in Deutschland?,Bis wann,bis wann,Bis wann bleibst du in Deutschland?,Until when are you staying in Germany?,Jusqu'à quand restes-tu en Allemagne ?,Bis wann = Until when,Bis wann = Jusqu'à quand
107,6,_____ arbeitest du morgen?,Ab wann,ab wann,Ab wann arbeitest du morgen?,From when are you working tomorrow?,À partir de quand travailles-tu demain ?,Ab wann = From when,Ab wann = À partir de quand
108,6,_____ ist das Büro geöffnet?,Ab wann,ab wann,Ab wann ist das Büro geöffnet?,From when is the office open?,À partir de quand le bureau est-il ouvert ?,Ab wann = From when,Ab wann = À partir de quand
109,6,_____ beginnt der Film?,Ab wann,ab wann,Ab wann beginnt der Film?,From when does the movie start?,À partir de quand commence le film ?,Ab wann = From when,Ab wann = À partir de quand
110,6,_____ kann man die Wohnung mieten?,Ab wann,ab wann,Ab wann kann man die Wohnung mieten?,From when can one rent the apartment?,A partir de quand peut-on louer l'appartement ?,Ab wann = From when,Ab wann = À partir de quand
111,6,_____ gilt der neue Fahrplan?,Ab wann,ab wann,Ab wann gilt der neue Fahrplan?,From when is the new schedule valid?,À partir de quand le nouvel horaire est-il valable ?,Ab wann = From when,Ab wann = À partir de quand
112,6,_____ arbeitest du heute?,Von wann bis wann,von wann bis wann,Von wann bis wann arbeitest du heute?,From when until when are you working today?,De quand à quand travaillez-vous aujourd'hui ?,"Von wann bis wann = From when to when, from when until when",Von wann bis wann = De quand à quand
113,6,_____ ist die Bibliothek geöffnet?,Von wann bis wann,von wann bis wann,Von wann bis wann ist die Bibliothek geöffnet?,From when until when is the library open?,De quand à quand la bibliothèque est-elle ouverte ?,"Von wann bis wann = From when to when, from when until when",Von wann bis wann = De quand à quand
114,6,_____ dauert der Kurs?,Von wann bis wann,von wann bis wann,Von wann bis wann dauert der Kurs?,From when until when does the course last?,De quand à quand dure le cours ?,"Von wann bis wann = From when to when, from when until when",Von wann bis wann = De quand à quand
115,6,_____ warst du im Urlaub?,Von wann bis wann,von wann bis wann,Von wann bis wann warst du im Urlaub?,From when until when were you on vacation?,De quand à quand étiez-vous en vacances ?,"Von wann bis wann = From when to when, from when until when",Von wann bis wann = De quand à quand
116,6,_____ fährt der Bus?,Von wann bis wann,von wann bis wann,Von wann bis wann fährt der Bus?,From when until when does the bus run?,De quand à quand circule le bus ?,"Von wann bis wann = From when to when, from when until when",Von wann bis wann = De quand à quand
117,6,_____ lernst du schon Deutsch?,Wie lange,wie lange,Wie lange lernst du schon Deutsch?,How long have you been learning German?,Depuis combien de temps apprenez-vous l’allemand ?,Wie lange = How long,Wie lange = Combien de temps
118,6,_____ dauert der Film?,Wie lange,wie lange,Wie lange dauert der Film?,How long does the movie last?,Combien de temps dure le film ?,Wie lange = How long,Wie lange = Combien de temps
119,6,_____ bleibst du im Urlaub?,Wie lange,wie lange,Wie lange bleibst du im Urlaub?,How long are you staying on vacation?,Combien de temps restez-vous en vacances ?,Wie lange = How long,Wie lange = Combien de temps
120,6,_____ musst du noch arbeiten?,Wie lange,wie lange,Wie lange musst du noch arbeiten?,How long do you still have to work?,Combien de temps dois-tu encore travailler ?,Wie lange = How long,Wie lange = Combien de temps
121,6,_____ wohnst du schon hier?,Wie lange,wie lange,Wie lange wohnst du schon hier?,How long have you been living here?,Depuis combien de temps vis-tu ici ?,Wie lange = How long,Wie lange = Combien de temps
122,6,_____ gehst du ins Fitnessstudio?,Wie oft,wie oft,Wie oft gehst du ins Fitnessstudio?,How often do you go to the gym?,À quelle fréquence allez-vous à la salle de sport ?,Wie oft = How often,Wie oft = À quelle fréquence
123,6,_____ siehst du deine Familie?,Wie oft,wie oft,Wie oft siehst du deine Familie?,How often do you see your family?,À quelle fréquence voyez-vous votre famille ?,Wie oft = How often,Wie oft = À quelle fréquence
124,6,_____ lernst du Deutsch pro Woche?,Wie oft,wie oft,Wie oft lernst du Deutsch pro Woche?,How often do you study German per week?,À quelle fréquence étudiez-vous l'allemand par semaine ?,Wie oft = How often,Wie oft = À quelle fréquence
125,6,_____ machst du Urlaub?,Wie oft,wie oft,Wie oft machst du Urlaub?,How often do you go on vacation?,À quelle fréquence partez-vous en vacances ?,Wie oft = How often,Wie oft = À quelle fréquence
126,6,_____ kaufst du online ein?,Wie oft,wie oft,Wie oft kaufst du online ein?,How often do you shop online?,À quelle fréquence faites-vous des achats en ligne ?,Wie oft = How often,Wie oft = À quelle fréquence
127,7,,Wen,wen,,Whom ● Accusative,Qui ● Accusatif,Wen = Whom ● Accusative,Wen = Qui ● Accusatif
128,7,,Wem,wem,,To whom ● Dative,À qui ● Datif,Wem = To whom ● Dative,Wem = À qui ● Datif
129,7,,Wessen,wessen,,Whose ● Genitive,Dont ● Génitif,Wessen = Whose ● Genitive,Wessen = Dont ● Génitif
130,7,,Wie viele,wie viele Accusative,,How many ● Accusative,Combien ● Accusatif,Wie viele = How many ● Accusative,Wie viele = Combien ● Accusatif
131,7,,Wie vielen,wie vielen Dative,,How many ● Dative,Combien ● Datif,Wie vielen = How many ● Dative,Wie vielen = Combien ● Datif
132,8,_____ gehört dieses Buch?,Wem,wem,Wem gehört dieses Buch?,To whom does this book belong?,À qui appartient ce livre ?,Wem = To whom ● Dative,Wem = À qui ● Datif
133,8,_____ hast du das Geschenk gegeben?,Wem,wem,Wem hast du das Geschenk gegeben?,To whom did you give the gift?,À qui as-tu offert le cadeau ?,Wem = To whom ● Dative,Wem = À qui ● Datif
134,8,_____ kann ich bei diesem Problem helfen?,Wem,wem,Wem kann ich bei diesem Problem helfen?,Whom can I help with this problem?,Qui puis-je aider avec ce problème ?,Wem = To whom ● Dative,Wem = À qui ● Datif
135,8,_____ vertraust du am meisten?,Wem,wem,Wem vertraust du am meisten?,Whom do you trust the most?,À qui avez-vous le plus confiance ?,Wem = To whom ● Dative,Wem = À qui ● Datif
136,8,_____ hast du die Nachricht geschickt?,Wem,wem,Wem hast du die Nachricht geschickt?,To whom did you send the message?,À qui as-tu envoyé le message ?,Wem = To whom ● Dative,Wem = À qui ● Datif
137,8,_____ hast du gestern im Park getroffen?,Wen,wen,Wen hast du gestern im Park getroffen?,Whom did you meet in the park yesterday?,Qui as-tu rencontré dans le parc hier ?,Wen = Whom ● Accusative,Wen = Qui ● Accusatif
138,8,_____ rufst du gerade an?,Wen,wen,Wen rufst du gerade an?,Whom are you calling right now?,Qui appelles-tu en ce moment ?,Wen = Whom ● Accusative,Wen = Qui ● Accusatif
139,8,_____ magst du am liebsten in deiner Klasse?,Wen,wen,Wen magst du am liebsten in deiner Klasse?,Whom do you like the most in your class?,Qui aimes-tu le plus dans ta classe ?,Wen = Whom ● Accusative,Wen = Qui ● Accusatif
140,8,_____ hast du zu deiner Geburtstagsfeier eingeladen?,Wen,wen,Wen hast du zu deiner Geburtstagsfeier eingeladen?,Whom did you invite to your birthday party?,Qui as-tu invité à ta fête d'anniversaire ?,Wen = Whom ● Accusative,Wen = Qui ● Accusatif
141,8,_____ siehst du auf dem Foto?,Wen,wen,Wen siehst du auf dem Foto?,Whom do you see in the photo?,Qui voyez-vous sur la photo ?,Wen = Whom ● Accusative,Wen = Qui ● Accusatif
142,8,_____ Auto steht vor dem Haus?,Wessen,wessen,Wessen Auto steht vor dem Haus?,Whose car is parked in front of the house?,À qui appartient la voiture garée devant la maison ?,Wessen = Whose ● Genitive,Wessen = Dont ● Génitif
143,8,"_____ Idee war es, in den Urlaub nach Italien zu fahren?",Wessen,wessen,"Wessen Idee war es, in den Urlaub nach Italien zu fahren?",Whose idea was it to go on vacation to Italy?,Qui a eu l’idée de partir en vacances en Italie ?,Wessen = Whose ● Genitive,Wessen = Dont ● Génitif
144,8,_____ Tasche hast du mitgenommen?,Wessen,wessen,Wessen Tasche hast du mitgenommen?,Whose bag did you take?,De qui as-tu pris le sac ?,Wessen = Whose ● Genitive,Wessen = Dont ● Génitif
145,8,_____ Meinung zählt hier am meisten?,Wessen,wessen,Wessen Meinung zählt hier am meisten?,Whose opinion matters the most here?,Quelle opinion compte le plus ici ?,Wessen = Whose ● Genitive,Wessen = Dont ● Génitif
146,8,_____ Buch hast du dir ausgeliehen?,Wessen,wessen,Wessen Buch hast du dir ausgeliehen?,Whose book did you borrow?,À qui as-tu emprunté le livre ?,Wessen = Whose ● Genitive,Wessen = Dont ● Génitif
147,8,_____ Äpfel hast du gekauft?,Wie viele,wie viele Accusative,Wie viele Äpfel hast du gekauft?,How many apples did you buy?,Combien de pommes as-tu acheté ?,Wie viele = How many ● Accusative,Wie viele = Combien ● Accusatif
148,8,"Weißt du, _____ Seiten wir für die Prüfung lesen müssen?",wie viele,wie viele Accusative,"Weißt du, wie viele Seiten wir für die Prüfung lesen müssen?",Do you know how many pages we have to read for the exam?,Savez-vous combien de pages nous devons lire pour l'examen ?,Wie viele = How many ● Accusative,Wie viele = Combien ● Accusatif
149,8,_____ Kilometer bist du gestern gelaufen?,Wie viele,wie viele Accusative,Wie viele Kilometer bist du gestern gelaufen?,How many kilometers did you run yesterday?,Combien de kilomètres as-tu parcouru hier ?,Wie viele = How many ● Accusative,Wie viele = Combien ● Accusatif
150,8,"Kannst du mir sagen, _____ Fehler ich gemacht habe?",wie viele,wie viele Accusative,"Kannst du mir sagen, wie viele Fehler ich gemacht habe?",Can you tell me how many mistakes I made?,Peux-tu me dire combien d’erreurs j’ai faites ?,Wie viele = How many ● Accusative,Wie viele = Combien ● Accusatif
151,8,_____ Filme habt ihr am Wochenende geschaut?,Wie viele,wie viele Accusative,Wie viele Filme habt ihr am Wochenende geschaut?,How many movies did you watch over the weekend?,Combien de films avez-vous regardés pendant le week-end ?,Wie viele = How many ● Accusative,Wie viele = Combien ● Accusatif
152,8,_____ Freunden gehst du heute Abend ins Kino?,Mit wie vielen,wie vielen Dative,Mit wie vielen Freunden gehst du heute Abend ins Kino?,With how many friends are you going to the cinema tonight?,Avec combien d'amis vas-tu au cinéma ce soir ?,Wie vielen = How many ● Dative,Wie vielen = Combien ● Datif
153,8,_____ Kursen hast du dieses Semester teilgenommen?,An wie vielen,wie vielen Dative,An wie vielen Kursen hast du dieses Semester teilgenommen?,How many courses did you attend this semester?,Combien de cours avez-vous suivi ce semestre ?,Wie vielen = How many ● Dative,Wie vielen = Combien ● Datif
