Nr,level,question,answer,german,english
94,4,Wir treffen uns _____ um 18 Uhr.,dort,Wir treffen uns dort um 18 Uhr.,We will meet there at 6 PM.
95,4,Er arbeitet _____ seit fünf Jahren.,dort,Er arbeitet dort seit fünf Jahren.,He has been working there for five years.
96,4,Ich mag Pizza und ich mag _____ Pasta.,auch,Ich mag Pizza und ich mag auch Pasta.,"I like pizza, and I also like pasta."
97,4,Er spricht Deutsch und _____ Englisch.,auch,Er spricht Deutsch und auch Englisch.,He speaks German and also English.
98,4,Ich habe _____ ein Fahrrad.,auch,Ich habe auch ein Fahrrad.,I also have a bicycle.
99,4,Wir gehen ins Kino und du kannst _____ mitkommen.,auch,Wir gehen ins Kino und du kannst auch mitkommen.,"We are going to the cinema, and you can also come along."
100,4,"Sie ist müde, aber sie arbeitet _____ hart.",auch,"Sie ist müde, aber sie arbeitet auch hart.","She is tired, but she also works hard."
101,4,Ich spreche _____ ein bisschen Deutsch.,nur,Ich spreche nur ein bisschen Deutsch.,I only speak a little German.
102,4,Wir haben _____ eine Stunde Zeit.,nur,Wir haben nur eine Stunde Zeit.,We only have one hour.
103,4,Das kostet _____ fünf Euro.,nur,Das kostet nur fünf Euro.,That only costs five euros.
104,4,Ich wollte _____ helfen.,nur,Ich wollte nur helfen.,I just wanted to help.
105,4,Es ist _____ ein Scherz.,nur,Es ist nur ein Scherz.,It is just a joke.
106,4,Das Haus ist _____ von der Schule.,links,Das Haus ist links von der Schule.,The house is to the left of the school.
107,4,Bitte biegen Sie _____ ab.,links,Bitte biegen Sie links ab.,Please turn left.
108,4,_____ gibt es einen schönen Park.,Links,Links gibt es einen schönen Park.,There is a nice park on the left.
109,4,Mein Auto steht _____ auf dem Parkplatz.,links,Mein Auto steht links auf dem Parkplatz.,My car is parked on the left in the parking lot.
110,4,"Schau nach _____, bevor du die Strasse überquerst.",links,"Schau nach links, bevor du die Strasse überquerst.",Look to the left before crossing the street.
111,4,Ich verstehe das _____.,nicht,Ich verstehe das nicht.,I don’t understand that.
112,4,Er ist heute _____ zu Hause.,nicht,Er ist heute nicht zu Hause.,He is not at home today.
113,4,Wir haben das _____ gemacht.,nicht,Wir haben das nicht gemacht.,We did not do that.
114,4,Sie mag Kaffee _____.,nicht,Sie mag Kaffee nicht.,She does not like coffee.
115,4,Das ist _____ richtig.,nicht,Das ist nicht richtig.,That is not correct.
116,4,Das Geschäft ist _____ von der Bank.,rechts,Das Geschäft ist rechts von der Bank.,The shop is to the right of the bank.
117,4,Bitte biegen Sie _____ ab.,rechts,Bitte biegen Sie rechts ab.,Please turn right.
118,4,_____ gibt es einen Supermarkt.,Rechts,Rechts gibt es einen Supermarkt.,There is a supermarket on the right.
119,4,Mein Haus ist _____ neben dem Park.,rechts,Mein Haus ist rechts neben dem Park.,My house is to the right of the park.
120,4,"Schau nach _____, bevor du die Strasse überquerst.",rechts,"Schau nach rechts, bevor du die Strasse überquerst.",Look to the right before crossing the street.
121,4,Dieses Kleid ist _____ teuer für mich.,zu,Dieses Kleid ist zu teuer für mich.,This dress is too expensive for me.
122,4,Er ist _____ interessiert an diesem Thema.,zu,Er ist zu interessiert an diesem Thema.,He is too interested in this topic.
123,4,Ich liebe dieses Lied _____ sehr.,zu,Ich liebe dieses Lied zu sehr.,I love this song too much.
124,4,Der Kaffee ist _____ heiß zum Trinken.,zu,Der Kaffee ist zu heiß zum Trinken.,The coffee is too hot to drink.
125,4,Diese Aufgabe ist _____ schwer für mich.,zu,Diese Aufgabe ist zu schwer für mich.,This task is too difficult for me.
126,4,Ich esse _____ mein Frühstück.,gerade,Ich esse gerade mein Frühstück.,I am eating my breakfast right now.
127,4,Sie telefoniert _____ mit ihrer Mutter.,gerade,Sie telefoniert gerade mit ihrer Mutter.,She is talking to her mother on the phone right now.
128,4,Er liest _____ ein Buch.,gerade,Er liest gerade ein Buch.,He is reading a book right now.
129,4,Wir schauen _____ einen Film.,gerade,Wir schauen gerade einen Film.,We are watching a movie right now.
130,4,Was machst du _____?,gerade,Was machst du gerade?,What are you doing right now?
131,4,Gehen Sie _____ und dann nach rechts.,geradeaus,Gehen Sie geradeaus und dann nach rechts.,Go straight ahead and then turn right.
132,4,Fahren Sie _____ bis zur nächsten Ampel.,geradeaus,Fahren Sie geradeaus bis zur nächsten Ampel.,Drive straight ahead until the next traffic light.
133,4,"Der Bahnhof ist _____, nur 500 Meter entfernt.",geradeaus,"Der Bahnhof ist geradeaus, nur 500 Meter entfernt.","The train station is straight ahead, just 500 meters away."
134,4,"Laufen Sie einfach _____, dann sehen Sie das Café.",geradeaus,"Laufen Sie einfach geradeaus, dann sehen Sie das Café.","Just walk straight ahead, then you will see the café."
135,4,"Wenn du _____ gehst, kommst du zum Park.",geradeaus,"Wenn du geradeaus gehst, kommst du zum Park.","If you go straight ahead, you will reach the park."
136,4,"Ich komme _____, warte bitte eine Minute.",gleich,"Ich komme gleich, warte bitte eine Minute.","I’ll come right away, please wait a minute."
137,4,"Der Film beginnt _____, also beeil dich!",gleich,"Der Film beginnt gleich, also beeil dich!","The movie is starting soon, so hurry up!"
138,4,Kannst du mir _____ helfen?,gleich,Kannst du mir gleich helfen?,Can you help me right away?
139,4,"Der Bus fährt _____ ab, wir müssen uns beeilen.",gleich,"Der Bus fährt gleich ab, wir müssen uns beeilen.","The bus is leaving soon, we have to hurry."
140,4,Ich rufe dich _____ zurück.,gleich,Ich rufe dich gleich zurück.,I'll call you back right away.
141,4,Ich bin _____ fertig.,schon,Ich bin schon fertig.,I am already done.
142,4,Hast du das _____ gesehen?,schon,Hast du das schon gesehen?,Have you seen that already?
143,4,Er ist _____ nach Hause gegangen.,schon,Er ist schon nach Hause gegangen.,He has already gone home.
144,4,Wir haben das _____ besprochen.,schon,Wir haben das schon besprochen.,We have already discussed that.
145,4,Bist du _____ wach?,schon,Bist du schon wach?,Are you already awake?
146,4,_____ gehe ich heute ins Kino.,Vielleicht,Vielleicht gehe ich heute ins Kino.,Maybe I will go to the cinema today.
147,4,Er kommt _____ später.,vielleicht,Er kommt vielleicht später.,He might come later.
148,4,_____ regnet es morgen.,Vielleicht,Vielleicht regnet es morgen.,Maybe it will rain tomorrow.
149,4,Wir sehen uns _____ am Wochenende.,vielleicht,Wir sehen uns vielleicht am Wochenende.,Maybe we will see each other on the weekend.
150,4,_____ hast du recht.,Vielleicht,Vielleicht hast du recht.,Maybe you are right.
151,5,the day before yesterday,vorgestern,,
152,5,the day after tomorrow,übermorgen,,
153,5,a little,ein bisschen,,
154,5,"really, truly",wirklich,,
155,5,gladly,gern,,
156,5,again,wieder,,
157,5,inside,innen,,
158,5,outside,aussen,,
159,5,"mostly, usually",meistens,,
160,5,at least,mindestens,,
161,5,"first, at first",zuerst,,
162,5,together,zusammen,,
163,5,once,einmal,,
164,5,"still, yet",noch,,
165,6,Ich komme morgen _____.,wieder,Ich komme morgen wieder.,I will come back tomorrow.
166,6,Ich werde das nicht _____ tun,wieder,Ich werde das nicht wieder tun.,I won't do that again.
167,6,Er ist _____ gesund.,wieder,Er ist wieder gesund.,He is healthy again.
168,6,Wir sehen uns _____ nächste Woche.,wieder,Wir sehen uns wieder nächste Woche.,We will see each other again next week.
169,6,Das passiert immer _____.,wieder,Das passiert immer wieder.,That happens again and again.
170,6,Ist das _____ wahr?,wirklich,Ist das wirklich wahr?,Is that really true?
171,6,Er ist _____ sehr nett.,wirklich,Er ist wirklich sehr nett.,He is really very nice.
172,6,Ich bin _____ müde nach der Arbeit.,wirklich,Ich bin wirklich müde nach der Arbeit.,I am really tired after work.
173,6,Das Essen schmeckt _____ gut.,wirklich,Das Essen schmeckt wirklich gut.,The food tastes really good.
174,6,Ich freue mich _____ auf den Urlaub.,wirklich,Ich freue mich wirklich auf den Urlaub.,I am really looking forward to the vacation.
175,6,Das Haus sieht _____ schön aus.,aussen,Das Haus sieht aussen schön aus.,The house looks nice from the outside.
176,6,Der Balkon ist nur von _____ zugänglich.,aussen,Der Balkon ist nur von aussen zugänglich.,The balcony is only accessible from the outside.
177,6,_____ ist es heute sehr kalt.,Aussen,Aussen ist es heute sehr kalt.,It is very cold outside today.
178,6,Die Wand ist _____ rot gestrichen.,aussen,Die Wand ist aussen rot gestrichen.,The wall is painted red on the outside.
179,6,"Das Gebäude ist innen alt, aber _____ modern.",aussen,"Das Gebäude ist innen alt, aber aussen modern.",The building is old inside but modern outside.
180,6,Ich brauche _____ fünf Minuten.,noch,Ich brauche noch fünf Minuten.,I need five more minutes.
181,6,Hast du _____ Fragen?,noch,Hast du noch Fragen?,Do you have any more questions?
182,6,Wir haben _____ Zeit.,noch,Wir haben noch Zeit.,We still have time.
183,6,Ich bin _____ nicht fertig.,noch,Ich bin noch nicht fertig.,I am not finished yet.
184,6,Kannst du _____ ein Stück Kuchen essen?,noch,Kannst du noch ein Stück Kuchen essen?,Can you eat another piece of cake?
185,6,Wir lernen _____ Deutsch.,zusammen,Wir lernen zusammen Deutsch.,We are learning German together.
186,6,Ich esse gern _____ mit meinen Freunden.,zusammen,Ich esse gern zusammen mit meinen Freunden.,I like eating together with my friends.
187,6,Sie arbeiten _____ an einem Projekt.,zusammen,Sie arbeiten zusammen an einem Projekt.,They are working together on a project.
188,6,Lass uns _____ spazieren gehen.,zusammen,Lass uns zusammen spazieren gehen.,Let's go for a walk together.
189,6,Wir haben _____ einen Film geschaut.,zusammen,Wir haben zusammen einen Film geschaut.,We watched a movie together.
190,6,Ich stehe _____ um sieben Uhr auf.,meistens,Ich stehe meistens um sieben Uhr auf.,I usually get up at seven o’clock.
191,6,_____ esse ich Brot zum Frühstück.,Meistens,Meistens esse ich Brot zum Frühstück.,I usually eat bread for breakfast.
192,6,Er ist _____ pünktlich.,meistens,Er ist meistens pünktlich.,He is usually punctual.
193,6,Wir fahren _____ mit dem Fahrrad zur Arbeit.,meistens,Wir fahren meistens mit dem Fahrrad zur Arbeit.,We usually go to work by bike.
194,6,_____ ist es im Sommer heiss.,Meistens,Meistens ist es im Sommer heiss.,It is usually hot in summer.
195,6,_____ trinke ich einen Kaffee.,Zuerst,Zuerst trinke ich einen Kaffee.,"First, I drink a coffee."
196,6,Er liest _____ die Zeitung.,zuerst,Er liest zuerst die Zeitung.,He reads the newspaper first.
197,6,Wir müssen _____ die Hausaufgaben machen.,zuerst,Wir müssen zuerst die Hausaufgaben machen.,We have to do the homework first.
198,6,"_____ gehen wir einkaufen, dann kochen wir.",Zuerst,"Zuerst gehen wir einkaufen, dann kochen wir.","First, we go shopping, then we cook."
199,6,Sie hat _____ mit ihrer Mutter gesprochen.,zuerst,Sie hat zuerst mit ihrer Mutter gesprochen.,She talked to her mother first.
200,6,Ich war _____ in Berlin.,einmal,Ich war einmal in Berlin.,I was in Berlin once.
201,6,Kannst du das noch _____ sagen?,einmal,Kannst du das noch einmal sagen?,Can you say that again?
202,6,Ich möchte _____ nach Japan reisen.,einmal,Ich möchte einmal nach Japan reisen.,I would like to travel to Japan one day.
203,6,Probier es _____ aus!,einmal,Probier es einmal aus!,Try it once!
204,6,Er hat das nur _____ gemacht.,einmal,Er hat das nur einmal gemacht.,He only did that once.
205,6,Ich spreche _____ Deutsch.,ein bisschen,Ich spreche ein bisschen Deutsch.,I speak a little German.
206,6,Kannst du _____ langsamer sprechen?,ein bisschen,Kannst du ein bisschen langsamer sprechen?,Can you speak a little slower?
207,6,Ich brauche _____ Hilfe.,ein bisschen,Ich brauche ein bisschen Hilfe.,I need a little help.
208,6,Wir haben noch _____ Zeit.,ein bisschen,Wir haben noch ein bisschen Zeit.,We still have a little time.
209,6,Das Essen ist _____ zu salzig.,ein bisschen,Das Essen ist ein bisschen zu salzig.,The food is a little too salty.
210,6,Du musst _____ acht Stunden schlafen.,mindestens,Du musst mindestens acht Stunden schlafen.,You need to sleep at least eight hours.
211,6,Ich brauche _____ eine Stunde für die Hausaufgaben.,mindestens,Ich brauche mindestens eine Stunde für die Hausaufgaben.,I need at least one hour for the homework.
212,6,Wir sollten _____ zwei Liter Wasser am Tag trinken.,mindestens,Wir sollten mindestens zwei Liter Wasser am Tag trinken.,We should drink at least two liters of water per day.
213,6,Das kostet _____ zehn Euro.,mindestens,Das kostet mindestens zehn Euro.,That costs at least ten euros.
214,6,Er bleibt _____ eine Woche in Berlin.,mindestens,Er bleibt mindestens eine Woche in Berlin.,He is staying in Berlin for at least one week.
215,6,Ich esse _____ Pizza.,gern,Ich esse gern Pizza.,I like eating pizza.
216,6,Er spielt _____ Fussball.,gern,Er spielt gern Fussball.,He likes playing soccer.
217,6,Wir reisen _____.,gern,Wir reisen gern.,We like traveling.
218,6,Sie hört _____ Musik.,gern,Sie hört gern Musik.,She likes listening to music.
219,6,Ich helfe dir _____.,gern,Ich helfe dir gern.,I am happy to help you.
220,6,Das Haus sieht _____ sehr schön aus.,innen,Das Haus sieht innen sehr schön aus.,The house looks very nice inside.
221,6,Die Tasche ist _____ rot gefüttert.,innen,Die Tasche ist innen rot gefüttert.,The bag is lined with red on the inside.
222,6,Wir haben das Gebäude nur von _____ gesehen.,innen,Wir haben das Gebäude nur von innen gesehen.,We have only seen the building from the inside.
223,6,Die Jacke ist _____ sehr warm.,innen,Die Jacke ist innen sehr warm.,The jacket is very warm inside.
224,6,"Das Auto ist aussen alt, aber _____ modern.",innen,"Das Auto ist aussen alt, aber innen modern.",The car is old on the outside but modern inside.
225,6,_____ war ich im Kino mit meinen Freunden.,Vorgestern,Vorgestern war ich im Kino mit meinen Freunden.,"The day before yesterday, I was at the cinema with my friends."
226,6,Es hat _____ den ganzen Tag geregnet.,vorgestern,Es hat vorgestern den ganzen Tag geregnet.,It rained all day the day before yesterday.
227,6,Ich habe ihn _____ in der Stadt getroffen.,vorgestern,Ich habe ihn vorgestern in der Stadt getroffen.,I met him in the city the day before yesterday.
228,6,_____ hatten wir eine wichtige Besprechung im Büro.,Vorgestern,Vorgestern hatten wir eine wichtige Besprechung im Büro.,"The day before yesterday, we had an important meeting at the office."
229,6,Meine Großeltern sind _____ aus dem Urlaub zurückgekommen.,vorgestern,Meine Großeltern sind vorgestern aus dem Urlaub zurückgekommen.,My grandparents returned from vacation the day before yesterday.
230,6,_____ haben wir eine wichtige Prüfung in der Schule.,Übermorgen,Übermorgen haben wir eine wichtige Prüfung in der Schule.,"The day after tomorrow, we have an important exam at school."
231,6,Meine Eltern kommen übermorgen aus dem Urlaub zurück.,Übermorgen,Meine Eltern kommen übermorgen aus dem Urlaub zurück.,My parents are coming back from vacation the day after tomorrow.
232,6,Wir fahren übermorgen in die Berge zum Wandern.,Übermorgen,Wir fahren übermorgen in die Berge zum Wandern.,We are going to the mountains for a hike the day after tomorrow.
233,6,_____ beginnt das neue Semester an der Universität.,Übermorgen,Übermorgen beginnt das neue Semester an der Universität.,The new semester at the university starts the day after tomorrow.
234,6,"Ich muss übermorgen früh aufstehen, weil ich einen Termin habe.",Übermorgen,"Ich muss übermorgen früh aufstehen, weil ich einen Termin habe.",I have to get up early the day after tomorrow because I have an appointment.
235,7,twice,zweimal,,
236,7,unfortunately,leider,,
237,7,"earlier, previously, sooner",früher,,
238,7,"later, later on",später,,
239,7,enough,genug,,
240,7,regularly,regelmässig,,
241,7,"daily, every day",täglich,,
242,7,weekly,wöchentlich,,
243,7,monthly,monatlich,,
244,7,yearly,jährlich,,
245,7,please,bitte,,
246,7,directly,direkt,,
247,7,indirectly,indirekt,,
248,8,Ich kann heute _____ nicht kommen.,leider,Ich kann heute leider nicht kommen.,"Unfortunately, I can't come today."
249,8,Das Restaurant ist _____ geschlossen.,leider,Das Restaurant ist leider geschlossen.,"Unfortunately, the restaurant is closed."
250,8,Er hat _____ die Prüfung nicht bestanden.,leider,Er hat leider die Prüfung nicht bestanden.,"Unfortunately, he did not pass the exam."
251,8,Wir haben den Bus _____ verpasst.,leider,Wir haben den Bus leider verpasst.,"Unfortunately, we missed the bus."
252,8,Ich habe _____ keine Zeit.,leider,Ich habe leider keine Zeit.,"Unfortunately, I don’t have time."
253,8,Ich war schon _____ in Deutschland.,zweimal,Ich war schon zweimal in Deutschland.,I have been to Germany twice.
254,8,Bitte lies den Text _____.,zweimal,Bitte lies den Text zweimal.,Please read the text twice.
255,8,Ich gehe _____ pro Woche joggen.,zweimal,Ich gehe zweimal pro Woche joggen.,I go jogging twice a week.
256,8,Er hat _____ angerufen.,zweimal,Er hat zweimal angerufen.,He called twice.
257,8,Wir sehen uns mindestens _____ im Monat.,zweimal,Wir sehen uns mindestens zweimal im Monat.,We see each other at least twice a month.
258,8,"_____ hatte ich lange Haare, aber jetzt sind sie kurz.",Früher,"Früher hatte ich lange Haare, aber jetzt sind sie kurz.","I used to have long hair, but now it is short."
259,8,"Er hat _____ in Berlin gewohnt, aber jetzt lebt er in München.",früher,"Er hat früher in Berlin gewohnt, aber jetzt lebt er in München.","He used to live in Berlin, but now he lives in Munich."
260,8,"_____ gab es hier einen kleinen Laden, aber jetzt ist dort ein Supermarkt.",Früher,"Früher gab es hier einen kleinen Laden, aber jetzt ist dort ein Supermarkt.","There used to be a small shop here, but now there is a supermarket."
261,8,Meine Grosseltern haben _____ ohne Internet gelebt.,früher,Meine Grosseltern haben früher ohne Internet gelebt.,My grandparents used to live without the internet.
262,8,"_____ bin ich jeden Tag Fahrrad gefahren, aber jetzt nehme ich den Bus.",Früher,"Früher bin ich jeden Tag Fahrrad gefahren, aber jetzt nehme ich den Bus.","I used to ride my bike every day, but now I take the bus."
263,8,"Ich habe nicht _____ Geld, um mir ein neues Handy zu kaufen.",genug,"Ich habe nicht genug Geld, um mir ein neues Handy zu kaufen.",I don’t have enough money to buy a new phone.
264,8,"Er hat _____ Zeit, um die Aufgabe in Ruhe zu erledigen.",genug,"Er hat genug Zeit, um die Aufgabe in Ruhe zu erledigen.",He has enough time to complete the task calmly.
265,8,Wir haben _____ Essen für alle Gäste vorbereitet.,genug,Wir haben genug Essen für alle Gäste vorbereitet.,We have prepared enough food for all the guests.
266,8,"Sie spricht schon gut Deutsch, aber sie möchte noch nicht _____ üben.",genug,"Sie spricht schon gut Deutsch, aber sie möchte noch nicht genug üben.","She already speaks good German, but she doesn’t want to practice enough yet."
267,8,"Das Hotel war günstig, aber das Zimmer war nicht gross _____.",genug,"Das Hotel war günstig, aber das Zimmer war nicht gross genug.","The hotel was cheap, but the room wasn’t big enough."
268,8,"Ich habe jetzt keine Zeit, aber ich rufe dich _____ an.",später,"Ich habe jetzt keine Zeit, aber ich rufe dich später an.","I don’t have time now, but I will call you later."
269,8,Er möchte _____ als Arzt arbeiten.,später,Er möchte später als Arzt arbeiten.,He wants to work as a doctor later.
270,8,Wir treffen uns _____ im Café.,später,Wir treffen uns später im Café.,We will meet later at the café.
271,8,"Sie hat die Prüfung nicht bestanden, aber sie kann sie _____ wiederholen.",später,"Sie hat die Prüfung nicht bestanden, aber sie kann sie später wiederholen.","She didn’t pass the exam, but she can retake it later."
272,8,"Ich mache meine Hausaufgaben _____, jetzt habe ich keine Lust.",später,"Ich mache meine Hausaufgaben später, jetzt habe ich keine Lust.","I will do my homework later, I don’t feel like it now."
273,8,Ich gehe _____ ins Fitnessstudio.,regelmässig,Ich gehe regelmässig ins Fitnessstudio.,I go to the gym regularly.
274,8,Er besucht seine Großeltern _____.,regelmässig,Er besucht seine Großeltern regelmässig.,He visits his grandparents regularly.
275,8,Wir treffen uns _____ zum Lernen.,regelmässig,Wir treffen uns regelmässig zum Lernen.,We meet regularly to study.
276,8,Sie geht _____ zum Zahnarzt.,regelmässig,Sie geht regelmässig zum Zahnarzt.,She goes to the dentist regularly.
277,8,_____ Sport zu treiben ist gesund.,Regelmässig,Regelmässig Sport zu treiben ist gesund.,Exercising regularly is healthy.
278,8,Ich trinke _____ eine Tasse Kaffee.,täglich,Ich trinke täglich eine Tasse Kaffee.,I drink a cup of coffee daily.
279,8,Er fährt _____ mit dem Fahrrad zur Arbeit.,täglich,Er fährt täglich mit dem Fahrrad zur Arbeit.,He rides his bike to work every day.
280,8,Wir bekommen _____ viele E-Mails.,täglich,Wir bekommen täglich viele E-Mails.,We receive many emails daily.
281,8,Sie geht _____ eine Stunde spazieren.,täglich,Sie geht täglich eine Stunde spazieren.,She goes for a walk for an hour every day.
282,8,"_____ übe ich mein Deutsch, um besser zu werden.",Täglich,"Täglich übe ich mein Deutsch, um besser zu werden.",I practice my German daily to improve.
283,8,Ich besuche meine Großeltern _____.,wöchentlich,Ich besuche meine Großeltern wöchentlich.,I visit my grandparents weekly.
284,8,Er geht _____ zum Fußballtraining.,wöchentlich,Er geht wöchentlich zum Fußballtraining.,He goes to football training weekly.
